,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2001-05,64.00M,,64.00M,664.00M,,664.00M,129.00M,326.00M,94.00M,519.00M,99.00M,62.00M,,1.408B,0.00,25.00M,636.00M,2.226B,,292.00M,,3.179B,-1.678B,1.501B,,870.00M,870.00M,,,1.312B,3.683B,5.091B,,619.00M,,,,619.00M,253.00M,872.00M,,858.00M,349.00M,1.207B,,1.207B,,,,130.00M,2.209B,2.221B,,2.221B,423.00M,423.00M,,,,,,186.00M,2.83B,5.039B,,745.00M,2.468B,,3.014B,,,-146.00M,52.00M,,,
2001-02,77.30M,,77.30M,,,573.80M,,,,539.90M,,,159.70M,1.351B,,,,,,,,3.121B,-1.647B,1.474B,,870.30M,870.30M,,,1.301B,3.645B,4.996B,,496.80M,,,,496.80M,,496.80M,,,,980.20M,,980.20M,,,,443.20M,1.920B,2.521B,,2.521B,399.30M,399.30M,,,,,,189.20M,3.110B,5.030B,,715.10M,2.400B,,3.015B,,,-134.10M,-34.60M,,,
2000-11,66.90M,,66.90M,,,588.90M,,,,562.20M,,,149.70M,1.368B,,,,,,,,3.06B,-1.609B,1.451B,,870.30M,870.30M,,,1.210B,3.532B,4.899B,,568.90M,,,,568.90M,,568.90M,,,,1.465B,,1.465B,,,,416.80M,2.451B,2.026B,,2.026B,389.40M,389.40M,,,,,,193.90M,2.610B,5.060B,,695.20M,2.320B,,3.026B,,,-150.10M,-160.90M,,,
2000-08,53.20M,,53.20M,,,555.50M,,,,557.90M,,,144.30M,1.311B,,,,,,,,2.993B,-1.571B,1.421B,,870.40M,870.40M,,,1.167B,3.458B,4.769B,,616.70M,,,,616.70M,,616.70M,,,,1.521B,,1.521B,,,,442.60M,2.580B,1.918B,,1.918B,392.20M,392.20M,,,,,,180.80M,2.491B,5.071B,,696.20M,2.195B,,3.051B,,,-142.00M,-302.00M,,,
2000-05,26.00M,,26.00M,501.00M,,501.00M,,,,511.00M,,,152.00M,1.19B,,,,,,,,2.949B,-1.544B,1.405B,,870.00M,870.00M,,,1.109B,3.384B,4.574B,,642.00M,,,,642.00M,,642.00M,,,,1.499B,,1.499B,,,,388.00M,2.529B,1.76B,,1.76B,387.00M,387.00M,,,,,,187.00M,2.334B,4.863B,,681.00M,2.114B,,2.935B,,,-148.00M,-289.00M,,,
2000-02,47.50M,,47.50M,,,481.70M,,,,529.60M,,,179.90M,1.239B,,,,,,,,2.903B,-1.506B,1.397B,,871.50M,871.50M,,,1.089B,3.358B,4.597B,,614.00M,,,,614.00M,,614.00M,,,,1.204B,,1.204B,,,,519.00M,2.337B,1.642B,,1.642B,398.80M,398.80M,,,,,,184.10M,2.225B,4.562B,,670.20M,2.003B,,2.505B,,,-133.50M,34.70M,,,
1999-11,70.40M,,70.40M,,,562.50M,,,,497.30M,,,175.20M,1.305B,,,,,,,,2.843B,-1.470B,1.374B,,830.30M,830.30M,,,1.085B,3.289B,4.594B,,672.40M,,,,672.40M,,672.40M,,,,992.40M,,992.40M,,,,426.90M,2.092B,1.665B,,1.665B,396.70M,396.70M,,,,,,184.50M,2.246B,4.338B,,679.90M,2.013B,,2.307B,,,-129.00M,256.70M,,,
1999-08,46.00M,,46.00M,,,522.00M,,,,510.10M,,,175.70M,1.254B,,,,,,,,2.810B,-1.459B,1.351B,,838.60M,838.60M,,,1.061B,3.250B,4.504B,,678.10M,,,,678.10M,,678.10M,,,,880.70M,,880.70M,,,,459.50M,2.018B,1.687B,,1.687B,405.10M,405.10M,,,,,,177.30M,2.270B,4.288B,,666.20M,1.903B,,2.222B,,,-130.50M,216.30M,,,
1999-05,3.90M,,3.90M,,,490.60M,,,,426.70M,,,181.30M,1.102B,,,,,,,,2.719B,-1.424B,1.295B,,,,,,1.744B,3.038B,4.141B,,647.40M,,,,647.40M,,647.40M,,,,614.90M,,614.90M,,,,438.00M,1.700B,1.702B,,1.702B,400.20M,400.20M,,,,,,173.60M,2.276B,3.976B,,657.90M,1.827B,,2.195B,,,-125.80M,164.20M,,,
1999-02,18.90M,,18.90M,,,469.70M,,,,442.30M,,,188.60M,1.120B,,,,,,,,2.664B,-1.396B,1.268B,,728.20M,728.20M,,,1.023B,3.019B,4.138B,,627.20M,,,,627.20M,,627.20M,,,,505.60M,,505.60M,,,,556.60M,1.689B,1.701B,,1.701B,401.10M,401.10M,,,,,,179.50M,2.281B,3.971B,,,1.722B,,,,,,167.90M,,,
1998-11,9.50M,,9.50M,,,468.40M,,,,438.40M,,,197.30M,1.114B,,,,,,,,2.592B,-1.367B,1.225B,,621.40M,621.40M,,,1.061B,2.907B,4.021B,,638.80M,,,,638.80M,,638.80M,,,,592.40M,,592.40M,,,,419.50M,1.651B,1.593B,,1.593B,402.50M,402.50M,,,,,,177.50M,2.173B,3.824B,,,1.749B,,,,,,197.30M,,,
1998-08,29.70M,,29.70M,,,458.40M,,,,472.80M,,,209.40M,1.170B,,,,,,,,2.540B,-1.337B,1.203B,,625.40M,625.40M,,,1.026B,2.855B,4.025B,,657.70M,,,,657.70M,,657.70M,,,,571.00M,,571.00M,,,,452.00M,1.681B,1.612B,,1.612B,411.90M,411.90M,,,,,,174.30M,2.198B,3.879B,,,1.686B,,,,,,145.80M,,,
1998-05,6.40M,,6.40M,,,395.10M,,,,389.70M,,,244.10M,1.035B,,,,,,,,2.517B,-1.331B,1.186B,,630.40M,630.40M,,,1.009B,2.826B,3.861B,,593.10M,,,,593.10M,,593.10M,,,,417.30M,,417.30M,,,,433.30M,1.444B,1.640B,,1.640B,413.90M,413.90M,,,,,,173.20M,2.228B,3.671B,,,1.623B,,,,,,190.20M,,,
1998-02,16.80M,,16.80M,,,425.10M,,,,447.60M,,,210.60M,1.100B,,,,,,,,2.437B,-1.271B,1.166B,,635.90M,635.90M,,,997.50M,2.800B,3.900B,,619.50M,,,,619.50M,,619.50M,,,,187.80M,,187.80M,,,,423.50M,1.231B,1.656B,,1.656B,410.10M,410.10M,,,,,,169.80M,2.236B,3.467B,,,1.614B,,,,,,433.10M,,,
1997-11,29.90M,,29.90M,,,442.80M,,,,471.60M,,,215.30M,1.160B,,,,,,,,2.417B,-1.244B,1.173B,,641.00M,641.00M,,,975.60M,2.790B,3.949B,,689.20M,,,,689.20M,,689.20M,,,,93.80M,,93.80M,,,,601.90M,1.385B,1.597B,,1.597B,407.70M,407.70M,,,,,,170.40M,2.175B,3.560B,,,1.567B,,,,,,389.20M,,,
1997-08,18.20M,,18.20M,,,419.30M,,,,457.30M,,,217.80M,1.113B,,,,,,,,2.606B,-1.331B,1.275B,,649.20M,649.20M,,,925.60M,2.850B,3.962B,,662.80M,,,,662.80M,,662.80M,,,,361.30M,,361.30M,,,,401.60M,1.426B,1.497B,,1.497B,419.90M,419.90M,,,,,,173.80M,2.091B,3.516B,,,1.586B,,,,,,446.10M,,,
1997-05,12.80M,,12.80M,,,419.10M,,,,364.40M,,,215.00M,1.011B,,,,,,,,2.572B,-1.292B,1.279B,,655.20M,655.20M,,,956.50M,2.891B,3.902B,,599.70M,,,,599.70M,,599.70M,,,,343.30M,,343.30M,,,,349.50M,1.292B,1.530B,,1.530B,415.80M,415.80M,,,,,,169.10M,2.115B,3.408B,,,1.535B,,,,,,494.60M,,,
1997-02,31.00M,,31.00M,,,413.70M,,,,413.00M,,,248.60M,1.106B,,,,,,,,2.532B,-1.252B,1.281B,,657.60M,657.60M,,,943.30M,2.882B,3.988B,,548.30M,,,,548.30M,,548.30M,,,,600.50M,,600.50M,,,,411.10M,1.560B,1.225B,,1.225B,387.10M,387.10M,,,,,,167.10M,1.779B,3.339B,,,1.552B,,,,,,649.00M,,,
1996-11,28.30M,,28.30M,,,428.40M,,,,396.30M,,,255.50M,1.108B,,,,,,,,2.475B,-1.218B,1.256B,,,,,,1.067B,2.323B,3.432B,,643.10M,,,,643.10M,,643.10M,,,,529.10M,,529.10M,,,,374.10M,1.546B,1.079B,,1.079B,397.60M,397.60M,,,,,,168.40M,1.645B,3.191B,,,1.507B,,,,,,240.60M,,,
1996-08,33.10M,,33.10M,,,429.30M,,,,429.60M,,,255.00M,1.147B,,,,,,,,2.448B,-1.195B,1.253B,,,,,,1.014B,2.266B,3.413B,,654.90M,,,,654.90M,,654.90M,,,,396.80M,,396.80M,,,,417.20M,1.469B,1.154B,,1.154B,399.60M,399.60M,,,,,,165.30M,1.719B,3.188B,,,1.428B,,,,,,225.80M,,,
1996-05,20.60M,,20.60M,,,337.80M,,,,395.50M,,,241.20M,995.10M,,,,,,,,2.508B,-1.196B,1.312B,,,,,,987.20M,2.300B,3.295B,,590.70M,,,,590.70M,,590.70M,,,,217.00M,,217.00M,,,,384.20M,1.192B,1.221B,,1.221B,407.50M,407.50M,,,,,,166.70M,1.795B,2.987B,,,1.409B,,,,,,307.70M,,,
1996-02,35.70M,,35.70M,,,375.50M,,,,420.20M,,,225.50M,1.057B,,,,,,,,2.521B,-1.176B,1.345B,,,,,,1.034B,2.379B,3.436B,,505.40M,,,,505.40M,,505.40M,,,,282.90M,,282.90M,,,,462.80M,1.251B,1.243B,,1.243B,261.20M,261.20M,,,,,,329.50M,1.833B,3.084B,,,1.410B,,,,,,351.70M,,,
1995-11,44.00M,,44.00M,,,381.40M,,,,445.70M,,,209.70M,1.081B,,,,,,,,2.608B,-1.206B,1.402B,,,,,,1.033B,2.435B,3.516B,,538.70M,,,,538.70M,,538.70M,,,,364.20M,,364.20M,,,,468.20M,1.371B,1.246B,,1.246B,422.80M,422.80M,,,,,,175.60M,1.845B,3.216B,,,1.368B,,,,,,299.70M,,,
1995-08,16.70M,,16.70M,,,330.10M,,,,434.30M,,,220.00M,1.001B,,,,,,,,2.624B,-1.187B,1.437B,,,,,,1.017B,2.454B,3.455B,,490.10M,,,,490.10M,,490.10M,,,,270.70M,,270.70M,,,,543.80M,1.305B,1.335B,,1.335B,428.00M,428.00M,,,,,,177.80M,1.941B,3.245B,,,1.296B,,,,,,209.70M,,,
1995-05,13.00M,,13.00M,,,277.30M,,,,372.00M,,,234.60M,896.90M,,,,,,,,2.612B,-1.155B,1.457B,,,,,,1.005B,2.461B,3.358B,,494.00M,,,,494.00M,,494.00M,,,,206.60M,,206.60M,,,,520.30M,1.221B,1.401B,,1.401B,248.60M,248.60M,,,,,,346.80M,1.996B,3.217B,,,1.233B,,,,,,141.00M,,,
1995-02,25.00M,,25.00M,,,370.70M,,,,476.70M,,,238.20M,1.111B,,,,,,,,2.639B,-1.155B,1.484B,,,,,,2.597B,4.081B,5.191B,,444.30M,,,,444.30M,,444.30M,,,,854.30M,,854.30M,,,,455.70M,1.754B,1.483B,,1.483B,428.30M,428.30M,,,,,,192.70M,2.104B,3.858B,,,2.542B,,,,,,1.333B,,,
1994-11,41.10M,,41.10M,,,426.20M,,,,649.30M,,,258.60M,1.375B,,,,,,,,4.895B,-1.728B,3.168B,,,,,,1.092B,4.260B,5.635B,,617.80M,,,,617.80M,,617.80M,,,,884.30M,,884.30M,,,,525.60M,2.028B,1.488B,,1.488B,520.70M,520.70M,,,,,,219.60M,2.228B,4.256B,,,2.610B,,,,,,1.379B,,,
1994-08,4.50M,,4.50M,,,346.80M,,,,689.80M,,,296.00M,1.337B,,,,,,,,4.785B,-1.662B,3.123B,,,,,,1.066B,4.189B,5.526B,,653.00M,,,,653.00M,,653.00M,,,,829.50M,,829.50M,,,,616.70M,2.099B,1.397B,,1.397B,510.70M,510.70M,,,,,,248.90M,2.157B,4.256B,,,2.535B,,,,,,1.270B,,,
1994-05,0.20M,,0.20M,,,309.70M,,,,488.30M,,,331.00M,1.129B,,,,,,,,4.690B,-1.597B,3.093B,,,,,,976.50M,4.069B,5.198B,,650.40M,,,,650.40M,,650.40M,,,,548.50M,,548.50M,,,,633.20M,1.832B,1.417B,,1.417B,487.20M,487.20M,,,,,,310.60M,2.215B,4.047B,,,2.458B,,,,,,1.151B,,,
1994-02,22.80M,,22.80M,,,440.80M,,,,566.40M,,,261.90M,1.292B,,,,,,,,4.590B,-1.542B,3.048B,,,,,,871.00M,3.919B,5.211B,,636.00M,,,,636.00M,,636.00M,,,,546.00M,,546.00M,,,,685.10M,1.867B,1.426B,,1.426B,468.70M,468.70M,,,,,,183.70M,2.079B,3.946B,,,2.438B,,,,,,1.265B,,,
1993-11,56.80M,,56.80M,,,391.40M,,,,553.60M,,,247.50M,1.249B,,,,,,,,4.456B,-1.484B,2.972B,,,,,,774.80M,3.747B,4.996B,,698.10M,,,,698.10M,,698.10M,,,,466.00M,,466.00M,,,,525.90M,1.69B,1.415B,,1.415B,437.00M,437.00M,,,,,,183.90M,2.036B,3.726B,,,2.442B,,,,,,1.270B,,,
1993-08,131.70M,,131.70M,,,421.70M,,,,500.80M,,,248.40M,1.303B,,,,,,,,4.348B,-1.431B,2.917B,,,,,,720.00M,3.637B,4.939B,,666.00M,,,,666.00M,,666.00M,,,,366.30M,,366.30M,,,,610.60M,1.643B,1.454B,,1.454B,438.60M,438.60M,,,,,,174.80M,2.067B,3.710B,,,2.376B,,,,,,1.229B,,,
1993-05,100.00M,,100.00M,,,287.40M,,,,439.00M,,,250.50M,1.077B,,,,,,,,4.240B,-1.380B,2.860B,,,,,,714.30M,3.574B,4.651B,,617.00M,,,,617.00M,,617.00M,,,,403.90M,,403.90M,,,,537.90M,1.559B,1.268B,,1.268B,457.60M,457.60M,,,,,,147.60M,1.874B,3.432B,,,2.284B,,,,,,1.218B,,,
1993-02,38.90M,,38.90M,,,405.10M,,,,486.00M,,,237.10M,1.167B,,,,,,,,4.169B,-1.332B,2.837B,,,,,,752.90M,3.590B,4.757B,,638.90M,,,,638.90M,,638.90M,,,,390.90M,,390.90M,,,,629.10M,1.659B,1.182B,,1.182B,428.50M,428.50M,,,,,,178.30M,1.788B,3.447B,,,2.216B,,,,,,1.310B,,,
1992-11,55.50M,,55.50M,,,368.40M,,,,548.40M,,,247.00M,1.219B,,,,,,,,4.024B,-1.276B,2.748B,,,,,,711.80M,3.460B,4.679B,,697.10M,,,,697.10M,,697.10M,,,,317.20M,,317.20M,,,,478.60M,1.493B,1.166B,,1.166B,437.30M,437.30M,,,,,,192.50M,1.796B,3.289B,,,2.211B,,,,,,1.390B,,,
1992-08,0.90M,,0.90M,,,353.00M,,,,511.10M,,,238.80M,1.104B,,,,,,,,3.896B,-1.232B,2.665B,,,,,,744.90M,3.410B,4.513B,,669.80M,,,,669.80M,,669.80M,,,,258.30M,,258.30M,,,,560.40M,1.488B,1.039B,,1.039B,436.80M,436.80M,,,,,,199.90M,1.676B,3.164B,,,2.141B,,,,,,1.349B,,,
1992-05,0.50M,,0.50M,,,291.90M,,,,487.20M,,,255.00M,1.035B,,,,,,,,3.855B,-1.207B,2.649B,,,,,,621.80M,3.270B,4.305B,,632.50M,,,,632.50M,,632.50M,,,,201.90M,,201.90M,,,,537.30M,1.372B,920.50M,,920.50M,434.50M,434.50M,,,,,,207.40M,1.562B,2.934B,,,2.049B,,,,,,1.371B,,,
1992-02,38.20M,,38.20M,,,405.70M,,,,550.30M,,,245.40M,1.240B,,,,,,,,3.734B,-1.220B,2.514B,,,,,,611.20M,3.125B,4.365B,,644.60M,,,,644.60M,,644.60M,,,,287.80M,,287.80M,,,,581.70M,1.514B,840.70M,,840.70M,456.10M,456.10M,,,,,,175.90M,1.473B,2.987B,,,2.016B,,,,,,1.378B,,,
1991-11,31.20M,,31.20M,,,382.30M,,,,565.50M,,,235.30M,1.214B,,,,,,,,3.598B,-1.174B,2.424B,,,,,,601.30M,3.026B,4.240B,,651.10M,,,,651.10M,,651.10M,,,,289.30M,,289.30M,,,,543.50M,1.484B,821.60M,,821.60M,458.70M,458.70M,,,,,,179.70M,1.46B,2.944B,,,1.945B,,,,,,1.296B,,,
1991-08,32.20M,,32.20M,,,361.20M,,,,555.90M,,,227.30M,1.177B,,,,,,,,3.463B,-1.139B,2.324B,,,,,,591.60M,2.916B,4.092B,,608.30M,,,,608.30M,,608.30M,,,,192.10M,,192.10M,,,,561.20M,1.362B,877.00M,,877.00M,457.90M,457.90M,,,,,,180.90M,1.516B,2.877B,,,1.877B,,,,,,1.215B,,,
1991-05,39.80M,,39.80M,,,306.30M,,,,493.60M,,,242.60M,1.082B,,,,,,,,3.337B,-1.096B,2.241B,,,,,,578.20M,2.820B,3.902B,,578.70M,,,,578.70M,,578.70M,,,,152.40M,,152.40M,,,,541.30M,1.272B,879.00M,,879.00M,455.20M,455.20M,,,,,,181.70M,1.516B,2.788B,,,1.796B,,,,,,1.114B,,,
1991-02,36.90M,,36.90M,,,409.60M,,,,514.30M,,,187.50M,1.148B,,,,,,,,3.224B,-1.063B,2.161B,,81.50M,81.50M,,,498.40M,2.741B,3.890B,,559.60M,,,,559.60M,,559.60M,,,,210.60M,,210.60M,,,,553.50M,1.324B,886.30M,,886.30M,432.10M,432.10M,,,,,,178.00M,1.496B,2.820B,,,1.757B,,,,,,1.069B,,,
1990-11,64.90M,,64.90M,,,334.30M,,,,507.30M,,,187.60M,1.094B,,,,,,,,3.105B,-1.030B,2.074B,,82.40M,82.40M,,,482.00M,2.639B,3.733B,,588.80M,,,,588.80M,,588.80M,,,,254.90M,,254.90M,,,,510.00M,1.354B,785.40M,,785.40M,428.10M,428.10M,,,,,,181.40M,1.395B,2.749B,,,1.675B,,,,,,984.40M,,,
1990-08,15.50M,,15.50M,,,308.60M,,,,498.40M,,,188.50M,1.011B,,,,,,,,3.002B,-998.80M,2.003B,,86.00M,86.00M,,,457.00M,2.546B,3.557B,,546.30M,,,,546.30M,,546.30M,,,,285.80M,,285.80M,,,,504.50M,1.337B,693.10M,,693.10M,433.70M,433.70M,,,,,,182.70M,1.310B,2.646B,,,1.608B,,,,,,910.70M,,,
1990-05,0.70M,,0.70M,,,258.70M,,,,394.40M,,,256.30M,910.10M,,,,,,,,2.883B,-948.70M,1.934B,,64.40M,64.40M,,,380.50M,2.379B,3.290B,,518.20M,,,,518.20M,,518.20M,,,,183.60M,,183.60M,,,,471.40M,1.173B,688.50M,,688.50M,427.60M,427.60M,,,,,,190.50M,1.307B,2.480B,,,1.531B,,,,,,809.70M,,,
1990-02,17.30M,,17.30M,,,350.70M,,,,420.40M,,,223.00M,1.011B,,,,,,,,2.746B,-915.30M,1.831B,,64.80M,64.80M,,,372.80M,2.268B,3.280B,,520.80M,,,,520.80M,,520.80M,,,,257.50M,,257.50M,,,,526.00M,1.304B,607.70M,,607.70M,400.20M,400.20M,,,,,,195.50M,1.203B,2.508B,,,1.499B,,,,,,772.00M,,,
1989-11,52.40M,,52.40M,,,317.70M,,,,421.80M,,,223.70M,1.016B,,,,,,,,2.606B,-874.00M,1.732B,,64.60M,64.60M,,,361.70M,2.158B,3.174B,,508.90M,,,,508.90M,,508.90M,,,,203.70M,,203.70M,,,,466.20M,1.179B,576.60M,,576.60M,401.60M,401.60M,,,,,,205.00M,1.183B,2.362B,,,1.445B,,,,,,812.00M,,,
1989-08,16.90M,,16.90M,,,279.60M,,,,443.90M,,,222.60M,963.00M,,,,,,,,2.485B,-844.40M,1.640B,,64.90M,64.90M,,,341.10M,2.046B,3.009B,,462.90M,,,,462.90M,,462.90M,,,,159.80M,,159.80M,,,,472.10M,1.095B,558.70M,,558.70M,403.40M,403.40M,,,,,,189.40M,1.152B,2.246B,,,1.398B,,,,,,763.00M,,,
1989-05,10.60M,,10.60M,,,254.60M,,,,370.10M,,,206.00M,841.30M,,,,,,,,2.404B,-815.90M,1.588B,,57.20M,57.20M,,,401.50M,2.047B,2.888B,,436.80M,,,,436.80M,,436.80M,,,,133.80M,,133.80M,,,,467.80M,1.038B,536.30M,,536.30M,399.30M,399.30M,,,,,,182.20M,1.118B,2.156B,,,1.328B,,,,,,731.90M,,,
1988-05,14.60M,,14.60M,,,230.00M,,,,423.50M,,,317.80M,985.90M,,,,,,,,2.139B,-762.60M,1.376B,,72.90M,72.90M,,,236.70M,1.686B,2.672B,,,,,,,,,,,,371.60M,,371.60M,,,,819.80M,1.191B,361.50M,,361.50M,407.10M,407.10M,,,,,,63.40M,832.00M,2.023B,,,1.068B,,,,,,648.50M,,,
1987-05,179.70M,,179.70M,,,236.70M,,,,388.60M,,,60.90M,865.90M,,,,,,,,1.939B,-689.60M,1.250B,,56.40M,56.40M,,,108.60M,1.414B,2.280B,,,,,,,,,,,,94.40M,,94.40M,,,,828.60M,923.00M,285.50M,,285.50M,282.60M,282.60M,,,,,,58.90M,627.00M,1.55B,,,924.10M,,,,,,730.40M,,,
1986-05,190.30M,,190.30M,,,220.00M,,,,350.90M,,,43.20M,804.40M,,,,,,,,1.711B,-626.10M,1.085B,,53.40M,53.40M,,,143.50M,1.282B,2.086B,,,,,,,,,,,,10.50M,,10.50M,,,,752.30M,762.80M,458.30M,,458.30M,127.80M,127.80M,,,,,,54.80M,640.90M,1.404B,,,812.90M,,,,,,682.50M,,,
1985-05,66.80M,,66.80M,,,284.50M,,,,377.70M,,,557.60M,1.287B,,,,,,,,1.486B,-530.00M,956.00M,,50.80M,50.80M,,,369.20M,1.376B,2.663B,,,,,,,,,,,,439.20M,,439.20M,,,,618.00M,1.057B,449.50M,,449.50M,90.60M,90.60M,,,,,,42.00M,582.10M,1.639B,,,1.202B,,,,,,1.023B,,,
1984-05,66.00M,,66.00M,,,550.60M,,,,661.70M,,,111.60M,1.390B,,,,,,,,1.829B,-599.80M,1.229B,,146.00M,146.00M,,,92.80M,1.468B,2.858B,,,,,,,,,,,,311.30M,,311.30M,,,,834.10M,1.145B,362.60M,,362.60M,76.50M,76.50M,,,,,,49.00M,488.10M,1.634B,,,1.375B,,,,,,1.225B,,,
