,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-09,22.51M,,-0.004M,9.841M,5.986M,15.83M,15.83M,1.183M,,,0.392M,87.99M,-10.48M,0.151M,,-8.069M,-50.34M,19.24M,,59.15M,,-4.241M,0.007M,-4.234M,,-3.012M,0.004M,-6.021M,-13.26M,,,-50.04M,1.432M,-31.33M,-29.90M,,-6.388M,,-0.296M,-86.62M,,65.56M,-40.73M,24.84M,,1.432M,,,-31.33M,,,,,
2008-06,24.92M,,1.164M,10.05M,5.715M,15.76M,15.76M,-3.248M,,,-1.024M,-88.07M,2.346M,-1.016M,,17.28M,113.97M,44.51M,,83.53M,,-9.565M,0.015M,45.29M,,-0.298M,-0.001M,0.00,-9.849M,,,-15.37M,4.738M,-32.53M,-27.79M,,-6.517M,,0.981M,-48.70M,,40.58M,24.99M,65.56M,,4.738M,,,-32.53M,,,,,Restated
2008-03,26.61M,,0.291M,10.40M,5.72M,16.12M,16.12M,7.732M,,,0.512M,2.196M,3.079M,1.453M,,-5.402M,-38.55M,-37.22M,,14.05M,,-12.55M,0.014M,-12.54M,,0.00,0.007M,-0.034M,-12.57M,,,46.87M,15.66M,-45.16M,-29.50M,,-6.549M,,0.14M,10.96M,,28.14M,12.44M,40.58M,,15.66M,,,-45.16M,,,,,
2007-12,29.15M,,-0.006M,10.21M,5.504M,15.72M,15.72M,0.00,,,0.368M,5.226M,0.215M,-0.628M,,-6.023M,-29.73M,-30.94M,,14.29M,,-17.40M,0.00,-17.40M,,-31.66M,0.00,0.00,-49.06M,,,38.00M,-7.23M,-18.13M,-25.36M,,-5.81M,,1.547M,8.374M,,54.53M,-26.39M,28.14M,,-7.23M,,,-18.13M,,,,,
2007-09,23.54M,,0.234M,9.533M,4.872M,14.40M,14.40M,0.836M,,,0.111M,77.73M,4.03M,-5.307M,,-5.854M,-40.60M,30.00M,,69.13M,,-15.32M,2.069M,-13.26M,,-17.36M,0.019M,-0.072M,-30.67M,,,-69.92M,7.23M,-5.183M,2.047M,,-5.807M,,1.141M,-72.54M,,88.62M,-34.09M,54.53M,,7.23M,,,-5.183M,,,,,
2007-06,29.10M,,0.048M,9.331M,4.256M,13.59M,13.59M,-7.93M,,,0.106M,-94.74M,-4.808M,7.001M,,26.28M,114.18M,47.91M,,82.82M,,-18.25M,,-18.23M,,0.082M,0.086M,0.008M,-18.05M,,,19.93M,7.777M,-27.04M,-19.27M,,-5.83M,,1.285M,-3.884M,,27.73M,60.89M,88.62M,,7.777M,,,-27.04M,,,,,
2007-03,26.38M,,0.059M,9.206M,4.303M,13.51M,13.51M,7.034M,,,0.484M,-1.241M,-1.947M,-3.681M,,-3.871M,-31.38M,-42.12M,,5.347M,,-11.10M,,-11.10M,,-3.409M,0.013M,0.101M,-14.40M,,,24.55M,12.12M,-23.34M,-11.22M,,-5.869M,,1.70M,9.156M,,27.62M,0.105M,27.73M,,12.12M,,,-23.34M,,,,,
2006-12,27.79M,,0.044M,8.827M,3.113M,11.94M,11.94M,3.14M,,,0.265M,5.604M,2.05M,2.804M,,5.612M,-34.63M,-18.56M,,24.61M,,-12.70M,,-12.70M,,-34.01M,0.636M,-0.034M,-46.11M,,,24.95M,6.268M,-28.20M,-21.93M,,-4.976M,,1.236M,-0.721M,,49.84M,-22.22M,27.62M,,6.268M,,,-28.20M,,,,,
2006-09,21.41M,,0.001M,9.063M,2.855M,11.92M,11.92M,1.995M,,,0.148M,61.53M,1.718M,-9.174M,,-4.494M,-23.59M,25.99M,,61.46M,,-12.88M,,-12.88M,,-1.974M,0.472M,0.034M,-14.35M,,,-50.04M,3.052M,-19.83M,-16.78M,,-5.01M,,0.419M,-71.41M,,74.14M,-24.30M,49.84M,,3.052M,,,-19.83M,,,,,
2006-06,25.41M,,-0.203M,8.753M,2.489M,11.24M,11.24M,2.514M,,,,-80.46M,-17.91M,8.27M,,96.18M,,16.64M,,56.05M,,-17.34M,4.226M,-13.11M,,-0.001M,-0.063M,0.034M,-13.14M,,,25.12M,3.372M,-29.24M,-25.87M,,-5.098M,,-1.728M,-7.577M,,38.80M,35.33M,74.14M,,3.372M,,,-29.24M,,,,,
2006-03,23.46M,,0.102M,8.513M,2.709M,11.22M,11.22M,2.653M,,,,3.53M,0.768M,-1.418M,,-34.16M,,-31.28M,,6.156M,,-17.06M,0.029M,-17.03M,,-1.567M,0.563M,0.011M,-18.02M,,,0.00,11.01M,0.00,11.01M,,-5.06M,,6.471M,12.42M,,38.25M,0.556M,38.80M,,11.01M,,,0.00,,,,,
2005-12,21.64M,,0.228M,8.112M,2.545M,10.66M,10.66M,1.564M,,,,-13.67M,-1.614M,1.676M,,-21.15M,,-34.76M,,-0.679M,,-19.03M,,-19.03M,,-19.18M,0.01M,4.147M,-34.05M,,,25.00M,2.769M,-6.242M,-3.473M,,-4.104M,,,17.42M,,55.56M,-17.31M,38.25M,,2.769M,,,-6.242M,,,,,
2005-09,19.42M,,0.142M,8.064M,2.589M,10.65M,10.65M,1.56M,,,,121.01M,0.13M,-10.16M,,-34.85M,,76.13M,,107.91M,,-8.047M,,-8.047M,,,0.008M,-3.935M,-11.97M,,,-45.00M,3.472M,-6.334M,-2.862M,,-4.121M,,,-51.98M,,11.61M,43.95M,55.56M,,3.472M,,,-6.334M,,,,,
2005-06,21.71M,,0.042M,7.895M,2.568M,10.46M,10.46M,0.23M,,,,-129.90M,-7.397M,7.979M,,100.03M,,-29.28M,,3.159M,,-24.62M,0.02M,-24.60M,,119.62M,0.007M,-122.71M,-27.68M,,,31.00M,3.242M,,-6.71M,,-4.11M,,,20.18M,,15.95M,-4.344M,11.61M,,3.242M,,,,,,,,
2005-03,19.43M,,-0.045M,7.337M,2.294M,9.631M,9.631M,2.115M,,,,6.669M,0.269M,-0.721M,,-26.44M,,-20.22M,,10.91M,,-9.858M,0.147M,-9.711M,,-9.706M,0.009M,-1.41M,-20.82M,,,4.00M,3.456M,,3.456M,,-4.107M,,,3.349M,,22.52M,-6.563M,15.95M,,3.456M,,,,,,,,
2004-12,17.69M,,0.779M,7.658M,2.202M,9.86M,9.86M,1.887M,,,,-6.407M,-3.345M,1.938M,,-15.87M,,-23.68M,,6.535M,,-11.08M,0.00,-11.08M,,-103.24M,0.005M,-1.601M,-115.92M,,,10.00M,5.686M,,5.686M,,-3.627M,,,12.06M,,119.84M,-97.33M,22.52M,,5.686M,,,,,,,,
2004-09,16.67M,,0.282M,6.905M,2.052M,8.957M,8.957M,1.043M,,,,94.62M,3.458M,-4.036M,,-33.32M,,60.72M,,87.68M,,-12.49M,0.003M,-12.48M,,-6.665M,0.003M,-1.491M,-20.64M,,,,2.661M,,2.661M,,-3.612M,,,-0.951M,,53.76M,66.09M,119.84M,,2.661M,,,,,,,,
2004-06,17.62M,,2.034M,6.882M,1.846M,8.728M,8.728M,-0.262M,,,,-102.37M,-2.453M,2.837M,,83.01M,,-18.98M,,9.14M,,-16.07M,-0.633M,-16.70M,,-27.70M,3.636M,-4.63M,-45.40M,,,,4.71M,,4.71M,,-3.593M,,,1.117M,,88.90M,-35.15M,53.76M,,4.71M,,,,,,,,
2004-03,16.32M,,0.027M,6.546M,1.74M,8.286M,8.286M,1.93M,,,,1.355M,2.337M,0.606M,,-19.30M,,-15.00M,,11.56M,,-8.143M,0.644M,-7.499M,,-20.58M,-3.632M,1.456M,-30.26M,,,,2.653M,,2.653M,,-3.585M,,,-0.932M,,108.54M,-19.63M,88.90M,,2.653M,,,,,,,,
2003-12,14.52M,,0.161M,6.954M,1.614M,8.568M,8.568M,1.825M,,,,-2.239M,0.69M,-1.989M,,-14.15M,,-17.69M,,7.388M,,-7.251M,0.96M,-6.291M,,,0.636M,-0.598M,-6.253M,,,,7.493M,,7.493M,,-3.124M,,,4.369M,,103.03M,5.504M,108.54M,,7.493M,,,,,,,,
2003-09,13.86M,,0.002M,6.408M,1.55M,7.958M,7.958M,2.095M,,,,85.36M,1.062M,-1.925M,,-23.68M,,60.81M,,84.72M,,-17.68M,,-17.68M,,,0.002M,-0.449M,-18.12M,,,,7.524M,,7.524M,,-3.106M,,,4.418M,,32.01M,71.02M,103.03M,,7.524M,,,,,,,,
2003-06,14.11M,,0.693M,6.274M,1.521M,7.795M,7.795M,2.89M,,,,-88.49M,-1.425M,1.671M,,74.86M,,-13.38M,,12.10M,,-11.50M,,-11.50M,,0.00,0.002M,-0.988M,-12.48M,,,,2.171M,0.00,2.171M,,-3.076M,,,-0.905M,,33.30M,-1.288M,32.01M,,2.171M,,,0.00,,,,,
2003-03,12.32M,,-0.024M,5.834M,1.522M,7.356M,7.356M,1.45M,,,,11.33M,0.796M,-1.983M,,-13.81M,,-3.671M,,17.43M,,-8.158M,,-8.158M,,-6.537M,0.003M,2.155M,-12.54M,,,,1.272M,0.00,1.272M,,-3.069M,,,-1.797M,,30.21M,3.093M,33.30M,,1.272M,,,0.00,,,,,
2002-12,11.68M,,-0.021M,6.144M,1.583M,7.727M,7.727M,1.70M,,,,-1.975M,-0.156M,-0.051M,,-9.508M,,-11.69M,,9.393M,,-8.566M,,-8.566M,,,0.003M,-7.174M,-15.74M,,,,0.225M,-2.271M,-2.046M,,-3.069M,,,-5.115M,,41.67M,-11.46M,30.21M,,0.225M,,,-2.271M,,,,,
2002-09,11.30M,,-0.006M,5.773M,1.543M,7.316M,7.316M,1.90M,,,,59.46M,0.138M,0.918M,,-21.08M,,39.43M,,59.94M,,-17.74M,,-17.74M,,,0.004M,0.018M,-17.72M,,,,0.647M,-15.89M,-15.25M,,-3.076M,,,-18.32M,,17.76M,23.90M,41.67M,,0.647M,,,-15.89M,,,,,
2002-06,15.86M,,0.018M,5.635M,1.57M,7.205M,7.205M,1.609M,,,,-54.48M,1.95M,-0.835M,,36.01M,,-17.36M,,7.332M,,-11.76M,,-11.76M,,0.00,0.005M,-0.80M,-12.55M,,,0.00,2.677M,-24.35M,-21.67M,,-3.154M,,,-24.82M,,47.81M,-30.04M,17.76M,,2.677M,,,-24.35M,,,,,
2002-03,13.56M,,0.41M,15.25M,5.015M,10.34M,10.34M,6.241M,,,-3.305M,14.39M,-0.458M,0.65M,,-8.772M,,5.811M,,33.06M,,-14.61M,,-14.61M,,-8.188M,-0.992M,0.547M,-23.24M,,,-0.27M,4.56M,0.00,4.56M,,-3.133M,,,1.157M,,36.83M,10.98M,47.81M,,4.56M,,,0.00,,,,,
2001-12,13.03M,,-0.35M,-4.57M,-1.777M,3.574M,3.574M,0.387M,,,3.305M,-13.28M,-6.268M,0.483M,,7.283M,,-11.78M,,8.17M,,-11.92M,,-11.92M,,-2.923M,1.00M,-1.016M,-14.86M,,,-0.023M,5.707M,-4.501M,1.206M,,-2.667M,,,-1.484M,,45.01M,-8.176M,36.83M,,5.707M,,,-4.501M,,,,,
2001-09,14.62M,,-0.136M,4.57M,1.777M,6.347M,6.347M,-0.444M,,,,38.51M,3.155M,-9.093M,,-11.58M,,21.00M,,41.38M,,-11.22M,,-11.22M,,,,-0.352M,-11.57M,,,-0.022M,1.514M,-2.207M,-0.693M,,-2.672M,,,-3.387M,,18.59M,26.42M,45.01M,,1.514M,,,-2.207M,,,,,
2001-06,15.53M,,0.01M,,,6.22M,6.22M,0.15M,,,,-54.23M,-11.78M,8.372M,,40.93M,,-16.70M,,5.207M,,-15.40M,,-15.40M,,,,0.048M,-15.34M,,,-0.02M,6.244M,,6.244M,,-2.652M,,,3.572M,,25.14M,-6.556M,18.59M,,6.244M,,,,,,,,
2001-03,15.34M,,0.07M,,,5.756M,5.756M,1.349M,,,,-2.613M,-10.29M,2.171M,5.716M,6.015M,,0.998M,,23.51M,,-13.72M,,-13.72M,,,,-0.421M,-14.14M,,,-0.028M,2.621M,,2.621M,,-2.646M,,,-0.053M,,15.83M,9.313M,25.14M,,2.621M,,,,,,,,
2000-12,12.88M,,0.023M,,,5.343M,5.343M,1.301M,,,,-14.78M,,0.833M,-3.833M,4.843M,,-12.94M,,6.611M,,-17.54M,,-17.54M,,,,-0.746M,-18.29M,,,-0.039M,9.254M,,9.254M,,-2.16M,,,7.055M,,20.45M,-4.622M,15.83M,,9.254M,,,,,,,,
2000-09,11.88M,,-0.106M,,,4.569M,4.569M,,,,,28.98M,,-2.785M,-1.883M,-3.171M,,21.15M,,37.49M,,-11.11M,,-11.11M,,,,0.047M,-11.07M,,,-70.54M,61.53M,,61.53M,,-2.146M,,,-11.16M,,5.186M,15.27M,20.45M,,61.53M,,,,,,,,
2000-06,11.10M,,0.171M,,,4.811M,4.811M,,,,0.264M,-33.59M,6.885M,1.71M,-9.451M,22.92M,,-11.53M,0.332M,7.552M,,-13.89M,,-13.89M,,-42.06M,0.088M,-0.465M,-56.33M,,,40.38M,2.862M,,2.862M,,-2.038M,,,40.94M,,13.02M,-7.839M,5.186M,,2.862M,,,,,,,,
2000-03,10.51M,,-0.301M,,,3.735M,3.735M,,,,-0.165M,18.72M,-6.885M,-2.73M,4.00M,-8.013M,,5.095M,0.00,18.87M,,43.17M,,43.17M,,-51.22M,5.673M,0.184M,-2.191M,,,-8.072M,2.625M,,2.625M,,-2.049M,,,-7.232M,,3.30M,9.449M,13.02M,,2.625M,,,,,,,,
1999-12,4.201M,,0.252M,,,3.943M,3.943M,,,,-0.167M,-21.81M,,4.874M,-2.387M,7.441M,,-11.88M,0.00,-3.653M,,-57.04M,,-57.04M,,50.24M,-0.005M,-0.404M,-7.206M,,,12.50M,0.69M,,0.69M,,-1.59M,,-0.264M,11.34M,,3.099M,0.477M,3.30M,,0.69M,,,,,,,,
1999-09,8.207M,,-1.052M,,,2.984M,2.984M,,,,0.332M,24.81M,,-0.774M,-1.613M,-6.541M,,15.88M,0.70M,27.05M,,-4.862M,,-4.862M,,-50.24M,3.605M,-0.196M,-51.69M,,,25.00M,0.71M,,0.71M,,-1.61M,,0.264M,24.36M,,3.376M,-0.277M,3.099M,,0.71M,,,,,,,,
1999-06,8.569M,,0.071M,,,1.694M,1.694M,,,,-0.758M,-31.45M,,5.658M,-3.865M,21.80M,,-7.859M,0.677M,2.551M,,-7.449M,-0.004M,-7.453M,,2.224M,-0.186M,-7.851M,-13.27M,,,0.793M,0.77M,0.006M,0.776M,,-1.613M,,,-0.044M,,14.08M,-10.76M,3.376M,,0.77M,,,0.006M,,,,,
1999-03,7.699M,,-0.371M,,,2.307M,2.307M,,,,0.658M,7.307M,,-4.866M,0.368M,-10.31M,,-7.497M,-0.006M,2.79M,,-8.935M,0.004M,-8.931M,,-8.129M,-5.022M,-0.162M,-22.24M,,,-0.122M,0.559M,-0.006M,0.553M,,-1.575M,,,-1.144M,,34.70M,-20.60M,14.08M,,0.559M,,,-0.006M,,,,,
1998-12,6.90M,,0.20M,,,2.10M,2.10M,,,,0.10M,1.00M,,-3.50M,-1.30M,-2.50M,,-6.30M,-0.20M,2.80M,,-8.60M,,-8.60M,,,1.60M,-0.20M,-7.20M,,,-0.10M,0.90M,,0.90M,,-1.30M,,0.10M,-0.40M,,39.50M,-4.80M,34.70M,,0.90M,,,,,,,,
1998-09,8.80M,,0.10M,,,1.80M,1.80M,,,,,14.60M,,-0.60M,-1.60M,6.10M,,18.50M,-0.10M,29.10M,,-13.90M,,-13.90M,,,,,-13.90M,,,-0.60M,1.50M,,1.50M,,-1.20M,,-0.10M,-0.40M,,24.70M,14.80M,39.50M,,1.50M,,,,,,,,
1998-06,7.837M,,,,,1.762M,1.762M,,,,-0.40M,-22.52M,,3.232M,-0.514M,15.37M,,-4.427M,0.871M,5.732M,,-4.049M,-0.10M,-4.149M,,,-0.277M,0.373M,-5.099M,,,0.229M,0.364M,0.40M,0.764M,,-1.228M,,,-0.235M,,0.00,0.398M,24.73M,,0.364M,,,0.40M,,,,,
1998-03,5.50M,,,,,4.60M,4.60M,,,,-6.40M,10.30M,,-1.70M,-2.30M,-6.70M,,-0.40M,-0.30M,3.00M,,-1.50M,0.00,-1.50M,,,0.50M,-0.90M,-1.90M,,,0.00,0.70M,0.00,0.70M,,-1.20M,,,-0.50M,,0.00,0.60M,0.00,,0.70M,,,0.00,,,,,
1997-12,6.10M,,,,,,,,,,-3.60M,,,,,,,,-0.10M,2.40M,,-3.00M,0.00,-3.00M,,,0.40M,0.00,-2.60M,,,0.00,0.30M,-0.40M,-0.10M,,-1.10M,,0.10M,-1.10M,,0.00,-1.30M,0.00,,0.30M,,,-0.40M,,,,,
1997-09,4.10M,,,,,,,,,,10.40M,,,,,,,,-0.40M,14.10M,,-1.40M,0.10M,-1.30M,,,2.00M,-0.10M,0.60M,,,-0.10M,0.30M,,0.30M,,-1.00M,,-0.10M,-0.90M,,7.90M,13.80M,0.00,,0.30M,,,,,,,,
1997-06,6.70M,,,,,,,,,,-3.70M,,,,,,,,-0.40M,4.10M,,-6.90M,,-6.90M,,,0.00,-2.60M,-9.50M,,,-3.40M,16.60M,-3.50M,13.10M,,-1.00M,,-0.10M,8.60M,,0.00,3.20M,11.10M,,16.60M,,,-3.50M,,,,,
1997-03,3.70M,,,,,,,,,,-0.90M,,,,,,,,-0.10M,2.70M,,-1.90M,,-1.90M,,,1.10M,0.00,-0.80M,,,0.00,0.30M,-0.40M,-0.10M,,-0.90M,,-0.10M,-1.10M,,0.00,0.80M,0.00,,0.30M,,,-0.40M,,,,,
1996-12,3.60M,,,,,,,,,,-1.70M,,,,,,,,-0.20M,1.70M,,-1.40M,,-1.40M,,,-4.00M,0.00,-5.40M,,,0.00,0.60M,-1.20M,-0.60M,,-0.90M,,0.20M,-1.30M,,0.00,-5.00M,0.00,,0.60M,,,-1.20M,,,,,
1996-09,3.80M,,,,,,,,,,6.90M,,,,,,,,-0.10M,10.60M,,-3.50M,,-3.50M,,,,-0.40M,-3.90M,,,-0.10M,0.30M,-0.30M,0.00,,-0.80M,,-0.10M,-1.00M,,5.00M,5.70M,0.00,,0.30M,,,-0.30M,,,,,
1996-06,1.10M,,,,,,,,,,-1.30M,,,,,,,,,2.30M,,-0.60M,,-0.60M,,,0.40M,-1.00M,-1.20M,,,,1.00M,-0.70M,0.30M,,-0.80M,,-0.10M,-0.60M,,0.00,0.50M,0.00,,1.00M,,,-0.70M,,,,,
1996-03,2.70M,,,,,,,,,,-1.10M,,,,,,,,,1.60M,,4.30M,,4.30M,,,0.00,-6.00M,-1.70M,,,,0.10M,0.00,0.10M,,-0.80M,,0.00,-0.70M,,0.00,-0.80M,0.00,,0.10M,,,0.00,,,,,
1995-12,2.80M,,,,,,,,,,-1.40M,,,,,,,,,1.40M,,-1.20M,,-1.20M,,,1.00M,-0.10M,-0.30M,,,,0.10M,-0.10M,0.00,,-0.70M,,0.00,-0.70M,,0.00,0.40M,0.00,,0.10M,,,-0.10M,,,,,
1995-09,3.10M,,,,,,,,,,6.30M,,,,,,,,,9.40M,,-7.50M,,-7.50M,,,1.00M,-0.10M,-6.60M,,,,0.20M,-0.80M,-0.60M,,-0.70M,,0.10M,-1.20M,,3.40M,1.60M,0.00,,0.20M,,,-0.80M,,,,,
1995-06,2.40M,,0.10M,,,,,,,,5.30M,-35.20M,,26.60M,,,,-8.50M,,1.80M,,-2.10M,,-2.10M,,,6.50M,-5.30M,-0.90M,,,,0.10M,,0.10M,,-0.70M,,,-0.60M,,0.00,0.30M,0.00,,0.10M,,,,,,,,
1995-03,1.80M,,,,,,,,,,-1.80M,9.60M,,-8.20M,,,,1.40M,,1.40M,,-0.40M,,-0.40M,,,0.00,0.00,-0.40M,,,,0.00,,0.00,,-0.60M,,,-0.60M,,0.00,0.40M,0.00,,0.00,,,,,,,,
1994-12,2.00M,,-4.30M,,,,,,,,-3.70M,23.00M,,-16.60M,,,,6.40M,,0.40M,,-2.30M,,-2.30M,,,1.90M,-0.20M,-0.60M,,,,0.10M,,0.10M,,-0.60M,,,-0.50M,,0.00,-0.70M,0.00,,0.10M,,,,,,,,
1994-09,1.80M,,4.30M,,,,,,,,,,,,,,,,,6.10M,,-0.60M,,-0.60M,,,-3.40M,,-4.00M,,,,,,,,-0.60M,,,-0.60M,,1.90M,1.50M,0.00,,,,,,,,,,
1994-06,1.90M,,-0.70M,,,,,,,,,,,,,,,,,1.20M,,-0.90M,,-0.90M,,,0.20M,,-0.70M,,,,0.10M,,0.10M,,-0.50M,,,-1.20M,,0.00,-0.70M,0.00,,0.10M,,,,,,,,
1994-03,1.30M,,-2.10M,,,,,1.00M,,,,,,,,,,,,0.20M,,-0.40M,,-0.40M,,,0.10M,,-0.30M,,,,0.30M,,0.30M,,-0.60M,,,-0.30M,,0.00,-0.40M,0.00,,0.30M,,,,,,,,
1993-12,1.70M,,0.50M,,,,,-1.00M,,,,,,,,,,,,1.20M,,-0.90M,,-0.90M,,,-0.10M,0.90M,-0.10M,,,,0.00,,0.00,,-0.50M,,0.10M,-0.40M,,0.00,0.70M,0.00,,0.00,,,,,,,,
1993-09,1.40M,,2.80M,,,,,,,,,,,,,,,,,4.20M,,-0.20M,,-0.20M,,,-5.20M,-0.90M,-6.30M,,,,0.20M,,0.20M,,-0.50M,,-0.10M,-0.40M,,4.80M,-2.50M,0.00,,0.20M,,,,,,,,
1993-06,1.60M,,0.00,,,,,,,,,,,,,,,,0.00,1.60M,,3.50M,-0.10M,3.40M,,,-0.80M,-2.90M,-0.30M,,,,-0.40M,,-0.40M,,1.30M,,,-0.40M,,0.00,0.90M,0.00,,-0.40M,,,,,,,,
1993-03,1.40M,,1.40M,,,,,,,,,,,,,,,,-2.90M,-0.10M,,-0.60M,0.10M,-0.50M,,,-1.20M,-0.20M,-1.90M,,,,0.30M,,0.30M,,-0.40M,,,-0.10M,,0.00,-2.10M,0.00,,0.30M,,,,,,,,
1992-12,1.30M,,2.50M,,,,,,,,,,,,,-2.70M,,-2.70M,3.00M,4.10M,,-0.30M,,-0.30M,,,-0.10M,-1.40M,-1.80M,,,,0.10M,,0.10M,,-0.50M,,,-0.40M,,0.00,1.90M,0.00,,0.10M,,,,,,,,
1992-09,1.10M,,,,,,,,,,,,,,,2.70M,,2.70M,,3.80M,,-2.60M,,-2.60M,,,2.10M,-0.30M,-0.80M,,,,,,,,-0.40M,,,-0.40M,,1.50M,2.60M,0.00,,,,,,,,,,
1992-06,1.20M,,,,,,,,,,-5.70M,3.50M,,0.50M,-2.00M,1.70M,,3.70M,,0.70M,,0.60M,,0.60M,,,1.50M,-1.80M,0.30M,,,,-0.30M,,-0.30M,,1.10M,,-0.80M,0.00,,0.00,1.00M,0.00,,-0.30M,,,,,,,,
1992-03,1.00M,,,,,,,,,,7.50M,-17.90M,,8.30M,2.00M,-0.50M,,-8.10M,,0.40M,,-0.30M,,-0.30M,,,-0.40M,-2.40M,-3.10M,,,,0.30M,,0.30M,,-0.70M,,0.00,-0.40M,,0.00,-3.10M,0.00,,0.30M,,,,,,,,
1991-12,0.90M,,,,,,,,,,-0.90M,5.60M,,-3.50M,,-1.10M,,1.00M,,1.00M,,-0.20M,,-0.20M,,,0.40M,0.00,0.20M,,,,,,,,0.00,,0.00,0.00,,0.00,1.20M,0.00,,,,,,,,,,
1991-09,0.90M,,,,,,,,,,-0.90M,8.80M,,-5.30M,,-0.10M,,3.40M,,3.40M,,-0.10M,,-0.10M,,,-1.50M,-0.10M,-1.70M,,,,,,,,-0.40M,,0.10M,-0.30M,,1.10M,1.40M,0.00,,,,,,,,,,
1991-06,0.40M,,,,,,,,,,4.60M,-15.50M,,11.10M,,0.20M,,-4.20M,,0.80M,,0.10M,,0.10M,,,3.30M,,-0.10M,,,,0.10M,1.30M,1.40M,,,,,-0.40M,,0.00,0.30M,0.00,,0.10M,,,1.30M,,,,,
1991-03,0.60M,,,,,,,,,,-0.70M,4.10M,,-3.80M,,-0.20M,,0.10M,,0.00,,0.00,,0.00,,,0.00,,0.00,,,0.10M,-0.10M,-1.30M,-1.40M,,1.00M,,,-0.30M,,0.00,-0.30M,0.00,,-0.10M,,,-1.30M,,,,,
1990-12,0.60M,,,,,,,,,,-0.50M,4.60M,,-3.80M,,-0.70M,,0.10M,,0.20M,,-0.10M,,-0.10M,,,-3.30M,,-3.40M,,,1.90M,,,,,-1.00M,,,0.90M,,0.00,-2.30M,0.00,,,,,,,,,,
1990-09,0.60M,,,,,,,,,,-0.70M,6.80M,,-3.50M,,0.70M,,4.00M,,3.90M,,,,,,,,,0.00,,,-2.00M,,,,,,,,-2.00M,,1.60M,1.90M,0.00,,,,,,,,,,
1990-06,-1.20M,,,,,,,,,,0.50M,-14.60M,,8.50M,,3.30M,,-2.80M,,-0.40M,,-0.30M,,-0.30M,,,0.00,0.10M,-0.20M,,,-0.10M,,0.00,0.00,,,,0.10M,0.00,,0.00,-0.60M,0.00,,,,,0.00,,,,,
1990-03,0.30M,,,,,,,,,,-0.50M,12.50M,,-9.00M,,-3.30M,,0.20M,,0.00,,-0.10M,,-0.10M,,,0.00,-0.10M,-0.20M,,,0.10M,,0.00,0.00,,,,-0.20M,-0.10M,,0.00,-0.30M,0.00,,,,,0.00,,,,,
1989-12,0.10M,,,,,,,,,,-1.60M,,,,,3.30M,,3.30M,,1.80M,,-0.20M,,-0.20M,,,0.60M,0.00,0.40M,,,-0.80M,,-0.20M,-0.20M,,,,0.10M,-0.90M,,0.00,1.30M,0.00,,,,,-0.20M,,,,,
1989-09,0.20M,,,,,,,,,,1.60M,,,,,,,,,1.80M,,-0.30M,,-0.30M,,,-0.60M,0.10M,-0.80M,,,,,,,,,,,0.00,,0.20M,1.00M,0.00,,,,,,,,,,
