,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-09,264.90M,,264.90M,589.70M,,,589.70M,234.90M,51.10M,263.10M,471.20M,,,52.90M,1.379B,0.00,45.90M,618.70M,1.152B,,1.816B,-1.241B,575.40M,985.10M,205.30M,1.190B,,,,101.40M,1.867B,3.246B,,292.00M,,,,292.00M,234.00M,526.00M,,,201.80M,,201.80M,,,67.90M,795.70M,860.20M,,860.20M,61.70M,61.70M,,12.30M,127.50M,1.049B,1.845B,,2.00M,2.079B,456.00M,1.224B,,,,75.20M,1.388B,,AOR,Restated
2012-06,254.50M,,254.50M,511.70M,4.30M,34.80M,557.60M,252.70M,55.80M,292.70M,517.60M,,,53.70M,1.383B,0.00,45.90M,614.10M,1.130B,,1.790B,-1.209B,581.10M,976.60M,209.10M,1.186B,,,,73.20M,1.84B,3.223B,,320.20M,,,,320.20M,223.30M,543.50M,,,201.90M,,201.90M,,,118.70M,864.10M,821.00M,,821.00M,60.40M,60.40M,,11.40M,130.90M,1.012B,1.876B,,2.00M,2.056B,455.20M,1.233B,,,,55.40M,1.336B,,AOR,Restated
2012-03,261.20M,,261.20M,540.80M,8.80M,,571.60M,228.80M,51.50M,279.20M,473.30M,,,44.10M,1.350B,0.00,46.70M,608.30M,1.146B,,1.801B,-1.209B,592.40M,985.10M,215.40M,1.200B,,,,69.60M,1.862B,3.213B,,298.20M,,,,298.20M,218.50M,516.70M,,,2.50M,,2.50M,,,106.90M,626.10M,1.047B,,1.047B,64.50M,64.50M,,11.00M,132.10M,1.243B,1.870B,,2.00M,2.031B,453.50M,1.240B,2.00M,,,85.10M,1.332B,,AOR,Restated
2011-12,236.30M,,236.30M,439.40M,7.40M,27.70M,503.60M,223.90M,41.50M,261.30M,441.00M,,,43.10M,1.224B,0.00,45.20M,608.50M,1.120B,,1.774B,-1.193B,580.60M,926.60M,116.60M,1.043B,6.80M,13.40M,11.00M,36.10M,1.691B,2.915B,,256.60M,39.00M,21.90M,48.90M,366.40M,89.70M,456.10M,,2.50M,2.50M,,2.50M,10.30M,10.30M,58.70M,586.00M,833.30M,,833.30M,92.60M,109.20M,71.80M,10.50M,7.10M,1.021B,1.607B,,2.00M,2.027B,456.90M,1.254B,,,,65.20M,1.297B,,AOR,Restated
2011-09,218.80M,,218.80M,576.70M,,,576.70M,231.20M,45.10M,259.90M,456.50M,,,39.30M,1.291B,0.00,45.50M,616.10M,1.143B,,1.805B,-1.204B,600.90M,924.80M,139.70M,1.064B,,,,65.60M,1.731B,3.022B,,274.20M,,,,274.20M,218.90M,493.10M,,,2.10M,,2.10M,,,108.80M,604.00M,897.30M,,897.30M,69.70M,69.70M,,9.90M,113.20M,1.080B,1.684B,,2.00M,2.059B,452.30M,1.261B,,,,76.40M,1.328B,,AOR,Restated
2011-06,203.30M,,203.30M,499.70M,14.50M,30.10M,567.90M,246.80M,49.90M,291.10M,507.10M,,,39.60M,1.318B,0.00,47.10M,623.30M,1.159B,,1.830B,-1.212B,618.00M,946.70M,143.30M,1.09B,,,,68.80M,1.777B,3.095B,,282.30M,,,,282.30M,215.10M,497.40M,,,2.20M,,2.20M,,,78.20M,577.80M,856.60M,,856.60M,76.40M,76.40M,,19.60M,129.20M,1.062B,1.64B,,2.00M,2.054B,458.60M,1.214B,,,,135.30M,1.435B,,AOR,Restated
2011-03,195.40M,,195.40M,507.10M,14.80M,29.10M,575.60M,227.90M,59.00M,252.50M,462.20M,,,57.20M,1.290B,0.00,46.40M,621.10M,1.146B,,1.814B,-1.198B,616.10M,940.20M,147.90M,1.088B,,,,72.30M,1.776B,3.067B,,301.80M,,,,301.80M,206.90M,508.70M,,,2.20M,,2.20M,,,74.80M,585.70M,821.90M,,821.90M,74.00M,74.00M,,18.60M,127.50M,1.023B,1.609B,,2.00M,2.038B,455.80M,1.181B,,,,124.20M,1.439B,,AOR,Restated
2010-12,244.50M,0.00,244.50M,478.90M,,,478.90M,218.20M,47.70M,241.10M,435.30M,,,60.40M,1.219B,0.00,48.50M,613.00M,1.137B,,1.798B,-1.174B,624.20M,930.30M,152.30M,1.083B,,,,20.40M,1.782B,3.001B,,226.40M,,,,226.40M,209.50M,435.90M,,,2.20M,,2.20M,,,84.90M,523.00M,762.20M,,762.20M,69.50M,86.80M,,17.10M,104.60M,953.60M,1.477B,,2.00M,2.033B,463.20M,1.093B,2.00M,,,101.80M,1.507B,,AOR,Restated
2010-09,276.70M,0.00,276.70M,522.50M,,47.80M,546.60M,237.80M,50.90M,226.50M,448.90M,,,36.20M,1.308B,0.00,47.50M,607.40M,1.120B,,1.775B,-1.154B,621.30M,916.10M,156.00M,1.072B,,,,77.50M,1.771B,3.079B,,232.10M,,,,232.10M,214.60M,446.70M,,,9.80M,,9.80M,,,93.40M,549.90M,833.50M,,833.50M,58.60M,58.60M,,23.90M,121.80M,1.014B,1.564B,,2.00M,2.039B,472.80M,1.086B,,,,63.50M,1.492B,,AOR,Restated
2010-06,243.50M,18.70M,262.20M,507.00M,,54.40M,537.20M,224.90M,53.70M,233.90M,451.50M,,,56.10M,1.307B,0.00,47.60M,597.10M,1.111B,,1.756B,-1.131B,624.60M,904.20M,160.40M,1.065B,,,,83.10M,1.772B,3.079B,,256.90M,,,,256.90M,224.60M,481.50M,,,10.00M,,10.00M,,,80.10M,571.60M,854.80M,,854.80M,46.80M,46.80M,,23.10M,117.80M,1.019B,1.591B,,2.00M,2.032B,471.40M,1.083B,,,,42.70M,1.465B,,AOR,Restated
2010-03,247.20M,16.80M,264.00M,545.40M,,,523.90M,219.80M,48.00M,229.60M,438.60M,,,53.00M,1.280B,,,,,,1.770B,-1.129B,641.40M,922.10M,165.40M,1.088B,,,,82.30M,1.811B,3.091B,,240.60M,,,,240.60M,235.00M,475.60M,,,10.00M,,10.00M,,,81.10M,566.70M,822.20M,,822.20M,50.40M,50.40M,,21.60M,111.90M,984.50M,1.551B,,2.00M,2.019B,467.40M,1.052B,,,,81.40M,1.518B,,AOR,Restated
2009-12,260.50M,16.40M,276.90M,469.50M,,,469.50M,201.20M,44.70M,221.90M,409.10M,,,58.10M,1.214B,0.00,49.60M,612.80M,1.128B,,1.790B,-1.122B,668.60M,928.20M,171.10M,1.099B,,,,40.10M,1.848B,3.061B,,199.40M,,,,199.40M,229.70M,429.10M,,,10.10M,,10.10M,,,95.90M,535.10M,789.30M,,789.30M,49.00M,66.90M,,21.50M,94.40M,950.60M,1.486B,,2.00M,2.013B,467.70M,1.034B,2.00M,,,104.80M,1.554B,,AOR,Restated
2009-09,221.50M,18.50M,240.00M,575.90M,,,548.70M,200.40M,49.70M,220.80M,397.40M,,,64.80M,1.251B,,,,,,1.785B,-1.121B,664.00M,917.90M,176.20M,1.094B,,,,86.40M,1.844B,3.095B,,209.30M,,,,209.30M,243.80M,453.10M,,,1.90M,,1.90M,,,84.10M,539.10M,772.40M,,772.40M,45.40M,45.40M,,19.50M,109.60M,927.40M,1.466B,,2.00M,2.018B,471.50M,965.70M,,,,83.80M,1.609B,,AOR,Restated
2009-06,222.20M,25.30M,247.50M,526.50M,,,492.70M,211.00M,41.90M,247.80M,411.10M,,,68.90M,1.220B,,,,,,1.786B,-1.100B,685.60M,905.80M,181.20M,1.087B,,,,76.60M,1.849B,3.069B,,186.40M,,,,186.40M,220.00M,406.40M,,,17.00M,,17.00M,,,78.90M,502.30M,772.80M,,772.80M,26.80M,26.80M,,19.40M,101.80M,901.40M,1.404B,,2.00M,2.004B,469.50M,891.80M,,,,62.30M,1.646B,,AOR,Restated
2009-03,160.20M,27.90M,188.10M,526.20M,,,493.00M,244.30M,44.10M,274.60M,452.70M,,,69.60M,1.203B,,,,,,1.736B,-1.064B,671.40M,880.90M,182.40M,1.063B,,,,82.50M,1.817B,3.021B,,159.90M,,,,159.90M,210.50M,370.40M,,,17.10M,,17.10M,,,101.60M,489.10M,793.20M,,793.20M,19.40M,19.40M,,17.70M,97.90M,910.50M,1.400B,,2.00M,2.025B,468.80M,889.60M,,,,-3.30M,1.603B,,AOR,Restated
2008-12,164.70M,,164.70M,550.50M,,,550.50M,266.10M,46.80M,309.40M,495.00M,,,96.60M,1.307B,0.00,44.70M,592.70M,1.103B,,1.741B,-1.059B,681.40M,875.60M,197.40M,1.073B,,,,100.20M,1.855B,3.162B,,175.30M,,,,175.30M,234.90M,410.20M,,,22.40M,,22.40M,,,91.60M,524.20M,851.20M,,851.20M,17.20M,17.20M,,,116.30M,984.70M,1.509B,,2.00M,2.062B,496.10M,918.60M,,,,11.40M,1.653B,,AOR,
2008-09,211.40M,,211.40M,743.10M,,,743.10M,328.00M,66.60M,351.20M,644.80M,,,115.20M,1.714B,,,,,,1.833B,-1.110B,722.40M,922.70M,220.50M,1.143B,,,,150.40M,2.016B,3.730B,,271.40M,,,,271.40M,251.50M,522.90M,,,17.10M,,17.10M,,,145.80M,685.80M,998.20M,,998.20M,39.10M,39.10M,,,107.90M,1.145B,1.831B,,2.00M,2.120B,496.20M,902.90M,,184.10M,,184.10M,1.900B,,,Restated
2008-06,203.10M,,203.10M,683.60M,,,683.60M,304.90M,83.10M,362.40M,669.20M,,,410.00M,1.966B,,,,,,1.848B,-1.109B,739.60M,938.70M,223.70M,1.162B,,,,350.70M,2.253B,4.219B,,278.80M,,,,278.80M,258.30M,537.10M,,,11.40M,,11.40M,,,196.90M,745.40M,1.228B,,1.228B,55.40M,55.40M,,,109.30M,1.393B,2.138B,,2.00M,2.128B,496.00M,756.20M,,217.60M,-6.60M,211.00M,2.081B,,,Restated
2008-03,188.10M,,188.10M,666.40M,,,666.40M,258.70M,65.40M,342.10M,599.20M,,,416.90M,1.871B,,,,,,1.827B,-1.091B,736.40M,927.90M,227.50M,1.155B,,,,340.60M,2.232B,4.103B,,242.20M,,,,242.20M,257.20M,499.40M,,,74.20M,,74.20M,,,198.90M,772.50M,1.096B,,1.096B,44.70M,44.70M,,,102.80M,1.243B,2.016B,,2.00M,2.124B,491.10M,712.10M,,189.10M,-6.40M,182.70M,2.087B,,,Restated
2007-12,205.40M,,205.40M,640.20M,,,640.20M,260.40M,54.20M,348.30M,599.20M,,,389.60M,1.834B,0.00,49.70M,603.60M,1.158B,,1.811B,-1.084B,726.90M,931.30M,232.20M,1.164B,,,,312.50M,2.238B,4.072B,,227.60M,,,,227.60M,258.70M,486.30M,,,88.70M,,88.70M,,,224.60M,799.60M,1.001B,,1.001B,42.30M,42.30M,,,97.30M,1.140B,1.940B,,2.00M,2.122B,500.00M,685.10M,,,,193.50M,2.133B,,,Restated
2007-09,188.30M,,188.30M,857.60M,,,857.60M,323.70M,82.50M,413.30M,754.10M,,,85.00M,1.885B,,,,,,2.373B,-1.408B,964.70M,1.193B,223.40M,1.416B,,,,76.00M,2.457B,4.342B,,269.80M,,,,269.80M,285.60M,555.40M,,,92.30M,,92.30M,,,107.80M,755.50M,1.068B,,1.068B,56.10M,56.10M,,,116.00M,1.240B,1.995B,,2.00M,2.378B,494.00M,660.70M,,161.50M,-27.60M,133.90M,2.347B,,,
2007-06,168.20M,,168.20M,848.20M,,,848.20M,346.50M,86.80M,446.20M,811.80M,,,96.50M,1.925B,,,,,,2.330B,-1.367B,962.90M,1.169B,242.90M,1.412B,,,,78.80M,2.454B,4.378B,,290.40M,,,,290.40M,272.60M,563.00M,,,82.80M,,82.80M,,,113.90M,759.70M,1.055B,,1.055B,61.30M,61.30M,,,113.10M,1.229B,1.989B,,2.00M,2.343B,494.00M,565.40M,,142.20M,-26.70M,115.50M,2.390B,,,
2007-03,234.60M,,234.60M,851.00M,,,851.00M,345.10M,91.80M,440.10M,808.00M,,,87.80M,1.981B,,,,,,2.318B,-1.353B,965.00M,1.159B,245.40M,1.404B,,,,83.50M,2.453B,4.434B,,272.10M,,,,272.10M,295.90M,568.00M,,,49.20M,,49.20M,,,121.70M,738.90M,1.139B,,1.139B,65.90M,65.90M,,,109.60M,1.315B,2.054B,,2.00M,2.316B,489.30M,504.90M,,105.80M,-27.20M,78.60M,2.381B,,,
2006-12,131.90M,,131.90M,853.80M,,,853.80M,370.90M,97.90M,428.60M,826.30M,,,82.10M,1.894B,0.00,70.10M,723.30M,1.537B,,2.330B,-1.367B,962.80M,1.149B,182.90M,1.332B,,,,76.20M,2.371B,4.265B,,259.00M,,,,259.00M,268.00M,527.00M,,,52.00M,,52.00M,,,112.20M,691.20M,1.06B,,1.06B,67.10M,67.10M,,,95.90M,1.223B,1.914B,,2.00M,2.271B,493.40M,490.60M,,104.50M,-28.90M,75.60M,2.351B,,,
2006-09,94.10M,,94.10M,946.10M,,,946.10M,370.70M,107.20M,396.70M,806.90M,,,100.60M,1.948B,,,,,,2.322B,-1.360B,962.50M,1.145B,168.40M,1.313B,,,,90.70M,2.366B,4.314B,,287.80M,,,,287.80M,296.10M,583.90M,,,51.00M,,51.00M,,,127.10M,762.00M,1.049B,,1.049B,67.90M,67.90M,,,88.70M,1.205B,1.967B,,2.00M,2.232B,486.20M,463.60M,,100.80M,-10.30M,90.50M,2.347B,,,
2006-06,94.80M,,94.80M,908.50M,,,908.50M,349.00M,104.60M,418.30M,806.20M,,,97.90M,1.907B,,,,,,2.324B,-1.354B,970.40M,1.140B,176.90M,1.316B,,,,81.90M,2.369B,4.276B,,291.80M,,,,291.80M,286.70M,578.50M,,,50.70M,,50.70M,,,125.20M,754.40M,1.032B,,1.032B,71.40M,71.40M,,,90.30M,1.194B,1.948B,,2.00M,2.179B,480.60M,422.40M,,,,89.00M,2.328B,,,
2006-03,130.30M,,130.30M,867.50M,,,867.50M,330.40M,104.30M,400.60M,771.60M,,,93.30M,1.863B,,,,,,2.298B,-1.336B,962.70M,1.107B,134.50M,1.242B,,,,81.00M,2.285B,4.148B,,283.10M,,,,283.10M,305.70M,588.80M,,,98.70M,,98.70M,,,116.30M,803.80M,920.90M,,920.90M,55.60M,55.60M,,,88.50M,1.065B,1.869B,,2.00M,2.126B,469.40M,384.50M,,,,66.70M,2.279B,,,
2005-12,64.90M,,64.90M,847.60M,,,847.60M,341.90M,97.70M,391.20M,767.10M,,,82.90M,1.762B,0.00,70.80M,716.00M,1.494B,,2.281B,-1.310B,971.10M,1.102B,133.50M,1.236B,,,,102.80M,2.310B,4.072B,,254.20M,,,,254.20M,279.30M,533.50M,,,98.60M,,98.60M,,,113.70M,745.80M,921.60M,,921.60M,71.40M,71.40M,,,84.60M,1.078B,1.823B,,2.00M,2.093B,464.40M,376.80M,,71.30M,-5.00M,66.30M,2.249B,,,
2005-09,251.80M,,251.80M,879.50M,,,879.50M,340.80M,100.80M,379.10M,759.10M,,,86.20M,1.977B,,,,,,2.241B,-1.292B,949.60M,1.047B,82.30M,1.129B,,,,80.80M,2.160B,4.136B,,278.40M,,,,278.40M,279.20M,557.60M,,,96.80M,,96.80M,,,112.50M,766.90M,898.00M,,898.00M,147.80M,147.80M,,,,1.046B,1.813B,,2.00M,2.078B,461.10M,295.10M,,,,78.20M,2.324B,,,
2005-06,71.40M,,71.40M,825.90M,,,825.90M,358.30M,93.30M,419.00M,803.00M,,,82.90M,1.783B,,,,,,2.204B,-1.251B,953.90M,1.030B,90.70M,1.120B,,,,76.50M,2.151B,3.934B,,263.90M,,,,263.90M,249.50M,513.40M,,,95.30M,,95.30M,,,98.80M,707.50M,765.00M,,765.00M,143.50M,143.50M,,,,908.50M,1.616B,,2.00M,2.054B,457.30M,254.10M,,,,58.80M,2.318B,,,
2005-03,143.00M,,143.00M,831.60M,,,831.60M,364.80M,96.20M,388.00M,761.40M,,,67.10M,1.803B,,,,,,2.181B,-1.233B,948.00M,1.026B,69.60M,1.095B,,,,76.50M,2.120B,3.923B,,266.10M,,,,266.10M,253.10M,519.20M,,,47.50M,,47.50M,,,108.20M,674.90M,776.40M,,776.40M,146.80M,146.80M,,,,923.20M,1.598B,,2.00M,2.006B,453.70M,215.60M,,,,79.10M,2.325B,,,
2004-12,491.30M,,491.30M,790.70M,,,790.70M,331.60M,96.70M,365.00M,705.70M,,,77.10M,2.065B,0.00,65.00M,681.10M,1.415B,,2.161B,-1.201B,960.70M,,1.097B,1.097B,,,,74.40M,2.132B,4.197B,,224.40M,,,,224.40M,239.50M,463.90M,,,401.30M,,401.30M,,,94.40M,959.60M,779.40M,,779.40M,145.10M,145.10M,,,,924.50M,1.884B,,2.00M,1.962B,452.50M,185.20M,,89.60M,-7.30M,82.30M,2.313B,,,
2004-09,307.00M,,307.00M,828.20M,,,828.20M,324.80M,98.20M,361.90M,717.30M,,,73.90M,1.926B,,,,,,2.112B,-1.170B,942.70M,1.012B,61.60M,1.074B,,,,77.40M,2.094B,4.020B,,269.50M,,,,269.50M,253.10M,522.60M,,,390.10M,,390.10M,,,111.60M,1.024B,619.20M,,619.20M,,,,,139.70M,758.90M,1.783B,,2.00M,1.925B,448.60M,176.90M,,,,38.50M,2.237B,,,
2004-06,408.30M,,408.30M,777.80M,,,777.80M,287.00M,98.60M,363.70M,697.20M,,,68.80M,1.952B,,,,,,2.076B,-1.127B,948.60M,1.005B,62.20M,1.067B,,,,67.30M,2.083B,4.035B,,244.00M,,,,244.00M,256.70M,500.70M,,,482.60M,,482.60M,,,100.80M,1.084B,618.80M,,618.80M,140.90M,140.90M,,,,759.70M,1.844B,,2.00M,1.874B,440.30M,156.80M,,,,32.10M,2.191B,,,
2004-03,428.70M,,428.70M,751.20M,,,751.20M,263.60M,93.30M,331.70M,660.00M,,,69.40M,1.909B,,,,,,2.087B,-1.127B,959.90M,1.002B,59.80M,1.062B,,,,73.20M,2.095B,4.004B,,246.50M,,,,246.50M,225.50M,472.00M,,,487.50M,,487.50M,,,103.30M,1.063B,640.90M,,640.90M,135.50M,135.50M,,,,776.40M,1.839B,,2.00M,1.824B,437.90M,144.10M,,,,45.10M,2.165B,,,
2003-12,443.90M,,443.90M,680.70M,,,680.70M,242.90M,80.00M,316.50M,628.30M,,,66.50M,1.819B,0.00,61.70M,680.00M,1.325B,,2.067B,-1.100B,967.10M,989.50M,44.00M,1.034B,,,,69.70M,2.070B,3.890B,,195.20M,,,,195.20M,311.30M,506.50M,,,119.40M,,119.40M,,,,625.90M,1.012B,,1.012B,95.20M,95.20M,,,42.40M,1.150B,1.776B,,2.00M,1.788B,433.70M,144.40M,,,,34.40M,2.114B,,,
2003-09,472.60M,,472.60M,718.30M,,,718.30M,237.80M,83.60M,327.20M,637.20M,,,72.90M,1.901B,,,,,,2.031B,-1.077B,954.20M,930.00M,38.20M,968.20M,,,,71.00M,1.993B,3.894B,,213.70M,,,,213.70M,260.50M,474.20M,,,,,,,,229.50M,703.70M,1.022B,,1.022B,90.80M,90.80M,,,41.40M,1.154B,1.858B,,2.00M,1.756B,429.80M,148.80M,,,,-3.20M,2.036B,,,
2003-06,476.70M,,476.70M,648.10M,,,648.10M,254.60M,79.50M,348.40M,671.80M,,,73.90M,1.870B,,,,,,2.035B,-1.065B,970.20M,935.80M,39.60M,975.40M,,,,68.10M,2.014B,3.884B,,204.60M,,,,204.60M,381.60M,586.20M,,,,,,,,,586.20M,1.119B,,1.119B,88.50M,88.50M,,,43.00M,1.250B,1.836B,,2.00M,1.733B,428.70M,136.90M,,,,21.20M,2.048B,,,
2003-03,363.60M,,363.60M,640.20M,,,640.20M,250.60M,81.90M,344.60M,667.80M,,,69.30M,1.741B,,,,,,1.986B,-1.026B,959.80M,910.10M,36.20M,946.30M,,,,68.90M,1.975B,3.716B,,218.00M,,,,218.00M,381.80M,599.80M,,,,,,,,,599.80M,997.30M,,997.30M,80.70M,80.70M,,,37.20M,1.115B,1.715B,,2.00M,1.712B,427.20M,118.60M,,,,-21.20M,2.001B,,,
2002-12,225.00M,,225.00M,569.00M,,,569.00M,237.10M,71.10M,326.80M,625.70M,,,68.30M,1.488B,0.00,62.00M,648.10M,1.242B,,1.952B,-991.50M,960.70M,898.00M,36.80M,934.80M,,,,117.60M,2.013B,3.501B,,181.90M,,,,181.90M,416.10M,598.00M,,,,,,,,,598.00M,808.60M,,808.60M,79.40M,79.40M,,,38.20M,926.20M,1.524B,,2.00M,1.687B,422.90M,96.30M,,,,-39.00M,1.977B,,,
2002-09,188.60M,,188.60M,669.90M,,,669.90M,235.50M,72.90M,312.30M,607.60M,,,74.10M,1.540B,,,,,,1.904B,-959.50M,944.10M,894.70M,39.40M,934.10M,,,,112.90M,1.991B,3.531B,,211.20M,,,,211.20M,240.90M,452.10M,,,108.00M,,108.00M,,,90.10M,650.20M,810.80M,,810.80M,74.20M,74.20M,,,35.90M,920.90M,1.571B,,2.00M,1.664B,421.20M,85.30M,,,,-41.60M,1.960B,,,
2002-06,148.50M,,148.50M,708.80M,,,708.80M,230.20M,72.70M,327.20M,618.20M,,,48.60M,1.524B,,,,,,1.910B,-950.10M,960.20M,890.20M,41.50M,931.70M,,,,108.20M,2.000B,3.524B,,212.00M,,,,212.00M,228.60M,440.60M,,,89.20M,,89.20M,,,103.40M,633.20M,831.00M,,831.00M,68.70M,68.70M,,,43.90M,943.60M,1.577B,,2.00M,1.632B,420.80M,66.00M,,,,-41.20M,1.947B,,,
