,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.449B,,3.449B,2.110B,2.110B,,,683.80M,6.243B,,,,,38.79B,38.79B,,38.79B,,,,,7.598B,46.38B,52.63B,,,,,,,,,,,,,,6.181B,35.20B,13.32B,48.52B,2.026B,,2.026B,,3.727B,54.27B,60.45B,,,,,,,,-7.825B,,AOR,
2020-09,3.684B,,3.684B,2.392B,2.392B,44.20M,616.30M,,6.736B,,,,,53.36B,53.36B,-15.87B,37.49B,2.716B,,2.716B,1.283B,2.470B,43.96B,50.70B,,689.00M,,620.60M,1.310B,1.564B,2.873B,,2.689B,2.689B,718.20M,3.407B,,6.280B,35.14B,12.74B,47.88B,1.423B,679.80M,2.103B,,951.50M,52.89B,59.17B,,16.60M,53.49B,7.855B,67.08B,,-2.759B,-8.472B,,AOR,
2020-06,3.256B,,3.256B,2.853B,2.853B,42.60M,458.50M,,6.609B,,,,,52.14B,52.14B,-15.31B,36.83B,2.672B,,2.672B,1.278B,2.547B,43.33B,49.94B,,538.40M,,550.20M,1.089B,1.390B,2.478B,,4.087B,4.087B,681.20M,4.768B,,7.246B,34.68B,12.48B,47.15B,1.549B,664.20M,2.213B,,916.70M,52.16B,59.40B,,16.60M,52.66B,7.78B,67.11B,,-2.806B,-9.463B,,AOR,
2020-03,5.380B,,5.380B,1.695B,1.695B,39.10M,442.70M,,7.557B,,,,,51.38B,51.38B,-14.76B,36.63B,2.627B,,2.627B,1.277B,2.481B,43.01B,50.57B,,671.90M,,443.50M,1.115B,1.078B,2.193B,,1.106B,1.106B,688.60M,1.795B,,3.988B,38.05B,12.47B,50.52B,1.650B,655.00M,2.305B,,893.90M,55.87B,59.86B,,16.60M,53.11B,7.714B,67.13B,,-2.996B,-9.293B,,AOR,
2019-12,898.50M,,898.50M,2.224B,2.224B,50.20M,385.00M,,3.558B,0.00,6.026B,29.61B,2.994B,13.68B,52.31B,-14.89B,37.42B,2.677B,,2.677B,1.270B,2.584B,43.95B,47.51B,,988.20M,,579.20M,1.567B,1.374B,2.941B,,59.10M,59.10M,621.00M,680.10M,,3.621B,34.12B,12.76B,46.88B,1.318B,660.60M,1.979B,,979.60M,52.10B,55.72B,,16.60M,52.93B,7.654B,66.33B,,-2.483B,-8.210B,,AOR,
2019-09,1.177B,,1.177B,2.005B,2.005B,42.60M,379.70M,,3.605B,,,,,50.21B,50.21B,-14.42B,35.79B,2.542B,,2.542B,1.245B,2.622B,42.20B,45.80B,,849.50M,934.00M,526.00M,2.310B,1.263B,3.572B,,,,703.30M,703.30M,,4.276B,32.85B,11.88B,44.73B,1.560B,640.10M,2.201B,,976.50M,50.13B,54.40B,,16.60M,51.36B,7.620B,64.93B,,-2.663B,-8.599B,,AOR,Restated
2019-06,1.134B,,1.134B,2.055B,2.055B,44.20M,681.70M,,3.915B,,,,,50.72B,50.72B,-14.69B,36.03B,2.580B,,2.580B,1.227B,2.450B,42.28B,46.20B,,796.80M,,508.70M,1.306B,1.191B,2.497B,,,,743.40M,743.40M,,3.24B,32.65B,11.90B,44.55B,1.358B,639.60M,1.998B,,939.20M,49.77B,53.01B,,16.60M,51.56B,7.550B,63.44B,,-2.497B,-6.809B,,AOR,Restated
2019-03,2.289B,,2.289B,1.993B,1.993B,40.80M,641.80M,,4.964B,,,,,50.10B,50.10B,-14.49B,35.61B,2.318B,,2.318B,1.190B,2.386B,41.50B,46.47B,,823.60M,,592.10M,1.416B,1.196B,2.612B,,,,767.90M,767.90M,,3.380B,32.89B,11.63B,44.52B,1.331B,629.80M,1.961B,,1.017B,49.64B,53.02B,,16.60M,50.93B,7.438B,62.41B,,-2.520B,-6.551B,,AOR,Restated
2018-12,866.00M,,866.00M,2.442B,2.442B,51.10M,694.60M,,4.053B,0.00,5.521B,28.24B,2.943B,488.60M,37.19B,-14.35B,22.84B,2.332B,,2.332B,1.203B,2.381B,28.76B,32.81B,,1.208B,,482.00M,1.690B,1.284B,2.974B,,,,0.00,0.00,,2.974B,31.08B,0.00,31.08B,1.216B,627.80M,1.843B,,1.096B,36.10B,39.07B,,16.60M,50.49B,7.376B,61.53B,,-2.610B,-6.258B,,AOR,Restated
2018-09,2.574B,,2.574B,2.267B,2.267B,41.90M,669.90M,,5.553B,,,,,36.95B,36.95B,-14.33B,22.61B,2.345B,,2.345B,1.136B,2.406B,28.50B,34.05B,,932.80M,888.00M,416.40M,2.237B,1.390B,3.627B,,,,,,,3.627B,31.90B,,31.90B,1.202B,617.00M,1.819B,,1.129B,37.22B,40.85B,,16.60M,49.08B,7.257B,60.63B,,-2.508B,-6.793B,,AOR,Restated
2018-06,1.624B,,1.624B,2.217B,2.217B,49.60M,465.30M,,4.356B,,,,,36.58B,36.58B,-14.22B,22.36B,2.347B,,2.347B,1.128B,2.517B,28.35B,32.71B,,917.90M,,490.30M,1.408B,1.270B,2.678B,,,292.20M,,292.20M,,2.970B,30.69B,,30.69B,1.173B,606.70M,1.780B,,1.135B,35.59B,38.56B,,16.60M,49.11B,7.195B,59.73B,,-2.435B,-5.851B,,AOR,Restated
2018-03,2.468B,,2.468B,1.952B,1.952B,53.80M,435.90M,,4.909B,,,,,37.16B,37.16B,-14.46B,22.70B,2.405B,,2.405B,1.147B,2.557B,28.81B,33.72B,,779.90M,,770.70M,1.551B,1.271B,2.821B,,,,,,,2.821B,30.87B,,30.87B,979.90M,607.40M,1.587B,,1.154B,35.62B,38.44B,,16.60M,48.40B,7.122B,58.11B,,-2.146B,-4.719B,,AOR,Restated
2017-12,2.464B,,2.464B,1.976B,1.976B,58.80M,828.40M,,5.327B,0.00,5.662B,27.29B,3.166B,512.40M,36.63B,-14.18B,22.45B,2.380B,,2.380B,1.086B,2.563B,28.48B,33.80B,,924.80M,,541.20M,1.466B,1.425B,2.891B,,,,,,,2.891B,29.54B,,29.54B,1.119B,0.00,1.119B,,1.154B,34.18B,37.07B,,16.60M,48.33B,7.072B,56.50B,,-2.178B,-3.268B,,AOR,Restated
2017-09,2.671B,,2.671B,1.569B,1.569B,54.20M,495.90M,,4.790B,,,,,36.04B,36.04B,-14.06B,21.98B,2.373B,,2.373B,999.80M,2.418B,27.77B,32.56B,,685.20M,797.40M,639.40M,2.122B,1.402B,3.524B,,,215.80M,,215.80M,,3.740B,28.40B,,28.40B,1.602B,,1.602B,,2.292B,32.30B,36.04B,,16.60M,47.63B,6.994B,55.88B,,-2.237B,-3.478B,,AOR,Restated
2017-06,2.392B,,2.392B,1.457B,1.457B,56.70M,597.50M,,5.892B,,,,,35.40B,35.40B,-13.71B,21.69B,2.345B,,2.345B,779.70M,2.078B,26.89B,32.79B,,536.00M,,497.80M,1.034B,1.172B,2.205B,,,209.90M,,209.90M,328.00M,2.743B,28.15B,,28.15B,1.662B,,1.662B,,2.230B,32.04B,34.79B,,16.60M,47.30B,6.917B,53.75B,,-2.486B,-2.001B,,AOR,Restated
2017-03,2.412B,,2.412B,1.337B,1.337B,56.80M,552.00M,,5.907B,,,,,34.45B,34.45B,-13.24B,21.21B,2.299B,,2.299B,766.50M,1.933B,26.21B,32.12B,,678.40M,,772.70M,1.451B,1.155B,2.606B,,,222.90M,,222.90M,391.90M,3.221B,26.98B,,26.98B,1.807B,,1.807B,,2.139B,30.93B,34.15B,,16.60M,46.67B,6.810B,52.82B,,-2.705B,-2.031B,,AOR,Restated
2016-12,1.223B,,1.223B,1.474B,1.474B,58.90M,565.20M,,4.849B,0.00,5.465B,25.21B,3.271B,500.40M,34.44B,-13.19B,21.26B,2.336B,,2.336B,725.90M,1.855B,26.18B,31.02B,,756.00M,,533.50M,1.290B,1.407B,2.696B,,,77.20M,,77.20M,694.80M,3.468B,25.88B,,25.88B,1.817B,,1.817B,,1.054B,29.76B,33.23B,,16.60M,46.22B,6.758B,52.11B,,-3.093B,-2.204B,,AOR,Restated
2016-09,2.267B,,2.267B,1.350B,1.350B,90.50M,595.10M,,4.302B,,,,,37.93B,37.93B,-14.95B,22.99B,2.505B,,2.505B,878.00M,1.816B,28.18B,32.49B,,852.20M,772.90M,856.60M,2.482B,1.995B,4.477B,,,,,,,4.477B,26.01B,,26.01B,1.379B,,1.379B,,2.248B,29.63B,34.11B,,16.60M,45.03B,6.713B,50.76B,,-2.623B,-1.624B,,AOR,Restated
2016-06,3.128B,,3.128B,1.267B,1.267B,87.40M,564.10M,,5.047B,,,,,37.81B,37.81B,-14.96B,22.85B,2.499B,,2.499B,852.10M,1.899B,28.10B,33.15B,,574.60M,,521.40M,1.096B,1.571B,2.667B,,,,,,,2.667B,26.01B,,26.01B,1.621B,,1.621B,,2.208B,29.84B,32.51B,,16.60M,45.27B,6.138B,48.11B,,-2.675B,640.00M,,AOR,Restated
2016-03,3.310B,,3.310B,1.162B,1.162B,93.70M,485.70M,,5.052B,,,,,38.43B,38.43B,-15.01B,23.42B,2.570B,,2.570B,820.10M,1.932B,28.74B,33.80B,,654.50M,,641.20M,1.296B,1.563B,2.859B,,,,,,,2.859B,23.35B,,23.35B,1.660B,,1.660B,,2.061B,27.07B,29.93B,,16.60M,44.91B,6.089B,44.75B,,-2.403B,3.863B,,AOR,Restated
2015-12,7.686B,,7.686B,1.299B,1.299B,100.10M,558.70M,,9.643B,0.00,5.582B,26.90B,4.658B,546.80M,37.69B,-14.57B,23.12B,2.516B,,2.516B,792.70M,1.869B,28.30B,37.94B,,874.70M,,463.80M,1.338B,1.612B,2.950B,,,,,,,2.950B,24.12B,,24.12B,1.704B,,1.704B,,2.074B,27.90B,30.85B,,16.60M,44.59B,6.533B,41.18B,,-2.880B,7.088B,,AOR,Restated
2015-09,2.452B,,2.452B,1.136B,1.136B,99.30M,804.60M,,4.493B,,,,,37.87B,37.87B,-14.63B,23.24B,2.582B,,2.582B,846.70M,1.799B,28.47B,32.96B,,802.60M,,505.70M,1.308B,1.648B,2.956B,,,,,,,2.956B,17.99B,,17.99B,1.631B,,1.631B,,2.072B,21.69B,24.65B,,16.60M,44.20B,6.418B,39.72B,,-2.608B,8.310B,,AOR,Restated
2015-06,3.998B,,3.998B,1.179B,1.179B,102.30M,692.80M,,5.972B,,,,,38.39B,38.39B,-14.70B,23.69B,2.628B,,2.628B,860.30M,1.797B,28.98B,34.95B,,840.10M,,411.00M,1.251B,1.510B,2.761B,,,,,,,2.761B,17.90B,,17.90B,1.612B,,1.612B,,2.112B,21.63B,24.39B,,16.60M,43.68B,6.363B,37.39B,,-2.11B,10.56B,,AOR,Restated
2015-03,1.635B,,1.635B,1.092B,1.092B,98.80M,767.40M,,3.593B,,,,,37.55B,37.55B,-14.25B,23.30B,2.594B,,2.594B,900.50M,1.767B,28.56B,32.16B,,702.00M,,689.10M,1.391B,1.361B,2.752B,,,,,,,2.752B,14.29B,,14.29B,1.711B,,1.711B,,1.998B,18.00B,20.75B,,16.60M,43.29B,6.312B,35.73B,,-2.482B,11.40B,,AOR,Restated
2014-12,2.078B,,2.078B,1.214B,1.214B,110.00M,783.20M,,4.186B,0.00,5.788B,27.61B,5.114B,617.50M,39.13B,-14.57B,24.56B,2.735B,,2.735B,1.004B,1.745B,30.04B,34.23B,,860.10M,,496.80M,1.357B,1.391B,2.748B,,,,,,,2.748B,14.94B,,14.94B,1.624B,,1.624B,,2.066B,18.63B,21.37B,,16.60M,43.29B,6.239B,35.18B,,-1.520B,12.85B,,AOR,Restated
2014-09,2.826B,407.50M,3.233B,1.227B,1.227B,105.00M,645.40M,,5.210B,,,,,39.80B,39.80B,-14.82B,24.99B,2.811B,,2.811B,1.106B,1.908B,30.81B,36.02B,,847.30M,815.50M,495.00M,2.158B,1.408B,3.566B,,,613.30M,,613.30M,,4.180B,14.52B,,14.52B,1.523B,,1.523B,,2.175B,18.22B,22.39B,,16.60M,42.20B,6.188B,34.18B,,-596.30M,13.63B,,AOR,Restated
2014-06,3.671B,,3.671B,1.294B,1.294B,110.70M,837.90M,,5.914B,,,,,41.01B,41.01B,-15.13B,25.88B,2.902B,,2.902B,1.232B,1.856B,31.87B,37.78B,,965.10M,,506.30M,1.471B,1.381B,2.852B,,,539.20M,,539.20M,,3.392B,14.89B,,14.89B,1.574B,,1.574B,,1.768B,18.23B,21.63B,,16.60M,42.74B,6.137B,33.29B,,551.90M,16.15B,,AOR,Restated
2014-03,2.744B,,2.744B,1.230B,1.230B,106.20M,756.60M,,4.836B,,,,,40.50B,40.50B,-14.85B,25.65B,2.892B,,2.892B,1.224B,1.768B,31.53B,36.37B,,828.10M,,821.20M,1.649B,1.350B,3.000B,,,101.40M,,101.40M,,3.101B,13.83B,,13.83B,1.588B,,1.588B,,1.707B,17.12B,20.22B,,16.60M,42.15B,6.063B,32.53B,,444.30M,16.15B,,AOR,Restated
2013-12,2.799B,,2.799B,1.320B,1.320B,123.70M,807.90M,,5.050B,0.00,5.849B,28.54B,5.377B,588.70M,40.36B,-14.61B,25.75B,2.873B,,2.873B,1.209B,1.747B,31.58B,36.63B,,1.086B,,598.60M,1.685B,1.485B,3.17B,,,,,,,3.17B,14.13B,,14.13B,1.648B,,1.648B,,1.669B,17.45B,20.62B,,16.60M,41.75B,5.994B,32.18B,,427.60M,16.01B,,AOR,Restated
2013-09,2.544B,,2.544B,1.285B,1.285B,113.10M,791.40M,,4.734B,,,,,39.49B,39.49B,-14.41B,25.08B,2.854B,,2.854B,1.262B,1.619B,30.82B,35.55B,,858.30M,803.00M,704.70M,2.366B,1.456B,3.822B,,,,,,,3.822B,13.49B,,13.49B,1.520B,,1.520B,,1.556B,16.56B,20.39B,,16.60M,40.35B,5.963B,31.69B,,516.60M,15.16B,,AOR,Restated
2013-06,2.278B,,2.278B,1.302B,1.302B,107.80M,944.00M,,4.632B,,,,,38.18B,38.18B,-13.90B,24.28B,2.779B,,2.779B,1.240B,1.522B,29.82B,34.45B,,805.20M,,659.80M,1.465B,1.34B,2.805B,,,,,,,2.805B,13.37B,,13.37B,1.611B,,1.611B,,1.497B,16.48B,19.28B,,16.60M,40.40B,5.921B,31.20B,,29.20M,15.17B,,AOR,Restated
2013-03,1.869B,,1.869B,1.23B,1.23B,105.20M,986.70M,,4.191B,,,,,38.10B,38.10B,-13.81B,24.29B,2.790B,,2.790B,1.290B,1.563B,29.93B,34.12B,,831.60M,,896.50M,1.728B,1.289B,3.017B,,,,,,,3.017B,12.80B,,12.80B,1.638B,,1.638B,,1.442B,15.88B,18.90B,,16.60M,39.78B,5.853B,30.81B,,393.80M,15.23B,,AOR,Restated
2012-12,2.336B,,2.336B,1.375B,1.375B,121.70M,1.089B,,4.922B,0.00,5.613B,27.06B,5.241B,577.70M,38.49B,-13.81B,24.68B,2.804B,,2.804B,1.380B,1.603B,30.46B,35.39B,,1.142B,,669.40M,1.811B,1.592B,3.403B,,,,,,,3.403B,13.63B,,13.63B,1.531B,,1.531B,,1.526B,16.69B,20.09B,,16.60M,39.28B,5.779B,30.58B,,796.40M,15.29B,,AOR,Restated
2012-09,2.178B,,2.178B,,1.277B,109.10M,643.00M,,4.208B,,,,,,37.32B,-13.57B,23.75B,2.744B,,2.744B,1.460B,1.660B,29.62B,33.82B,,833.60M,770.00M,498.20M,2.102B,158.10M,2.260B,,,512.10M,,512.10M,,4.151B,12.75B,,12.75B,1.48B,,1.48B,,1.557B,15.79B,19.94B,,16.60M,37.88B,5.689B,30.31B,,609.50M,13.88B,,AOR,Restated
2012-06,2.485B,,2.485B,,1.291B,111.70M,613.20M,,4.500B,,,,,,36.32B,-13.26B,23.07B,2.681B,,2.681B,1.411B,1.673B,28.83B,33.33B,,823.40M,,576.10M,1.400B,183.90M,1.583B,,,852.90M,,852.90M,,3.622B,12.72B,,12.72B,1.406B,,1.406B,,1.548B,15.68B,19.30B,,16.60M,37.90B,5.620B,29.79B,,284.80M,14.04B,,AOR,Restated
2012-03,2.289B,,2.289B,,1.234B,111.70M,619.60M,,4.255B,,,,,,36.62B,-13.32B,23.30B,2.719B,,2.719B,1.366B,1.690B,29.08B,33.33B,,708.30M,,852.70M,1.561B,156.40M,1.717B,,,724.20M,,724.20M,,3.646B,12.06B,,12.06B,1.396B,,1.396B,,1.575B,15.03B,18.67B,,16.60M,37.26B,5.564B,28.98B,,799.20M,14.66B,,AOR,Restated
2011-12,2.336B,,2.336B,1.335B,1.335B,116.80M,615.80M,,4.403B,0.00,5.328B,25.10B,4.757B,550.40M,35.74B,-12.90B,22.83B,2.653B,,2.653B,1.427B,1.672B,28.59B,32.99B,,961.30M,,600.30M,1.562B,1.581B,3.143B,,,366.60M,,366.60M,,3.509B,12.13B,,12.13B,1.344B,,1.344B,,1.613B,15.09B,18.60B,,16.60M,36.71B,5.487B,28.27B,,449.70M,14.39B,,AOR,Restated
2011-09,2.389B,,2.389B,,1.204B,115.00M,714.20M,,4.422B,,,,,,35.22B,-12.88B,22.34B,2.638B,,2.638B,1.392B,1.487B,27.86B,32.28B,,750.10M,715.90M,564.70M,2.031B,155.90M,2.187B,,,1.542B,,1.542B,,5.078B,10.99B,,10.99B,1.352B,,1.352B,,1.521B,13.86B,18.94B,,16.60M,35.33B,5.430B,27.99B,,548.50M,13.34B,,AOR,Restated
