,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2008-08,510.50M,,,,78.50M,6.80M,85.30M,85.30M,-73.00M,,,78.20M,-292.90M,-57.00M,49.20M,57.30M,,,-243.40M,357.60M,,-106.70M,13.10M,-93.60M,,-321.90M,-12.60M,-428.10M,,,,43.40M,45.80M,-418.80M,-373.00M,,-113.00M,,8.70M,-433.90M,,2.134B,-504.40M,-3.90M,1.626B,,45.80M,,,-418.80M,,,
2008-05,490.50M,,,-32.00M,79.60M,-7.00M,72.60M,72.60M,-196.50M,,,25.40M,15.50M,-65.90M,18.90M,304.00M,,,272.50M,632.50M,,-156.90M,1.10M,-155.80M,-273.10M,-21.80M,-11.70M,-462.40M,,,,-32.60M,-246.30M,-296.50M,-542.80M,,-113.40M,,26.00M,-319.50M,,2.242B,-149.40M,40.90M,2.134B,,-246.30M,,,-296.50M,,,Restated
2008-02,463.80M,,,-28.60M,75.30M,16.20M,91.50M,91.50M,4.30M,,,25.30M,-119.90M,-156.00M,50.20M,23.30M,,,-202.40M,353.90M,,-90.40M,0.40M,-90.00M,-52.00M,-80.10M,0.30M,-221.80M,,,,81.60M,34.70M,-344.70M,-310.00M,,-114.40M,,7.80M,-335.00M,,2.470B,-202.90M,-25.20M,2.242B,,34.70M,,,-344.70M,,,
2007-11,359.40M,,,,78.70M,7.10M,85.80M,85.80M,-3.60M,,,26.50M,243.40M,-7.90M,-78.40M,5.20M,,,162.30M,630.40M,,-110.10M,0.20M,-109.90M,,224.80M,-9.20M,105.70M,,,,-32.40M,114.90M,-288.50M,-173.60M,,-92.30M,,14.30M,-284.00M,,1.974B,452.10M,44.50M,2.470B,,114.90M,,,-288.50M,,,
2007-08,569.70M,,,,70.00M,1.60M,71.60M,71.60M,-104.80M,,,63.80M,-257.30M,-20.00M,-1.90M,-1.60M,,,-280.80M,319.50M,,-91.80M,0.20M,-91.60M,,181.50M,-1.20M,88.70M,,,,11.90M,96.70M,-318.30M,-221.60M,,-92.80M,,14.90M,-287.60M,,1.857B,120.60M,-3.40M,1.974B,,96.70M,,,-318.30M,,,
2007-05,437.90M,,,,70.50M,10.50M,81.00M,81.00M,-27.00M,,,28.60M,63.10M,59.30M,78.80M,242.20M,,,443.40M,963.90M,,-96.40M,0.50M,-95.90M,,-594.10M,4.90M,-685.10M,,,,2.40M,47.70M,-280.60M,-232.90M,,-93.50M,,7.50M,-316.50M,,1.879B,-37.70M,15.20M,1.857B,,47.70M,,,-280.60M,,,
2007-02,350.80M,,,,63.80M,-16.90M,46.90M,46.90M,19.00M,,,27.40M,-140.80M,-10.40M,91.20M,-10.90M,,,-70.90M,373.20M,,-62.00M,27.40M,-34.60M,,421.50M,1.20M,388.10M,,,,75.70M,94.70M,-85.20M,9.50M,,-93.20M,,48.30M,8.70M,,1.103B,770.00M,6.30M,1.879B,,94.70M,,,-85.20M,,,
2006-11,325.60M,,,,68.50M,-0.20M,68.30M,68.30M,44.00M,,,22.00M,202.40M,-24.50M,-182.90M,-145.10M,,,-150.10M,309.80M,,-82.80M,0.30M,-82.50M,,-106.80M,-4.90M,-194.20M,,,,-4.50M,150.40M,-146.50M,3.90M,,-77.70M,,-5.10M,-51.80M,,1.031B,63.80M,8.40M,1.103B,,150.40M,,,-146.50M,,,
2006-08,377.20M,,,,66.90M,7.10M,74.00M,74.00M,-1.90M,,,69.70M,-164.30M,-73.90M,-47.90M,-1.10M,,,-287.20M,231.80M,,-72.30M,0.10M,-72.20M,,661.80M,-5.50M,584.10M,,,,-234.90M,30.10M,-472.90M,-442.80M,,-79.30M,,5.10M,-751.90M,,954.20M,64.00M,12.50M,1.031B,,30.10M,,,-472.90M,,,
2006-05,332.80M,,,-49.20M,75.60M,-18.40M,57.20M,57.20M,-30.60M,,,,10.40M,-2.30M,98.40M,243.90M,,,350.40M,714.80M,,-101.60M,0.40M,-101.20M,,-809.10M,-10.40M,-920.70M,,,,-36.40M,36.70M,-250.10M,-213.40M,,-80.10M,,,-329.90M,,1.472B,-535.80M,17.90M,954.20M,,36.70M,,,-250.10M,,,
2006-02,325.80M,,,12.20M,70.20M,20.40M,90.60M,90.60M,-0.60M,,,,-163.80M,-98.70M,-104.60M,154.00M,,,-213.10M,214.90M,,-67.40M,0.60M,-66.80M,,378.60M,-15.60M,296.20M,,,,-2.80M,42.80M,-128.40M,-85.60M,,-80.40M,,,-168.80M,,1.134B,342.30M,-4.70M,1.472B,,42.80M,,,-128.40M,,,
2005-11,301.10M,,,21.10M,67.30M,6.20M,73.50M,73.50M,16.40M,,,,201.10M,-70.20M,8.60M,-75.10M,,,64.40M,476.50M,,-106.20M,0.20M,-106.00M,,-613.40M,-2.00M,-721.40M,,,,12.40M,92.20M,-253.50M,-161.30M,,-65.10M,,,-214.00M,,1.589B,-458.90M,4.50M,1.134B,,92.20M,,,-253.50M,,,
2005-08,432.30M,,,15.90M,68.90M,0.70M,69.60M,69.60M,-11.20M,,,,-132.80M,-29.10M,-39.60M,-43.40M,,,-244.90M,261.70M,,-58.50M,0.40M,-58.10M,,134.00M,-6.60M,69.30M,,,,2.60M,53.60M,-129.10M,-75.50M,,-65.30M,,,-138.20M,,1.388B,192.80M,8.00M,1.589B,,53.60M,,,-129.10M,,,
2005-05,349.50M,,,2.80M,68.30M,0.00,68.30M,68.30M,25.40M,,,,4.00M,-106.10M,32.30M,113.40M,,,43.60M,489.60M,,-76.60M,0.90M,-75.70M,0.00,-17.40M,-4.30M,-97.40M,,,,-23.50M,22.10M,-165.70M,-143.60M,,-65.50M,,,-232.60M,,1.222B,159.60M,6.00M,1.388B,,22.10M,,,-165.70M,,,
2005-02,273.40M,,,23.60M,71.10M,10.90M,82.00M,82.00M,-26.30M,,,,-187.50M,-35.90M,7.20M,189.10M,,,-27.10M,325.60M,,-55.70M,0.00,-55.70M,0.00,58.30M,-8.70M,-6.10M,,,,-44.20M,30.70M,-186.80M,-156.10M,,-66.00M,,,-266.30M,,1.182B,53.20M,-12.50M,1.222B,,30.70M,,,-186.80M,,,
2004-11,261.90M,,,23.30M,59.40M,16.40M,75.80M,75.80M,10.60M,,,,147.80M,12.80M,30.00M,-175.10M,,,15.50M,387.10M,,-71.00M,4.90M,-66.10M,0.00,-110.80M,-7.60M,-184.50M,,,,29.50M,108.40M,-57.90M,50.50M,,-52.60M,,,27.40M,,932.10M,230.00M,19.70M,1.182B,,108.40M,,,-57.90M,,,
2004-08,326.80M,,,13.40M,58.40M,3.20M,61.60M,61.60M,11.60M,,,,-57.80M,25.90M,1.90M,-15.00M,,,-45.00M,368.40M,,-53.80M,1.40M,-52.40M,-47.20M,34.60M,-7.40M,-72.40M,,,,-52.70M,65.60M,-145.80M,-80.20M,,-52.60M,,,-185.50M,,828.00M,110.50M,-6.40M,932.10M,,65.60M,,,-145.80M,,,
2004-05,305.00M,,,16.30M,64.00M,10.70M,74.70M,74.70M,-9.50M,,,,-108.90M,29.80M,13.70M,222.00M,,,156.60M,543.10M,,-70.80M,7.80M,-63.00M,0.00,,-19.50M,-483.30M,,,,-0.90M,64.70M,-179.30M,-114.60M,,-52.90M,,,-168.40M,,914.70M,-108.60M,21.90M,828.00M,,64.70M,,,-179.30M,,AOR,
2004-02,200.30M,,,11.50M,68.00M,12.40M,80.40M,80.40M,16.40M,,,,206.00M,-85.70M,-117.30M,33.60M,,-138.90M,-102.30M,206.30M,,-56.00M,0.60M,-55.40M,-0.20M,,-28.00M,-83.60M,,,,-150.70M,73.60M,-45.00M,28.60M,,-52.60M,,,-174.70M,,968.90M,-52.00M,-2.20M,914.70M,,73.60M,,,-45.00M,,,
2003-11,179.10M,,,16.50M,62.00M,24.60M,86.60M,86.60M,11.40M,,,,52.70M,2.50M,51.10M,-119.70M,,138.90M,125.50M,419.10M,,-46.00M,1.60M,-44.40M,-288.90M,,-8.10M,-341.40M,,,,-65.20M,96.30M,-100.50M,-4.20M,,-36.80M,,,-106.20M,,997.80M,-28.50M,-0.40M,968.90M,,96.30M,,,-100.50M,,,
2003-08,261.20M,,,2.90M,61.20M,10.60M,71.80M,71.80M,0.70M,,,,-52.70M,-2.50M,-51.10M,119.70M,,,13.40M,350.00M,,-42.00M,1.60M,-40.40M,,,-1.90M,-42.30M,,,,163.70M,19.00M,-95.00M,-76.00M,,-36.90M,,,50.80M,,634.00M,358.50M,5.30M,997.80M,,19.00M,,,-95.00M,,,
2003-05,246.20M,,,-268.70M,62.80M,13.80M,76.60M,76.60M,68.50M,,,,,,,,,252.60M,104.50M,493.20M,,-47.30M,5.20M,-42.10M,,,-5.30M,-47.40M,,,,-143.80M,-15.40M,-70.60M,-86.00M,,-37.00M,,,-222.60M,,443.20M,223.20M,-32.40M,634.00M,,-15.40M,,,-70.60M,,,Restated
2003-02,124.70M,,,0.40M,62.10M,1.90M,64.00M,64.00M,-1.10M,,,,,,,,,-159.20M,-159.20M,28.80M,,-52.00M,2.40M,-49.60M,,,-11.00M,-60.60M,,,,-46.50M,4.10M,-28.40M,-24.30M,,-37.00M,,,-107.80M,,555.80M,-139.60M,27.00M,443.20M,,4.10M,,,-28.40M,,,
2002-11,152.00M,,,1.10M,58.00M,5.40M,63.40M,63.40M,0.10M,,,,,,,,,9.30M,9.30M,225.90M,,-42.90M,2.40M,-40.50M,,,-17.00M,-57.50M,,,,42.80M,6.40M,-44.20M,-37.80M,,-31.90M,,,-26.90M,,430.00M,141.50M,-15.70M,555.80M,,6.40M,,,-44.20M,,,
2002-08,-48.90M,,,267.20M,56.40M,2.10M,58.50M,58.50M,,,,,,,,,,-102.70M,-102.70M,174.10M,,-43.70M,4.80M,-38.90M,,,-11.20M,-50.10M,,,,-169.10M,4.90M,-53.10M,-48.20M,,-31.90M,,,-249.20M,,575.50M,-125.20M,-20.30M,430.00M,,4.90M,,,-53.10M,,,
2002-05,208.40M,,,-16.30M,59.50M,21.90M,81.40M,81.40M,33.70M,,,,,,,,,153.40M,265.90M,578.10M,,-109.60M,3.80M,-105.80M,,,2.00M,-103.80M,,,,-55.10M,-32.50M,-170.10M,-202.60M,,-32.30M,,,-230.50M,,349.60M,243.80M,-17.90M,575.50M,,-32.50M,,,-170.10M,,,Restated
2002-02,126.40M,,,16.30M,57.00M,-6.50M,50.50M,50.50M,2.30M,,,,,,,,,-148.60M,-148.60M,46.90M,,-52.20M,4.40M,-47.80M,,,-35.10M,-82.90M,,,,-62.60M,21.60M,-12.10M,9.50M,,-32.20M,,,-85.30M,,459.80M,-121.30M,11.10M,349.60M,,21.60M,,,-12.10M,,,
2001-11,129.30M,,,,53.30M,23.30M,76.60M,76.60M,6.30M,,,,,,,,,9.60M,9.60M,221.80M,,-63.70M,6.20M,-57.50M,,,-6.80M,-64.30M,,,,-8.50M,6.40M,-39.60M,-33.20M,,-32.20M,,,-73.90M,,364.90M,83.60M,11.30M,459.80M,,6.40M,,,-39.60M,,,
2001-08,199.20M,,,,53.70M,9.40M,63.10M,63.10M,-12.50M,,,,,,,,,-14.40M,-14.40M,235.40M,,-57.30M,1.20M,-56.10M,,,4.30M,-51.80M,,,,-57.30M,4.50M,-5.10M,-0.60M,,-32.20M,,,-90.10M,,304.00M,93.50M,-32.60M,364.90M,,4.50M,,,-5.10M,,,
2001-05,162.70M,,,,52.80M,-5.70M,47.10M,47.10M,81.10M,,,,,,,,,264.70M,5.20M,328.50M,,-90.10M,5.00M,-85.10M,,,-11.30M,-96.40M,,,,-24.00M,2.10M,-118.00M,-115.90M,,-32.50M,,,-172.40M,,185.90M,59.70M,58.40M,304.00M,,2.10M,,,-118.00M,,,
2001-02,97.40M,,,,52.10M,7.60M,59.70M,59.70M,0.70M,,,,,,,,,-135.80M,-135.80M,22.00M,,-76.20M,1.70M,-74.50M,,,-25.90M,-100.40M,,,,-44.90M,39.00M,0.00,39.00M,,-32.40M,,,-38.30M,,325.50M,-116.70M,-22.90M,185.90M,,39.00M,,,0.00,,,
2000-11,119.40M,,,,46.50M,8.40M,54.90M,54.90M,1.00M,,,,,,,,,-45.20M,-45.20M,130.10M,,-81.70M,5.30M,-76.40M,,,-5.70M,-82.10M,,,,-107.60M,6.30M,-33.10M,-26.80M,,-32.40M,,,-166.80M,,407.10M,-118.80M,37.20M,325.50M,,6.30M,,,-33.10M,,,
2000-08,210.20M,,,,46.00M,6.40M,52.40M,52.40M,-3.00M,,,,,,,,,-83.70M,-83.70M,175.90M,,-69.60M,0.70M,-68.90M,,,5.50M,-63.40M,,,,57.30M,8.60M,-5.90M,2.70M,,-32.40M,,,27.60M,,254.30M,140.10M,12.70M,407.10M,,8.60M,,,-5.90M,,,
2000-05,126.00M,,,,,,56.20M,56.20M,40.30M,,,,,,,,,179.30M,24.50M,261.90M,,-90.30M,9.00M,-81.30M,,,-9.90M,-91.20M,,,,121.40M,-5.60M,-162.60M,-168.20M,,-32.60M,,,-79.40M,,159.40M,91.30M,3.60M,254.30M,,-5.60M,,,-162.60M,,,
2000-02,145.30M,,,,,,56.00M,56.00M,-2.70M,,,-161.00M,,,,,,-179.30M,-179.30M,-141.70M,,29.00M,4.30M,33.30M,,,-25.20M,8.10M,,,,124.60M,2.30M,-112.60M,-110.30M,,-33.00M,,,-18.70M,,253.00M,-152.30M,58.70M,159.40M,,2.30M,,,-112.60M,,,
1999-11,107.60M,,,,,,49.80M,49.80M,7.60M,,,161.00M,,,,,,-62.70M,-62.70M,263.30M,,-72.90M,5.70M,-67.20M,,,-1.30M,-68.50M,,,,79.20M,22.10M,-241.00M,-218.90M,,-33.60M,,,-173.30M,,226.20M,21.50M,5.30M,253.00M,,22.10M,,,-241.00M,,,
1999-08,200.20M,,,,,,61.60M,61.60M,-8.40M,,,,,,,,,62.70M,62.70M,316.10M,,-285.70M,6.30M,-279.40M,,,-9.00M,-288.40M,,,,178.20M,5.10M,-130.10M,-125.00M,,-33.90M,,,19.30M,,198.10M,47.00M,-18.90M,226.20M,,5.10M,,,-130.10M,,,
1999-05,94.40M,,,28.00M,,,40.90M,40.90M,37.80M,,,,,,,,,-69.10M,145.80M,346.90M,,-118.70M,10.30M,-108.40M,,,-6.20M,-114.60M,,,,-136.90M,36.20M,-37.20M,-1.00M,,-33.90M,,,-171.80M,,127.90M,60.50M,9.70M,198.10M,,36.20M,,,-37.20M,,,
1999-02,124.20M,,,,,,69.10M,69.10M,18.50M,,,-337.90M,,,,,,69.10M,69.10M,-57.00M,,-91.80M,5.20M,-86.60M,,,-20.30M,-106.90M,,,,123.90M,8.90M,-68.60M,-59.70M,,-33.70M,,,30.50M,,0.00,-133.40M,6.70M,127.90M,,8.90M,,,-68.60M,,,
1998-11,69.00M,,,0.60M,,,61.60M,61.60M,-16.70M,,,187.70M,,,,,,,,302.20M,,-88.00M,8.10M,-79.90M,,,-17.10M,-97.00M,,,,82.80M,2.90M,-150.70M,-147.80M,,-34.20M,,,-99.20M,,0.00,106.00M,-19.20M,0.00,,2.90M,,,-150.70M,,,
1998-08,163.80M,,,-0.60M,,,57.20M,57.20M,-1.70M,,,150.20M,,,,,,,,368.90M,,-85.60M,3.60M,-82.00M,,,-16.00M,-98.00M,,,,-132.30M,6.40M,-43.30M,-36.90M,,-34.40M,,,-203.60M,,108.60M,67.30M,-8.10M,0.00,,6.40M,,,-43.30M,,,
1998-05,-67.70M,,,33.20M,,,100.50M,100.50M,-107.20M,,,459.00M,,,,,,,,356.80M,,-153.80M,6.20M,-147.60M,,,-28.60M,-176.20M,,,,-150.20M,7.80M,-50.30M,-42.50M,,-34.50M,,-0.10M,-227.30M,,0.00,-46.70M,5.00M,108.60M,,7.80M,,,-50.30M,,,
1998-02,73.10M,,,10.90M,,,44.90M,44.90M,2.10M,,,-259.40M,,,,,,,,-128.40M,,-110.10M,5.20M,-104.90M,,,-15.80M,-120.70M,,,,387.50M,6.70M,-118.80M,-112.10M,,-34.80M,,0.00,240.60M,,0.00,-8.50M,19.10M,0.00,,6.70M,,,-118.80M,,,
1997-11,141.10M,,,178.70M,,,44.30M,44.30M,-12.70M,,,-199.70M,,,,,,,,151.70M,,-133.30M,1.50M,-131.80M,,,-20.30M,-152.10M,,,,-188.30M,3.50M,-33.20M,-29.70M,,-29.10M,,0.10M,-247.00M,,0.00,-247.40M,-16.00M,0.00,,3.50M,,,-33.20M,,,
1997-08,253.10M,,,-163.50M,,,43.80M,43.80M,3.90M,,,0.10M,,,,,,,,137.40M,,-108.70M,3.90M,-104.80M,,,-41.20M,-146.00M,,,,-23.00M,14.20M,,14.20M,,-28.90M,,,-37.70M,,445.40M,-46.30M,4.00M,0.00,,14.20M,,,,,,
1997-05,155.70M,,,,,,73.50M,73.50M,-33.30M,,,-37.00M,,,,,701.30M,,107.40M,266.30M,,-148.30M,1.10M,-147.20M,,,11.70M,-135.50M,,,,31.90M,8.20M,,8.20M,,-28.90M,,-43.00M,-31.80M,,0.00,99.00M,45.50M,0.00,,8.20M,,,,,,
1997-02,237.20M,,,,,,36.60M,36.60M,-7.90M,,,13.30M,,,,,-347.40M,,-347.40M,-68.20M,,-130.00M,3.80M,-126.20M,,,-31.20M,-157.40M,,,,294.20M,4.90M,,4.90M,,-28.80M,,0.00,270.30M,,0.00,44.70M,-11.30M,0.00,,4.90M,,,,,,
1996-11,176.80M,,,,,,31.20M,31.20M,-11.90M,,,10.40M,,,,,-102.90M,,-102.90M,103.60M,,-113.30M,11.90M,-101.40M,,,-9.40M,-110.80M,,,,-113.40M,3.80M,,3.80M,,-21.70M,,0.00,-131.30M,,0.00,-138.50M,7.80M,0.00,,3.80M,,,,,,
1996-08,226.10M,,,,,,27.00M,27.00M,6.00M,,,13.30M,,,,,-251.00M,,-251.00M,21.40M,,-74.30M,7.50M,-66.80M,,,-25.80M,-92.60M,,,,175.50M,9.40M,,9.40M,,-21.50M,,43.00M,206.40M,,262.10M,135.20M,0.80M,0.00,,9.40M,,,,,,
1996-05,156.50M,,,7.00M,,,68.00M,68.00M,-55.10M,,,-23.50M,,,,,314.20M,,32.30M,185.20M,,-71.00M,7.80M,-63.20M,,,-22.60M,-85.80M,,,,-84.20M,5.40M,0.00,5.40M,,-21.50M,,,-100.30M,,0.00,-0.90M,3.50M,0.00,,5.40M,,,0.00,,,
1996-02,113.70M,,,0.00,,,23.40M,23.40M,-10.80M,,,5.40M,,,,,-98.20M,,-98.20M,33.50M,,-50.70M,1.90M,-48.80M,,,-0.90M,-49.70M,,,,86.90M,3.10M,0.00,3.10M,,-21.50M,,,68.50M,,0.00,52.30M,2.40M,0.00,,3.10M,,,0.00,,,
1995-11,118.20M,,,-8.60M,,,21.00M,21.00M,-10.60M,,,11.80M,,,,,-152.70M,,-152.70M,-20.90M,,-44.70M,2.00M,-42.70M,,,-4.40M,-47.10M,,,,116.60M,5.10M,0.00,5.10M,,-17.90M,,-0.10M,103.70M,,0.00,35.70M,-9.50M,0.00,,5.10M,,,0.00,,,
1995-08,164.80M,,,1.10M,,,20.00M,20.00M,3.20M,,,6.40M,,,,,-63.30M,,-63.30M,132.20M,,-50.00M,1.10M,-48.90M,,,1.50M,-47.40M,,,,-96.70M,7.60M,-18.80M,-11.20M,,-17.90M,,0.10M,-125.70M,,216.10M,-40.90M,3.40M,0.00,,7.60M,,,-18.80M,,,
1995-05,113.40M,,,,,,42.20M,42.20M,-29.00M,,,-6.80M,,,,,205.20M,,-3.80M,116.00M,,-58.10M,2.30M,-55.80M,,,-4.00M,-59.80M,,,,9.00M,2.80M,-71.70M,-68.90M,,-18.00M,,,-77.90M,,0.00,-21.70M,-5.00M,0.00,,2.80M,,,-71.70M,,,
1995-02,95.40M,,,,,,16.90M,16.90M,5.00M,,,0.30M,,,,,-164.10M,,-164.10M,-46.50M,,-36.00M,0.90M,-35.10M,,,-406.80M,-441.90M,,,,221.00M,1.60M,-11.20M,-9.60M,,-18.10M,,,193.30M,,0.00,-295.10M,-8.30M,0.00,,1.60M,,,-11.20M,,,
1994-11,84.90M,,,,,,16.30M,16.30M,-8.00M,,,2.20M,,,,,-27.40M,,-27.40M,68.00M,,-41.90M,1.60M,-40.30M,,,-3.40M,-43.70M,,,,-29.50M,0.40M,-60.00M,-59.60M,,-14.70M,,-0.10M,-103.90M,,0.00,-79.60M,11.70M,0.00,,0.40M,,,-60.00M,,,
1994-08,106.00M,,,,,,14.80M,14.80M,7.30M,,,3.00M,,,,,-13.70M,,-13.70M,117.40M,,-18.10M,4.20M,-13.90M,,,-22.10M,-36.00M,,,,26.50M,1.40M,,1.40M,,-14.60M,,0.10M,13.40M,,518.80M,94.80M,0.50M,0.00,,1.40M,,,,,,
1994-05,69.20M,,,,,,19.10M,19.10M,-20.20M,,,-3.60M,,,,,-54.00M,,178.50M,243.00M,,-39.60M,5.00M,-34.60M,,,-5.30M,-39.90M,,,,-10.10M,1.30M,-47.70M,-46.40M,,-15.00M,,0.10M,-71.40M,,0.00,131.70M,1.20M,0.00,,1.30M,,,-47.70M,,,
1994-02,63.20M,,,,,,16.60M,16.60M,1.20M,,,4.50M,,,,,-66.60M,,-66.60M,18.90M,,-10.10M,3.00M,-7.10M,,,-2.80M,-9.90M,,,,54.00M,1.30M,-38.50M,-37.20M,,-15.00M,,0.00,1.80M,,0.00,10.80M,-1.10M,0.00,,1.30M,,,-38.50M,,,
1993-11,52.30M,,,,,,14.60M,14.60M,-2.40M,,,3.00M,,,,,57.40M,,57.40M,124.90M,,-22.90M,4.40M,-18.50M,,,-0.50M,-19.00M,,,,-42.90M,0.80M,-39.60M,-38.80M,,-15.10M,,-0.20M,-97.00M,,0.00,8.90M,5.70M,0.00,,0.80M,,,-39.60M,,,
1993-08,114.10M,,,,,,14.20M,14.20M,-2.50M,,,0.70M,,,,,63.20M,,63.20M,189.70M,,-22.70M,0.30M,-22.40M,,,-0.40M,-22.80M,,,,-54.90M,0.90M,-14.30M,-13.40M,,-15.20M,,0.10M,-83.40M,,291.30M,83.50M,-13.10M,0.00,,0.90M,,,-14.30M,,,
1993-05,76.90M,,,,,,20.50M,20.50M,6.70M,,,-14.20M,,,,,256.10M,,58.90M,148.80M,,55.10M,2.10M,57.20M,,,-78.80M,-21.60M,,,,-24.40M,0.50M,,0.50M,,-11.30M,,-0.10M,-35.30M,,0.00,91.90M,2.30M,0.00,,0.50M,,,,,,
1993-02,89.50M,,,,,,14.50M,14.50M,-1.90M,,,9.20M,,,,,-150.90M,,-150.90M,-39.60M,,-105.80M,0.50M,-105.30M,,,-0.70M,-106.00M,,,,9.50M,2.30M,,2.30M,,-15.20M,,-0.10M,-3.50M,,0.00,-149.10M,-8.80M,0.00,,2.30M,,,,,,
1992-11,76.00M,,,,,,13.20M,13.20M,-2.30M,,,13.70M,,,,,-6.40M,,-6.40M,94.20M,,-21.60M,1.30M,-20.30M,,,-0.70M,-21.00M,,,,-38.90M,2.70M,,2.70M,,-15.20M,,0.10M,-51.30M,,0.00,21.90M,-19.30M,0.00,,2.70M,,,,,,
1992-08,122.60M,,,,,,12.20M,12.20M,1.80M,,,4.30M,,,,,-79.00M,,-79.00M,61.90M,,-24.70M,1.10M,-23.60M,,,-0.70M,-24.30M,,,,47.50M,1.60M,,1.60M,,-11.30M,,,37.80M,,260.10M,75.40M,16.90M,0.00,,1.60M,,,,,,
1992-05,70.70M,,,,,,14.10M,14.10M,14.70M,,,12.90M,,,,,74.40M,,106.60M,219.00M,,-38.10M,0.20M,-37.90M,,,-4.70M,-42.60M,,,,-45.10M,0.40M,,0.40M,,-11.30M,,0.00,-56.00M,,0.00,120.40M,-1.90M,0.00,,0.40M,,,,,,
1992-02,82.50M,,,,,,11.80M,11.80M,-5.40M,,,1.30M,,,,,-79.70M,,-79.70M,10.50M,,-27.20M,2.90M,-24.30M,,,-1.60M,-25.90M,,,,5.90M,0.80M,,0.80M,,-11.30M,,-0.10M,-4.70M,,0.00,-20.10M,4.90M,0.00,,0.80M,,,,,,
1991-11,61.60M,,,,,,11.30M,11.30M,-1.00M,,,1.10M,,,,,36.80M,,36.80M,109.80M,,-23.30M,0.90M,-22.40M,,,-0.50M,-22.90M,,,,-73.80M,2.00M,,2.00M,,-11.30M,,,-83.10M,,0.00,3.80M,4.90M,0.00,,2.00M,,,,,,
1991-08,114.40M,,,,,,10.50M,10.50M,-0.10M,,,4.00M,,,,,-31.50M,,-31.50M,97.30M,,-17.90M,0.10M,-17.80M,,,-0.70M,-18.50M,,,,-39.20M,1.00M,,1.00M,,-10.60M,,,-48.80M,,119.80M,30.00M,-1.70M,0.00,,1.00M,,,,,,
1991-05,58.60M,,,,,,11.10M,11.10M,-5.00M,,,8.70M,,,,,396.10M,,80.90M,154.30M,,-62.30M,0.60M,-61.70M,,,31.00M,-30.70M,,,,-370.30M,0.90M,,0.90M,,-10.50M,,269.20M,-110.70M,,0.00,12.90M,-11.60M,0.00,,0.90M,,,,,,
1991-02,70.70M,,,,,,9.80M,9.80M,1.90M,,,0.70M,,,,,-150.00M,,-150.00M,-66.90M,,-16.90M,0.20M,-16.70M,,,-76.50M,-93.20M,,,,167.50M,0.90M,,0.90M,,-10.60M,,0.20M,158.00M,,0.00,-2.10M,1.70M,0.00,,0.90M,,,,,,
1990-11,58.00M,,,,,,8.90M,8.90M,1.50M,,,1.00M,,,,,-119.40M,,-119.40M,-50.00M,,-52.30M,0.40M,-51.90M,,,-0.80M,-52.70M,,,,134.00M,0.10M,,0.10M,,-10.50M,,0.00,123.60M,,0.00,20.90M,2.80M,0.00,,0.10M,,,,,,
1990-08,99.70M,,,,,,4.70M,4.70M,-1.10M,,,0.20M,,,,,-126.70M,,-126.70M,-23.20M,,-33.30M,0.50M,-32.80M,,,-1.80M,-34.60M,,,,63.90M,1.30M,,1.30M,,-7.50M,,-0.10M,57.60M,,90.40M,-0.20M,4.90M,0.00,,1.30M,,,,,,
