,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,3.280B,3.280B,5.50M,,20.50M,-20.50M,3.30M,8.80M,20.50M,-20.50M,12.40M,-20.50M,678.70M,218.70M,460.00M,,,,460.00M,460.00M,22.80M,699.20M,,0.5325,0.00,,0.5325,0.5325,,0.5225,0.00,,0.5225,0.5225,,865.60M,880.00M,0.0063,,AOR,Restated
2003-12,3.170B,3.170B,6.30M,,23.70M,-23.70M,3.20M,9.50M,23.70M,-23.70M,12.10M,-23.70M,526.50M,168.70M,357.80M,,,,357.80M,357.80M,25.20M,550.20M,,0.415,0.00,,0.415,0.415,,0.4075,0.00,,0.4075,0.4075,,858.80M,873.60M,0.0063,,AOR,Restated
2003-09,3.081B,3.081B,6.70M,,24.00M,-24.00M,2.70M,9.40M,24.00M,-24.00M,41.60M,-24.00M,475.10M,155.30M,319.80M,,,,319.80M,319.80M,22.40M,499.10M,,0.3675,0.00,,0.3675,0.3675,,0.3625,0.00,,0.3625,0.3625,,867.60M,882.00M,0.0063,,AOR,Restated
2003-06,2.921B,2.921B,6.80M,,23.70M,-23.70M,2.30M,9.10M,23.70M,-23.70M,10.50M,-23.70M,424.80M,138.50M,286.30M,,,,286.30M,286.30M,21.50M,448.50M,,0.33,0.00,,0.33,0.33,,0.3225,0.00,,0.3225,0.3225,,870.40M,886.00M,0.0063,,AOR,Restated
2003-03,2.72B,2.72B,5.90M,,24.10M,-24.10M,3.30M,9.20M,24.10M,-24.10M,8.80M,-24.10M,433.30M,141.80M,291.50M,,,,291.50M,291.50M,20.20M,457.40M,,0.335,0.00,,0.335,0.335,,0.33,0.00,,0.33,0.33,,871.60M,885.20M,0.0063,,AOR,Restated
2002-12,2.548B,2.548B,5.60M,,20.80M,-20.80M,3.40M,9.00M,20.80M,-20.80M,8.50M,-20.80M,219.50M,67.30M,152.20M,,,,152.20M,152.20M,22.40M,240.30M,,0.175,0.00,,0.175,0.175,,0.1725,0.00,,0.1725,0.1725,,871.20M,888.00M,0.0063,,AOR,Restated
2002-09,2.419B,2.419B,5.90M,,17.60M,-17.60M,2.80M,8.70M,17.60M,-17.60M,9.20M,-17.60M,263.70M,85.20M,178.50M,,,,178.50M,178.50M,21.60M,281.30M,,0.205,0.00,,0.205,0.205,,0.20,0.00,,0.20,0.20,,871.60M,887.20M,0.0063,,AOR,
2002-06,2.259B,2.259B,5.40M,,18.10M,-18.10M,2.30M,7.70M,18.10M,-18.10M,8.80M,-18.10M,236.90M,76.50M,160.40M,,,,160.40M,160.40M,20.90M,255.00M,,0.1825,0.00,,0.1825,0.1825,,0.1775,0.00,,0.1775,0.1775,,879.20M,897.60M,0.0058,,AOR,
2002-03,2.069B,2.069B,5.10M,,18.10M,-18.10M,3.00M,8.10M,18.10M,-18.10M,7.80M,-18.10M,261.30M,85.10M,176.20M,,,,176.20M,176.20M,19.00M,279.40M,,0.20,0.00,,0.20,0.20,,0.195,0.00,,0.195,0.195,,882.00M,898.80M,0.0058,,AOR,
2001-12,1.992B,1.992B,4.90M,,14.20M,-14.20M,3.40M,8.30M,14.20M,-14.20M,7.10M,-14.20M,176.80M,52.10M,124.70M,,,,124.70M,124.70M,22.80M,191.00M,,0.1408,0.00,,0.1408,0.1408,,0.1392,0.00,,0.1392,0.1392,,882.80M,903.20M,0.0058,,AOR,Restated
2001-09,1.860B,1.860B,5.60M,,12.90M,-12.90M,2.10M,7.70M,12.90M,-12.90M,6.80M,-12.90M,138.20M,41.80M,96.40M,,,,96.40M,96.40M,20.60M,151.10M,,0.1092,0.00,,0.1092,0.1092,,0.1075,0.00,,0.1075,0.1075,,883.20M,900.00M,0.0058,,AOR,
2001-06,1.863B,1.863B,4.70M,,12.80M,-12.80M,2.50M,7.20M,12.80M,-12.80M,5.90M,-12.80M,149.20M,45.50M,103.70M,,,,103.70M,103.70M,19.50M,162.00M,,0.1167,0.00,,0.1167,0.1167,,0.115,0.00,,0.115,0.115,,886.80M,903.60M,0.0058,,AOR,
2001-03,1.774B,1.774B,4.60M,,12.30M,-12.30M,4.70M,9.30M,12.30M,-12.30M,4.90M,-12.30M,123.40M,36.80M,86.60M,,,,86.60M,86.60M,18.10M,135.70M,,0.0983,0.00,,0.0983,0.0983,,0.0967,0.00,,0.0967,0.0967,,883.20M,897.60M,0.0058,,AOR,
2000-12,1.765B,1.765B,5.10M,,18.10M,-18.10M,6.00M,11.10M,18.10M,-18.10M,5.30M,-18.10M,65.90M,17.90M,48.00M,,,,48.00M,48.00M,19.50M,84.00M,,0.055,0.00,,0.055,0.055,,0.0542,0.00,,0.0542,0.0542,,882.00M,895.20M,0.0058,,AOR,Restated
2000-09,1.752B,1.752B,5.50M,,19.80M,-19.80M,3.40M,8.90M,19.80M,-19.80M,5.00M,-19.80M,81.10M,22.30M,58.80M,,,,58.80M,58.80M,20.30M,100.90M,,0.0667,0.00,,0.0667,0.0667,,0.0658,0.00,,0.0658,0.0658,,879.60M,891.60M,0.0058,,AOR,
2000-06,1.653B,1.653B,5.30M,,20.00M,-20.00M,2.20M,7.50M,20.00M,-20.00M,5.00M,-20.00M,-33.40M,-19.30M,-14.10M,,,,-14.10M,-14.10M,19.40M,-13.40M,,-0.0158,0.00,,-0.0158,-0.0158,,-0.0158,0.00,,-0.0158,-0.0158,,877.20M,891.60M,0.0054,,AOR,
2000-03,1.602B,1.602B,,,19.90M,-19.90M,,,19.90M,-19.90M,80.50M,-19.90M,0.00,-35.20M,-46.60M,,,,-46.60M,-46.60M,18.40M,19.90M,,-0.0533,0.00,,-0.0533,-0.0533,,-0.0533,0.00,,-0.0533,-0.0533,,876.88M,887.69M,0.0054,,AOR,
1999-12,1.604B,1.604B,,,19.80M,-19.80M,,,19.80M,-19.80M,-281.30M,-19.80M,412.20M,-7.00M,3.80M,,,,3.80M,3.80M,22.10M,432.00M,,0.0045,0.00,,0.0045,0.0045,,0.0045,0.00,,0.0045,0.0045,,873.97M,888.26M,0.0054,,AOR,Restated
1999-09,1.585B,1.585B,,,19.70M,-19.70M,,,19.70M,-19.70M,126.00M,-19.70M,0.00,30.20M,74.00M,,,,74.00M,74.00M,19.20M,19.70M,,0.0841,0.00,,0.0841,0.0841,,0.0824,0.00,,0.0824,0.0824,,880.08M,897.86M,0.0054,,,
1999-06,1.525B,1.525B,,,20.10M,-20.10M,,,20.10M,-20.10M,120.10M,-20.10M,0.00,48.60M,112.10M,,,,112.10M,112.10M,15.50M,20.10M,,0.1282,0.00,,0.1282,0.1282,,0.1249,0.00,,0.1249,0.1249,,874.38M,897.70M,0.0054,,,
1999-03,1.41B,1.41B,,,16.80M,-16.80M,,,16.80M,-16.80M,87.90M,-16.80M,0.00,45.20M,105.30M,,,,105.30M,105.30M,15.00M,16.80M,,0.1207,0.00,,0.1207,0.1207,,0.1174,0.00,,0.1174,0.1174,,872.32M,897.06M,0.0054,,,
1998-12,1.339B,1.339B,,,15.10M,-15.10M,,,15.10M,-15.10M,-260.00M,-15.10M,661.10M,30.60M,78.50M,,,,78.50M,78.50M,15.10M,676.20M,,0.0904,0.00,,0.0904,0.0904,,0.0879,0.00,,0.0879,0.0879,,867.38M,890.10M,0.0054,,AOR,Restated
1998-09,1.363B,1.363B,,,14.70M,-14.70M,,,14.70M,-14.70M,81.60M,-14.70M,0.00,62.50M,135.10M,,,,135.10M,135.10M,13.80M,14.70M,,0.1548,0.00,,0.1548,0.1548,,0.1507,0.00,,0.1507,0.1507,,870.87M,897.30M,0.0054,,,
1998-06,1.335B,1.335B,,,15.20M,-15.20M,,,15.20M,-15.20M,107.40M,-15.20M,0.00,55.50M,123.00M,,,,123.00M,123.00M,14.30M,15.20M,,0.1415,0.00,,0.1415,0.1415,,0.1340,0.00,,0.1340,0.1340,,869.10M,917.68M,0.005,,,
1998-03,1.255B,1.255B,,,16.10M,-16.10M,,,16.10M,-16.10M,109.20M,-16.10M,0.00,55.80M,120.10M,,,,120.10M,120.10M,12.90M,16.10M,,0.1382,0.00,,0.1382,0.1382,,0.1315,0.00,,0.1315,0.1315,,869.06M,913.06M,0.005,,,
1997-12,1.320B,1.320B,,,16.20M,-16.20M,,,16.20M,-16.20M,-261.20M,-16.20M,578.50M,46.70M,105.20M,,,,105.20M,105.20M,11.70M,594.70M,,0.1370,0.00,,0.1370,0.1370,,0.1162,0.00,,0.1162,0.1162,,746.09M,886.48M,0.005,,AOR,
1997-09,1.203B,1.203B,,,16.20M,-16.20M,,,16.20M,-16.20M,125.30M,-16.20M,0.00,53.50M,116.20M,,,,116.20M,116.20M,9.80M,16.20M,,0.1282,0.00,,0.1282,0.1282,,0.1282,0.00,,0.1282,0.1282,,908.11M,909.31M,0.005,,,
1997-06,1.119B,1.119B,,,16.10M,-16.10M,,,16.10M,-16.10M,109.00M,-16.10M,0.00,46.70M,102.10M,,,,102.10M,102.10M,8.50M,16.10M,,0.1132,0.00,,0.1132,0.1132,,0.1132,0.00,,0.1132,0.1132,,900.90M,904.50M,0.005,,,
1997-03,966.50M,966.50M,,,16.10M,-16.10M,,,16.10M,-16.10M,72.20M,-16.10M,0.00,31.60M,76.50M,,,,76.50M,76.50M,6.60M,16.10M,,0.0849,0.00,,0.0849,0.0849,,0.0849,0.00,,0.0849,0.0849,,898.50M,898.50M,0.005,,,
1996-12,937.40M,937.40M,,,16.10M,-16.10M,,,16.10M,-16.10M,-150.80M,-16.10M,441.70M,39.90M,91.70M,,,,91.70M,91.70M,5.90M,457.80M,,0.1027,0.00,,0.1027,0.1027,,0.1002,0.00,,0.1002,0.1002,,966.83M,978.96M,0.005,,AOR,
1996-09,893.90M,893.90M,,,16.10M,-16.10M,,,16.10M,-16.10M,66.40M,-16.10M,0.00,32.60M,80.30M,,,,80.30M,80.30M,5.10M,16.10M,,0.0899,0.00,,0.0899,0.0899,,0.0899,0.00,,0.0899,0.0899,,888.89M,891.29M,0.005,,,
1996-06,848.10M,848.10M,,,15.00M,-15.00M,,,15.00M,-15.00M,63.60M,-15.00M,0.00,31.70M,78.40M,,,,78.40M,78.40M,7.60M,15.00M,,0.0841,0.00,,0.0841,0.0841,,0.0841,0.00,,0.0841,0.0841,,884.08M,885.28M,0.0046,,,
1996-03,799.00M,799.00M,,,14.30M,-14.30M,,,14.30M,-14.30M,67.00M,-14.30M,0.00,23.80M,63.40M,,,,63.40M,63.40M,5.20M,14.30M,,0.0683,0.00,,0.0683,0.0683,,0.0683,0.00,,0.0683,0.0683,,896.10M,896.10M,0.0046,,,
1995-12,782.90M,782.90M,,,14.30M,-14.30M,,,14.30M,-14.30M,-179.10M,-14.30M,345.90M,25.90M,66.40M,,,,66.40M,66.40M,5.30M,360.20M,,0.0719,0.00,,0.0719,0.0719,,0.0710,0.00,,0.0710,0.0710,,1.018B,1.030B,0.0046,,AOR,
1995-09,775.70M,775.70M,,,14.30M,-14.30M,,,14.30M,-14.30M,66.40M,-14.30M,0.00,25.00M,62.50M,,,,62.50M,62.50M,5.10M,14.30M,,0.0674,0.00,,0.0674,0.0674,,0.0674,0.00,,0.0674,0.0674,,892.49M,893.69M,0.0046,,,
1995-06,759.50M,759.50M,,,14.20M,-14.20M,,,14.20M,-14.20M,82.10M,-14.20M,0.00,23.70M,60.80M,,,,60.80M,60.80M,5.20M,14.20M,,0.0658,0.00,,0.0658,0.0658,,0.0658,0.00,,0.0658,0.0658,,888.89M,888.89M,0.0046,,,
1995-03,693.80M,693.80M,,,14.30M,-14.30M,,,14.30M,-14.30M,69.50M,-14.30M,0.00,20.80M,60.70M,,,,60.70M,60.70M,4.80M,14.30M,,0.0658,0.00,,0.0658,0.0658,,0.0658,0.00,,0.0658,0.0658,,888.89M,890.09M,0.0046,,,
1994-12,664.80M,664.80M,,,14.20M,-14.20M,,,14.20M,-14.20M,-121.00M,-14.20M,379.80M,43.70M,100.90M,,,,100.90M,100.90M,5.10M,394.00M,,0.1119,0.00,,0.1119,0.1119,,0.1119,0.00,,0.1119,0.1119,,997.24M,997.24M,0.0046,,AOR,
1994-09,634.10M,634.10M,,,13.80M,-13.80M,,,13.80M,-13.80M,61.80M,-13.80M,0.00,25.00M,64.80M,,,,64.80M,64.80M,5.90M,13.80M,,0.0708,0.00,,0.0708,0.0708,,0.0708,0.00,,0.0708,0.0708,,887.69M,887.69M,0.0046,,,
1994-06,594.00M,594.00M,,,13.80M,-13.80M,,,13.80M,-13.80M,57.40M,-13.80M,0.00,21.20M,60.50M,,,,60.50M,60.50M,4.30M,13.80M,,0.0658,0.00,,0.0658,0.0658,,0.0658,0.00,,0.0658,0.0658,,886.49M,887.69M,0.0042,,,
1994-03,522.40M,522.40M,,,13.50M,-13.50M,,,13.50M,-13.50M,43.70M,-13.50M,0.00,15.60M,48.10M,,,,48.10M,48.10M,4.00M,13.50M,,0.0516,0.00,,0.0516,0.0516,,0.0516,0.00,,0.0516,0.0516,,894.90M,894.90M,0.0042,,,
1993-12,509.70M,509.70M,,,11.30M,-11.30M,,,11.30M,-11.30M,-186.00M,-11.30M,373.10M,18.50M,53.40M,,,,53.40M,53.40M,3.80M,384.40M,,0.0561,0.00,,0.0561,0.0561,,0.0561,0.00,,0.0561,0.0561,,934.16M,935.08M,0.0042,,AOR,
1993-09,515.60M,515.60M,,,9.10M,-9.10M,,,9.10M,-9.10M,83.70M,-9.10M,0.00,34.20M,82.60M,,,,82.60M,82.60M,3.60M,9.10M,,0.0916,0.00,,0.0916,0.0916,,0.0907,0.00,,0.0907,0.0907,,901.99M,910.26M,0.0042,,,
1993-06,494.40M,494.40M,,,9.50M,-9.50M,,,9.50M,-9.50M,83.10M,-9.50M,0.00,32.70M,79.70M,,,,79.70M,79.70M,4.30M,9.50M,,0.0924,0.00,,0.0924,0.0924,,0.0924,0.00,,0.0924,0.0924,,862.48M,862.48M,0.0042,,,
1993-03,435.10M,435.10M,,,9.80M,-9.80M,,,9.80M,-9.80M,62.90M,-9.80M,0.00,20.40M,51.60M,,,,51.60M,51.60M,4.40M,9.80M,,0.0591,0.00,,0.0591,0.0591,,0.0591,0.00,,0.0591,0.0591,,872.98M,872.98M,0.0042,,,
1992-12,432.30M,432.30M,,,10.60M,-10.60M,,,10.60M,-10.60M,51.30M,-10.60M,0.00,4.20M,32.90M,0.00,,,32.90M,32.90M,4.90M,10.60M,,0.0408,0.0008,0.00,0.0408,0.0416,,0.0358,0.0008,-0.0020,0.0358,0.0366,,791.42M,858.85M,0.0042,,,
1992-09,412.50M,412.50M,,,11.20M,-11.20M,,,11.20M,-11.20M,51.60M,-11.20M,0.00,16.40M,44.70M,,,,44.70M,44.70M,5.80M,11.20M,,0.0583,0.00,,0.0583,0.0583,,0.0516,0.00,,0.0516,0.0516,,767.05M,866.03M,0.0039,,,
1992-06,507.00M,507.00M,,,11.20M,-11.20M,,,11.20M,-11.20M,154.40M,-11.20M,0.00,13.10M,40.10M,,,,40.10M,40.10M,6.40M,11.20M,,0.0500,0.00,,0.0500,0.0500,,0.0441,0.00,,0.0441,0.0441,,802.80M,908.82M,0.0039,,,
1992-03,387.00M,387.00M,,,11.40M,-11.40M,,,11.40M,-11.40M,55.50M,-11.40M,0.00,5.30M,21.90M,14.20M,,,36.10M,21.90M,7.20M,11.40M,,0.0258,0.0183,0.00,0.0258,0.0441,,0.0233,0.0158,0.0154,0.0233,0.0391,,818.17M,922.61M,0.0039,,,
1991-12,379.20M,379.20M,,,12.10M,-12.10M,,,12.10M,-12.10M,53.50M,-12.10M,,,-13.70M,,,,-13.70M,-13.70M,7.70M,-1.60M,,-0.0191,0.00,,-0.0191,-0.0191,,-0.0191,0.00,,-0.0191,-0.0191,,1.232B,1.232B,0.0036,,,
1991-09,387.40M,387.40M,,,11.80M,-11.80M,,,11.80M,-11.80M,53.90M,-11.80M,0.00,4.20M,11.20M,,,,11.20M,11.20M,8.50M,11.80M,,0.0117,0.00,,0.0117,0.0117,,0.0108,0.00,,0.0108,0.0108,,960.96M,960.96M,0.0036,,,
1991-06,373.60M,373.60M,,,11.80M,-11.80M,,,11.80M,-11.80M,50.80M,-11.80M,0.00,-6.00M,9.70M,,,,9.70M,9.70M,6.00M,11.80M,,0.0108,0.00,,0.0108,0.0108,,0.0108,0.00,,0.0108,0.0108,,896.24M,896.24M,0.0036,,,
1991-03,352.90M,352.90M,,,12.10M,-12.10M,,,12.10M,-12.10M,48.00M,-12.10M,0.00,3.30M,25.70M,,,,25.70M,25.70M,6.20M,12.10M,,0.0308,0.00,,0.0308,0.0308,,0.0283,0.00,,0.0283,0.0283,,834.33M,907.97M,0.0036,,,
1990-12,-898.80M,-898.80M,,,11.60M,-11.60M,,,11.60M,-11.60M,,-11.60M,0.00,-21.10M,11.10M,,,,11.10M,11.10M,,11.60M,,0.0142,0.00,,0.0142,0.0142,,0.0125,0.00,,0.0125,0.0125,,834.16M,919.45M,0.0033,,,
1990-09,348.00M,348.00M,,,12.70M,-12.70M,,,12.70M,-12.70M,44.50M,-12.70M,0.00,-1.40M,18.10M,,,,18.10M,18.10M,3.60M,12.70M,,0.0208,0.00,,0.0208,0.0208,,0.0200,0.00,,0.0200,0.0200,,869.65M,905.91M,0.0033,,,
1990-06,345.90M,345.90M,,,12.10M,-12.10M,,,12.10M,-12.10M,48.70M,-12.10M,0.00,8.50M,36.80M,,,,36.80M,36.80M,3.70M,12.10M,,0.0416,0.00,,0.0416,0.0416,,0.0383,0.00,,0.0383,0.0383,,884.08M,960.96M,0.0033,,,
1990-03,341.60M,341.60M,,,12.00M,-12.00M,,,12.00M,-12.00M,50.10M,-12.00M,0.00,6.10M,27.40M,,,,27.40M,27.40M,4.10M,12.00M,,0.0283,0.00,,0.0283,0.0283,,0.0283,0.00,,0.0283,0.0283,,968.03M,968.03M,0.0033,,,
1989-12,335.40M,335.40M,,,12.30M,-12.30M,,,12.30M,-12.30M,40.90M,-12.30M,0.00,-4.30M,0.30M,,,,0.30M,0.30M,4.80M,12.30M,,0.0003,,,0.0003,0.0003,,0.0003,,,0.0003,0.0003,,916.23M,916.23M,0.0031,,,
1989-09,354.80M,354.80M,,,12.20M,-12.20M,,,12.20M,-12.20M,54.60M,-12.20M,0.00,2.30M,23.70M,,,,23.70M,23.70M,4.50M,12.20M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,1.017B,1.017B,0.0031,,,
1989-06,353.60M,353.60M,,,12.40M,-12.40M,,,12.40M,-12.40M,55.60M,-12.40M,0.00,6.30M,31.50M,,,,31.50M,31.50M,4.20M,12.40M,,0.0325,0.00,,0.0325,0.0325,,0.0308,0.00,,0.0308,0.0308,,970.19M,1.023B,0.0031,,,
1989-03,348.90M,348.90M,,,12.40M,-12.40M,,,12.40M,-12.40M,45.10M,-12.40M,0.00,3.80M,22.50M,,,,22.50M,22.50M,3.90M,12.40M,,0.0225,0.00,,0.0225,0.0225,,0.0225,0.00,,0.0225,0.0225,,1.001B,1.001B,0.0031,,,
1988-12,435.50M,435.50M,,,,,,,,,,,,,28.70M,,,,28.70M,28.70M,,,,0.0300,0.00,,0.0300,0.0300,,0.0275,0.00,,0.0275,0.0275,,949.73M,1.044B,0.0028,,,
1988-09,312.10M,312.10M,,,,,,,,,,,,,25.60M,,,,25.60M,25.60M,,,,0.0258,0.00,,0.0258,0.0258,,0.0250,0.00,,0.0250,0.0250,,991.94M,1.025B,0.0028,,,
1988-06,307.90M,307.90M,,,,,,,,,,,,,23.60M,,,,23.60M,23.60M,,,,0.0225,0.00,,0.0225,0.0225,,0.0208,0.00,,0.0208,0.0208,,1.050B,1.134B,0.0028,,,
1988-03,289.20M,289.20M,,,,,,,,,,,,,30.80M,,,,30.80M,30.80M,,,,0.0291,0.00,,0.0291,0.0291,,0.0291,0.00,,0.0291,0.0291,,1.057B,1.057B,0.0028,,,
1987-12,296.30M,296.30M,,,,,,,,,,,,,23.60M,,,,23.60M,23.60M,,,,0.0225,0.00,,0.0225,0.0225,,0.0225,0.00,,0.0225,0.0225,,1.050B,1.050B,0.0028,,,
1987-09,259.40M,259.40M,,,,,,,,,,,,,25.00M,,,,25.00M,25.00M,,,,0.0241,0.00,,0.0241,0.0241,,0.0241,0.00,,0.0241,0.0241,,1.035B,1.035B,0.0028,,,
1987-06,234.80M,234.80M,,,,,,,,,,,,,22.40M,,,,22.40M,22.40M,,,,0.0216,0.00,,0.0216,0.0216,,0.0216,0.00,,0.0216,0.0216,,1.035B,1.035B,0.0004,,,
1987-03,209.40M,209.40M,,,,,,,,,,,,,20.30M,,,,20.30M,20.30M,,,,0.0191,0.00,,0.0191,0.0191,,0.0191,0.00,,0.0191,0.0191,,1.060B,1.060B,0.0004,,,
1986-12,242.40M,242.40M,,,,,,,,,,,,,3.40M,,,,3.40M,3.40M,,,,0.0117,0.00,,0.0117,0.0117,,0.0117,0.00,,0.0117,0.0117,,1.009B,1.009B,0.0004,,,
1986-09,177.30M,177.30M,,,,,,,,,,,,,12.30M,,,,12.30M,12.30M,,,,0.0117,0.00,,0.0117,0.0117,,0.0117,0.00,,0.0117,0.0117,,1.055B,1.055B,0.0004,,,
1986-06,162.60M,162.60M,,,,,,,,,,,,,18.40M,,,,18.40M,18.40M,,,,0.0183,0.00,,0.0183,0.0183,,0.0183,0.00,,0.0183,0.0183,,1.005B,1.005B,0.0004,,,
1986-03,149.60M,149.60M,,,,,,,,,,,,,13.70M,,,,13.70M,13.70M,,,,0.0133,0.00,,0.0133,0.0133,,0.0133,0.00,,0.0133,0.0133,,1.029B,1.029B,0.0001,,,
1985-12,173.30M,173.30M,,,,,,,,,,,,,9.40M,,,,9.40M,9.40M,,,,0.0117,0.00,,0.0117,0.0117,,0.0117,0.00,,0.0117,0.0117,,806.86M,806.86M,0.0001,,,
1985-09,124.60M,124.60M,,,,,,,,,,,,,4.20M,,,,4.20M,4.20M,,,,0.0050,0.00,,0.0050,0.0050,,0.0050,0.00,,0.0050,0.0050,,840.84M,840.84M,0.0001,,,
1985-06,113.70M,113.70M,,,,,,,,,,,,,5.90M,,,,5.90M,5.90M,,,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,787.40M,787.40M,0.0001,,,
1985-03,96.00M,96.00M,,,,,,,,,,,,,6.00M,,,,6.00M,6.00M,,,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,800.75M,800.75M,0.0001,,,
1984-12,89.10M,89.10M,,,,,,,,,,,,,4.50M,,,,4.50M,4.50M,,,,0.0058,0.00,,0.0058,0.0058,,0.0058,0.00,,0.0058,0.0058,,772.27M,772.27M,,,,
1984-09,78.80M,78.80M,,,,,,,,,,,,,2.60M,,,,2.60M,2.60M,,,,0.0033,0.00,,0.0033,0.0033,,0.0033,0.00,,0.0033,0.0033,,780.78M,780.78M,,,,
1984-06,72.70M,72.70M,,,,,,,,,,,,,6.00M,,,,6.00M,6.00M,,,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,800.75M,800.75M,,,,
1984-03,67.20M,67.20M,,,,,,,,,,,,,5.10M,,,,5.10M,5.10M,,,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,765.77M,765.77M,,,,
