,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-12,70.64M,,,0.045M,-151.04M,141.20M,141.20M,63.46M,,,,-2.829B,,,,,1.828B,-877.34M,,-175.75M,-175.75M,,0.00,445.41M,-1.034B,-764.21M,,519.02M,1.329B,1.848B,,,-91.44M,,,,,,-263.17M,,4.441M,2.836B,,3.639B,1.194B,4.745B,,,1.766B,-1.247B,,,,
2007-09,394.16M,,,-23.99M,148.35M,116.74M,116.74M,6.706M,,,,3.235B,,,,,-3.739B,161.94M,,-112.78M,-112.78M,,0.00,787.36M,-419.58M,255.00M,,1.546B,-298.28M,1.247B,,,-192.36M,,,,,,-251.21M,,-0.133M,-807.26M,,4.029B,-390.32M,3.639B,,,3.200B,-1.655B,,,,
2007-06,453.31M,,,32.81M,-167.83M,115.02M,115.02M,-21.73M,,,,19.80M,,,,,-242.16M,156.41M,,-112.57M,-112.57M,,0.00,609.65M,102.72M,599.80M,,694.81M,-426.77M,268.04M,,,-653.66M,,,,,,-253.58M,,3.759M,-910.86M,,4.184B,-154.66M,4.029B,,,1.905B,-1.210B,,,,
2007-03,332.98M,,,-0.304M,146.34M,149.56M,149.56M,-172.18M,,,,40.04M,,,,,3.349B,3.846B,,-52.72M,-52.72M,,5.70M,353.52M,926.19M,1.233B,,-49.53M,849.06M,799.53M,,,-270.93M,,,,,,-267.47M,,0.417M,-5.612B,,4.717B,-533.83M,4.184B,,,62.72M,-112.25M,,,,
2006-12,361.55M,,,-8.115M,14.33M,107.09M,107.09M,31.85M,,,,72.39M,,,,,1.847B,2.435B,,-42.48M,-42.48M,,,1.304B,-1.012B,1.466B,,-907.16M,-2.291B,-3.198B,,,-109.44M,,,,,,-416.15M,,12.61M,-2.191B,,3.007B,1.710B,4.717B,,,605.38M,-1.513B,,,,
2006-09,351.66M,,,13.14M,28.80M,70.20M,70.20M,31.66M,,,,44.09M,,,,,-141.00M,385.39M,,-9.954M,-9.954M,,,-467.83M,-373.51M,-851.30M,,-802.97M,583.46M,-219.51M,,,8.675M,,,,,,-159.12M,,8.468M,403.13M,,3.070B,-62.78M,3.007B,,,105.99M,-908.96M,,,,
2006-06,345.26M,,,-13.14M,-39.79M,71.42M,71.42M,-8.265M,,,,28.20M,,,,,-677.55M,-280.73M,,-27.79M,-27.79M,,,-15.42M,-700.51M,-743.72M,,-328.34M,832.54M,504.20M,,,-101.11M,,,,,,-159.63M,,0.303M,1.129B,,2.965B,104.56M,3.070B,,,54.75M,-383.09M,,,,
2006-03,294.68M,,,-0.011M,-2.931M,73.68M,73.68M,5.86M,,,,-3.105M,,,,,-65.34M,302.84M,,-14.43M,-14.43M,,,-1.226M,-86.51M,-102.17M,,-349.97M,-70.23M,-420.20M,,,-24.16M,,,,,,-159.91M,,11.07M,-452.20M,,3.217B,-251.52M,2.965B,,,49.92M,-399.90M,,,,
2005-12,254.00M,,,17.61M,16.67M,60.63M,60.63M,-65.63M,,,,308.40M,,,,,363.98M,938.06M,,118.30M,118.30M,,,-100.83M,-280.39M,-262.92M,,-246.21M,-667.54M,-913.75M,,,-107.10M,,,,,,-155.75M,,6.198M,-257.32M,,2.684B,417.82M,3.217B,,,65.36M,-311.58M,,,,
2005-09,256.56M,,,20.72M,16.58M,80.42M,80.42M,10.51M,,,,-232.66M,,,,,701.83M,833.23M,,-130.10M,-130.10M,,,127.68M,41.04M,38.62M,,-78.70M,876.61M,797.91M,,,-122.19M,,,,,,-156.62M,,-10.63M,-897.31M,,2.710B,-25.46M,2.684B,,,756.04M,-834.74M,,,,
2005-06,248.35M,,,-53.40M,-51.79M,78.66M,78.66M,-4.166M,,,,287.46M,,,,,-632.84M,-74.32M,,-79.22M,-79.22M,,,143.51M,-295.62M,-231.33M,,131.81M,-695.52M,-563.71M,,,-40.80M,,,,,,-157.75M,,-4.895M,515.92M,,2.499B,210.26M,2.710B,,,169.61M,-37.80M,,,,
2005-03,241.64M,,,33.97M,34.28M,77.87M,77.87M,5.551M,,,,-195.93M,,,,,55.85M,219.26M,,-50.52M,-50.52M,,,212.37M,-479.15M,-317.31M,,-85.67M,-542.89M,-628.56M,,,-116.43M,,,,,,-158.50M,,9.331M,26.38M,,2.571B,-71.67M,2.499B,,,47.20M,-132.88M,,,,
2004-12,236.46M,,,-0.197M,-0.137M,105.94M,105.94M,7.228M,,,,-575.10M,,,,,330.38M,104.78M,,-19.79M,-19.79M,,6.140B,-510.75M,-152.05M,5.458B,,-288.28M,-896.50M,-1.185B,,,-6.005B,,,,,,-155.28M,,2.541M,-5.265B,,2.292B,297.04M,2.686B,,,1.202B,-1.490B,,,,
2004-09,256.75M,,,-49.94M,-49.74M,44.93M,44.93M,11.39M,,,,104.82M,,,,,-295.67M,72.48M,,-43.47M,-43.47M,,-5.095B,2.215B,-1.212B,-4.135B,,242.00M,-1.143B,-900.90M,,,6.076B,,,,,,-154.06M,,19.84M,4.290B,,2.065B,227.39M,2.292B,,,279.52M,-37.51M,,,,
2004-06,162.02M,,,-0.149M,-0.196M,48.97M,48.97M,-16.81M,,,,193.82M,,,,,773.62M,1.161B,,-26.75M,-26.75M,,,-478.70M,-800.89M,-1.306B,,-1.188B,-1.076B,-2.264B,,,14.34M,,,,,,-90.51M,,-25.45M,645.10M,,1.565B,500.19M,2.065B,,,-1.174M,-1.187B,,,,
2004-03,168.54M,,,-12.80M,-12.73M,46.33M,46.33M,40.08M,,,,-166.59M,,,,,-342.02M,-266.39M,,-19.03M,-19.03M,,,645.35M,-577.10M,49.22M,,50.49M,1.462B,1.513B,,,-141.58M,,,,,,-89.97M,,-26.00M,-51.85M,,1.834B,-269.02M,1.565B,,,54.99M,-4.493M,,,,
2003-12,163.75M,,,6.832M,4.658M,130.31M,130.31M,24.44M,,,,-55.33M,,,,,114.87M,382.70M,,-22.16M,-22.16M,,,-490.26M,617.99M,275.57M,,99.24M,-535.40M,-436.16M,,,-14.07M,,,,,,-71.02M,,50.98M,-540.19M,,1.716B,118.08M,1.834B,,,613.01M,-513.78M,,,,
2003-09,164.72M,,,-6.793M,-6.659M,-39.07M,-39.07M,19.21M,,,,126.68M,,,,,96.50M,361.38M,,-20.91M,-20.91M,,,862.08M,-958.71M,-117.53M,,143.50M,-1.131B,-987.26M,,,-17.34M,,,,,,-71.16M,,-9.838M,-335.42M,,1.807B,-91.57M,1.716B,,,555.69M,-412.19M,,,,
2003-06,164.77M,,,-15.80M,-15.90M,47.04M,47.04M,-11.55M,,,,52.12M,,,,,130.79M,367.27M,,-18.29M,-18.29M,,,53.42M,-486.04M,-450.91M,,47.32M,861.62M,908.93M,,,15.67M,,,,,,-66.75M,,-51.48M,303.28M,,1.588B,219.64M,1.807B,,,48.24M,-0.922M,,,,
2003-03,158.60M,,,-9.898M,-9.983M,42.10M,42.10M,-16.09M,,,,26.44M,,,,,-386.04M,-184.98M,,-8.76M,-8.76M,,,-606.08M,-70.51M,-685.35M,,6.023M,1.146B,1.152B,,,6.092M,,,,,,-66.55M,,11.07M,545.70M,,1.912B,-324.63M,1.588B,,,7.939M,-1.916M,,,,
2002-12,156.23M,,,-25.23M,-25.22M,32.40M,32.40M,3.79M,,,,58.02M,,,,,-19.22M,206.01M,,-14.70M,-14.70M,,,789.64M,-606.72M,229.44M,,-157.64M,-547.84M,-705.48M,,,5.041M,,,,,,-64.18M,,24.26M,10.80M,,1.466B,446.25M,1.912B,,,17.92M,-175.56M,,,,
2002-09,156.48M,,,-22.64M,-22.71M,65.41M,65.41M,8.182M,,,,37.64M,,,,,-95.32M,149.68M,,-17.05M,-17.05M,,,-323.22M,-861.05M,-1.201B,,174.28M,-270.36M,-96.07M,,,8.014M,,,,,,-64.23M,,-17.78M,975.87M,,1.542B,-75.77M,1.466B,,,182.79M,-8.501M,,,,
2002-06,153.13M,,,-1.928M,-2.002M,40.54M,40.54M,10.69M,,,,33.09M,,,,,-416.16M,-180.72M,,-15.71M,-15.71M,,,-987.43M,152.08M,-851.06M,,658.25M,448.29M,1.107B,,,-310.77M,,,,,,-64.08M,,-16.20M,1.414B,,1.160B,381.76M,1.542B,,,666.11M,-7.86M,,,,
2002-03,154.06M,,,-1.856M,-1.991M,36.87M,36.87M,6.342M,,,,33.22M,,,,,-65.91M,162.60M,,-18.68M,-18.68M,,,395.16M,536.04M,912.53M,,-36.46M,352.70M,316.24M,,,-31.72M,,,,,,-66.72M,,6.185M,-1.247B,,1.332B,-172.06M,1.160B,,,,-36.46M,,,,
2001-12,138.18M,,,-27.10M,-29.55M,46.96M,46.96M,11.28M,,,,84.76M,,,,,-653.86M,-402.22M,,-21.04M,-21.04M,,73.37M,883.30M,156.41M,1.092B,,-98.04M,-1.093B,-1.192B,,,2.501M,,,,,,-64.42M,,19.58M,-649.79M,,1.292B,40.02M,1.332B,,,9.295M,-107.33M,,,,
2001-09,135.20M,,,-4.534M,-0.175M,53.00M,53.00M,6.719M,,,,28.02M,,,,,170.70M,393.46M,,-20.96M,-20.96M,,0.00,-517.34M,45.92M,-492.38M,,-126.31M,801.10M,674.78M,,,-7.027M,,,,,,-63.78M,,-25.41M,-7.759M,,1.399B,-106.67M,1.292B,,,2.00M,-128.31M,,,,
2001-06,112.80M,,,0.008M,-0.765M,41.88M,41.88M,9.137M,,,,30.96M,,,,,-316.60M,-122.58M,,-23.40M,-23.40M,,0.00,477.87M,732.62M,1.187B,,-101.64M,-685.33M,-786.97M,,,-38.80M,,,,,,-63.70M,,-37.79M,-951.08M,,1.285B,113.43M,1.399B,,,197.10M,-298.74M,,,,
2001-03,122.75M,,,-0.475M,-1.615M,36.90M,36.90M,-3.444M,,,,28.51M,,,,,-83.88M,99.23M,,-17.99M,-17.99M,,-92.81M,589.87M,-308.99M,170.09M,,551.81M,410.59M,962.40M,,,-354.12M,,,,,,-58.35M,,-0.44M,-290.38M,,1.306B,-21.06M,1.285B,,,946.39M,-394.58M,,,,
2000-12,128.37M,,,0.005M,70.17M,33.36M,33.36M,39.23M,,,,-344.16M,,,,,224.15M,151.12M,,-88.40M,-88.40M,,-218.76M,295.50M,-15.99M,-27.66M,,85.63M,-389.03M,-303.41M,,,-47.74M,,,,,,-59.56M,,233.64M,-140.46M,,1.323B,-17.00M,1.306B,,,251.11M,-165.48M,,,,
2000-09,127.86M,,,-0.028M,-3.943M,35.39M,35.39M,71.24M,,,,137.90M,,,,,-104.58M,263.87M,,-16.35M,-16.35M,,218.76M,315.32M,-604.36M,-86.62M,,2.022B,-1.035B,986.98M,,,-26.65M,,,,,,-59.90M,,-29.70M,-66.70M,,1.213B,110.55M,1.323B,,,2.200B,-177.84M,,,,
2000-06,125.29M,,,39.95M,-66.87M,34.87M,34.87M,-9.522M,,,,90.09M,,,,,-50.68M,123.17M,,-26.46M,-26.46M,,,-51.46M,-1.108B,-1.186B,,337.74M,594.78M,932.52M,,,-34.74M,,,,,,-59.38M,,-31.66M,1.176B,,1.100B,112.71M,1.213B,,,746.10M,-408.36M,,,,
2000-03,146.00M,,,,39.40M,34.70M,34.70M,-5.86M,,,,179.94M,,,,,21.69M,415.88M,,-18.84M,-18.84M,,,1.732B,-761.77M,951.31M,,281.55M,-3.736B,-3.455B,,,-37.38M,,,,,,-59.62M,,13.53M,-1.727B,,1.459B,-359.33M,1.100B,,,446.94M,-165.39M,,,,
1999-12,129.10M,,,-29.60M,-29.60M,35.90M,35.90M,3.90M,,,,21.40M,,,,,579.30M,740.00M,,-25.30M,-25.30M,,,-1.203B,-592.80M,-1.822B,,1.380B,-41.80M,1.338B,,,-39.00M,,,,,,-54.50M,,42.30M,1.201B,,1.340B,119.90M,1.460B,,,2.421B,-1.041B,,,,
1999-09,117.80M,,,29.40M,29.00M,32.50M,32.50M,3.40M,,,,370.20M,,,,,-309.10M,243.80M,,-22.60M,-22.60M,,,-754.90M,-861.70M,-1.639B,,-17.20M,216.80M,199.60M,,,-170.10M,,,,,,-55.10M,,-24.60M,1.326B,,1.409B,-69.10M,1.340B,,,311.50M,-328.70M,,,,
1999-06,149.12M,,,,-0.499M,31.01M,31.01M,-0.56M,,,,-194.32M,,,,,104.16M,88.91M,,-32.90M,-32.90M,,,89.60M,-1.071B,-1.014B,,-109.10M,1.939B,1.830B,,,-10.40M,,,,,,-56.00M,,-18.60M,1.041B,,1.293B,115.60M,1.409B,,,301.10M,-410.20M,,,,
1999-03,129.38M,,,,-0.501M,31.39M,31.39M,3.46M,,,,-93.58M,,,,,-143.36M,-73.21M,,-30.30M,-30.30M,,,-945.00M,-571.80M,-1.547B,,-82.60M,997.90M,915.30M,,,-22.10M,,,,,,-56.30M,,15.90M,1.060B,,1.853B,-559.90M,1.293B,,,120.90M,-203.50M,,,,
1998-12,127.00M,,,-7.00M,-4.40M,31.20M,31.20M,-39.70M,,,,11.30M,,,,,-594.70M,-469.30M,,-87.90M,-87.90M,,,-256.10M,208.90M,-135.10M,,104.10M,602.10M,706.20M,,,-179.30M,,,,,,-51.40M,,40.30M,1.114B,,0.00,509.80M,1.853B,,,-152.40M,256.50M,,,,
1998-09,51.30M,,,3.00M,0.00,52.90M,52.90M,42.60M,,,,390.90M,,,,,-186.50M,351.20M,,-44.60M,-44.60M,,,-504.90M,-486.50M,-1.036B,,52.20M,198.30M,250.50M,,,75.70M,,,,,,-50.70M,,-47.40M,468.30M,,0.00,-216.50M,0.00,,,98.00M,-45.80M,,,,
1998-06,126.30M,,,-2.90M,-2.60M,27.80M,27.80M,5.50M,,,,-279.70M,,,,,-136.40M,-259.10M,,-23.70M,-23.70M,,,-176.90M,-411.20M,-611.80M,,-6.90M,958.40M,951.50M,,,2.80M,,,,,,-45.00M,,-77.60M,652.10M,,0.00,-218.70M,0.00,,,199.50M,-206.40M,,,,
1998-03,117.10M,,,-0.10M,-0.50M,26.10M,26.10M,-2.80M,,,,-36.40M,,,,,-29.40M,74.10M,,-21.20M,-21.20M,,,-388.00M,-32.00M,-441.20M,,-76.50M,27.80M,-48.70M,,,-72.50M,,,,,,-44.50M,,-15.40M,675.80M,,1.470B,308.60M,0.00,,,13.90M,-90.40M,,,,
1997-12,107.30M,,,-0.50M,0.70M,-6.30M,-6.30M,17.50M,,,,57.90M,,,,,-122.70M,54.40M,,-19.70M,-19.70M,,,-229.40M,-926.50M,-1.176B,,-4.70M,428.30M,423.60M,,,-10.50M,,,,,,-38.60M,,127.20M,982.90M,,0.00,-138.30M,1.470B,,,10.50M,-15.20M,,,,
1997-09,138.40M,,,,0.00,40.80M,40.80M,-0.70M,,,,61.70M,,,,,-41.30M,198.90M,,-22.80M,-22.80M,,,116.00M,-642.10M,-548.90M,,-56.80M,159.80M,103.00M,,,-16.60M,,,,,,-54.80M,,-17.20M,496.40M,,0.00,146.40M,0.00,,,12.70M,-69.50M,,,,
1997-06,83.10M,,,0.50M,0.70M,18.80M,18.80M,-1.60M,,,,13.30M,,,,,-1.80M,112.50M,,-9.80M,-9.80M,,,10.20M,-573.10M,-572.70M,,-87.00M,460.50M,373.50M,,,-14.30M,,,,,,-29.40M,,-38.00M,602.10M,,0.00,141.90M,0.00,,,96.30M,-183.30M,,,,
1997-03,68.70M,,,-0.50M,-1.20M,14.60M,14.60M,-4.50M,,,,19.20M,,,,,-16.10M,80.70M,,-10.80M,-10.80M,,,65.80M,-165.60M,-110.60M,,-9.60M,-209.30M,-218.90M,,,1.80M,,,,,,-26.60M,,7.10M,-170.70M,,795.70M,-200.60M,0.00,,,2.00M,-11.60M,,,,
1996-12,153.00M,,,-3.60M,-3.60M,16.10M,16.10M,15.70M,,,,104.60M,,,,,-69.70M,216.10M,,-36.80M,-36.80M,,,71.80M,-728.40M,-693.40M,,-14.50M,209.60M,195.10M,,,-19.40M,,,,,,-51.00M,,66.60M,478.30M,,0.00,1.00M,0.00,,,201.30M,-215.80M,,,,
1996-09,50.60M,,,-0.10M,-0.30M,13.30M,13.30M,-3.00M,,,,6.80M,,,,,55.90M,123.30M,,-7.70M,-7.70M,,,166.70M,-47.40M,111.60M,,-8.80M,86.50M,77.70M,,,5.50M,,,,,,-21.90M,,-4.80M,-109.30M,,0.00,125.50M,0.00,,,5.70M,-14.50M,,,,
1996-06,61.50M,,,-0.30M,-1.00M,12.00M,12.00M,-3.80M,,,,20.90M,,,,,-98.00M,-8.40M,,-10.20M,-10.20M,,,458.40M,-763.20M,-315.00M,,-43.60M,151.00M,107.40M,,,-82.90M,,,,,,-21.80M,,-33.40M,401.40M,,0.00,78.10M,0.00,,,2.00M,-45.60M,,,,
1996-03,52.80M,,,0.10M,0.30M,11.10M,11.10M,-2.50M,,,,0.80M,,,,,-38.60M,23.90M,,-13.30M,-13.30M,,,-587.00M,7.80M,-592.50M,,-130.40M,56.00M,-74.40M,,,-6.40M,,,,,,-21.80M,,-1.50M,580.90M,,653.50M,12.30M,0.00,,,0.70M,-131.10M,,,,
1995-12,69.70M,,,0.40M,0.40M,20.40M,20.40M,21.60M,,,,8.20M,,,,,2.20M,122.50M,,-14.70M,-14.70M,,,-77.90M,-96.80M,-189.40M,,-21.50M,-303.80M,-325.30M,,,-23.40M,,,,,,-31.90M,,35.60M,-131.60M,,0.00,-198.50M,0.00,,,23.10M,-44.60M,,,,
1995-09,45.90M,,,0.10M,0.10M,-1.70M,-1.70M,-2.90M,,,,29.70M,,,,,-21.30M,49.80M,,-8.20M,-8.20M,,,-404.50M,157.00M,-255.70M,,-11.90M,376.90M,365.00M,,,0.30M,,,,,,-15.20M,,-22.10M,287.10M,,0.00,81.30M,0.00,,,2.30M,-14.20M,,,,
1995-06,42.00M,,,-0.10M,-0.10M,8.60M,8.60M,-7.60M,,,,5.10M,,,,,-39.50M,8.50M,,-7.60M,-7.60M,,,-103.00M,-118.10M,-228.70M,,94.30M,96.10M,190.40M,,,-17.90M,,,,,,-15.00M,,-48.80M,266.30M,,0.00,45.90M,0.00,,,100.50M,-6.20M,,,,
1995-03,40.20M,,,,,7.80M,7.80M,3.20M,,,,5.20M,,,,,44.10M,100.50M,,-12.70M,-12.70M,,,120.10M,-95.50M,11.90M,,-34.40M,-248.50M,-282.90M,,,-18.40M,,,,,,-14.90M,,-24.00M,-198.10M,,596.20M,-85.60M,0.00,,,,-34.40M,,,,
1994-12,37.30M,,,,-4.70M,7.80M,7.80M,9.60M,,,,158.50M,,,,,-33.00M,175.50M,,3.80M,3.80M,,,-1.292B,1.392B,103.90M,,708.70M,-530.60M,178.10M,,,-65.80M,,,,,,-11.00M,,42.20M,-192.80M,,0.00,86.70M,0.00,,,801.10M,-92.40M,,,,
1994-09,39.40M,,,,-0.30M,24.50M,24.50M,-5.60M,,,,13.60M,,,,,27.80M,99.40M,,-9.80M,-9.80M,,,-62.30M,-738.20M,-810.30M,,175.30M,205.80M,381.10M,,,-23.90M,,,,,,-13.80M,,-12.60M,814.20M,,0.00,103.40M,0.00,,,371.80M,-196.50M,,,,
1994-06,36.00M,,,,-0.10M,-0.90M,-0.90M,0.30M,,,,-42.70M,,,,,-54.70M,-62.10M,,-9.90M,-9.90M,,,30.50M,-411.20M,-390.60M,,-11.60M,393.80M,382.20M,,,9.30M,,,,,,-13.20M,,-24.80M,375.20M,,0.00,-77.60M,0.00,,,0.70M,-12.30M,,,,
1994-03,33.20M,,,,,9.30M,9.30M,-5.20M,,,,72.30M,,,,,15.30M,124.90M,,-3.80M,-3.80M,,,-92.90M,-12.10M,-108.80M,,-12.60M,-69.00M,-81.60M,,,0.10M,,,,,,-12.30M,,-4.80M,-101.20M,,568.80M,-85.10M,0.00,,,1.10M,-13.70M,,,,
1993-12,28.00M,,,-8.30M,-8.30M,8.90M,8.90M,6.20M,,,,-48.80M,,,,,-8.50M,-22.50M,,-3.60M,-3.60M,,,-37.80M,-110.30M,-151.70M,,46.50M,65.70M,112.20M,,,120.30M,,,,,,-9.80M,,11.50M,332.10M,,0.00,157.90M,0.00,,,47.50M,-1.00M,,,,
1993-09,28.60M,,,-6.90M,-7.00M,10.80M,10.80M,-4.70M,,,,58.70M,,,,,3.70M,90.10M,,-4.50M,-4.50M,,,-37.00M,-132.80M,-174.30M,,-9.70M,-114.50M,-124.20M,,,0.10M,,,,,,-9.70M,,-11.60M,34.10M,,0.00,-50.10M,0.00,,,-9.40M,-0.30M,,,,
1993-06,28.00M,,,7.10M,7.00M,7.20M,7.20M,-0.50M,,,,-109.20M,,,,,-14.90M,-82.40M,,-5.10M,-5.10M,,,56.60M,-251.20M,-199.70M,,9.80M,93.50M,103.30M,,,-7.00M,,,,,,-9.60M,,-5.40M,221.40M,,0.00,-60.60M,0.00,,,11.10M,-1.30M,,,,
1993-03,27.40M,,,-0.20M,-0.10M,6.10M,6.10M,-3.00M,,,,50.80M,,,,,-5.20M,76.00M,,-4.10M,-4.10M,,,3.50M,-51.60M,-52.20M,,4.70M,-94.10M,-89.40M,,,0.30M,,,,,,-9.70M,,5.50M,-71.00M,,568.80M,-47.30M,0.00,,,5.00M,-0.30M,,,,
1992-12,24.60M,,,-0.30M,-0.20M,17.80M,17.80M,-1.60M,,,,-83.20M,,,,,109.50M,66.90M,,-4.20M,-4.20M,,,-35.80M,-421.10M,-461.10M,,75.50M,-41.10M,34.40M,,,14.80M,,,,,,-8.40M,,21.50M,462.10M,,0.00,68.00M,0.00,,,76.10M,-0.60M,,,,
1992-09,25.20M,,,0.40M,0.30M,3.60M,3.60M,-4.40M,,,,11.80M,,,,,-87.70M,-51.20M,,-6.60M,-6.60M,,,16.40M,-223.90M,-214.10M,,10.40M,130.00M,140.40M,,,0.20M,,,,,,-8.30M,,-5.90M,293.70M,,0.00,28.30M,0.00,,,10.60M,-0.20M,,,,
1992-06,23.10M,,,-0.30M,-0.20M,3.20M,3.20M,-3.20M,,,,102.00M,,,,,-20.10M,104.80M,,-2.90M,-2.90M,,,-57.80M,-211.80M,-272.50M,,-1.60M,29.90M,28.30M,,,0.30M,,,,,,-8.30M,,-26.30M,-93.80M,,0.00,-261.50M,0.00,,,0.00,-1.60M,,,,
1992-03,22.10M,,,-0.10M,-0.10M,3.10M,3.10M,-2.50M,,,,-80.20M,,,,,3.30M,-54.30M,,-5.50M,-5.50M,,,-16.20M,15.00M,-6.70M,,33.90M,0.90M,34.80M,,,0.20M,,,,,,-8.30M,,15.20M,346.70M,,448.40M,285.70M,0.00,,,35.00M,-1.10M,,,,
1991-12,19.80M,,,,0.10M,3.60M,3.60M,-0.90M,,,,-7.50M,,,,,3.00M,18.10M,,-6.90M,-6.90M,,,-46.90M,-222.70M,-276.50M,,-0.50M,-7.70M,-8.20M,,,0.20M,,,,,,-7.90M,,17.00M,224.00M,,0.00,-34.40M,0.00,,,0.00,-0.50M,,,,
1991-09,20.70M,,,,0.00,3.40M,3.40M,-2.00M,,,,40.20M,,,,,-11.40M,50.90M,,-2.00M,-2.00M,,,-40.20M,4.80M,-37.40M,,0.40M,-29.30M,-28.90M,,,0.40M,,,,,,-7.90M,,-2.80M,145.40M,,0.00,158.80M,0.00,,,2.60M,-2.20M,,,,
1991-06,19.20M,,,,0.40M,3.50M,3.50M,-2.40M,,,,-0.60M,,,,,-9.30M,10.80M,,-2.90M,-2.90M,,,23.50M,-122.70M,-102.10M,,-1.10M,-124.90M,-126.00M,,,0.50M,,,,,,-7.90M,,-8.80M,-28.80M,,0.00,-120.00M,0.00,,,,-1.10M,,,,
1991-03,18.60M,,,,,3.40M,3.40M,-0.20M,,,,-3.40M,,,,,-8.90M,9.50M,,-4.10M,-4.10M,,,6.50M,129.50M,131.90M,,-0.10M,-66.90M,-67.00M,,,0.70M,,,,,,-7.90M,,9.40M,-21.90M,,324.50M,119.50M,0.00,,,,-0.10M,,,,
1990-12,17.60M,,,,0.00,3.30M,3.30M,-0.50M,,,,46.30M,,,,,42.40M,109.10M,,-8.50M,-8.50M,,,-115.90M,-243.50M,-367.90M,,-0.80M,187.10M,186.30M,,,0.00,,,,,,-7.60M,,5.20M,235.60M,,0.00,-23.30M,0.00,,,-6.00M,5.20M,,,,
1990-09,18.20M,,,,1.00M,3.40M,3.40M,-1.40M,,,,-56.10M,,,,,-76.30M,-111.20M,,-4.80M,-4.80M,,,-325.70M,-264.20M,-594.70M,,1.60M,36.20M,37.80M,,,-0.50M,,,,,,-7.50M,,0.90M,697.00M,,0.00,-8.90M,0.00,,,3.70M,-2.10M,,,,
1990-06,17.20M,,,,,3.00M,3.00M,-1.30M,,,,44.30M,,,,,-8.70M,54.50M,,-2.50M,-2.50M,,,37.80M,-85.60M,-50.30M,,-1.10M,5.70M,4.60M,,,-0.20M,,,,,,-7.50M,,0.10M,41.50M,,0.00,45.80M,0.00,,,5.00M,-6.10M,,,,
1990-03,15.90M,,,,,2.90M,2.90M,-1.30M,,,,24.00M,,,,,8.20M,49.70M,,-3.80M,-3.80M,,,47.10M,45.30M,88.60M,,-25.50M,-61.60M,-87.10M,,,-3.40M,,,,,,-7.60M,,-0.20M,-252.00M,,424.70M,-113.80M,0.00,,,,-25.50M,,,,
