,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2010-08,3.214B,1.535B,4.749B,,886.00M,884.00M,5.638B,5.638B,437.00M,,11.71B,0.00,3.484B,9.096B,3.513B,,267.00M,16.36B,-5.046B,11.31B,71.00M,,71.00M,357.00M,,,179.00M,12.11B,23.82B,,401.00M,6.348B,1.622B,7.97B,72.00M,26.00M,26.00M,98.00M,967.00M,1.028B,10.06B,2.141B,,2.141B,681.00M,681.00M,101.00M,,2.822B,12.88B,,2010-08,4.115B,,,122.00M,10.83B,AOR,Restated
2010-04,4.413B,854.00M,5.267B,818.00M,,818.00M,5.546B,5.546B,426.00M,,12.06B,0.00,3.402B,8.932B,3.486B,,150.00M,15.97B,-4.912B,11.06B,,,,,,,784.00M,11.84B,23.90B,,349.00M,6.324B,1.437B,7.761B,,30.00M,30.00M,,921.00M,1.477B,10.19B,2.132B,,2.132B,606.00M,606.00M,98.00M,,2.738B,12.93B,,2010-04,4.107B,,,151.00M,10.87B,,
2010-02,4.134B,585.00M,4.719B,951.00M,,951.00M,5.365B,5.365B,466.00M,,11.50B,0.00,3.402B,8.869B,3.436B,,150.00M,15.86B,-4.752B,11.10B,,,,,,,760.00M,11.86B,23.37B,,345.00M,5.943B,1.569B,7.512B,,91.00M,91.00M,,912.00M,1.35B,9.865B,2.134B,,2.134B,624.00M,624.00M,92.00M,,2.758B,12.62B,,2010-02,4.009B,,,145.00M,10.65B,AOR,Restated
2009-11,3.617B,572.00M,4.189B,849.00M,,849.00M,6.223B,6.223B,366.00M,,11.63B,0.00,3.358B,8.724B,3.382B,,244.00M,15.71B,-4.593B,11.12B,,,,,,,736.00M,11.85B,23.48B,,326.00M,6.643B,1.45B,8.093B,,80.00M,80.00M,,883.00M,1.229B,10.28B,2.135B,,2.135B,627.00M,627.00M,86.00M,,2.762B,13.05B,,2009-11,3.905B,,,150.00M,10.34B,AOR,Restated
2009-08,3.157B,570.00M,3.727B,,837.00M,834.00M,5.405B,5.405B,371.00M,,10.34B,0.00,3.341B,8.453B,3.265B,,264.00M,15.32B,-4.423B,10.90B,71.00M,,71.00M,322.00M,56.00M,,123.00M,11.64B,21.98B,,356.00M,5.806B,1.469B,7.275B,79.00M,96.00M,96.00M,65.00M,889.00M,942.00M,9.281B,2.13B,,2.13B,464.00M,464.00M,80.00M,,2.594B,11.88B,,2009-08,3.811B,,,110.00M,10.02B,AOR,Restated
2009-05,3.083B,585.00M,3.668B,,,747.00M,,5.277B,395.00M,,10.09B,0.00,3.241B,8.014B,3.238B,,307.00M,14.80B,-4.302B,10.50B,,,,,,,719.00M,11.22B,21.30B,,,5.37B,1.607B,6.977B,,92.00M,92.00M,842.00M,842.00M,1.348B,9.259B,2.145B,,2.145B,336.00M,336.00M,91.00M,,2.481B,11.74B,,2009-05,3.722B,,,-57.00M,9.473B,AOR,Restated
2009-02,2.705B,577.00M,3.282B,880.00M,,880.00M,,4.995B,534.00M,,9.691B,0.00,3.189B,7.771B,3.154B,,371.00M,14.48B,-4.131B,10.35B,,,,,,,692.00M,11.05B,20.74B,,,5.00B,1.70B,6.70B,,173.00M,173.00M,795.00M,795.00M,1.33B,8.998B,2.198B,,2.198B,332.00M,332.00M,88.00M,,2.53B,11.53B,,2009-02,3.661B,,,-218.00M,9.121B,,Restated
2008-11,2.215B,602.00M,2.817B,775.00M,,775.00M,,5.933B,575.00M,,10.10B,0.00,3.127B,7.692B,3.064B,,298.00M,14.18B,-3.989B,10.19B,,,,,,,705.00M,10.90B,21.00B,,,5.847B,1.548B,7.395B,,169.00M,169.00M,770.00M,770.00M,1.204B,9.538B,2.196B,,2.196B,327.00M,327.00M,85.00M,,2.523B,12.06B,,2008-11,3.583B,,,-240.00M,8.851B,,Restated
2008-08,2.619B,655.58M,3.275B,747.97M,,747.97M,,5.039B,399.65M,,9.462B,0.00,3.217B,7.749B,3.057B,,305.88M,14.33B,-3.974B,10.35B,,,,,,,865.31M,11.22B,20.68B,,,5.225B,1.604B,6.829B,,140.41M,140.41M,748.44M,748.44M,1.157B,8.874B,2.206B,,2.206B,328.31M,328.31M,81.86M,,2.534B,11.41B,,2008-08,3.543B,,,285.66M,9.192B,,Restated
2008-05,2.849B,805.96M,3.655B,682.57M,,682.57M,,5.306B,435.55M,,10.08B,0.00,3.188B,7.710B,3.082B,,220.78M,14.20B,-3.951B,10.25B,,,,,,,875.86M,11.12B,21.20B,,,5.721B,1.532B,7.252B,,97.57M,97.57M,784.81M,784.81M,1.391B,9.526B,2.187B,,2.187B,298.35M,298.35M,77.05M,,2.485B,12.01B,,2008-05,3.472B,,,393.30M,9.116B,,Restated
2008-02,2.267B,832.97M,3.100B,815.22M,,815.22M,,5.236B,518.19M,,9.669B,0.00,3.134B,7.497B,2.997B,,242.90M,13.87B,-3.823B,10.05B,,,,,,,951.53M,11.00B,20.67B,,,5.338B,1.599B,6.937B,,137.93M,137.93M,,,2.094B,9.169B,2.182B,,2.182B,297.91M,297.91M,73.57M,,2.480B,11.65B,,2008-02,3.279B,,,429.99M,8.946B,,
2007-11,2.742B,467.70M,3.210B,763.07M,,763.07M,,5.773B,555.44M,,10.30B,0.00,3.109B,7.432B,2.898B,,194.26M,13.63B,-3.714B,9.920B,,,,,,,782.61M,10.70B,21.00B,,,6.168B,1.505B,7.673B,,36.80M,36.80M,751.21M,751.21M,1.233B,9.694B,2.182B,,2.182B,295.12M,295.12M,70.48M,,2.477B,12.17B,,2007-11,3.197B,,,477.52M,8.762B,,
2007-08,2.780B,575.79M,3.356B,762.02M,,762.02M,,4.879B,327.15M,,9.324B,0.00,3.010B,7.036B,2.747B,,276.09M,13.07B,-3.549B,9.520B,,,,,,,762.65M,10.28B,19.61B,,,5.125B,1.495B,6.620B,,113.74M,113.74M,692.18M,692.18M,1.156B,8.582B,2.108B,,2.108B,224.20M,224.20M,69.32M,,2.332B,10.91B,,2007-08,3.118B,371.40M,-0.815M,370.59M,8.623B,,
2007-05,3.161B,660.09M,3.821B,621.55M,,621.55M,,4.955B,293.07M,,9.690B,0.00,2.926B,6.845B,2.652B,,102.38M,12.53B,-3.428B,9.098B,,,,,,,749.72M,9.848B,19.54B,,,5.189B,1.433B,6.622B,,62.05M,62.05M,664.52M,664.52M,1.238B,8.587B,2.159B,,2.159B,243.91M,243.91M,67.70M,,2.403B,10.99B,,2007-05,2.949B,,,300.89M,8.481B,,
2007-02,1.572B,661.41M,2.233B,792.24M,,792.24M,,4.931B,319.35M,,8.276B,0.00,2.848B,6.645B,2.570B,,143.57M,12.21B,-3.290B,8.917B,,,,,,,732.68M,9.649B,17.93B,,,4.962B,1.506B,6.468B,,461.12M,461.12M,654.21M,654.21M,1.081B,8.664B,168.02M,,168.02M,238.15M,238.15M,66.15M,,406.17M,9.071B,,2007-02,2.931B,,,245.00M,8.788B,,
2006-11,1.843B,770.83M,2.614B,607.03M,,607.03M,,5.389B,254.50M,,8.864B,0.00,2.824B,6.548B,2.505B,,140.32M,12.02B,-3.186B,8.832B,,,,,,,719.10M,9.551B,18.42B,,,5.538B,1.394B,6.932B,,396.13M,396.13M,633.78M,633.78M,984.63M,8.947B,174.73M,,174.73M,257.14M,257.14M,64.46M,,431.87M,9.379B,,2006-11,2.854B,,,270.95M,8.972B,,
2006-08,1.511B,1.322B,2.833B,565.37M,,565.37M,,4.569B,264.87M,,8.232B,0.00,2.747B,6.241B,2.405B,,248.45M,11.64B,-3.078B,8.564B,,,,,,,698.69M,9.263B,17.50B,,,4.581B,1.405B,5.986B,,349.91M,349.91M,583.95M,583.95M,899.29M,7.819B,215.37M,,215.37M,253.71M,253.71M,63.36M,,469.08M,8.288B,,2006-08,2.823B,282.11M,-4.849M,277.26M,9.143B,,
2006-05,2.010B,1.291B,3.302B,354.19M,,354.19M,,4.416B,275.30M,,8.347B,0.00,2.693B,6.068B,2.393B,,153.30M,11.31B,-3.033B,8.274B,,,,,,,663.18M,8.937B,17.28B,,,4.439B,1.314B,5.753B,,369.11M,369.11M,576.61M,576.61M,793.75M,7.492B,229.93M,,229.93M,261.25M,261.25M,62.22M,,491.18M,7.983B,,2006-05,2.609B,,,265.67M,9.239B,,
2006-02,2.240B,1.278B,3.517B,413.40M,,413.40M,,4.278B,,243.80M,8.452B,0.00,2.612B,5.871B,2.315B,,176.28M,10.97B,-2.908B,8.066B,,,,,,,657.16M,8.723B,17.18B,,,4.394B,1.413B,5.807B,,66.44M,66.44M,570.19M,570.19M,806.10M,7.250B,537.00M,,537.00M,261.35M,261.35M,61.18M,,798.35M,8.048B,,2006-02,2.407B,,,207.51M,9.066B,,
2005-11,2.009B,1.281B,3.289B,405.50M,,405.50M,,4.825B,,321.93M,8.842B,0.00,2.553B,5.779B,2.240B,,132.10M,10.70B,-2.789B,7.916B,,,,,,,624.40M,8.540B,17.38B,,,4.859B,1.276B,6.135B,,67.01M,67.01M,542.94M,542.94M,709.69M,7.455B,546.82M,,546.82M,254.01M,254.01M,59.53M,,800.83M,8.256B,,2005-11,2.338B,,,129.14M,9.067B,,
2005-08,2.063B,1.397B,3.460B,529.15M,,529.15M,,4.015B,234.30M,,8.238B,0.00,2.502B,5.622B,2.182B,,180.60M,10.49B,-2.697B,7.790B,,,,,,,637.01M,8.427B,16.67B,,,4.225B,1.289B,5.514B,,57.58M,57.58M,500.56M,500.56M,688.64M,6.761B,710.68M,,710.68M,254.27M,254.27M,58.61M,,964.94M,7.725B,,2005-08,2.097B,162.56M,-4.519M,158.04M,8.881B,,
2005-05,2.725B,1.326B,4.051B,297.68M,,297.68M,,4.040B,,180.53M,8.569B,0.00,2.426B,5.556B,2.157B,,137.80M,10.28B,-2.648B,7.630B,,,,,,,583.47M,8.213B,16.78B,,,4.134B,1.208B,5.342B,,350.34M,350.34M,513.93M,513.93M,665.10M,6.871B,715.45M,,715.45M,275.27M,275.27M,57.48M,,990.71M,7.862B,,2005-05,6.698B,,,139.35M,8.863B,,
2005-02,3.043B,745.05M,3.788B,349.17M,,349.17M,,4.003B,,222.90M,8.363B,0.00,2.353B,5.454B,2.113B,,151.13M,10.07B,-2.554B,7.516B,,,,,,,569.74M,8.086B,16.45B,,,3.999B,1.259B,5.257B,,343.46M,343.46M,514.35M,514.35M,659.15M,6.774B,732.59M,,732.59M,266.64M,266.64M,60.65M,,999.22M,7.774B,,2005-02,1.949B,,,119.79M,8.615B,,
2004-11,2.885B,341.44M,3.226B,373.93M,,373.93M,,4.495B,,291.70M,8.387B,0.00,2.329B,5.400B,2.061B,,137.74M,9.928B,-2.473B,7.455B,,,,,,,568.55M,8.023B,16.41B,,,4.469B,1.158B,5.627B,,316.47M,316.47M,498.59M,498.59M,593.98M,7.036B,858.14M,,858.14M,246.06M,246.06M,59.73M,,1.104B,8.141B,,2004-11,1.770B,,,151.38M,8.210B,,
2004-08,2.823B,306.75M,3.130B,335.18M,,335.18M,,3.644B,,160.46M,7.269B,0.00,2.270B,5.165B,1.975B,,132.18M,9.541B,-2.322B,7.220B,,,,,,,603.62M,7.823B,15.09B,,,3.600B,1.127B,4.727B,,327.19M,327.19M,453.88M,453.88M,662.06M,6.171B,993.75M,,993.75M,244.18M,244.18M,59.27M,,1.238B,7.408B,,2004-08,6.140B,,,16.14M,7.625B,,
2004-05,2.493B,288.77M,2.782B,255.07M,,255.07M,,3.612B,,276.40M,6.925B,0.00,2.233B,5.121B,1.974B,,114.80M,9.443B,-2.294B,7.149B,,,,,,,541.15M,7.690B,14.62B,,,3.557B,1.105B,4.663B,,17.97M,17.97M,462.35M,462.35M,701.58M,5.844B,1.292B,,1.292B,204.61M,204.61M,61.92M,,1.497B,7.341B,,2004-05,1.354B,,,-33.15M,7.212B,,
2004-02,2.176B,111.71M,2.288B,308.86M,,308.86M,,3.642B,,260.72M,6.500B,0.00,2.252B,5.105B,1.972B,,105.74M,9.435B,-2.232B,7.203B,,,,,,,574.98M,7.778B,14.28B,,,3.268B,1.172B,4.439B,,43.62M,43.62M,460.34M,460.34M,644.03M,5.587B,1.313B,,1.313B,203.60M,203.60M,61.42M,,1.517B,7.104B,,2004-02,1.326B,,,46.82M,7.112B,,
2003-11,1.802B,110.19M,1.912B,362.48M,,362.48M,,4.080B,,263.89M,6.618B,0.00,2.241B,5.035B,1.923B,,100.70M,9.300B,-2.140B,7.159B,,,,,,,549.19M,7.708B,14.33B,,,3.886B,1.055B,4.941B,,17.06M,17.06M,444.84M,444.84M,546.81M,5.950B,1.303B,,1.303B,208.12M,208.12M,60.42M,,1.511B,7.461B,,2003-11,1.294B,,,-1.567M,6.805B,,
2003-08,1.545B,,1.545B,556.09M,,556.09M,,3.339B,,270.58M,5.712B,0.00,2.174B,4.831B,1.846B,,154.18M,9.005B,-2.045B,6.960B,,,,,,,520.14M,7.480B,13.19B,,,3.131B,941.65M,4.073B,,47.42M,47.42M,401.36M,401.36M,489.36M,5.011B,1.290B,,1.290B,209.84M,209.84M,126.12M,,1.499B,6.511B,,2003-08,1.281B,,,-77.98M,6.555B,,
2003-05,1.289B,,1.289B,421.97M,,421.97M,,3.251B,,237.23M,5.200B,0.00,2.143B,4.769B,1.835B,,139.17M,8.887B,-1.984B,6.902B,,,,,,,496.66M,7.399B,12.60B,,,2.885B,882.49M,3.768B,,92.27M,92.27M,408.71M,408.71M,447.53M,4.716B,1.297B,,1.297B,174.90M,174.90M,124.19M,,1.472B,6.189B,,2003-05,1.255B,,,-81.30M,6.286B,,
2003-02,1.169B,,1.169B,453.11M,,453.11M,,3.218B,,220.10M,5.061B,0.00,2.101B,4.637B,1.803B,,175.17M,8.716B,-1.909B,6.807B,,,,,,,474.95M,7.282B,12.34B,,,2.870B,932.01M,3.802B,,103.00M,103.00M,405.13M,405.13M,442.71M,4.753B,1.253B,,1.253B,165.20M,165.20M,122.78M,,1.418B,6.171B,,2003-02,1.235B,,,-144.96M,6.049B,,
2002-11,712.85M,,712.85M,459.89M,,459.89M,,3.676B,,220.70M,5.070B,0.00,2.053B,4.563B,1.777B,,167.53M,8.561B,-1.851B,6.710B,,,,,,,455.72M,7.166B,12.24B,,,3.241B,796.90M,4.038B,,75.62M,75.62M,392.49M,392.49M,385.37M,4.892B,1.235B,,1.235B,151.67M,151.67M,120.94M,,1.387B,6.279B,,2002-11,1.230B,,,-171.19M,5.836B,,
2002-08,805.52M,,805.52M,474.86M,,474.86M,,3.127B,,222.94M,4.631B,0.00,2.017B,4.367B,1.734B,,198.74M,8.317B,-1.794B,6.524B,,,,,,,466.10M,6.990B,11.62B,,,2.884B,753.20M,3.637B,,103.77M,103.77M,360.52M,360.52M,347.98M,4.450B,1.211B,,1.211B,145.92M,145.92M,119.73M,,1.357B,5.806B,,2002-08,1.221B,,,-157.72M,5.694B,,
2002-05,841.11M,,841.11M,289.17M,,289.17M,,3.025B,,229.95M,4.386B,0.00,1.956B,4.162B,1.712B,,236.53M,8.066B,-1.727B,6.339B,,,,,,,422.76M,6.762B,11.15B,,,2.841B,697.83M,3.539B,,54.80M,54.80M,368.24M,368.24M,367.02M,4.329B,1.168B,,1.168B,124.52M,124.52M,118.78M,,1.292B,5.621B,,2002-05,1.203B,,,-178.89M,5.408B,,
2002-02,774.55M,,774.55M,323.78M,,323.78M,,3.009B,,205.79M,4.313B,0.00,1.927B,4.115B,1.626B,,144.03M,7.812B,-1.652B,6.160B,,,,,,,416.76M,6.577B,10.89B,,,3.052B,758.29M,3.810B,,142.29M,142.29M,361.37M,361.37M,244.99M,4.558B,853.63M,,853.63M,125.08M,125.08M,118.17M,,978.70M,5.537B,,2002-02,1.180B,,,-199.38M,5.234B,,
2001-11,824.47M,,824.47M,377.29M,,377.29M,,3.284B,,203.13M,4.689B,0.00,1.888B,3.983B,1.582B,,192.66M,7.646B,-1.602B,6.044B,,,,,,,375.69M,6.420B,11.11B,,,3.392B,690.85M,4.083B,,274.04M,274.04M,345.80M,345.80M,307.81M,5.010B,850.66M,,850.66M,128.15M,128.15M,116.76M,,978.81M,5.989B,,2001-11,1.140B,,,-197.70M,5.003B,,
2001-08,602.58M,4.999M,607.58M,324.77M,,324.77M,,2.739B,,211.60M,3.882B,0.00,1.877B,3.835B,1.529B,,134.00M,7.375B,-1.549B,5.827B,,,,,,,380.74M,6.207B,10.09B,,,2.728B,636.34M,3.364B,,194.55M,194.55M,322.58M,322.58M,231.08M,4.112B,859.39M,,859.39M,119.43M,119.43M,115.83M,,978.83M,5.091B,,2001-08,1.126B,,,-173.61M,4.883B,,
2001-05,558.58M,4.926M,563.50M,231.32M,,231.32M,,2.675B,,223.07M,3.693B,0.00,1.771B,3.592B,1.477B,,146.74M,6.987B,-1.472B,5.515B,,,,,,,368.01M,5.883B,9.576B,,,2.586B,,2.586B,,92.40M,92.40M,,,1.209B,3.888B,828.29M,,828.29M,94.88M,94.88M,109.85M,,923.17M,4.811B,,2001-05,1.098B,,,-182.89M,4.655B,,
2001-02,511.66M,26.15M,537.81M,,,258.37M,,2.723B,,241.24M,3.761B,,,,,,,6.793B,-1.418B,5.375B,,,,,,,370.39M,5.745B,9.506B,,,2.537B,,2.537B,,15.66M,15.66M,,,1.361B,3.913B,827.83M,,827.83M,95.41M,95.41M,109.68M,,923.23M,4.837B,,2001-02,1.080B,,,-155.30M,4.560B,,
2000-11,606.94M,,606.94M,,,216.69M,,2.994B,,257.56M,4.075B,,,,,,,6.467B,-1.356B,5.110B,,,,,,,332.38M,5.443B,9.518B,,,2.859B,,2.859B,,,,,,1.309B,4.168B,823.69M,,823.69M,90.14M,90.14M,108.96M,,913.83M,5.082B,,2000-11,1.041B,,,-172.72M,4.327B,,
2000-08,524.50M,48.03M,572.53M,174.38M,,174.38M,,2.490B,,233.12M,3.470B,,,,,,,6.141B,-1.307B,4.834B,,,,,,,329.71M,5.164B,8.634B,,,2.197B,,2.197B,,9.50M,9.50M,,,1.198B,3.404B,790.05M,,790.05M,90.39M,90.39M,108.86M,,880.44M,4.285B,,2000-08,1.028B,,,-117.03M,4.240B,,
2000-05,527.23M,141.11M,668.34M,,,165.96M,,2.367B,,245.25M,3.447B,,,,,,,5.703B,-1.258B,4.445B,,,,,,,306.67M,4.751B,8.198B,,,2.007B,,2.007B,,,,,,954.46M,2.962B,925.34M,,925.34M,69.76M,69.76M,133.88M,,995.10M,3.957B,,2000-05,1.095B,,,-116.38M,4.108B,,
2000-02,510.00M,153.50M,663.50M,,,186.50M,,2.348B,,298.30M,3.496B,,,,,,,5.529B,-1.213B,4.316B,,,,,,,296.60M,4.612B,8.108B,,,1.976B,,1.976B,,,,,,1.073B,3.049B,923.40M,,923.40M,68.80M,68.80M,129.60M,,992.20M,4.042B,,2000-02,1.015B,,,-86.20M,3.937B,,
1999-11,550.90M,165.10M,716.00M,,,176.90M,,2.706B,,268.80M,3.868B,,,,,,,5.270B,-1.167B,4.103B,,,,,,,277.30M,4.380B,8.248B,,,2.385B,,2.385B,,,,,,1.042B,3.426B,921.20M,,921.20M,69.50M,69.50M,128.30M,-0.10M,990.60M,4.417B,,1999-11,979.90M,,,-103.70M,3.703B,,
1999-08,440.60M,256.70M,697.30M,168.60M,,168.60M,,2.210B,,239.50M,3.316B,,,,,,,5.024B,-1.117B,3.907B,,,,,,,282.20M,4.189B,7.505B,,,1.913B,,1.913B,,,,,,953.60M,2.866B,918.90M,,918.90M,67.00M,67.00M,120.80M,,985.90M,3.852B,,1999-08,952.80M,,,-118.10M,3.532B,,
1999-05,408.80M,,408.80M,,,117.60M,,2.104B,,450.90M,3.082B,,,,,,,4.839B,-1.068B,3.771B,,,,,,,265.10M,4.036B,7.118B,,,1.807B,,1.807B,,,,,,855.40M,2.662B,912.20M,,912.20M,61.30M,61.30M,114.90M,,973.50M,3.636B,,1999-05,,,,,3.367B,,
1999-02,324.60M,,324.60M,,,162.50M,,2.056B,,522.40M,3.065B,,,,,,,4.693B,-1.024B,3.670B,,,,,,,242.60M,3.912B,6.977B,,,1.739B,,1.739B,,,,,,943.40M,2.682B,934.90M,,934.90M,61.80M,61.80M,110.90M,0.10M,996.80M,3.679B,,1999-02,,,,,3.187B,,
1998-11,381.80M,,381.80M,,,200.70M,,2.431B,,261.00M,3.274B,,,,,,,4.507B,-975.80M,3.531B,,,,,,,238.90M,3.770B,7.044B,,,2.060B,,2.060B,,,,,,903.70M,2.963B,932.70M,,932.70M,61.70M,61.70M,106.40M,,994.40M,3.958B,,1998-11,,,,,2.980B,,
1998-08,362.00M,,362.00M,,,171.60M,,1.911B,,183.80M,2.628B,,,,,,,4.331B,-935.60M,3.395B,,,,,,,236.20M,3.632B,6.260B,,,1.606B,,1.606B,,,,,,591.40M,2.197B,930.00M,,930.00M,61.50M,61.50M,105.50M,,991.50M,3.188B,,1998-08,,,,,2.966B,,
