,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2010-03,1.215B,,,,,-41.00M,,,,271.00M,7.00M,,47.00M,39.00M,33.00M,-113.00M,,362.00M,-2.00M,,,1.818B,,2010-03,-231.00M,,,,,,-229.00M,,2010-03,,-305.00M,,,,,,-66.00M,-49.00M,,-73.00M,-493.00M,,2.656B,1.096B,3.752B,,2010-03,,,,,2010-03,AOR,Restated
2009-12,-2.222B,,,,,-133.00M,1.014B,123.00M,1.137B,397.00M,167.00M,,27.00M,3.634B,-208.00M,17.00M,,-131.00M,-1.00M,,,1.547B,,2009-12,-449.00M,,,,,,-455.00M,,2009-12,-291.00M,-291.00M,0.00,,0.00,,,149.00M,-48.00M,,-521.00M,-705.00M,,2.269B,387.00M,2.656B,,2009-12,0.00,23.00M,,,2009-12,AOR,Restated
2009-09,1.203B,,,,,69.00M,-488.00M,-36.00M,-524.00M,216.00M,-93.00M,,18.00M,737.00M,49.00M,-229.00M,,676.00M,-17.00M,,-675.00M,1.954B,,2009-09,-244.00M,,,,,,-251.00M,,2009-09,-629.00M,-629.00M,0.00,,0.00,,,-86.00M,-61.00M,,23.00M,-753.00M,,1.319B,950.00M,2.269B,,2009-09,0.00,152.00M,,,2009-09,AOR,Restated
2009-06,812.00M,,,,,45.00M,256.00M,6.00M,262.00M,262.00M,-12.00M,,24.00M,-621.00M,-348.00M,88.00M,,201.00M,28.00M,,675.00M,1.154B,,2009-06,-375.00M,,,,,,-379.00M,,2009-06,-6.00M,-6.00M,0.00,,0.00,,,-63.00M,-60.00M,,29.00M,-100.00M,,644.00M,675.00M,1.319B,,2009-06,0.00,54.00M,,,2009-06,AOR,Restated
2009-03,207.00M,,,,,67.00M,232.00M,30.00M,262.00M,262.00M,73.00M,,33.00M,-5.00M,-455.00M,-35.00M,,-482.00M,77.00M,,,-258.00M,,2009-03,-519.00M,,,,,,-516.00M,,2009-03,-124.00M,-124.00M,740.00M,,740.00M,,,,-60.00M,,-10.00M,546.00M,,872.00M,-228.00M,644.00M,,2009-03,740.00M,101.00M,,,2009-03,AOR,Restated
2008-12,-13.23B,-13.00M,,,,-690.00M,1.782B,89.00M,549.00M,549.00M,-4.306B,,98.00M,362.00M,740.00M,80.00M,,-786.00M,-33.00M,424.00M,142.00M,201.00M,,2008-12,-779.00M,-12.00M,1.917B,,0.00,,-447.00M,,2008-12,124.00M,139.00M,-22.00M,0.00,-22.00M,,,-693.00M,-255.00M,,52.00M,-84.00M,,1.202B,-330.00M,872.00M,,2008-12,-22.00M,890.00M,0.00,,2008-12,AOR,Restated
2008-09,-6.00M,13.00M,,,,696.00M,-880.00M,-56.00M,386.00M,386.00M,-233.00M,,-92.00M,276.00M,723.00M,-184.00M,,585.00M,-67.00M,-424.00M,-115.00M,1.545B,,2008-09,-766.00M,59.00M,-707.00M,,-1.00M,,-763.00M,,2008-09,-140.00M,-155.00M,22.00M,-500.00M,-478.00M,,,617.00M,127.00M,,-644.00M,-1.228B,,1.648B,-446.00M,1.202B,,2008-09,22.00M,-524.00M,-500.00M,,2008-09,,
2008-06,1.284B,-13.00M,,,,-19.00M,462.00M,8.00M,470.00M,470.00M,-66.00M,,45.00M,-11.00M,29.00M,-293.00M,,-448.00M,8.00M,,10.00M,1.009B,,2008-06,-655.00M,,-1.163B,,,,-621.00M,,2008-06,-215.00M,-215.00M,0.00,,0.00,,,-399.00M,-63.00M,,106.00M,-571.00M,,1.831B,-183.00M,1.648B,,2008-06,0.00,51.00M,,,2008-06,,Restated
2008-03,1.505B,,,,,6.00M,418.00M,48.00M,466.00M,466.00M,-48.00M,,47.00M,-5.00M,-950.00M,-81.00M,,-289.00M,1.00M,,-37.00M,615.00M,,2008-03,-508.00M,,,,,,-487.00M,,2008-03,355.00M,355.00M,0.00,,0.00,,,-218.00M,-64.00M,,4.00M,77.00M,,1.626B,205.00M,1.831B,,2008-03,0.00,473.00M,,,2008-03,,Restated
2007-12,-2.499B,,,,,-495.00M,,,445.00M,445.00M,-9.00M,,,3.412B,727.00M,-86.00M,21.00M,55.00M,,-215.00M,,1.389B,,2007-12,-617.00M,-79.00M,1.059B,,594.00M,,105.00M,,2007-12,,1.518B,-2.803B,15.00M,-2.788B,,,,,,-778.00M,-2.245B,,2.377B,-751.00M,1.626B,,2007-12,-2.803B,,15.00M,,2007-12,,Restated
2007-09,838.00M,,,,,249.00M,,,369.00M,369.00M,-177.00M,,,83.00M,258.00M,60.00M,-16.00M,187.00M,,235.00M,,2.086B,,2007-09,-466.00M,-11.00M,-477.00M,,-1.00M,,-478.00M,,2007-09,,-1.236B,0.00,9.00M,9.00M,,,,,,119.00M,-1.309B,,2.078B,299.00M,2.377B,,2007-09,0.00,,9.00M,,2007-09,,
2007-06,1.168B,,,,,213.00M,,,379.00M,379.00M,-56.00M,,,256.00M,-159.00M,217.00M,15.00M,212.00M,,-164.00M,,2.081B,,2007-06,-530.00M,89.00M,-441.00M,,-18.00M,,-458.00M,,2007-06,,-2.054B,0.00,21.00M,21.00M,,,,,,-504.00M,-2.671B,,3.127B,-1.048B,2.078B,,2007-06,0.00,,21.00M,,2007-06,,
2007-03,493.00M,,,,,121.00M,,,116.00M,116.00M,-46.00M,,,187.00M,-398.00M,81.00M,1.00M,-30.00M,,144.00M,,669.00M,,2007-03,-142.00M,1.00M,-141.00M,,-13.89B,,-14.03B,,2007-03,,10.13B,5.619B,-45.00M,5.574B,,,,,,-46.00M,15.58B,,908.00M,2.219B,3.127B,,2007-03,5.619B,,-45.00M,,2007-03,,
2006-12,442.00M,,,,,40.00M,,,86.00M,86.00M,3.00M,,,40.00M,66.00M,36.00M,-3.00M,53.00M,,35.00M,,798.00M,,2006-12,-73.00M,1.00M,-72.00M,,,0.00,-76.00M,,2006-12,,-94.00M,1.00M,0.00,1.00M,,,,,,-48.00M,-513.00M,,699.00M,209.00M,907.00M,,2006-12,1.00M,,0.00,,2006-12,,
2006-09,366.00M,,,,,84.00M,,,60.00M,60.00M,-50.00M,,,13.00M,133.00M,36.00M,-21.00M,-12.00M,,83.00M,,692.00M,,2006-09,-68.00M,32.00M,-36.00M,,,-2.00M,-38.00M,,2006-09,,-27.00M,0.00,0.00,0.00,,,,,,-65.00M,-313.00M,,358.00M,341.00M,699.00M,,2006-09,0.00,,0.00,,2006-09,,
2006-06,382.20M,,,,,51.70M,,,43.70M,43.70M,21.10M,,,19.00M,-67.20M,-177.70M,4.30M,280.40M,,-57.70M,,499.80M,,2006-06,-57.90M,-0.70M,-58.60M,,,,-58.60M,,2006-06,,-24.50M,2.90M,-100.00M,-97.10M,,,,,,-50.10M,-367.70M,,284.10M,73.50M,358.00M,,2006-06,2.90M,,-100.00M,,2006-06,,
2006-03,266.80M,,,,,6.30M,,,43.30M,43.30M,41.90M,,,19.00M,65.20M,-40.30M,-7.30M,-250.40M,,-268.30M,,-123.80M,,2006-03,-52.10M,1.70M,-50.40M,,,,-50.40M,,2006-03,,-145.50M,11.10M,,11.10M,,,,,,16.10M,-305.30M,,763.60M,-479.50M,284.10M,,2006-03,11.10M,,,,2006-03,,
2005-12,478.18M,,,,,95.15M,79.27M,2.021M,81.29M,81.29M,-7.915M,,,,-258.58M,-115.77M,5.696M,159.92M,,233.01M,,669.97M,,2005-12,-47.39M,,-40.39M,,,,-40.41M,,2005-12,,-92.50M,-3.508M,12.94M,9.435M,,,,,,0.021M,-257.96M,,392.84M,371.60M,764.00M,,2005-12,-3.508M,,12.94M,,2005-12,,
2005-09,180.93M,,,,,55.26M,61.65M,1.969M,63.62M,63.62M,-29.41M,,,,-117.70M,-17.38M,-3.29M,64.18M,,66.31M,,262.52M,,2005-09,-36.32M,,-36.32M,,,,-36.45M,,2005-09,,-230.88M,6.492M,197.41M,203.90M,,,,,,-0.021M,-418.66M,,585.43M,-192.59M,392.84M,,2005-09,6.492M,,197.41M,,2005-09,,
2005-06,190.37M,,,,,6.59M,111.08M,4.01M,58.17M,58.17M,17.35M,,,,88.50M,6.158M,4.495M,64.93M,,21.71M,,458.27M,,2005-06,-33.04M,,-33.04M,,,-1.931M,-32.83M,,2005-06,,13.19M,0.505M,-290.14M,-289.63M,,,,,,0.013M,-150.55M,,310.54M,274.89M,585.43M,,2005-06,0.505M,,-290.14M,,2005-06,,
2005-03,145.52M,,,,,-4.997M,,,56.93M,56.93M,-12.02M,,,,34.77M,19.00M,-6.901M,-73.03M,,2.966M,,162.24M,,2005-03,-26.25M,,-26.25M,,,1.931M,-24.32M,,2005-03,,-182.82M,1.511M,-0.215M,1.296M,,,,,,-0.013M,-378.83M,,551.45M,-240.91M,310.54M,,2005-03,1.511M,,-0.215M,,2005-03,,
2004-12,227.63M,,,,,22.60M,82.65M,1.992M,84.64M,84.64M,0.146M,,,,-175.48M,-31.86M,77.60M,62.39M,,136.57M,,404.24M,,2004-12,-32.59M,,7.292M,,,0.00,13.09M,,2004-12,,-62.63M,-2.569M,1.552M,-1.017M,,,,,,-1.569M,-179.99M,,314.11M,237.34M,551.45M,,2004-12,-2.569M,,1.552M,,2004-12,,
2004-09,32.26M,,,,,-15.97M,55.76M,2.049M,57.80M,57.80M,6.543M,,,,-12.33M,-26.87M,20.47M,63.68M,,0.492M,,126.07M,,2004-09,-33.57M,,-33.57M,,,2.458M,-31.35M,,2004-09,,-19.74M,1.735M,-14.12M,-12.38M,,,,,,1.886M,-80.36M,,299.75M,14.36M,314.11M,,2004-09,1.735M,,-14.12M,,2004-09,,
2004-06,-38.24M,,,,,-6.076M,42.59M,2.171M,44.76M,44.76M,19.21M,,,,-20.66M,32.08M,-8.904M,7.111M,,7.257M,,36.55M,,2004-06,-40.50M,,-40.50M,,,-10.38M,-41.10M,,2004-06,,-88.53M,1.776M,-99.51M,-97.73M,,,,,,-1.414M,-229.23M,,533.53M,-233.78M,299.75M,,2004-06,1.776M,,-99.51M,,2004-06,,
2004-03,-19.38M,,,,,-21.92M,25.41M,2.289M,27.70M,27.70M,50.35M,,,,-27.29M,-65.09M,-54.86M,-35.40M,,-79.61M,,-225.50M,,2004-03,-34.34M,,-34.34M,,,29.73M,-4.613M,,2004-03,,153.41M,1.069B,-882.95M,186.31M,,,,,,-0.472M,300.00M,,463.65M,69.88M,533.53M,,2004-03,1.069B,,-882.95M,,2004-03,,
2003-12,2.394M,,,,,-11.44M,30.75M,2.835M,33.59M,33.59M,29.64M,,,,82.91M,-15.25M,0.127M,47.62M,,-67.30M,,102.28M,,2003-12,-42.93M,,-42.93M,,,1.781M,-41.51M,,2003-12,,-119.76M,24.94M,-5.792M,19.14M,,,,,,-1.896M,-125.71M,,528.59M,-64.94M,463.65M,,2003-12,24.94M,,-5.792M,,2003-12,,
2003-09,53.49M,,,,,42.06M,63.98M,3.79M,67.77M,67.77M,43.56M,,,,-27.08M,-4.05M,-0.711M,-6.186M,,16.87M,,185.73M,,2003-09,-34.06M,,-34.06M,,,48.20M,-54.66M,,2003-09,,-121.57M,23.36M,-221.29M,-197.92M,,,,,,-1.656M,-342.84M,,740.36M,-211.77M,528.59M,,2003-09,23.36M,,-221.29M,,2003-09,,
2003-06,66.94M,,,,,21.89M,68.28M,5.54M,73.82M,73.82M,19.56M,,,,-29.42M,-4.274M,1.40M,52.36M,,32.63M,,234.91M,,2003-06,-32.11M,,-32.11M,,,23.64M,-32.15M,,2003-06,,-220.92M,18.44M,,18.44M,,,,,,-0.063M,-225.10M,,762.70M,-22.34M,740.36M,,2003-06,18.44M,,,,2003-06,,
2003-03,58.83M,,,,,-1.946M,67.79M,4.031M,71.82M,71.82M,17.89M,,,,-18.10M,-7.035M,-6.244M,-32.91M,,-33.15M,,49.16M,,2003-03,-30.08M,,-30.08M,,,,-4.506M,,2003-03,,721.01M,2.033M,,2.033M,,,,,,-3.241M,710.21M,,7.836M,754.86M,762.70M,,2003-03,2.033M,,,,2003-03,,
2002-12,73.60M,,,,,18.79M,68.01M,3.027M,71.04M,71.04M,16.86M,,,,-27.16M,3.197M,2.329M,35.66M,,14.16M,,208.47M,,2002-12,-42.34M,,-42.34M,,,0.00,-50.40M,,2002-12,,-180.32M,0.228M,0.00,0.228M,,,,,,1.234M,-188.26M,,38.03M,-30.19M,7.836M,,2002-12,0.228M,,0.00,,2002-12,,
2002-09,70.96M,,,,,3.087M,77.08M,2.997M,80.07M,80.07M,9.249M,,,,-22.15M,-8.712M,1.236M,-22.55M,,40.23M,,151.42M,,2002-09,-64.19M,,-64.19M,,,24.26M,-39.94M,,2002-09,,-60.33M,0.00,6.679M,6.679M,,,,,,-0.573M,-82.12M,,8.663M,29.36M,38.03M,,2002-09,0.00,,6.679M,,2002-09,,
2002-06,15.04M,,,,,9.721M,115.36M,6.005M,68.31M,68.31M,12.67M,,,,3.418M,-33.87M,-0.619M,17.39M,,40.04M,,132.09M,,2002-06,-49.64M,,-49.64M,,,23.68M,-49.06M,,2002-06,,-79.47M,5.178M,-18.35M,-13.17M,,,,,,-0.169M,-83.73M,,9.371M,-0.708M,8.663M,,2002-06,5.178M,,-18.35M,,2002-06,,
2002-03,5.058M,,,,,10.64M,,,53.05M,53.05M,12.70M,,,,-24.49M,15.59M,-2.275M,-30.53M,,-19.00M,,20.75M,,2002-03,-31.83M,,-31.83M,,,,-8.885M,,2002-03,,-2.876M,2.371M,,2.371M,,,,,,-0.492M,-10.08M,,7.587M,1.784M,9.371M,,2002-03,2.371M,,,,2002-03,,
2001-12,7.072M,,,,,4.972M,,,66.44M,66.44M,15.92M,,,,1.403M,0.601M,0.86M,-28.17M,,-35.22M,,33.87M,,2001-12,-48.19M,,-48.19M,,,,-46.83M,,2001-12,,16.33M,,0.00,0.00,,,,,,-19.46M,-12.32M,,32.87M,-25.29M,7.587M,,2001-12,,,0.00,,2001-12,,
2001-09,13.43M,,,,,1.848M,,,71.00M,71.00M,9.085M,,,,58.60M,4.872M,0.634M,10.67M,,14.15M,,184.29M,,2001-09,-38.11M,,-38.11M,,,,-177.88M,,2001-09,,34.42M,,-10.39M,-10.39M,,,,,,-0.763M,11.51M,,14.95M,17.93M,32.87M,,2001-09,,,-10.39M,,2001-09,,
2001-06,45.42M,,,,,9.499M,,,78.32M,78.32M,19.30M,,,,9.778M,13.36M,6.861M,-3.651M,0.402M,6.035M,,185.32M,,2001-06,-41.33M,,-41.33M,,,,-41.35M,,2001-06,,-123.39M,,0.00,0.00,,,,,,-3.779M,-140.41M,,11.39M,3.559M,14.95M,,2001-06,,,0.00,,2001-06,,
2001-03,47.10M,,,,,6.169M,,,68.13M,68.13M,22.78M,,,,-38.03M,2.015M,,15.86M,-0.402M,-18.12M,,105.51M,,2001-03,-39.34M,,-39.34M,,,,-34.74M,,2001-03,,-53.00M,,-3.436M,-3.436M,,,,,,-1.697M,-67.34M,,7.968M,3.419M,11.39M,,2001-03,,,-3.436M,,2001-03,,
2000-12,67.28M,,,,,6.75M,,,88.04M,88.04M,30.45M,,,,12.86M,-9.053M,,-24.04M,-2.67M,41.48M,,211.10M,,2000-12,-50.35M,,-50.35M,,,,-49.18M,,2000-12,,-25.41M,,-41.21M,-41.21M,,,,,,-49.87M,-159.93M,,5.978M,1.99M,7.968M,,2000-12,,,-41.21M,,2000-12,,
2000-09,0.154M,,,,,25.35M,,,77.82M,77.82M,5.132M,,,,-54.45M,-14.28M,,13.61M,8.955M,14.38M,,76.69M,,2000-09,-35.08M,,-35.08M,,,,-28.62M,,2000-09,,9.872M,,-48.27M,-48.27M,,,,,,31.69M,-47.94M,,5.861M,0.117M,5.978M,,2000-09,,,-48.27M,,2000-09,,
2000-06,-9.176M,,,,,19.74M,,,54.33M,54.33M,-6.799M,,,,38.53M,-13.00M,,17.16M,-2.747M,-15.38M,,82.65M,,2000-06,-33.38M,,-33.38M,,,,-39.82M,,2000-06,,62.58M,,-61.71M,-61.71M,,,,,,-37.56M,-42.21M,,5.24M,0.621M,5.861M,,2000-06,,,-61.71M,,2000-06,,
2000-03,18.73M,,,,,13.27M,,,63.36M,63.36M,20.37M,,,,21.01M,-3.296M,,51.10M,1.869M,-40.84M,,145.58M,,2000-03,-57.87M,,-57.87M,,,,-63.58M,,2000-03,,-4.524M,,-60.65M,-60.65M,,,,,,-4.827M,-83.45M,,6.698M,-1.458M,5.24M,,2000-03,,,-60.65M,,2000-03,,
1999-12,46.90M,,,,,30.00M,,,76.00M,76.00M,10.90M,,,0.20M,36.10M,-13.70M,,-11.60M,-6.20M,12.50M,,181.10M,,1999-12,-58.20M,,-58.20M,,,,-53.20M,,1999-12,,-107.80M,,0.00,0.00,,,,,,-4.80M,-124.50M,,3.40M,3.40M,6.70M,,1999-12,,,0.00,,1999-12,,
1999-09,35.60M,,,,,14.00M,,,74.10M,74.10M,14.10M,,,,-26.60M,-19.00M,,1.10M,0.50M,15.30M,,109.10M,,1999-09,-26.00M,,-26.00M,,,,-29.40M,,1999-09,,-51.70M,,-11.90M,-11.90M,,,,,,-4.10M,-80.90M,,4.60M,-1.20M,3.40M,,1999-09,,,-11.90M,,1999-09,,
1999-06,27.60M,,,,,20.70M,,,72.40M,72.40M,15.40M,,,-0.10M,-50.30M,16.50M,,17.20M,0.10M,3.70M,,123.20M,,1999-06,-41.60M,,-41.60M,,,,-42.40M,,1999-06,,-62.80M,,-0.10M,-0.10M,,,,,,-4.70M,-81.60M,,0.00,-0.80M,4.60M,,1999-06,,,-0.10M,,1999-06,,
1999-03,26.40M,,,,,25.50M,,,70.70M,70.70M,19.70M,,,0.10M,82.90M,-36.70M,,-22.20M,-1.20M,-9.80M,,155.40M,,1999-03,-35.00M,,-35.00M,,,,-35.00M,,1999-03,,-96.00M,,-7.80M,-7.80M,,,,,,-4.50M,-120.90M,,5.90M,-0.50M,0.00,,1999-03,,,-7.80M,,1999-03,,
1998-12,50.80M,,,,,19.40M,,,80.00M,80.00M,28.50M,,,0.10M,-60.20M,-13.80M,,17.70M,-1.40M,-0.90M,,120.20M,,1998-12,-31.30M,,-31.30M,,,,-28.20M,,1998-12,,-49.20M,,-21.70M,-21.70M,,,,,,-4.10M,-96.00M,,0.00,-4.00M,5.90M,,1998-12,,,-21.70M,,1998-12,,
1998-09,32.60M,,,,,26.50M,,,75.10M,75.10M,9.40M,,,0.10M,7.50M,2.90M,,17.50M,-2.50M,9.40M,,178.50M,,1998-09,-41.40M,,-41.40M,,,,-39.50M,,1998-09,,61.40M,,-170.60M,-170.60M,,,,,,-4.30M,-134.30M,,0.00,4.70M,0.00,,1998-09,,,-170.60M,,1998-09,,
1998-06,34.80M,,,,,7.10M,,,64.00M,64.00M,9.80M,,,-0.10M,-18.40M,17.40M,,-30.50M,1.70M,3.20M,,89.00M,,1998-06,-122.40M,,-122.40M,,,,-119.80M,,1998-06,,66.50M,,-17.40M,-17.40M,,,,,,-4.00M,24.10M,,0.00,-6.70M,0.00,,1998-06,,,-17.40M,,1998-06,,
