,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-03,1.961B,1.961B,4.197B,,4.197B,,,1.289B,295.00M,627.00M,,8.369B,,,,,,,9.137B,-4.34B,4.797B,13.52B,846.00M,14.36B,883.00M,1.046B,21.39B,29.76B,,2010-03,1.134B,2.776B,14.00M,761.00M,775.00M,775.00M,,,,3.937B,7.488B,3.44B,,3.44B,,,4.723B,,,1.471B,9.634B,17.12B,301.00M,7.077B,8.264B,,,12.64B,,2010-03,AOR,Restated
2009-12,3.275B,3.275B,3.394B,,3.394B,,,1.17B,272.00M,524.00M,,8.635B,0.00,649.00M,2.422B,5.383B,,630.00M,9.084B,-4.216B,4.868B,13.52B,873.00M,14.39B,1.01B,1.049B,21.62B,30.25B,,2009-12,1.281B,3.202B,12.00M,91.00M,103.00M,103.00M,,,,3.68B,6.985B,4.191B,,4.191B,,,4.874B,,,1.515B,10.58B,17.56B,307.00M,6.737B,8.657B,,,12.69B,,2009-12,AOR,Restated
2009-09,1.924B,1.924B,3.951B,,3.951B,,,1.243B,453.00M,513.00M,,8.084B,,,,,,,8.946B,-4.171B,4.775B,14.53B,899.00M,15.42B,1.281B,988.00M,22.76B,30.84B,,2009-09,1.419B,3.212B,28.00M,491.00M,519.00M,519.00M,,,,3.539B,7.27B,4.194B,,4.194B,,,5.349B,,,1.603B,11.15B,18.42B,315.00M,6.457B,9.061B,,,12.43B,,2009-09,AOR,Restated
2009-06,1.056B,1.056B,4.251B,,4.251B,,,1.099B,363.00M,487.00M,,7.256B,,,,,,,8.831B,-4.053B,4.778B,14.54B,925.00M,15.46B,1.414B,947.00M,22.89B,30.15B,,2009-06,1.325B,3.099B,27.00M,493.00M,520.00M,520.00M,,,,3.624B,7.243B,3.348B,,3.348B,,,5.816B,,,1.552B,10.72B,17.96B,319.00M,6.104B,9.243B,,,12.19B,,2009-06,AOR,Restated
2009-03,882.00M,882.00M,4.416B,,4.416B,,,1.178B,256.00M,520.00M,,7.252B,,,,,,,8.702B,-3.925B,4.777B,14.52B,921.00M,15.44B,1.455B,1.213B,22.89B,30.14B,,2009-03,1.28B,3.204B,24.00M,565.00M,589.00M,589.00M,,,,3.716B,7.509B,3.352B,,3.352B,,,5.721B,,,1.503B,10.58B,18.08B,325.00M,5.846B,9.482B,,,12.06B,,2009-03,AOR,Restated
2008-12,1.504B,1.504B,3.701B,,3.701B,,,1.003B,219.00M,585.00M,1.231B,8.243B,0.00,619.00M,2.326B,4.547B,545.00M,530.00M,8.567B,-3.782B,4.785B,13.51B,947.00M,14.46B,1.497B,926.00M,21.95B,30.20B,,2008-12,1.231B,3.118B,24.00M,477.00M,501.00M,501.00M,,,,3.83B,7.449B,3.443B,,3.443B,,,5.823B,,,1.562B,10.83B,18.28B,327.00M,5.59B,9.645B,,,11.92B,,2008-12,,Restated
2008-09,1.016B,1.016B,3.957B,,3.957B,,,1.147B,408.00M,481.00M,,7.009B,,,,,,,8.394B,-3.719B,4.675B,17.48B,964.00M,18.44B,,3.131B,26.24B,33.25B,,2008-09,1.37B,3.19B,28.00M,73.00M,101.00M,101.00M,,,,3.521B,6.812B,3.843B,,3.843B,,,,,,5.036B,8.879B,15.69B,327.00M,8.253B,9.668B,,,17.56B,,2008-09,,
2008-06,581.00M,581.00M,4.325B,,4.325B,,,1.089B,596.00M,503.00M,,7.094B,,,,,,,8.259B,-3.608B,4.651B,17.59B,992.00M,18.58B,,3.144B,26.37B,33.47B,,2008-06,1.283B,4.835B,23.00M,74.00M,97.00M,97.00M,,,,1.659B,6.591B,3.844B,,3.844B,,,,,,5.169B,9.013B,15.60B,337.00M,7.877B,10.34B,,42.00M,17.86B,,2008-06,,
2008-03,429.00M,429.00M,4.358B,,4.358B,,,1.132B,501.00M,529.00M,,6.949B,,,,,,,8.085B,-3.44B,4.645B,17.62B,1.02B,18.64B,,3.141B,26.43B,33.38B,,2008-03,1.248B,3.054B,59.00M,110.00M,169.00M,169.00M,,,,3.514B,6.737B,3.928B,,3.928B,,,,,46.00M,5.063B,9.037B,15.77B,339.00M,7.518B,10.44B,,37.00M,17.60B,,2008-03,,
2007-12,963.00M,963.00M,3.79B,,3.79B,,,1.00B,502.00M,542.00M,,6.797B,,,,,,,8.114B,-3.424B,4.69B,17.67B,1.074B,18.75B,,3.14B,26.58B,33.37B,,2007-12,1.175B,3.065B,26.00M,111.00M,137.00M,137.00M,,,,3.23B,6.432B,3.918B,,3.918B,,,,,350.00M,4.986B,9.254B,15.69B,338.00M,7.387B,10.66B,,34.00M,17.69B,,2007-12,,
2007-09,713.00M,713.00M,3.666B,,3.666B,,,1.102B,282.00M,691.00M,,6.454B,,,,,,,7.869B,-3.33B,4.539B,17.66B,1.109B,18.77B,,2.463B,25.77B,32.22B,,2007-09,1.273B,2.813B,40.00M,111.00M,151.00M,151.00M,,,,3.236B,6.20B,3.886B,,3.886B,,,,,350.00M,5.022B,9.258B,15.46B,338.00M,7.063B,10.64B,,28.00M,16.76B,,2007-09,,
2007-06,521.00M,521.00M,3.685B,,3.685B,,,1.157B,244.00M,654.00M,,6.261B,,,,,,,7.769B,-3.23B,4.539B,17.64B,1.139B,18.78B,,2.45B,25.77B,32.03B,,2007-06,1.16B,2.666B,32.00M,141.00M,173.00M,173.00M,,,,3.283B,6.122B,3.875B,,3.875B,,,,,,5.251B,9.126B,15.25B,344.00M,6.703B,11.02B,,,16.78B,,2007-06,,
2007-03,362.00M,362.00M,3.749B,,3.749B,,,1.195B,235.00M,668.00M,,6.209B,,,,,,,7.67B,-3.126B,4.544B,17.67B,1.172B,18.84B,,2.449B,25.84B,32.04B,,2007-03,1.143B,2.589B,325.00M,75.00M,400.00M,400.00M,,,,3.549B,6.538B,3.992B,,3.992B,,,,,350.00M,4.821B,9.163B,15.70B,343.00M,6.374B,10.92B,,24.00M,16.34B,,2007-03,,
2006-12,1.015B,1.015B,3.562B,,3.562B,,,1.176B,266.00M,706.00M,,6.725B,,,,,,,7.53B,-3.005B,4.525B,17.22B,1.139B,18.36B,,2.401B,25.28B,32.01B,,2006-12,1.176B,2.858B,95.00M,75.00M,170.00M,170.00M,,,,3.725B,6.753B,3.992B,,3.992B,,,,,350.00M,4.299B,8.641B,15.39B,346.00M,6.183B,11.35B,,22.00M,16.62B,,2006-12,,
2006-09,1.463B,1.463B,3.69B,,3.69B,,,1.275B,265.00M,746.00M,,7.439B,,,,,,,7.378B,-2.941B,4.437B,17.32B,1.169B,18.49B,,3.685B,26.62B,34.06B,,2006-09,1.236B,2.73B,86.00M,764.00M,850.00M,850.00M,,,,3.657B,7.237B,3.796B,,3.796B,670.00M,670.00M,,,350.00M,4.672B,9.488B,16.72B,345.00M,5.837B,11.27B,,,17.33B,,2006-09,,
2006-06,751.00M,751.00M,3.907B,,3.907B,,,1.296B,317.00M,774.00M,,7.045B,,,,,,,7.232B,-2.829B,4.403B,17.38B,1.20B,18.58B,,3.648B,26.63B,33.68B,,2006-06,1.093B,2.545B,79.00M,735.00M,814.00M,814.00M,,,,3.779B,7.138B,3.821B,,3.821B,626.00M,626.00M,,,350.00M,4.695B,9.492B,16.63B,344.00M,5.642B,11.18B,,,17.05B,,2006-06,,
2006-03,373.00M,373.00M,4.144B,,4.144B,,,1.294B,251.00M,783.00M,,6.845B,,,,,,,7.12B,-2.716B,4.404B,,18.61B,18.61B,,3.654B,26.67B,33.52B,,2006-03,1.085B,2.58B,66.00M,776.00M,842.00M,842.00M,1.634B,1.634B,,2.278B,7.334B,3.872B,,3.872B,628.00M,628.00M,,,,5.064B,9.564B,16.90B,343.00M,5.318B,11.10B,,,16.62B,,2006-03,,
2005-12,1.605B,1.605B,3.553B,,3.553B,,,1.164B,446.00M,783.00M,,7.551B,0.00,546.00M,2.343B,4.109B,,,6.998B,-2.595B,4.403B,17.38B,1.273B,18.66B,,3.604B,26.66B,34.21B,,2005-12,1.105B,2.694B,50.00M,1.214B,1.264B,1.264B,,,,4.016B,7.974B,3.881B,,3.881B,595.00M,595.00M,,,350.00M,4.586B,9.412B,17.39B,347.00M,5.055B,11.57B,,,16.83B,,2005-12,,
2005-09,1.712B,1.712B,3.519B,,3.519B,,,1.262B,357.00M,514.00M,,7.364B,,,,,,,6.676B,-2.486B,4.19B,,18.74B,18.74B,,3.561B,26.49B,33.85B,,2005-09,1.19B,2.771B,57.00M,524.00M,581.00M,581.00M,,,,3.518B,6.87B,4.569B,,4.569B,536.00M,536.00M,,,350.00M,4.577B,10.03B,16.90B,355.00M,4.815B,11.91B,,,16.95B,,2005-09,,
2005-06,1.215B,1.215B,3.542B,,3.542B,,,1.185B,232.00M,748.00M,,6.922B,,,,,,,6.614B,-2.41B,4.204B,,18.78B,18.78B,,3.538B,26.52B,33.45B,,2005-06,1.044B,2.596B,53.00M,526.00M,579.00M,579.00M,,,,3.383B,6.558B,4.581B,,4.581B,530.00M,530.00M,,,350.00M,4.569B,10.03B,16.59B,358.00M,4.614B,12.02B,,,16.86B,,2005-06,,
2005-03,784.00M,784.00M,3.611B,,3.611B,,,1.205B,209.00M,768.00M,,6.577B,,,,,,,6.50B,-2.296B,4.204B,,21.78B,21.78B,,634.00M,26.62B,33.20B,,2005-03,969.00M,2.518B,62.00M,438.00M,500.00M,500.00M,,,,3.455B,6.473B,4.664B,,4.664B,506.00M,506.00M,,,350.00M,4.53B,10.05B,16.52B,359.00M,4.341B,12.10B,,,16.67B,,2005-03,,
2004-12,1.23B,1.23B,3.492B,,3.492B,,,1.057B,293.00M,777.00M,,6.849B,0.00,533.00M,2.059B,3.807B,,,6.399B,-2.189B,4.21B,,18.66B,18.66B,,3.585B,26.45B,33.30B,,2004-12,1.07B,2.82B,9.00M,33.00M,42.00M,42.00M,,,,3.303B,6.165B,5.116B,,5.116B,506.00M,506.00M,,,350.00M,4.466B,10.44B,16.60B,364.00M,4.014B,12.43B,,,16.70B,,2004-12,,
2004-09,850.00M,850.00M,3.394B,,3.394B,,,1.287B,269.00M,778.00M,,6.578B,,,,,,,5.796B,-1.744B,4.052B,,18.78B,18.78B,,4.123B,26.95B,33.53B,,2004-09,1.13B,2.806B,19.00M,632.00M,651.00M,651.00M,,,,3.485B,6.942B,5.123B,,5.123B,527.00M,527.00M,,9.00M,,4.869B,10.52B,17.46B,12.29B,3.827B,,,,16.06B,,2004-09,,
2004-06,559.00M,559.00M,3.487B,,3.487B,,,1.22B,220.00M,825.00M,65.00M,6.376B,,,,,,,5.777B,-1.744B,4.033B,,18.81B,18.81B,,4.112B,26.95B,33.33B,,2004-06,991.00M,2.535B,12.00M,386.00M,398.00M,398.00M,,,,3.483B,6.416B,5.366B,,5.366B,534.00M,534.00M,,12.00M,350.00M,4.637B,10.89B,17.30B,12.44B,3.624B,,,,16.01B,,2004-06,,
2004-03,457.00M,457.00M,3.426B,,3.426B,,,1.319B,180.00M,785.00M,62.00M,6.229B,,,,,,,5.763B,-1.744B,4.019B,,18.98B,18.98B,,4.111B,27.12B,33.34B,,2004-03,983.00M,2.353B,113.00M,477.00M,590.00M,590.00M,,,,3.653B,6.596B,5.372B,,5.372B,520.00M,520.00M,,13.00M,350.00M,4.63B,10.87B,17.47B,12.32B,3.591B,,,,15.86B,,2004-03,,
2003-12,342.00M,342.00M,3.226B,,3.226B,,,1.167B,167.00M,770.00M,66.00M,5.738B,0.00,500.00M,1.895B,3.426B,,,5.821B,-1.774B,4.047B,,19.04B,19.04B,,4.194B,27.28B,33.02B,,2003-12,1.001B,2.515B,19.00M,462.00M,481.00M,481.00M,,,,3.365B,6.361B,5.41B,,5.41B,508.00M,508.00M,,,350.00M,4.608B,10.88B,17.24B,12.43B,3.431B,,,,15.78B,,2003-12,,
2003-09,359.00M,359.00M,2.987B,,2.987B,,,1.125B,165.00M,430.00M,386.00M,5.452B,,,,,,,5.312B,-1.391B,3.921B,,19.17B,19.17B,527.00M,4.594B,28.21B,33.66B,,2003-09,1.037B,2.386B,24.00M,122.00M,146.00M,146.00M,,,,3.021B,5.553B,6.267B,,6.267B,,,,27.00M,350.00M,6.701B,13.32B,18.87B,12.53B,3.28B,,,,14.76B,,2003-09,,
2003-06,268.00M,268.00M,2.98B,,2.98B,,,1.226B,144.00M,646.00M,463.00M,5.727B,,,,,,,5.311B,-1.391B,3.92B,,22.68B,22.68B,439.00M,1.22B,28.26B,33.99B,,2003-06,1.04B,2.34B,28.00M,142.00M,170.00M,170.00M,,,,3.298B,5.808B,6.412B,,6.412B,,,,25.00M,350.00M,6.723B,13.48B,19.29B,12.54B,3.169B,,,,14.67B,,2003-06,,
2003-03,408.00M,408.00M,3.132B,,3.132B,,,1.158B,170.00M,660.00M,408.00M,5.936B,,,,,,,5.40B,-1.391B,4.009B,,19.19B,19.19B,491.00M,4.735B,28.42B,34.36B,,2003-03,907.00M,2.189B,80.00M,196.00M,276.00M,276.00M,,,,3.411B,5.876B,6.808B,,6.808B,,,,139.00M,350.00M,6.667B,13.82B,19.70B,12.52B,3.044B,,,,14.52B,,2003-03,,
2002-12,1.412B,1.412B,2.949B,,2.949B,,,1.091B,160.00M,662.00M,9.621B,15.90B,0.00,350.00M,1.698B,2.948B,,,4.996B,-1.391B,3.605B,,18.21B,18.21B,174.00M,4.442B,26.43B,42.33B,,2002-12,1.018B,2.445B,22.00M,203.00M,225.00M,225.00M,,,,8.763B,11.43B,9.398B,,9.398B,,,,139.00M,350.00M,6.684B,16.43B,27.86B,12.51B,2.87B,,,,14.32B,,2002-12,,
2002-09,462.00M,462.00M,2.325B,,2.325B,,,1.107B,140.00M,103.00M,550.00M,4.687B,,,,,,,4.187B,-1.363B,2.824B,,9.617B,9.617B,,3.678B,16.12B,20.81B,,2002-09,741.00M,1.545B,45.00M,101.00M,146.00M,146.00M,,,,2.992B,4.683B,4.885B,,4.885B,757.00M,757.00M,,19.00M,350.00M,2.612B,8.604B,13.29B,4.87B,2.697B,,,,7.50B,,2002-09,,
2002-06,196.00M,196.00M,2.696B,,2.696B,,,1.163B,141.00M,57.00M,,4.253B,,,,,,,4.356B,-1.356B,3.00B,8.84B,1.661B,10.50B,,3.63B,17.13B,21.38B,,2002-06,669.00M,1.536B,146.00M,104.00M,250.00M,250.00M,,,,2.997B,4.783B,4.915B,,4.915B,753.00M,753.00M,,17.00M,350.00M,2.544B,8.562B,13.34B,4.849B,3.24B,,,,8.022B,,2002-06,,
2002-03,115.00M,115.00M,2.877B,,2.877B,,,1.225B,172.00M,49.00M,,4.438B,,,,4.182B,,,4.182B,-1.241B,2.941B,,10.50B,10.50B,,3.58B,17.02B,21.46B,,2002-03,675.00M,1.508B,44.00M,5.00M,49.00M,49.00M,,304.00M,304.00M,2.78B,4.641B,5.436B,,5.436B,684.00M,684.00M,,16.00M,350.00M,2.476B,8.946B,13.59B,4.813B,3.109B,,,,7.854B,,2002-03,,
2001-12,464.00M,464.00M,2.643B,,2.643B,,,1.098B,125.00M,36.00M,1.207B,5.573B,,,,,,,3.732B,-1.148B,2.584B,,8.975B,8.975B,,3.686B,15.24B,20.82B,,2001-12,827.00M,1.809B,30.00M,420.00M,450.00M,450.00M,,,,2.841B,5.10B,5.038B,,5.038B,669.00M,669.00M,,122.00M,350.00M,2.148B,8.205B,13.30B,4.451B,3.011B,,,,7.391B,,2001-12,,
2001-09,310.00M,310.00M,2.297B,,2.297B,,,1.222B,140.00M,35.00M,,4.004B,,,,,,,3.297B,-1.211B,2.086B,6.92B,1.036B,7.956B,,3.168B,13.21B,17.21B,,2001-09,629.00M,1.386B,130.00M,4.00M,134.00M,134.00M,,345.00M,345.00M,2.088B,3.953B,5.185B,,5.185B,837.00M,837.00M,,,350.00M,1.614B,7.986B,11.94B,2.386B,2.928B,,,,5.275B,,2001-09,,
2001-06,225.00M,225.00M,2.056B,,2.056B,,,1.386B,123.00M,30.00M,,3.82B,,,,,,,3.332B,-1.143B,2.189B,6.586B,1.536B,8.122B,,3.20B,13.51B,17.33B,,2001-06,651.00M,1.445B,66.00M,41.00M,107.00M,107.00M,,137.00M,137.00M,2.065B,3.754B,5.367B,,5.367B,1.114B,1.114B,,,350.00M,1.535B,8.366B,12.12B,2.376B,2.89B,,,,5.211B,,2001-06,,
2001-03,1.636B,1.636B,1.493B,,1.493B,,,749.00M,66.00M,22.00M,,3.966B,0.00,2.37B,,,,,2.37B,-1.356B,1.014B,,4.38B,4.38B,,1.825B,7.219B,11.18B,,2001-03,,491.00M,,,,,,691.00M,691.00M,1.402B,2.584B,3.105B,,3.105B,319.00M,319.00M,,,,1.17B,4.594B,7.178B,1.214B,2.817B,,,,4.007B,,2001-03,,
2000-12,319.00M,319.00M,,,1.557B,,,585.00M,,,65.00M,2.526B,,,,,,,2.343B,-1.328B,1.015B,,4.432B,4.432B,,1.649B,7.096B,9.622B,,2000-12,,564.00M,,,10.00M,10.00M,,,,2.114B,2.688B,1.605B,,1.605B,276.00M,276.00M,,,,1.134B,3.015B,5.703B,1.20B,2.742B,,,,3.919B,,2000-12,,
2000-09,753.00M,753.00M,,,1.292B,,,603.00M,,,61.00M,2.709B,,,,,,,2.298B,-1.335B,963.00M,,4.134B,4.134B,,1.548B,6.645B,9.354B,,2000-09,,364.00M,,,215.00M,215.00M,,,,1.859B,2.438B,1.605B,,1.605B,367.00M,367.00M,,,,1.139B,3.111B,5.549B,1.177B,2.647B,,,,3.805B,,2000-09,,
2000-06,97.00M,97.00M,,,1.341B,,,627.00M,,,797.00M,2.862B,,,,,,,2.349B,-1.396B,953.00M,,4.00B,4.00B,,1.249B,6.202B,9.064B,,2000-06,,449.00M,,,212.00M,212.00M,,,,1.743B,2.404B,1.75B,,1.75B,219.00M,219.00M,,,,1.128B,3.097B,5.501B,1.039B,2.543B,,,,3.563B,,2000-06,,
2000-03,41.00M,41.00M,,,1.45B,,,1.24B,,,72.00M,2.803B,,,,,,,2.854B,-1.63B,1.224B,,4.181B,4.181B,,1.181B,6.586B,9.389B,,2000-03,,436.00M,,,295.00M,295.00M,,,,1.803B,2.534B,1.80B,,1.80B,137.00M,137.00M,,,,1.509B,3.446B,5.98B,1.035B,2.393B,,,,3.409B,,2000-03,,
1999-12,142.00M,142.00M,,,1.402B,,,1.19B,,,59.00M,2.793B,,,,,,,2.895B,-1.655B,1.24B,,3.469B,3.469B,,1.783B,6.492B,9.285B,,1999-12,,490.00M,,,225.00M,225.00M,,,,1.749B,2.464B,2.00B,,2.00B,64.00M,64.00M,,,,1.50B,3.564B,6.028B,1.028B,2.248B,,,,3.257B,,1999-12,,
1999-09,37.00M,37.00M,,,1.352B,,,1.424B,,,63.00M,2.876B,,,,,,,2.972B,-1.737B,1.235B,,4.312B,4.312B,,1.207B,6.754B,9.63B,,1999-09,,427.00M,,,299.00M,299.00M,,,,1.717B,2.443B,2.30B,,2.30B,,,,,,1.752B,4.052B,6.495B,1.028B,2.138B,,,,3.135B,,1999-09,,
1999-06,87.00M,87.00M,,,1.505B,,,1.336B,,,111.00M,3.039B,,,,,,,3.044B,-1.802B,1.242B,,4.204B,4.204B,,1.172B,6.618B,9.657B,,1999-06,,357.00M,,,640.00M,640.00M,,,,1.364B,2.361B,2.50B,,2.50B,,,,,,1.765B,4.265B,6.626B,,2.038B,,,,3.031B,,1999-06,,
1999-03,29.00M,29.00M,,,1.489B,,,1.424B,,,88.00M,3.03B,,,,,,,3.068B,-1.802B,1.266B,,4.128B,4.128B,,1.137B,6.531B,9.561B,,1999-03,,422.00M,,,353.00M,353.00M,,,,1.73B,2.505B,2.375B,,2.375B,,,,,,1.77B,4.145B,6.65B,,1.952B,,,,2.911B,,1999-03,,
1998-12,44.00M,44.00M,,,1.507B,,,1.373B,,,109.00M,3.033B,,,,,,,3.058B,-1.784B,1.274B,,4.176B,4.176B,,1.053B,6.503B,9.536B,,1998-12,,416.00M,,,269.00M,269.00M,,,,1.682B,2.367B,2.562B,,2.562B,,,,,,1.757B,4.319B,6.686B,989.00M,1.892B,,,,2.85B,,1998-12,,
1998-09,80.00M,80.00M,,,1.418B,,,1.58B,,,146.00M,3.224B,,,,,,,3.115B,-1.807B,1.308B,,4.227B,4.227B,,1.213B,6.748B,9.972B,,1998-09,,400.00M,,,226.00M,226.00M,,,,1.949B,2.575B,2.71B,,2.71B,88.00M,88.00M,,,,1.713B,4.511B,7.086B,,1.922B,,,,2.886B,,1998-09,,
1998-06,40.00M,40.00M,,,1.432B,,,1.582B,,,162.00M,3.216B,,,,,,,3.105B,-1.784B,1.321B,,4.225B,4.225B,,1.215B,6.761B,9.977B,,1998-06,,465.00M,,,186.00M,186.00M,,,,1.976B,2.627B,2.706B,,2.706B,88.00M,88.00M,,,,1.785B,4.579B,7.206B,,1.834B,,,,2.771B,,1998-06,,
