,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-12,55.95M,0.0,55.95M,94.49M,,94.49M,13.37M,17.07M,-0.776M,29.67M,2.925M,0.00,0.257M,2.796M,203.01M,86.25M,,237.04M,,5.608B,-1.845B,3.763B,0.00,,0.00,37.85M,1.414M,3.802B,4.005B,28.76M,43.19M,199.92M,271.87M,19.49M,291.36M,,,,,,,0.00,0.00,,303.84M,72.31M,975.00M,,975.00M,714.95M,736.55M,,34.05M,2.18M,8.399M,1.828B,2.132B,20.84M,1.148B,710.50M,3.349M,,,,-3.683M,1.873B
2010-06,47.68M,,47.68M,79.16M,,82.93M,10.33M,12.52M,0.684M,23.53M,8.336M,,,85.77M,248.26M,81.75M,,306.82M,4.824B,5.212B,-1.641B,3.571B,20.64M,,3.629M,24.91M,1.417M,3.622B,3.870B,152.04M,19.68M,,171.71M,29.60M,201.32M,,,,,,,25.52M,25.52M,,226.83M,,1.015B,,1.015B,675.82M,695.55M,30.49M,48.93M,1.599M,5.894M,1.797B,2.024B,10.41M,1.102B,709.95M,3.349M,,,,27.26M,1.846B
2010-03,28.50M,,28.50M,93.55M,,107.57M,5.723M,11.25M,1.39M,17.67M,6.733M,,,133.42M,293.90M,80.23M,,300.96M,4.706B,5.088B,-1.617B,3.470B,20.64M,,5.056M,20.87M,1.42M,3.518B,3.812B,184.02M,19.30M,,203.32M,20.02M,223.34M,,,,,,,41.56M,41.56M,0.401M,265.30M,,915.00M,,915.00M,663.58M,663.58M,104.52M,,2.541M,6.843M,1.692B,1.958B,10.41M,1.083B,706.03M,3.349M,,,,57.98M,1.854B
2009-12,40.16M,0.0,40.16M,80.36M,,89.27M,14.43M,14.42M,-0.864M,27.99M,,,,9.397M,281.50M,77.47M,,294.76M,,4.914B,-1.555B,3.358B,,,,,43.70M,3.402B,3.683B,215.59M,0.00,,215.59M,57.62M,273.21M,,,,,,,35.10M,35.10M,0.425M,308.74M,29.68M,805.00M,,805.00M,644.80M,644.80M,,54.84M,,27.83M,1.562B,1.871B,10.39M,1.057B,705.57M,3.349M,,,,42.44M,1.813B
2009-09,35.67M,,35.67M,52.61M,,85.72M,,,,36.77M,,,,176.85M,335.01M,72.37M,,277.12M,4.313B,4.662B,-1.478B,3.184B,20.64M,,24.35M,,24.76M,3.254B,3.589B,115.94M,6.649M,,122.59M,45.72M,168.31M,,,20.00M,,20.00M,,58.86M,58.86M,,247.17M,,790.00M,,790.00M,623.95M,623.95M,,49.76M,,54.37M,1.518B,1.765B,10.39M,1.024B,699.97M,3.349M,,,,92.59M,1.824B
2009-06,29.85M,,29.85M,54.52M,,54.52M,10.86M,18.20M,0.449M,29.51M,12.56M,,,244.37M,370.82M,70.21M,,269.87M,4.235B,4.575B,-1.420B,3.155B,20.64M,,,,77.47M,3.253B,3.624B,127.39M,8.976M,,136.37M,52.34M,188.71M,,,20.00M,,20.00M,,56.42M,56.42M,,265.13M,,795.00M,,795.00M,628.23M,628.23M,,,,98.85M,1.522B,1.787B,10.38M,988.43M,682.73M,3.349M,,,,158.27M,1.836B
2009-03,25.25M,,25.25M,75.22M,,75.22M,6.726M,,20.89M,27.62M,,,,328.99M,457.07M,70.02M,,273.61M,4.234B,4.577B,-1.386B,3.191B,0.00,,86.50M,,14.10M,3.292B,3.749B,142.95M,7.774M,,150.73M,40.22M,190.95M,,,36.71M,,36.71M,,84.65M,84.65M,,312.31M,,840.29M,,840.29M,623.34M,623.34M,,56.53M,,47.41M,1.568B,1.880B,10.38M,966.04M,679.14M,3.349M,,,,216.68M,1.869B
2008-12,28.10M,0.0,28.10M,109.09M,,109.61M,27.48M,16.44M,1.76M,45.68M,7.631M,,,4.869M,460.55M,68.61M,,274.19M,,4.472B,-1.336B,3.136B,0.00,,90.54M,,14.74M,3.241B,3.702B,222.98M,22.12M,,245.10M,20.68M,265.79M,,35.86M,35.86M,,35.86M,,63.98M,63.98M,1.591M,378.91M,,831.14M,,831.14M,599.11M,599.11M,,54.71M,,47.23M,1.532B,1.911B,10.36M,921.56M,675.57M,3.349M,,,,186.43M,1.791B
2008-09,47.37M,,47.37M,115.03M,33.55M,148.58M,,,,52.15M,,,42.23M,140.16M,430.49M,65.76M,,,4.122B,4.187B,-1.252B,2.936B,,,,84.21M,87.87M,3.108B,3.538B,206.04M,,,206.04M,41.72M,247.76M,,,20.00M,,20.00M,,47.18M,47.18M,3.093M,318.03M,,800.00M,,800.00M,674.01M,674.01M,,,,75.05M,1.549B,1.867B,10.36M,880.96M,670.97M,3.349M,,,,112.08M,1.671B
2008-06,136.33M,,136.33M,162.68M,0.629M,163.31M,,,,19.70M,,,104.79M,12.62M,436.76M,3.077B,,,304.67M,3.382B,-1.197B,2.185B,,,,78.59M,17.59M,2.282B,2.718B,196.15M,,,196.15M,44.04M,240.19M,,,20.00M,,20.00M,,1.264M,1.264M,213.80M,475.25M,,245.00M,,245.00M,542.21M,542.21M,,,,156.66M,943.87M,1.419B,10.35M,817.07M,657.83M,3.349M,,6.737M,-189.34M,-182.60M,1.299B
2008-03,41.99M,,41.99M,131.48M,7.483M,138.96M,,,,12.50M,,,56.09M,22.45M,272.00M,2.847B,,,275.30M,3.123B,-1.151B,1.972B,,,,53.90M,32.06M,2.058B,2.330B,163.35M,,,163.35M,57.54M,220.89M,,,20.00M,,20.00M,,1.337M,1.337M,79.40M,321.63M,,350.00M,,350.00M,508.14M,508.14M,,,,85.98M,944.12M,1.266B,10.30M,765.39M,435.12M,85.69M,,6.387M,-67.26M,-60.87M,1.064B
2007-12,18.50M,,18.50M,109.31M,3.832M,113.14M,,,,27.35M,,,26.46M,35.97M,221.41M,2.736B,,,276.73M,3.013B,-1.105B,1.908B,,,,47.85M,31.22M,1.987B,2.209B,173.50M,,,173.50M,48.06M,221.56M,,,20.00M,,20.00M,,3.93M,3.93M,6.774M,252.27M,,330.00M,,330.00M,481.77M,481.77M,,,,74.30M,886.07M,1.138B,10.27M,722.34M,424.23M,85.69M,,,,-0.894M,1.070B
2007-09,14.45M,,14.45M,82.84M,17.65M,100.50M,,,,36.20M,9.90M,,7.995M,28.79M,197.84M,2.845B,,,35.99M,2.881B,-1.071B,1.810B,,,,36.21M,33.18M,1.879B,2.077B,152.45M,,,152.45M,35.74M,188.20M,,,20.00M,,20.00M,,11.29M,11.29M,4.179M,223.66M,,295.00M,,295.00M,424.27M,424.27M,,,,82.53M,801.80M,1.025B,10.23M,683.21M,431.68M,85.69M,,8.364M,3.987M,12.35M,1.052B
2007-06,23.59M,,23.59M,100.55M,7.673M,108.22M,,,,23.12M,11.30M,,10.17M,37.26M,213.66M,2.691B,,,34.93M,2.726B,-1.034B,1.692B,,,,34.34M,29.33M,1.756B,1.969B,153.42M,,,153.42M,40.34M,193.76M,,,20.00M,,20.00M,,15.00M,15.00M,7.343M,236.11M,,235.00M,,235.00M,394.57M,394.57M,,,,84.72M,714.29M,950.40M,10.22M,650.67M,429.61M,85.69M,,,,14.05M,1.019B
2007-03,57.44M,,57.44M,97.51M,,97.51M,,,,15.41M,8.172M,,9.901M,31.09M,219.52M,2.554B,,,34.50M,2.588B,-1.020B,1.568B,,,,33.87M,21.86M,1.624B,1.843B,137.80M,,,137.80M,37.80M,175.60M,,,20.00M,,20.00M,,12.01M,12.01M,9.499M,217.11M,,210.00M,,210.00M,367.39M,367.39M,,,,82.97M,660.35M,877.46M,10.20M,612.20M,424.49M,85.69M,,0.554M,4.129M,4.683M,965.89M
2006-12,41.85M,,41.85M,116.55M,24.51M,141.06M,,,,33.00M,7.416M,,9.386M,82.97M,315.68M,119.08M,,,2.349B,2.468B,-987.47M,1.480B,,,,30.91M,7.696M,1.519B,1.834B,147.68M,,,147.68M,42.10M,189.78M,,,20.00M,,20.00M,,31.96M,31.96M,9.282M,251.03M,,220.00M,,220.00M,347.43M,347.43M,,,,70.84M,638.27M,889.29M,5.071M,565.59M,423.07M,85.69M,,,,37.16M,945.20M
2006-09,322.12M,,322.12M,104.16M,,104.16M,,,,41.12M,9.253M,,8.333M,62.02M,547.01M,2.109B,,192.84M,32.99M,2.335B,-945.02M,1.390B,,,,25.19M,17.58M,1.433B,1.980B,137.33M,,,137.33M,35.34M,172.67M,,,20.00M,,20.00M,,22.97M,22.97M,89.90M,305.54M,,380.00M,,380.00M,330.86M,330.86M,,,,53.78M,764.63M,1.070B,5.051M,535.38M,414.20M,85.69M,,1.772M,39.07M,40.84M,909.78M
2006-06,16.06M,,16.06M,99.55M,,99.55M,,,,25.96M,,,7.846M,38.18M,187.59M,2.301B,,189.63M,33.91M,2.525B,-1.125B,1.400B,,,,26.57M,13.73M,1.440B,1.628B,122.80M,,,122.80M,36.50M,159.30M,,,20.00M,,20.00M,,9.388M,9.388M,1.254M,189.94M,,330.00M,,330.00M,320.24M,320.24M,,,,75.73M,725.98M,915.92M,5.044M,348.29M,409.80M,66.38M,,,,15.33M,712.08M
2006-03,8.514M,,8.514M,114.27M,,114.27M,8.227M,5.559M,,13.79M,,,7.734M,20.05M,164.35M,2.185B,,182.37M,33.45M,2.401B,-1.090B,1.311B,,,,23.84M,7.755M,1.342B,1.507B,115.33M,,,115.33M,36.80M,152.12M,,,20.00M,,20.00M,,4.605M,4.605M,2.079M,178.81M,,275.00M,,275.00M,306.12M,306.12M,,,,70.96M,652.09M,830.89M,5.031M,303.39M,402.96M,39.20M,,,,3.559M,675.74M
2005-12,10.63M,,10.63M,156.01M,12.24M,168.25M,,,,24.62M,6.939M,,15.67M,4.209M,230.31M,112.68M,,,2.182B,2.295B,-1.057B,1.238B,,,,19.59M,7.416M,1.265B,1.495B,140.01M,,,140.01M,35.16M,175.16M,,,20.00M,,20.00M,,0.941M,0.941M,22.48M,218.58M,,320.00M,,320.00M,289.38M,289.38M,,,,67.19M,676.58M,895.16M,5.008M,252.17M,397.35M,39.20M,,,,-15.12M,600.21M
2005-09,3.187M,,3.187M,131.84M,,131.84M,,,,35.47M,,,52.25M,9.433M,232.18M,,,,,2.156B,-998.84M,1.157B,,,,19.60M,7.257M,1.184B,1.416B,144.75M,,,144.75M,143.78M,288.52M,,,20.00M,,20.00M,,1.105M,1.105M,,309.63M,,260.00M,,260.00M,269.41M,269.41M,,,,74.63M,604.04M,913.67M,5.005M,195.62M,393.54M,20.59M,,,,-71.32M,502.26M
2005-06,51.95M,,51.95M,93.42M,,93.42M,,,,23.82M,,,24.64M,13.58M,207.40M,4.882M,,,2.045B,2.050B,-998.84M,1.051B,,,,14.68M,7.351M,1.073B,1.280B,98.67M,,,98.67M,73.66M,172.33M,,,20.00M,,20.00M,,0.404M,0.404M,,192.73M,,250.00M,,250.00M,259.70M,259.70M,,,,62.16M,571.87M,764.60M,5.002M,163.82M,388.66M,20.59M,,,,-21.07M,515.82M
2005-03,59.58M,,59.58M,98.66M,,98.66M,,,,13.09M,,,36.20M,10.50M,218.04M,4.884M,,,1.980B,1.985B,-972.85M,1.012B,,,,15.16M,7.065M,1.034B,1.252B,102.51M,,,102.51M,25.52M,128.03M,,,20.00M,,20.00M,,0.694M,0.694M,73.58M,222.31M,,250.00M,,250.00M,255.00M,255.00M,,,,61.73M,566.73M,789.05M,4.996M,130.36M,385.85M,20.02M,,,,-38.15M,463.04M
2004-12,10.03M,,10.03M,125.75M,,125.75M,,,,24.05M,,,21.34M,13.50M,194.68M,4.86M,,,1.934B,1.939B,-944.63M,994.08M,,,,14.86M,7.341M,1.016B,1.211B,104.97M,,,104.97M,70.98M,175.94M,,,20.00M,,20.00M,,0.944M,0.944M,,196.89M,,250.00M,,250.00M,247.38M,247.38M,,,,61.03M,558.40M,755.29M,4.968M,110.94M,380.12M,20.02M,,,,-20.35M,455.66M
2004-09,24.89M,,24.89M,74.69M,,74.69M,,,,25.07M,,,37.20M,22.30M,184.15M,1.706B,,,188.05M,1.894B,-922.44M,971.36M,,,,16.34M,6.51M,994.20M,1.178B,91.71M,,,91.71M,106.52M,198.24M,,,,,,,,,,198.24M,,270.00M,,270.00M,232.13M,232.13M,,,,74.64M,576.77M,775.01M,3.308M,80.01M,378.96M,13.12M,,,,-45.82M,403.35M
2004-06,21.43M,,21.43M,89.50M,,89.50M,,,,9.519M,,,30.71M,16.02M,167.18M,1.651B,4.84M,,184.24M,1.840B,-890.80M,949.31M,,,,14.27M,6.672M,970.25M,1.137B,93.86M,,,93.86M,92.75M,186.61M,,,,,,,,,,186.61M,,270.00M,,270.00M,219.23M,219.23M,,,,69.57M,558.80M,745.40M,3.303M,63.49M,376.08M,9.726M,,,,-41.12M,392.02M
2004-03,51.80M,,51.80M,72.78M,,72.78M,,,,10.99M,,,,12.97M,148.54M,4.758M,,,1.770B,1.775B,-865.20M,909.93M,,,,,6.773M,916.70M,1.065B,92.16M,,,92.16M,92.42M,184.58M,,,,,,,,,,184.58M,,270.00M,,270.00M,175.68M,175.68M,,,,59.21M,504.90M,689.48M,3.279M,45.48M,368.80M,4.384M,,,,-37.41M,375.76M
2003-12,0.724M,,0.724M,87.42M,,87.42M,,,,18.24M,,,21.94M,15.01M,143.33M,4.758M,,,1.732B,1.737B,-841.04M,895.96M,,,,8.92M,6.85M,911.72M,1.055B,84.94M,,,84.94M,69.76M,154.70M,,,,,,,1.826M,1.826M,,156.53M,,270.00M,,270.00M,208.96M,208.96M,,,,54.38M,533.33M,689.86M,3.254M,27.76M,361.70M,4.384M,,,,-23.14M,365.20M
2003-09,4.346M,,4.346M,78.67M,,78.67M,,,,21.86M,,15.76M,,10.73M,131.37M,4.884M,,,1.785B,1.790B,-908.44M,881.72M,,,,,6.901M,888.62M,1.020B,91.38M,,,91.38M,57.41M,148.79M,,,,,,,,,,148.79M,,285.00M,,285.00M,174.82M,174.82M,,,,55.34M,515.16M,663.95M,3.249M,9.268M,359.29M,4.384M,,,,-11.38M,356.05M
2003-06,3.262M,,3.262M,85.16M,,85.16M,,,,9.96M,,,,11.62M,110.00M,4.884M,,,1.772B,1.777B,-886.58M,890.54M,,,,,6.799M,897.33M,1.007B,98.20M,,,98.20M,70.98M,169.17M,,,,,,,,,,169.17M,,304.00M,,304.00M,160.55M,160.55M,,,,57.86M,522.40M,691.58M,3.247M,-12.11M,358.58M,4.384M,,,,-29.57M,315.75M
2003-03,1.223M,,1.223M,108.47M,,108.47M,,,,9.656M,,,,5.48M,124.83M,4.884M,1.574B,137.55M,29.45M,1.746B,-863.89M,881.78M,,,,,7.214M,889.00M,1.014B,88.91M,,,88.91M,70.78M,159.70M,,,,,,,,,,159.70M,,338.00M,,338.00M,161.64M,161.64M,,,,55.45M,555.09M,714.79M,3.216M,-28.82M,353.96M,4.384M,,,,-24.94M,299.04M
2002-12,1.602M,,1.602M,70.03M,,70.03M,,,,15.25M,,,,5.28M,92.16M,4.884M,,,1.703B,1.708B,-735.92M,971.75M,,,,,7.013M,978.77M,1.071B,72.62M,,,72.62M,48.31M,120.93M,,,,,,,,,,120.93M,,365.00M,,365.00M,200.21M,200.21M,,,,34.13M,599.34M,720.27M,3.213M,11.67M,353.09M,4.384M,,,,-12.94M,350.66M
2002-09,4.668M,,4.668M,48.68M,,48.68M,,,,19.46M,,,,13.04M,85.84M,,,,,1.689B,-727.98M,960.70M,,,,,4.253M,964.96M,1.051B,52.48M,,,52.48M,31.50M,83.98M,,,,,,,,,,83.98M,,395.00M,,395.00M,202.18M,202.18M,,,,15.24M,612.41M,696.40M,3.21M,4.291M,352.26M,4.384M,,,,-0.967M,354.41M
2002-06,7.71M,,7.71M,52.72M,,52.72M,,,,15.15M,,,,11.86M,87.44M,1.514B,,133.90M,28.46M,1.676B,-701.15M,974.91M,,,,,2.728M,977.64M,1.065B,73.55M,,,73.55M,35.95M,109.50M,,,,,,,,,,109.50M,,397.00M,,397.00M,198.52M,198.52M,,,,13.08M,608.60M,718.10M,3.21M,-0.562M,351.56M,4.384M,,,,-2.844M,346.98M
2002-03,4.976M,,4.976M,51.64M,,51.64M,,,,12.06M,,,,12.74M,81.42M,1.496B,4.767M,,160.04M,1.661B,-679.00M,982.15M,,,,,2.613M,984.76M,1.066B,64.03M,,,64.03M,41.11M,105.14M,,,,,,,,,,105.14M,,412.00M,,412.00M,194.54M,194.54M,,,,18.80M,625.34M,730.48M,3.191M,-1.412M,346.88M,4.384M,,,,-8.588M,335.69M
2001-12,5.706M,,5.706M,50.71M,,50.71M,,,,17.56M,,,,11.01M,84.99M,,,,,1.635B,-653.67M,981.34M,,,,,2.706M,984.04M,1.069B,79.58M,,,79.58M,30.66M,110.24M,,,,,,,,,,110.24M,,393.00M,,393.00M,200.86M,200.86M,,,,18.38M,612.24M,722.48M,3.191M,0.65M,346.26M,4.384M,,,,0.835M,346.55M
2001-09,13.93M,,13.93M,58.73M,,58.73M,,,,20.27M,,,,23.13M,116.06M,4.563M,1.436B,129.40M,25.91M,1.596B,-621.20M,974.40M,,,,,2.636M,977.04M,1.093B,90.81M,,,90.81M,29.04M,119.85M,,,,,,,,,,119.85M,,367.00M,,367.00M,221.74M,221.74M,,,,18.34M,607.08M,726.92M,3.191M,17.52M,343.91M,4.384M,,,,5.946M,366.18M
2001-06,9.361M,,9.361M,55.64M,,55.64M,,,,14.19M,,,,30.03M,109.22M,4.563M,,,1.250B,1.255B,-593.13M,661.73M,,,,,1.974M,663.71M,772.93M,95.05M,,,95.05M,27.33M,122.38M,,,,,,,,,,122.38M,,187.00M,,187.00M,135.63M,135.63M,,,,13.84M,336.46M,458.85M,2.989M,8.669M,293.59M,4.384M,,,,13.22M,314.08M
2001-03,5.111M,,5.111M,,,71.14M,,,,7.576M,,,,11.09M,94.92M,,,,,1.225B,-576.51M,648.12M,,,,,2.047M,650.17M,745.09M,90.20M,,,90.20M,,90.20M,,,16.00M,,16.00M,,,,35.95M,142.15M,,183.00M,,183.00M,121.96M,121.96M,,,,14.87M,319.83M,461.98M,2.973M,-3.742M,289.97M,4.384M,,,,-1.706M,283.11M
2000-12,7.574M,,7.574M,85.68M,,85.68M,,,,11.04M,,,,5.981M,110.27M,,,,,1.184B,-560.40M,623.17M,,,,,2.191M,625.36M,735.63M,81.57M,,,81.57M,,81.57M,,,16.00M,,16.00M,,,,20.54M,118.11M,,253.00M,,253.00M,108.17M,108.17M,,,,13.85M,375.02M,493.13M,2.949M,-41.63M,285.57M,4.384M,,,,,242.50M
2000-09,2.022M,,2.022M,,,62.16M,,,,14.60M,,,,4.685M,83.47M,,,,,1.157B,-544.70M,611.95M,,,,,1.946M,613.90M,697.37M,67.04M,,,67.04M,,67.04M,,,16.00M,,16.00M,,,,21.21M,104.25M,,260.00M,,260.00M,99.19M,99.19M,,,,12.86M,372.05M,476.30M,2.931M,-57.54M,280.06M,4.384M,,,,,221.07M
2000-06,1.429M,,1.429M,,,58.17M,,,,8.312M,,,,4.431M,72.34M,,,,,1.131B,-530.31M,600.69M,,,,,2.199M,602.89M,675.23M,71.21M,,,71.21M,,71.21M,,,16.00M,,16.00M,,,,16.39M,103.60M,,249.00M,,249.00M,95.62M,95.62M,,,,12.72M,357.34M,460.94M,2.921M,-62.52M,278.27M,4.384M,,,,,214.29M
2000-03,0.836M,,0.836M,,,49.36M,,,,4.928M,,,,2.289M,57.41M,,,,,1.101B,-508.60M,592.24M,,,,,2.439M,594.68M,652.09M,52.48M,,,52.48M,,52.48M,,,16.00M,,16.00M,,,,20.32M,88.80M,,262.00M,,262.00M,97.61M,97.61M,,,,12.23M,371.84M,460.64M,2.631M,-63.01M,256.22M,4.384M,0.113M,,,,191.45M
1999-12,1.70M,,1.70M,,,50.40M,,,,10.90M,,,,3.60M,66.60M,,,,,1.091B,-501.10M,590.30M,,,,,2.60M,592.90M,659.50M,56.60M,,,56.60M,,56.60M,,,16.00M,,16.00M,,,,17.30M,89.90M,,277.00M,,277.00M,95.00M,95.00M,,,,11.00M,383.00M,472.90M,2.60M,-66.50M,254.80M,4.40M,0.10M,,,,186.60M
1999-09,1.50M,,1.50M,,,51.40M,,,,11.50M,,,,40.20M,104.60M,,,,,1.070B,-482.40M,587.70M,,,,,2.40M,590.10M,694.70M,55.90M,,,55.90M,,55.90M,,,16.00M,,16.00M,,,,18.70M,90.60M,,319.00M,,319.00M,92.40M,92.40M,,,,10.30M,421.70M,512.30M,2.60M,-70.10M,254.20M,4.40M,0.10M,,,,182.40M
1999-06,1.90M,,1.90M,,,43.50M,,,,8.20M,,,,4.20M,57.80M,,,,,1.130B,-507.30M,622.50M,,,,,2.20M,624.70M,682.50M,44.00M,,,44.00M,,44.00M,,,16.00M,,16.00M,,,,14.60M,74.60M,,334.00M,,334.00M,85.20M,85.20M,,,,9.80M,429.00M,503.60M,2.60M,-72.80M,253.50M,4.40M,0.10M,,,,178.90M
1999-03,1.70M,,1.70M,,,47.20M,,,,8.00M,,,,3.60M,60.50M,,,,,1.126B,-493.90M,631.80M,,,,,2.40M,634.20M,694.70M,39.80M,,,39.80M,,39.80M,,,16.00M,,16.00M,,,,17.70M,73.50M,,347.00M,,347.00M,84.50M,84.50M,,,,10.70M,442.20M,515.70M,0.10M,-71.90M,,,0.10M,,,,179.00M
1998-12,2.20M,,2.20M,,,55.80M,,,,9.30M,,,,3.80M,71.10M,,,,,1.110B,-480.60M,629.90M,,,,,3.20M,633.10M,704.20M,66.60M,,,66.60M,,66.60M,,,16.00M,,16.00M,,,,16.40M,99.00M,,327.00M,,327.00M,86.00M,86.00M,,,,9.50M,422.50M,521.50M,2.60M,-67.60M,252.10M,4.40M,0.10M,,,,182.70M
1998-09,2.10M,,2.10M,,,45.90M,,,,10.10M,,,,4.30M,62.40M,,,,,1.003B,-470.60M,532.20M,,,,,2.30M,534.50M,596.90M,50.20M,,,50.20M,,50.20M,,,16.00M,,16.00M,,,,20.40M,86.60M,,233.00M,,233.00M,85.60M,85.60M,,,,7.60M,326.20M,412.80M,0.10M,-65.80M,,,0.10M,,,,184.10M
1998-06,3.90M,,3.90M,,,43.40M,,,,8.70M,,,,4.40M,60.40M,,,,,975.10M,-458.90M,516.20M,,,,,1.70M,517.90M,578.30M,48.80M,,,48.80M,,48.80M,,,16.00M,,16.00M,,,,16.20M,81.00M,,214.00M,,214.00M,84.70M,84.70M,,,,7.80M,306.50M,387.50M,0.10M,-62.30M,,,0.10M,,,,190.80M
1998-03,3.50M,,3.50M,,,47.00M,,,,6.20M,,,,2.30M,59.00M,,,,,925.00M,-437.40M,487.60M,,,,,1.90M,489.50M,548.50M,44.30M,,,44.30M,,44.30M,,,16.00M,,16.00M,,,,18.70M,79.00M,,191.00M,,191.00M,82.40M,82.40M,,,,8.50M,281.90M,360.90M,0.10M,-63.60M,,,0.10M,,,,187.60M
