,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-04,1.813B,1.813B,1.081B,732.00M,243.00M,148.00M,391.00M,33.00M,,0.00,27.00M,3.00M,-24.00M,1.00M,425.00M,307.00M,3.00M,27.00M,-24.00M,,-24.00M,283.00M,97.00M,186.00M,,,1.00M,187.00M,187.00M,375.00M,65.00M,310.00M,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,321.00M,323.00M,0.29
2011-01,2.127B,2.127B,1.289B,838.00M,291.00M,154.00M,445.00M,31.00M,,0.00,34.00M,3.00M,-31.00M,3.00M,479.00M,359.00M,3.00M,34.00M,-31.00M,,-31.00M,328.00M,89.00M,239.00M,,,0.00,239.00M,239.00M,426.00M,64.00M,362.00M,0.72,0.0,,0.72,0.72,0.71,0.0,,0.71,0.71,330.00M,332.00M,0.29
2010-10,2.172B,2.172B,1.278B,894.00M,277.00M,140.00M,417.00M,31.00M,,0.00,32.00M,2.00M,-30.00M,2.00M,450.00M,444.00M,2.00M,32.00M,-30.00M,,-30.00M,414.00M,135.00M,279.00M,,,0.00,279.00M,279.00M,511.00M,65.00M,446.00M,0.82,0.0,,0.82,0.82,0.82,0.0,,0.82,0.82,335.00M,338.00M,0.275
2010-07,1.518B,1.518B,905.00M,613.00M,221.00M,167.00M,388.00M,35.00M,,0.00,28.00M,2.00M,-26.00M,,422.00M,191.00M,2.00M,28.00M,-26.00M,-3.00M,-26.00M,161.00M,48.00M,113.00M,,,0.00,113.00M,113.00M,255.00M,66.00M,189.00M,0.33,,,0.33,0.33,0.33,,,0.33,0.33,337.00M,340.00M,0.275
2010-04,1.802B,1.802B,1.059B,743.00M,252.00M,156.00M,408.00M,31.00M,,-12.00M,29.00M,2.00M,-27.00M,,439.00M,304.00M,2.00M,29.00M,-27.00M,-12.00M,-27.00M,265.00M,97.00M,168.00M,,,0.00,168.00M,175.61M,357.00M,63.00M,294.00M,0.49,0.0,,0.5124,0.49,0.49,0.0,,0.5122,0.49,339.00M,342.00M,0.275
2010-01,2.153B,2.153B,1.282B,871.00M,301.00M,149.00M,450.00M,28.00M,,,27.00M,1.00M,-26.00M,2.00M,480.00M,391.00M,1.00M,27.00M,-26.00M,,-26.00M,365.00M,106.00M,259.00M,,,,259.00M,259.00M,454.00M,62.00M,392.00M,0.74,0.0,,0.74,0.74,0.74,0.0,,0.74,0.74,341.00M,344.00M,0.275
2009-10,2.203B,2.203B,1.28B,923.00M,284.00M,133.00M,417.00M,29.00M,,,28.00M,1.00M,-27.00M,-1.00M,445.00M,478.00M,1.00M,28.00M,-27.00M,,-27.00M,451.00M,147.00M,304.00M,,,,304.00M,304.00M,539.00M,60.00M,479.00M,0.87,0.0,,0.87,0.87,0.87,0.0,,0.87,0.87,343.00M,346.00M,0.25
2009-07,1.528B,1.528B,893.00M,635.00M,209.00M,184.00M,393.00M,31.00M,,0.00,25.00M,2.00M,-23.00M,,491.00M,144.00M,2.00M,25.00M,-23.00M,1.00M,-23.00M,122.00M,53.00M,69.00M,0.00,,,69.00M,69.00M,216.00M,69.00M,147.00M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,346.00M,346.00M,0.25
2009-04,1.686B,1.686B,1.001B,685.00M,246.00M,129.00M,375.00M,27.00M,,0.00,26.00M,0.00,-26.00M,,402.00M,283.00M,0.00,26.00M,-26.00M,3.00M,-26.00M,260.00M,86.00M,174.00M,0.00,,,174.00M,174.00M,348.00M,62.00M,286.00M,0.49,0.0,,0.49,0.49,0.49,0.0,,0.49,0.49,350.00M,351.00M,0.25
2009-01,2.122B,2.122B,1.285B,837.00M,315.00M,138.00M,453.00M,27.00M,,,26.00M,1.00M,-25.00M,,480.00M,357.00M,1.00M,26.00M,-25.00M,-2.00M,-25.00M,330.00M,101.00M,229.00M,4.00M,,,233.00M,229.00M,423.00M,67.00M,356.00M,0.63,0.01,,0.63,0.65,0.63,0.01,,0.63,0.64,355.00M,358.00M,0.25
2008-10,2.25B,2.25B,1.379B,871.00M,307.00M,140.00M,447.00M,29.00M,,,33.00M,1.00M,-32.00M,,476.00M,395.00M,1.00M,33.00M,-32.00M,4.00M,-32.00M,367.00M,107.00M,260.00M,,,,260.00M,260.00M,466.00M,66.00M,400.00M,0.71,,,0.71,0.71,0.7,,,0.7,0.7,357.00M,362.00M,0.25
2008-07,1.715B,1.715B,1.051B,664.00M,263.00M,168.00M,431.00M,33.00M,,-3.00M,46.00M,,-38.00M,,470.00M,194.00M,,46.00M,-38.00M,-6.00M,-38.00M,150.00M,61.00M,89.00M,0.00,,,89.00M,90.95M,282.00M,86.00M,196.00M,0.23,-0.01,,0.2354,0.21,0.23,-0.01,,0.2354,0.21,361.00M,361.00M,0.22
2008-04,1.88B,1.88B,1.154B,726.00M,284.00M,158.00M,442.00M,30.00M,,-172.00M,37.00M,,-37.00M,,472.00M,254.00M,,37.00M,-37.00M,-172.00M,-37.00M,45.00M,-9.00M,54.00M,478.00M,,,532.00M,165.80M,152.00M,70.00M,82.00M,0.14,1.28,,0.4397,1.43,0.14,1.25,,0.4334,1.4,373.00M,381.00M,0.22
2008-01,2.218B,2.218B,1.329B,889.00M,,,460.00M,25.00M,,-4.00M,,,,,485.00M,404.00M,,,,-4.00M,,358.00M,98.00M,260.00M,14.00M,,,274.00M,262.91M,474.00M,70.00M,404.00M,0.69,0.04,,0.6977,0.73,0.67,0.04,,0.6775,0.71,377.00M,386.00M,0.22
2007-10,2.185B,2.185B,1.293B,892.00M,,,437.00M,27.00M,,,,,,,464.00M,428.00M,,,,,,386.00M,118.00M,268.00M,2.00M,,,270.00M,268.00M,496.00M,68.00M,428.00M,0.71,0.0,,0.71,0.71,0.7,0.0,,0.7,0.7,379.00M,388.00M,0.22
2007-07,1.52B,1.52B,926.00M,594.00M,,,431.00M,35.00M,,-18.00M,,,,,466.00M,128.00M,,,,12.00M,,102.00M,44.00M,58.00M,3.00M,,,61.00M,69.70M,259.00M,82.00M,177.00M,0.15,0.01,,0.1805,0.16,0.15,0.01,,0.18,0.16,383.00M,390.00M,0.2
2007-04,1.75B,1.75B,1.052B,698.00M,,,405.00M,26.00M,,2.00M,,,,,431.00M,267.00M,,,,2.00M,,242.00M,32.00M,210.00M,7.00M,,,217.00M,208.26M,336.00M,69.00M,267.00M,0.55,0.02,,0.5455,0.57,0.53,0.02,,0.5256,0.55,384.00M,395.00M,0.2
2007-01,2.064B,2.064B,1.213B,851.00M,,,445.00M,25.00M,,18.00M,,,,,470.00M,381.00M,,,,18.00M,,361.00M,104.00M,257.00M,28.00M,,,285.00M,244.19M,449.00M,68.00M,381.00M,0.67,0.07,,0.6366,0.74,0.65,0.07,,0.6176,0.72,384.00M,395.00M,0.2
2006-10,2.153B,2.153B,1.236B,917.00M,,,451.00M,26.00M,,-2.00M,,,,,477.00M,440.00M,,,,-2.00M,,397.00M,128.00M,269.00M,22.00M,,,291.00M,270.36M,504.00M,64.00M,440.00M,0.68,0.06,,0.6834,0.74,0.66,0.05,,0.6633,0.71,395.00M,405.00M,0.2
2006-07,1.454B,1.454B,840.00M,614.00M,,,446.00M,25.00M,,-4.00M,,,,,471.00M,143.00M,,,,-4.00M,,98.00M,14.00M,84.00M,-40.00M,,,44.00M,87.43M,220.00M,77.00M,143.00M,0.22,-0.1,,0.2285,0.12,0.2,-0.1,,0.2083,0.11,404.00M,414.00M,0.18
2006-04,1.728B,1.728B,1.021B,707.00M,,,431.00M,26.00M,,-2.00M,,,,,457.00M,250.00M,,,,-2.00M,,208.00M,62.00M,146.00M,20.00M,,,166.00M,147.40M,325.00M,75.00M,250.00M,0.36,0.05,,0.3635,0.41,0.35,0.05,,0.3534,0.4,406.00M,413.00M,0.18
2006-01,2.159B,2.159B,1.251B,908.00M,,,500.00M,24.00M,,-1.00M,,,,,524.00M,384.00M,,,,-1.00M,,340.00M,101.00M,239.00M,15.00M,,,254.00M,239.70M,452.00M,68.00M,384.00M,0.62,0.0,,0.6217,0.62,0.61,0.0,,0.6117,0.61,408.00M,414.00M,0.18
2005-10,2.002B,2.002B,1.156B,846.00M,,,443.00M,24.00M,,2.00M,,,,,467.00M,379.00M,,,,2.00M,,355.00M,69.00M,286.00M,16.00M,,,302.00M,284.39M,448.00M,69.00M,379.00M,0.7,0.04,,0.6961,0.74,0.69,0.04,,0.6861,0.73,409.00M,414.00M,0.18
2005-07,1.022B,1.022B,574.00M,448.00M,,,326.00M,22.00M,,3.00M,,,,,348.00M,100.00M,,,,3.00M,,57.00M,24.00M,33.00M,,,,96.00M,31.20M,172.00M,72.00M,100.00M,0.08,0.15,,0.0756,0.23,0.08,0.15,,0.0756,0.23,409.00M,410.00M,0.17
2005-04,1.736B,1.736B,1.035B,701.00M,,,420.00M,24.00M,,2.00M,,,,,444.00M,257.00M,,,,2.00M,,214.00M,68.00M,146.00M,,,,146.00M,144.64M,328.00M,71.00M,257.00M,0.36,0.0,,0.3567,0.36,0.35,0.0,,0.3467,0.35,409.00M,414.00M,0.17
2005-01,2.223B,2.223B,1.321B,902.00M,,,491.00M,24.00M,,2.00M,,,,,515.00M,387.00M,,,,2.00M,,344.00M,109.00M,235.00M,,,,235.00M,233.63M,455.00M,68.00M,387.00M,0.57,0.0,,0.5667,0.57,0.57,0.0,,0.5667,0.57,409.00M,414.00M,0.17
2004-10,2.091B,2.091B,1.245B,846.00M,,,443.00M,20.00M,,-2.00M,,,,,463.00M,383.00M,,,,-2.00M,,337.00M,107.00M,230.00M,,,,230.00M,231.36M,451.00M,68.00M,383.00M,0.56,0.0,,0.5633,0.56,0.56,0.0,,0.5633,0.56,409.00M,412.00M,0.17
2004-07,1.433B,1.433B,872.00M,561.00M,,,384.00M,28.00M,,-16.00M,,,,,414.00M,147.00M,,,,-16.00M,,86.00M,27.00M,59.00M,,,,59.00M,69.98M,212.00M,65.00M,147.00M,0.15,0.0,,0.1772,0.15,0.14,0.0,,0.1666,0.14,403.00M,412.00M,0.1575
2004-04,1.667B,1.667B,995.00M,672.00M,,,419.00M,23.00M,,13.00M,,,,,442.00M,230.00M,,,,13.00M,,203.00M,61.00M,142.00M,,,,142.00M,132.91M,298.00M,68.00M,230.00M,0.35,0.0,,0.3279,0.35,0.34,0.0,,0.318,0.34,411.00M,413.00M,0.1575
2004-01,2.10B,2.10B,1.212B,888.00M,,,476.00M,21.00M,,-2.00M,,,,,497.00M,391.00M,,,,-2.00M,,347.00M,112.00M,235.00M,,,,235.00M,236.35M,455.00M,64.00M,391.00M,0.57,0.0,,0.5733,0.57,0.57,0.0,,0.5733,0.57,411.00M,412.00M,0.1575
2003-10,1.909B,1.909B,1.108B,801.00M,,,416.00M,21.00M,,-10.00M,,,,,437.00M,364.00M,,,,-10.00M,,311.00M,100.00M,211.00M,,,,211.00M,217.78M,427.00M,63.00M,364.00M,0.51,0.0,,0.5265,0.51,0.51,0.0,,0.5265,0.51,411.00M,412.00M,0.1575
2003-07,1.455B,1.455B,858.00M,597.00M,,,451.00M,26.00M,,,,,,,477.00M,120.00M,,,,,,110.00M,36.00M,74.00M,,0.00,,74.00M,74.00M,183.00M,63.00M,120.00M,0.18,0.01,0.0,0.18,0.19,0.18,0.01,0.0,0.18,0.19,411.00M,411.00M,0.1575
2003-04,1.60B,1.60B,920.00M,680.00M,,,400.00M,23.00M,,-22.00M,,,,,423.00M,257.00M,,,,-22.00M,,190.00M,61.00M,129.00M,,,,129.00M,143.94M,326.00M,69.00M,257.00M,0.31,0.0,,0.3463,0.31,0.31,0.0,,0.3463,0.31,411.00M,411.00M,0.1575
2003-01,1.918B,1.918B,1.056B,862.00M,,,457.00M,21.00M,,,,,,,478.00M,384.00M,,,,,,339.00M,108.00M,231.00M,,,,231.00M,231.00M,440.00M,56.00M,384.00M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,411.00M,411.00M,0.1575
2002-10,1.705B,1.705B,971.00M,734.00M,,,378.00M,19.00M,,-7.00M,,,,,397.00M,337.00M,,,,-7.00M,,285.00M,93.00M,192.00M,,-31.00M,,161.00M,196.72M,392.00M,55.00M,337.00M,0.47,-0.08,0.0,0.4815,0.39,0.47,-0.08,-0.0756,0.4815,0.39,410.00M,411.00M,0.1575
2002-07,1.223B,1.223B,686.00M,537.00M,,,246.00M,25.00M,,-138.00M,,,,,271.00M,266.00M,,,,-138.00M,,84.00M,29.00M,55.00M,,,,55.00M,145.36M,356.00M,90.00M,266.00M,0.14,0.0,,0.3604,0.14,0.14,0.0,,0.3598,0.14,410.00M,411.00M,0.1575
2002-04,1.371B,1.371B,782.00M,589.00M,,,382.00M,17.00M,,,,,,,399.00M,190.00M,,,,,,146.00M,50.00M,96.00M,,,,96.00M,96.00M,272.00M,82.00M,190.00M,0.23,0.0,,0.23,0.23,0.23,0.0,,0.23,0.23,410.00M,411.00M,0.1575
2002-01,1.81B,1.81B,1.004B,806.00M,,,405.00M,17.00M,,-31.00M,,,,,422.00M,384.00M,,,,-31.00M,,307.00M,104.00M,203.00M,,,,203.00M,223.50M,458.00M,74.00M,384.00M,0.49,0.0,,0.54,0.49,0.49,0.0,,0.5399,0.49,410.00M,411.00M,0.1575
2001-10,1.729B,1.729B,971.00M,758.00M,,,391.00M,18.00M,,-35.00M,,,,,409.00M,349.00M,,,,-35.00M,,261.00M,90.00M,171.00M,,,,171.00M,193.93M,422.00M,73.00M,349.00M,0.42,0.0,,0.4759,0.42,0.42,0.0,,0.4758,0.42,410.00M,411.00M,0.1575
2001-07,1.49B,1.49B,998.00M,492.00M,,,488.00M,19.00M,,21.00M,,,,,376.00M,116.00M,,,,21.00M,,80.00M,28.00M,52.00M,,,,52.00M,38.35M,194.00M,78.00M,116.00M,0.13,0.0,,0.0968,0.13,0.13,0.0,,0.0969,0.13,411.00M,412.00M,0.225
2001-04,1.439B,1.439B,603.00M,836.00M,,,496.00M,15.00M,,-24.00M,,,,,575.00M,261.00M,,,,-24.00M,,185.00M,63.00M,122.00M,,,,122.00M,137.83M,325.00M,64.00M,261.00M,0.3,0.0,,0.3386,0.3,0.3,0.0,,0.3385,0.3,410.00M,411.00M,0.225
2001-01,1.957B,1.957B,800.00M,1.157B,,,588.00M,15.00M,,-32.00M,,,,,665.00M,492.00M,,,,-32.00M,,411.00M,140.00M,271.00M,,,,271.00M,292.10M,554.00M,62.00M,492.00M,0.65,0.0,,0.7008,0.65,0.65,0.0,,0.7004,0.65,415.00M,419.00M,0.225
2000-10,1.778B,1.778B,745.00M,1.033B,,,565.00M,14.00M,,-29.00M,,,,,641.00M,392.00M,,,,-29.00M,,311.00M,107.00M,204.00M,,,,204.00M,223.02M,454.00M,62.00M,392.00M,0.48,0.0,,0.5252,0.48,0.47,0.0,,0.5141,0.47,421.00M,431.00M,0.225
2000-07,1.388B,1.388B,975.00M,413.00M,,,422.00M,19.00M,,32.00M,,,,,307.00M,106.00M,,,,32.00M,,89.00M,30.00M,59.00M,,,,59.00M,37.79M,168.00M,62.00M,106.00M,0.14,0.0,,0.0897,0.14,0.1328,0.0,,0.0837,0.1328,422.00M,432.00M,0.225
2000-04,1.394B,1.394B,598.00M,796.00M,,,457.00M,14.00M,,-15.00M,,,,,537.00M,259.00M,,,,-15.00M,,200.00M,61.00M,139.00M,,,,139.00M,149.42M,325.00M,66.00M,259.00M,0.33,0.0,,0.3546,0.33,0.32,0.0,,0.3441,0.32,423.00M,432.00M,0.225
2000-01,1.916B,1.916B,787.00M,1.129B,,,551.00M,15.00M,,-29.00M,,,,,627.00M,502.00M,,,,-29.00M,,423.00M,142.00M,281.00M,,,,281.00M,300.26M,563.00M,61.00M,502.00M,0.66,0.0,,0.7051,0.66,0.65,0.0,,0.6947,0.65,427.00M,431.00M,0.225
1999-10,1.768B,1.768B,747.00M,1.021B,,,511.00M,16.00M,,-21.00M,,,,,589.00M,432.00M,,,,-21.00M,,365.00M,130.00M,235.00M,,,,235.00M,248.52M,494.00M,62.00M,432.00M,0.55,0.0,,0.5815,0.55,0.54,0.0,,0.5712,0.54,429.00M,433.00M,0.225
1999-07,1.498B,1.498B,1.027B,471.00M,,,416.00M,18.00M,,-1.00M,,,,,301.00M,170.00M,,,,-1.00M,,124.00M,45.00M,79.00M,,,,79.00M,79.64M,234.00M,64.00M,170.00M,0.18,0.0,,0.1815,0.18,0.18,0.0,,0.1815,0.18,435.00M,436.00M,0.225
1999-04,1.492B,1.492B,662.00M,830.00M,,,439.00M,15.00M,,-24.00M,,,,,522.00M,308.00M,,,,-24.00M,,241.00M,79.00M,162.00M,,,,162.00M,178.13M,376.00M,68.00M,308.00M,0.37,0.0,,0.4068,0.37,0.37,0.0,,0.4064,0.37,438.00M,443.00M,0.225
1999-01,1.832B,1.832B,792.00M,1.04B,,,585.00M,17.00M,,-3.00M,,,,,666.00M,374.00M,,,,-3.00M,,329.00M,110.00M,219.00M,,,,219.00M,221.00M,438.00M,64.00M,374.00M,0.49,0.0,,0.4945,0.49,0.49,0.0,,0.4944,0.49,444.00M,449.00M,0.225
1998-10,1.804B,1.804B,771.00M,1.033B,,,498.00M,16.00M,,-13.00M,,,,,573.00M,460.00M,,,,-13.00M,,403.00M,139.00M,264.00M,,,,264.00M,272.52M,519.00M,59.00M,460.00M,0.59,0.0,,0.609,0.59,0.58,0.0,,0.5988,0.58,448.00M,454.00M,0.21
1998-07,1.299B,1.299B,603.00M,696.00M,,,348.00M,19.00M,,56.00M,,,,,427.00M,269.00M,,,,56.00M,,275.00M,93.00M,182.00M,0.00,0.00,,182.00M,144.94M,329.00M,60.00M,269.00M,0.41,0.0,0.0,0.3273,0.41,0.4,0.0,-0.0001,0.3184,0.4,448.00M,454.00M,0.21
