,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.284B,3.284B,2.223B,1.061B,-6.00M,6.00M,103.00M,178.00M,15.00M,-163.00M,,459.00M,602.00M,15.00M,178.00M,-163.00M,101.00M,-163.00M,540.00M,63.00M,477.00M,,,-1.00M,,476.00M,470.70M,1.074B,356.00M,718.00M,2.47,,,,2.443,2.47,2.46,,,,2.4330000000000003,2.46,193.00M,193.00M,1.012
2020-06,2.583B,2.583B,1.727B,856.00M,55.00M,-55.00M,84.00M,179.00M,6.00M,-173.00M,-7.00M,427.00M,429.00M,6.00M,179.00M,-173.00M,27.00M,-173.00M,283.00M,6.00M,277.00M,,,0.00,,277.00M,280.92M,812.00M,350.00M,462.00M,1.44,,,,1.46,1.44,1.44,,,,1.46,1.44,192.00M,193.00M,1.012
2020-03,3.022B,3.022B,2.014B,1.008B,-10.00M,10.00M,119.00M,175.00M,10.00M,-165.00M,-6.00M,466.00M,542.00M,10.00M,175.00M,-165.00M,14.00M,-165.00M,391.00M,49.00M,342.00M,,,-2.00M,,340.00M,311.29M,919.00M,353.00M,566.00M,1.77,,,,1.62,1.77,1.76,,,,1.61,1.76,192.00M,192.00M,1.012
2019-12,3.148B,3.148B,2.289B,859.00M,1.00M,-1.00M,103.00M,173.00M,6.00M,-167.00M,,419.00M,440.00M,6.00M,173.00M,-167.00M,25.00M,-167.00M,298.00M,30.00M,268.00M,,,-1.00M,,267.00M,267.90M,811.00M,340.00M,471.00M,1.39,,,,1.395,1.39,1.39,,,,1.395,1.39,191.00M,191.00M,1.012
2019-09,3.119B,3.119B,2.245B,874.00M,1.00M,-1.00M,101.00M,162.00M,4.00M,-158.00M,,423.00M,451.00M,4.00M,162.00M,-158.00M,71.00M,-158.00M,364.00M,47.00M,317.00M,,,2.00M,,319.00M,319.87M,848.00M,322.00M,526.00M,1.74,,,,1.745,1.74,1.73,,,,1.735,1.73,183.00M,184.00M,0.945
2019-06,2.888B,2.888B,2.178B,710.00M,13.00M,-13.00M,92.00M,154.00M,3.00M,-151.00M,-6.00M,391.00M,319.00M,3.00M,154.00M,-151.00M,32.00M,-151.00M,200.00M,21.00M,179.00M,,,3.00M,,182.00M,161.53M,659.00M,305.00M,354.00M,0.99,,,,0.8781,0.99,0.99,,,,0.8788,0.99,183.00M,184.00M,0.945
2019-03,3.514B,3.514B,2.558B,956.00M,0.00,0.00,118.00M,152.00M,4.00M,-148.00M,-7.00M,407.00M,549.00M,4.00M,152.00M,-148.00M,61.00M,-148.00M,462.00M,54.00M,408.00M,,,-7.00M,,401.00M,362.28M,910.00M,296.00M,614.00M,2.2,,,,1.9869999999999999,2.2,2.19,,,,1.9780000000000002,2.19,182.00M,183.00M,0.945
2018-12,3.75B,3.75B,3.003B,747.00M,19.00M,-19.00M,98.00M,147.00M,3.00M,-144.00M,-8.00M,388.00M,359.00M,3.00M,147.00M,-144.00M,-42.00M,-144.00M,173.00M,-23.00M,196.00M,,,-5.00M,,191.00M,188.08M,618.00M,298.00M,320.00M,1.05,,,,1.034,1.05,1.04,,,,1.024,1.04,181.00M,181.00M,0.945
2018-09,3.55B,3.55B,2.739B,811.00M,10.00M,-10.00M,99.00M,142.00M,3.00M,-139.00M,-7.00M,365.00M,446.00M,3.00M,142.00M,-139.00M,62.00M,-139.00M,369.00M,34.00M,335.00M,,,-1.00M,,334.00M,313.98M,784.00M,273.00M,511.00M,1.84,,,,1.73,1.84,1.84,,,,1.73,1.84,182.00M,182.00M,0.8825
2018-06,3.159B,3.159B,2.46B,699.00M,1.00M,-1.00M,97.00M,135.00M,3.00M,-132.00M,-6.00M,363.00M,336.00M,3.00M,135.00M,-132.00M,51.00M,-132.00M,255.00M,19.00M,236.00M,,,-2.00M,,234.00M,210.75M,662.00M,272.00M,390.00M,1.29,,,,1.162,1.29,1.29,,,,1.162,1.29,181.00M,181.00M,0.8825
2018-03,3.753B,3.753B,2.86B,893.00M,-3.00M,3.00M,111.00M,135.00M,3.00M,-132.00M,-7.00M,385.00M,508.00M,3.00M,135.00M,-132.00M,43.00M,-132.00M,419.00M,68.00M,351.00M,,,10.00M,,361.00M,339.16M,835.00M,281.00M,554.00M,2.01,,,,1.889,2.01,2.0,,,,1.879,2.0,180.00M,180.00M,0.8825
2017-12,3.271B,3.271B,2.499B,772.00M,32.00M,-32.00M,94.00M,132.00M,3.00M,-129.00M,-6.00M,362.00M,410.00M,3.00M,132.00M,-129.00M,-67.00M,-129.00M,214.00M,-66.00M,280.00M,,,7.00M,,287.00M,291.80M,620.00M,274.00M,346.00M,1.6,,,,1.6269999999999998,1.6,1.6,,,,1.6269999999999998,1.6,179.00M,179.00M,0.8825
2017-09,3.245B,3.245B,2.456B,789.00M,6.00M,-6.00M,91.00M,146.00M,4.00M,-142.00M,-5.00M,344.00M,445.00M,4.00M,146.00M,-142.00M,34.00M,-142.00M,337.00M,74.00M,263.00M,,,7.00M,,270.00M,254.40M,741.00M,258.00M,483.00M,1.51,,,,1.423,1.51,1.51,,,,1.423,1.51,179.00M,179.00M,0.825
2017-06,2.855B,2.855B,2.186B,669.00M,3.00M,-3.00M,97.00M,133.00M,2.00M,-131.00M,-5.00M,341.00M,328.00M,2.00M,133.00M,-131.00M,35.00M,-131.00M,232.00M,57.00M,175.00M,,,2.00M,,177.00M,158.90M,614.00M,249.00M,365.00M,0.99,,,,0.8889,0.99,0.99,,,,0.8889,0.99,179.00M,179.00M,0.825
2017-03,3.236B,3.236B,2.293B,943.00M,0.00,0.00,109.00M,125.00M,3.00M,-122.00M,-7.00M,351.00M,592.00M,3.00M,125.00M,-122.00M,34.00M,-122.00M,504.00M,110.00M,394.00M,,,6.00M,,400.00M,379.72M,878.00M,249.00M,629.00M,2.23,,,,2.117,2.23,2.23,,,,2.117,2.23,179.00M,179.00M,0.825
2016-12,2.874B,2.874B,2.162B,712.00M,8.00M,-8.00M,88.00M,131.00M,3.00M,-128.00M,-6.00M,356.00M,356.00M,3.00M,131.00M,-128.00M,-76.00M,-128.00M,152.00M,28.00M,124.00M,,,7.00M,,131.00M,124.47M,557.00M,274.00M,283.00M,0.73,,,,0.6935,0.73,0.73,,,,0.6935,0.73,179.00M,179.00M,0.825
2016-09,2.928B,2.928B,2.099B,829.00M,0.00,0.00,92.00M,114.00M,3.00M,-111.00M,-5.00M,317.00M,512.00M,3.00M,114.00M,-111.00M,34.00M,-111.00M,435.00M,110.00M,325.00M,,,13.00M,,338.00M,319.25M,779.00M,230.00M,549.00M,1.88,,,,1.775,1.88,1.88,,,,1.776,1.88,179.00M,180.00M,0.77
2016-06,2.262B,2.262B,1.673B,589.00M,-1.00M,1.00M,91.00M,114.00M,3.00M,-111.00M,-5.00M,329.00M,260.00M,3.00M,114.00M,-111.00M,46.00M,-111.00M,195.00M,50.00M,145.00M,,,7.00M,,152.00M,132.76M,552.00M,243.00M,309.00M,0.84,,,,0.7325,0.84,0.84,,,,0.7331,0.84,179.00M,180.00M,0.73
2016-03,2.566B,2.566B,1.857B,709.00M,,,99.00M,113.00M,11.00M,-102.00M,-5.00M,323.00M,386.00M,11.00M,113.00M,-102.00M,39.00M,-102.00M,323.00M,83.00M,240.00M,,,7.00M,,247.00M,229.24M,665.00M,229.00M,436.00M,1.38,,,,1.281,1.38,1.37,,,,1.271,1.37,179.00M,180.00M,0.73
2015-12,2.487B,2.487B,1.947B,540.00M,97.00M,-97.00M,82.00M,109.00M,3.00M,-106.00M,,288.00M,252.00M,3.00M,109.00M,-106.00M,-89.00M,-106.00M,57.00M,-20.00M,77.00M,,,3.00M,,80.00M,138.20M,393.00M,227.00M,166.00M,0.44,,,,0.7651,0.44,0.44,,,,0.7651,0.44,179.00M,179.00M,0.73
2015-09,2.598B,2.598B,1.87B,728.00M,1.00M,-1.00M,91.00M,116.00M,4.00M,-112.00M,,287.00M,441.00M,4.00M,116.00M,-112.00M,37.00M,-112.00M,366.00M,102.00M,264.00M,,,1.00M,,265.00M,265.72M,678.00M,196.00M,482.00M,1.47,,,,1.474,1.47,1.47,,,,1.474,1.47,179.00M,180.00M,0.73
2015-06,2.268B,2.268B,1.735B,533.00M,18.00M,-18.00M,91.00M,115.00M,2.00M,-113.00M,,311.00M,222.00M,2.00M,115.00M,-113.00M,22.00M,-113.00M,131.00M,26.00M,105.00M,,,4.00M,,109.00M,123.40M,466.00M,220.00M,246.00M,0.61,,,,0.6904,0.61,0.61,,,,0.6904,0.61,179.00M,179.00M,0.69
2015-03,2.984B,2.984B,2.224B,760.00M,-10.00M,10.00M,100.00M,110.00M,4.00M,-106.00M,,309.00M,451.00M,4.00M,110.00M,-106.00M,51.00M,-106.00M,396.00M,122.00M,274.00M,,,-1.00M,,273.00M,266.10M,715.00M,209.00M,506.00M,1.53,,,,1.4909999999999999,1.53,1.53,,,,1.4909999999999999,1.53,178.00M,178.00M,0.69
2014-12,3.078B,3.078B,2.164B,914.00M,-2.00M,2.00M,84.00M,106.00M,3.00M,-103.00M,,353.00M,561.00M,3.00M,106.00M,-103.00M,-22.00M,-103.00M,436.00M,135.00M,301.00M,,,-2.00M,,299.00M,297.62M,832.00M,290.00M,542.00M,1.68,,,,1.672,1.68,1.68,,,,1.672,1.68,177.00M,177.00M,0.69
2014-09,2.595B,2.595B,1.979B,616.00M,-2.00M,2.00M,86.00M,107.00M,2.00M,-105.00M,,379.00M,237.00M,2.00M,107.00M,-105.00M,46.00M,-105.00M,178.00M,21.00M,157.00M,,,-1.00M,,156.00M,154.24M,578.00M,293.00M,285.00M,0.88,,,,0.8701,0.88,0.88,,,,0.8701,0.88,177.00M,177.00M,0.69
2014-06,2.698B,2.698B,2.087B,611.00M,-7.00M,7.00M,87.00M,106.00M,3.00M,-103.00M,,369.00M,242.00M,3.00M,106.00M,-103.00M,37.00M,-103.00M,176.00M,50.00M,126.00M,,,-2.00M,,124.00M,118.96M,564.00M,282.00M,282.00M,0.7,,,,0.6715,0.7,0.7,,,,0.6715,0.7,177.00M,177.00M,0.655
2014-03,3.93B,3.93B,2.996B,934.00M,-1.00M,1.00M,95.00M,110.00M,2.00M,-108.00M,,375.00M,559.00M,2.00M,110.00M,-108.00M,34.00M,-108.00M,485.00M,158.00M,327.00M,,,-1.00M,,326.00M,325.33M,875.00M,280.00M,595.00M,1.84,,,,1.8359999999999999,1.84,1.84,,,,1.8359999999999999,1.84,177.00M,177.00M,0.655
2013-12,2.533B,2.533B,1.934B,599.00M,,,78.00M,109.00M,2.00M,-107.00M,,367.00M,232.00M,2.00M,109.00M,-107.00M,30.00M,-107.00M,155.00M,29.00M,126.00M,,,-2.00M,,124.00M,124.00M,547.00M,283.00M,264.00M,0.69,,,,0.69,0.69,0.69,,,,0.69,0.69,178.00M,178.00M,0.655
2013-09,2.387B,2.387B,1.695B,692.00M,,,84.00M,106.00M,2.00M,-104.00M,-5.00M,363.00M,329.00M,2.00M,106.00M,-104.00M,51.00M,-104.00M,276.00M,76.00M,200.00M,,,-2.00M,,198.00M,198.00M,666.00M,284.00M,382.00M,1.13,,,,1.13,1.13,1.13,,,,1.13,1.13,175.00M,176.00M,0.655
2013-06,2.225B,2.225B,1.645B,580.00M,,,84.00M,112.00M,3.00M,-109.00M,5.00M,357.00M,223.00M,3.00M,112.00M,-109.00M,37.00M,-109.00M,151.00M,44.00M,107.00M,,,-2.00M,,105.00M,105.00M,531.00M,268.00M,263.00M,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,174.00M,175.00M,0.655
2013-03,2.516B,2.516B,1.759B,757.00M,,,94.00M,109.00M,2.00M,-107.00M,-6.00M,347.00M,410.00M,2.00M,109.00M,-107.00M,37.00M,-107.00M,340.00M,105.00M,235.00M,,,-1.00M,,234.00M,234.00M,708.00M,259.00M,449.00M,1.35,,,,1.35,1.35,1.34,,,,1.34,1.34,173.00M,173.00M,0.62
2012-12,2.349B,2.349B,1.73B,619.00M,,,80.00M,109.00M,3.00M,-106.00M,,355.00M,264.00M,3.00M,109.00M,-106.00M,16.00M,-106.00M,174.00M,35.00M,139.00M,-56.00M,,-2.00M,,81.00M,137.00M,554.00M,271.00M,283.00M,0.8,-0.33,,,0.8,0.47,0.8,-0.33,,,0.8,0.47,171.00M,175.00M,0.62
2012-09,2.19B,2.19B,1.448B,742.00M,,,78.00M,109.00M,2.00M,-107.00M,-1.00M,336.00M,406.00M,2.00M,109.00M,-107.00M,38.00M,-107.00M,337.00M,108.00M,229.00M,1.00M,,-3.00M,,227.00M,226.00M,711.00M,265.00M,446.00M,1.31,0.01,,,1.31,1.32,1.3,0.01,,,1.3,1.31,172.00M,172.00M,0.62
2012-06,2.013B,2.013B,1.40B,613.00M,,,79.00M,109.00M,3.00M,-106.00M,-4.00M,319.00M,294.00M,3.00M,109.00M,-106.00M,30.00M,-106.00M,218.00M,70.00M,148.00M,-1.00M,,-1.00M,,146.00M,147.00M,577.00M,250.00M,327.00M,0.87,-0.01,,,0.87,0.86,0.87,-0.01,,,0.87,0.86,170.00M,171.00M,0.5875
2012-03,2.239B,2.239B,1.61B,629.00M,,,95.00M,113.00M,2.00M,-111.00M,-5.00M,317.00M,312.00M,2.00M,113.00M,-111.00M,30.00M,-111.00M,231.00M,73.00M,158.00M,,,-2.00M,,156.00M,156.00M,576.00M,232.00M,344.00M,0.91,,,,0.91,0.91,0.91,,,,0.91,0.91,170.00M,170.00M,0.5875
2011-12,2.134B,2.134B,3.441B,-1.307B,,,71.00M,118.00M,2.00M,-116.00M,,-1.651B,344.00M,2.00M,118.00M,-116.00M,20.00M,-116.00M,248.00M,88.00M,160.00M,,,-7.00M,,150.00M,153.00M,609.00M,243.00M,366.00M,0.9,-0.02,,,0.9,0.88,0.9,-0.02,,,0.9,0.88,169.00M,170.00M,0.5875
2011-09,2.265B,2.265B,866.00M,1.399B,,4.00M,79.00M,120.00M,3.00M,-117.00M,-8.00M,1.00B,399.00M,3.00M,120.00M,-117.00M,4.00M,-117.00M,286.00M,101.00M,185.00M,,,-2.00M,,183.00M,180.41M,665.00M,259.00M,406.00M,1.08,0.0,,,1.065,1.08,1.07,0.0,,,1.055,1.07,169.00M,170.00M,0.5875
2011-06,2.028B,2.028B,771.00M,1.257B,,10.00M,77.00M,124.00M,2.00M,-122.00M,-3.00M,969.00M,288.00M,2.00M,124.00M,-122.00M,10.00M,-122.00M,176.00M,-24.00M,200.00M,,,2.00M,,202.00M,195.50M,548.00M,248.00M,300.00M,1.19,0.0,,,1.1520000000000001,1.19,1.19,0.0,,,1.1520000000000001,1.19,169.00M,170.00M,0.5875
2011-03,2.431B,2.431B,1.071B,1.36B,,14.00M,83.00M,126.00M,3.00M,-123.00M,11.00M,970.00M,390.00M,3.00M,126.00M,-123.00M,14.00M,-123.00M,281.00M,103.00M,178.00M,,,-2.00M,,176.00M,167.13M,652.00M,245.00M,407.00M,1.04,0.0,,,0.9875,1.04,1.04,0.0,,,0.9878,1.04,169.00M,170.00M,0.56
2010-12,2.141B,2.141B,3.391B,-1.25B,,,75.00M,125.00M,3.00M,-122.00M,,-1.606B,356.00M,3.00M,125.00M,-122.00M,-7.00M,-122.00M,227.00M,63.00M,164.00M,,,-4.00M,,152.00M,160.00M,604.00M,252.00M,352.00M,0.94,-0.04,,,0.94,0.9,0.94,-0.04,,,0.94,0.9,168.00M,172.00M,0.56
