,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,427.00M,,35.00M,,76.00M,-57.00M,86.00M,361.00M,33.00M,394.00M,394.00M,34.00M,22.00M,62.00M,-353.00M,-308.00M,187.00M,,96.00M,-39.00M,,,-64.00M,,608.00M,-153.00M,,,,-2.00M,7.00M,-148.00M,3.00M,,3.00M,,0.00,0.00,,,383.00M,-204.00M,36.00M,22.00M,-143.00M,2.158B,317.00M,39.00M,2.514B,,3.00M,,0.00
2020-06,-71.00M,,-59.00M,,-79.00M,,-123.00M,324.00M,28.00M,352.00M,352.00M,-90.00M,195.00M,65.00M,116.00M,-16.00M,120.00M,,-28.00M,30.00M,,,106.00M,,550.00M,-288.00M,,,,1.00M,42.00M,-245.00M,9.00M,,9.00M,,0.00,0.00,,,-383.00M,-191.00M,13.00M,-9.00M,-178.00M,2.025B,127.00M,6.00M,2.158B,,9.00M,,0.00
2020-03,-96.00M,,-35.00M,,-14.00M,,11.00M,356.00M,26.00M,382.00M,382.00M,-40.00M,,,131.00M,43.00M,-67.00M,,-207.00M,-10.00M,,,-241.00M,,248.00M,-545.00M,,,,11.00M,-5.00M,-539.00M,200.00M,,200.00M,,-105.00M,-105.00M,,,,-192.00M,,3.00M,-94.00M,2.434B,-385.00M,-24.00M,2.025B,,200.00M,,-105.00M
2019-12,32.00M,,-139.00M,,64.00M,36.00M,34.00M,364.00M,28.00M,392.00M,392.00M,-106.00M,,13.00M,246.00M,217.00M,40.00M,,124.00M,-80.00M,,,301.00M,,1.018B,-385.00M,16.00M,7.00M,,27.00M,-15.00M,-357.00M,1.482B,-300.00M,1.182B,,-232.00M,-232.00M,,,,-188.00M,15.00M,9.00M,786.00M,971.00M,1.447B,16.00M,2.434B,,1.482B,,-232.00M
2019-09,337.00M,,-33.00M,,-23.00M,42.00M,19.00M,368.00M,28.00M,396.00M,396.00M,-51.00M,,13.00M,3.00M,32.00M,-81.00M,,277.00M,-56.00M,,,172.00M,,889.00M,-508.00M,62.00M,62.00M,,1.00M,-55.00M,-500.00M,349.00M,-446.00M,-97.00M,,-301.00M,-301.00M,,,362.00M,-192.00M,7.00M,12.00M,-571.00M,1.178B,-182.00M,-25.00M,971.00M,,-97.00M,,-301.00M
2019-06,92.00M,,133.00M,,-33.00M,,112.00M,352.00M,28.00M,380.00M,380.00M,6.00M,,30.00M,-71.00M,-165.00M,-98.00M,,-66.00M,-67.00M,,,-396.00M,,153.00M,-570.00M,,,,18.00M,1.00M,-551.00M,,446.00M,446.00M,,-150.00M,-150.00M,,,-362.00M,-181.00M,36.00M,-20.00M,131.00M,1.456B,-267.00M,-11.00M,1.178B,,446.00M,,-150.00M
2019-03,499.00M,,-176.00M,,-25.00M,,-201.00M,306.00M,29.00M,335.00M,335.00M,-40.00M,,,-31.00M,-36.00M,-159.00M,,-299.00M,-97.00M,,,-591.00M,,-29.00M,-524.00M,,,,20.00M,21.00M,-483.00M,,,,,-257.00M,-257.00M,,,,-181.00M,,45.00M,-393.00M,2.355B,-905.00M,6.00M,1.456B,,,,-257.00M
2018-12,292.00M,,162.00M,,-288.00M,,-179.00M,304.00M,26.00M,330.00M,330.00M,-91.00M,,,191.00M,43.00M,-111.00M,,264.00M,16.00M,,,212.00M,,941.00M,-618.00M,,14.00M,-38.00M,46.00M,-30.00M,-621.00M,889.00M,-254.00M,635.00M,,-347.00M,-347.00M,,,,-168.00M,7.00M,-6.00M,121.00M,1.903B,441.00M,11.00M,2.355B,,889.00M,-254.00M,-347.00M
2018-09,625.00M,,-52.00M,-164.00M,-32.00M,,-248.00M,291.00M,27.00M,318.00M,318.00M,7.00M,,,99.00M,-156.00M,-42.00M,,240.00M,-6.00M,,,36.00M,,943.00M,-515.00M,,-63.00M,-10.00M,26.00M,-12.00M,-511.00M,0.00,0.00,0.00,,-397.00M,-397.00M,,,,-169.00M,31.00M,-3.00M,-538.00M,2.023B,-106.00M,-14.00M,1.903B,,0.00,0.00,-397.00M
2018-06,738.00M,,101.00M,-458.00M,-31.00M,,-388.00M,300.00M,22.00M,322.00M,322.00M,30.00M,,,165.00M,-135.00M,-95.00M,,16.00M,62.00M,,,-152.00M,,715.00M,-522.00M,,,-598.00M,23.00M,-14.00M,-1.111B,596.00M,-375.00M,221.00M,,-683.00M,-683.00M,,,,-171.00M,22.00M,-8.00M,-619.00M,3.096B,-1.015B,-58.00M,2.023B,,596.00M,-375.00M,-683.00M
2018-03,-589.00M,,-63.00M,622.00M,-39.00M,,520.00M,304.00M,19.00M,323.00M,323.00M,16.00M,,,308.00M,94.00M,-98.00M,,-162.00M,-92.00M,,,-258.00M,,320.00M,-655.00M,,,,13.00M,-2.00M,-644.00M,,,,,-800.00M,-800.00M,,,,-177.00M,21.00M,-3.00M,-959.00M,4.317B,-1.283B,62.00M,3.096B,,,,-800.00M
2017-12,-1.412B,,46.00M,-193.00M,-213.00M,,-256.00M,284.00M,22.00M,306.00M,306.00M,1.858B,,,56.00M,-35.00M,-4.00M,,292.00M,-63.00M,,,190.00M,,888.00M,-557.00M,,,0.00,71.00M,-6.00M,-492.00M,744.00M,,492.00M,,-388.00M,-388.00M,,,,-158.00M,34.00M,-9.00M,-29.00M,3.865B,367.00M,85.00M,4.317B,,743.00M,-251.00M,-388.00M
2017-09,390.00M,,-70.00M,-26.00M,-31.00M,,-127.00M,276.00M,18.00M,294.00M,294.00M,14.00M,,,3.00M,-92.00M,-56.00M,,194.00M,-9.00M,,,37.00M,,645.00M,-486.00M,,,-133.00M,21.00M,14.00M,-584.00M,702.00M,,702.00M,,-1.019B,-1.019B,,,,-160.00M,23.00M,-3.00M,-457.00M,4.189B,-396.00M,72.00M,3.865B,,702.00M,0.00,-1.019B
2017-06,439.00M,,-127.00M,-219.00M,-37.00M,,-383.00M,263.00M,18.00M,281.00M,281.00M,45.00M,,,97.00M,-44.00M,-61.00M,,-87.00M,-40.00M,,,-232.00M,,280.00M,-397.00M,,,-3.00M,98.00M,-6.00M,-308.00M,-1.00M,,-1.00M,,-645.00M,-645.00M,,,,-165.00M,70.00M,-9.00M,-750.00M,4.844B,-778.00M,123.00M,4.189B,,,-1.00M,-645.00M
2017-03,86.00M,,-67.00M,438.00M,-80.00M,,291.00M,260.00M,17.00M,277.00M,277.00M,-121.00M,,,17.00M,-54.00M,-49.00M,,-230.00M,-60.00M,,,-393.00M,,191.00M,-364.00M,,,-35.00M,80.00M,-7.00M,-326.00M,0.00,,0.00,,-400.00M,-400.00M,,,,-168.00M,182.00M,-2.00M,-388.00M,5.291B,-523.00M,76.00M,4.844B,,,0.00,-400.00M
2016-12,1.572B,,178.00M,-1.847B,-165.00M,,-1.834B,287.00M,18.00M,305.00M,305.00M,739.00M,,,211.00M,78.00M,1.00M,,231.00M,60.00M,,,370.00M,,1.428B,-315.00M,,,-54.00M,55.00M,20.00M,-294.00M,1.00M,0.00,1.00M,,-343.00M,-343.00M,,,,-152.00M,52.00M,-8.00M,-450.00M,4.821B,684.00M,-214.00M,5.291B,,,1.00M,-343.00M
2016-09,284.00M,,-53.00M,237.00M,-19.00M,,165.00M,283.00M,17.00M,300.00M,300.00M,-149.00M,,,-22.00M,-81.00M,-3.00M,,131.00M,29.00M,,,76.00M,,654.00M,-282.00M,,,0.00,1.00M,-1.00M,-282.00M,0.00,-272.00M,-272.00M,,-2.369B,-2.369B,,,,-153.00M,59.00M,-2.00M,-2.737B,7.144B,-2.365B,42.00M,4.821B,,,-272.00M,-2.369B
2016-06,2.207B,,-1.00M,1.201B,-41.00M,-7.00M,1.152B,280.00M,15.00M,295.00M,295.00M,-553.00M,,-9.00M,-2.624B,-124.00M,-24.00M,,190.00M,5.00M,,,47.00M,,535.00M,-263.00M,,,-279.00M,4.87B,-14.00M,4.314B,0.00,-249.00M,-249.00M,,-812.00M,-812.00M,,,,-167.00M,18.00M,-9.00M,-1.219B,3.54B,3.63B,-26.00M,7.144B,,-19.00M,-230.00M,-812.00M
2016-03,-368.00M,,-123.00M,857.00M,-59.00M,7.00M,682.00M,281.00M,14.00M,295.00M,295.00M,-345.00M,,9.00M,37.00M,21.00M,-42.00M,,-293.00M,-76.00M,,,-390.00M,,-80.00M,-270.00M,,,-20.00M,214.00M,,-76.00M,-1.00M,-45.00M,-46.00M,,-703.00M,-703.00M,,,,-173.00M,9.00M,-3.00M,-916.00M,4.50B,-1.072B,112.00M,3.54B,,19.00M,-65.00M,-703.00M
2015-12,224.00M,,-35.00M,-38.00M,-104.00M,-5.00M,-182.00M,288.00M,14.00M,302.00M,302.00M,-133.00M,,-36.00M,401.00M,110.00M,-17.00M,,168.00M,147.00M,,,408.00M,,984.00M,-311.00M,,,-299.00M,780.00M,-33.00M,137.00M,-5.00M,470.00M,465.00M,,-1.323B,-1.323B,,,,-160.00M,3.00M,-19.00M,-1.034B,4.44B,87.00M,-27.00M,4.50B,,482.00M,-17.00M,-1.323B
2015-09,212.00M,,67.00M,149.00M,-39.00M,13.00M,190.00M,280.00M,12.00M,292.00M,292.00M,156.00M,,11.00M,-76.00M,77.00M,-6.00M,,-103.00M,-104.00M,,,-136.00M,,697.00M,-298.00M,,,-289.00M,389.00M,-1.00M,-199.00M,0.00,0.00,0.00,,-812.00M,-812.00M,,,,-169.00M,1.00M,0.00,-980.00M,4.968B,-482.00M,-46.00M,4.44B,,0.00,0.00,-812.00M
2015-06,496.00M,,-62.00M,-162.00M,-62.00M,-2.00M,-288.00M,283.00M,16.00M,299.00M,299.00M,36.00M,,15.00M,19.00M,-60.00M,-53.00M,,123.00M,-87.00M,,,-77.00M,,547.00M,-308.00M,,,-286.00M,682.00M,2.00M,90.00M,744.00M,2.00M,746.00M,,-616.00M,-616.00M,,,,-173.00M,9.00M,-1.00M,-35.00M,4.304B,602.00M,62.00M,4.968B,,747.00M,-1.00M,-616.00M
2015-03,407.00M,,298.00M,-29.00M,-94.00M,-6.00M,169.00M,279.00M,12.00M,291.00M,291.00M,-5.00M,,10.00M,-26.00M,35.00M,-1.00M,,-314.00M,-13.00M,,,-293.00M,,601.00M,-333.00M,,,-815.00M,431.00M,4.00M,-713.00M,,,,,-477.00M,-477.00M,,,,-177.00M,89.00M,-9.00M,-574.00M,5.309B,-686.00M,-319.00M,4.304B,,,,-477.00M
2014-12,988.00M,,192.00M,-769.00M,-23.00M,-47.00M,-647.00M,290.00M,8.00M,298.00M,298.00M,198.00M,,11.00M,-92.00M,47.00M,-25.00M,,336.00M,-33.00M,,,325.00M,,1.112B,-336.00M,,,-228.00M,348.00M,7.00M,-209.00M,-5.00M,-419.00M,-424.00M,,-183.00M,-183.00M,0.00,0.00,,-152.00M,18.00M,,-740.00M,5.353B,163.00M,-207.00M,5.309B,0.00,-417.00M,-7.00M,-183.00M
2014-09,1.014B,,299.00M,-739.00M,-95.00M,23.00M,-512.00M,294.00M,9.00M,303.00M,303.00M,311.00M,,19.00M,-46.00M,-52.00M,14.00M,,45.00M,-11.00M,,,-4.00M,,1.117B,-262.00M,,,-367.00M,454.00M,5.00M,-170.00M,0.00,5.00M,5.00M,,-224.00M,-224.00M,0.00,0.00,,-152.00M,14.00M,,-357.00M,5.118B,590.00M,-355.00M,5.353B,0.00,13.00M,-8.00M,-224.00M
2014-06,169.00M,,-44.00M,141.00M,-62.00M,-11.00M,24.00M,294.00M,8.00M,302.00M,302.00M,81.00M,,13.00M,110.00M,-32.00M,16.00M,,29.00M,0.00,,,13.00M,,743.00M,-232.00M,,,-358.00M,299.00M,9.00M,-282.00M,-1.00M,-19.00M,-20.00M,,-175.00M,-175.00M,0.00,0.00,,-151.00M,34.00M,,-312.00M,4.968B,149.00M,1.00M,5.118B,0.00,15.00M,-35.00M,-175.00M
2014-03,301.00M,,-16.00M,-2.00M,-86.00M,-17.00M,-121.00M,289.00M,8.00M,297.00M,297.00M,22.00M,,15.00M,-20.00M,21.00M,-3.00M,,-413.00M,28.00M,,,-367.00M,,1.737B,-246.00M,,,-379.00M,318.00M,6.00M,-301.00M,,410.00M,410.00M,,-1.901B,-1.901B,400.00M,400.00M,,-136.00M,50.00M,,-1.177B,4.704B,259.00M,5.00M,4.968B,400.00M,418.00M,-8.00M,-1.901B
2013-12,421.00M,,,-230.00M,-70.00M,18.00M,-186.00M,241.00M,8.00M,249.00M,249.00M,48.00M,,14.00M,-47.00M,110.00M,-9.00M,,255.00M,20.00M,,,376.00M,,1.284B,-337.00M,,,-225.00M,124.00M,9.00M,-429.00M,243.00M,-2.00M,241.00M,,-1.075B,-1.075B,,,,-140.00M,31.00M,227.00M,-716.00M,4.56B,139.00M,5.00M,4.704B,,,-7.00M,-1.075B
2013-09,408.00M,,,46.00M,-138.00M,8.00M,-84.00M,240.00M,8.00M,248.00M,248.00M,22.00M,,15.00M,-27.00M,-83.00M,-27.00M,,-37.00M,17.00M,,,-130.00M,,491.00M,-244.00M,,,-446.00M,455.00M,-5.00M,-240.00M,0.00,-58.00M,-58.00M,,-209.00M,-209.00M,,,,-146.00M,15.00M,44.00M,-354.00M,4.601B,-103.00M,62.00M,4.56B,,,-58.00M,-209.00M
2013-06,638.00M,,,-227.00M,-166.00M,11.00M,-382.00M,242.00M,8.00M,250.00M,250.00M,149.00M,,14.00M,-25.00M,-73.00M,-73.00M,,-129.00M,-1.00M,,,-276.00M,,389.00M,-244.00M,,,-512.00M,539.00M,4.00M,-213.00M,-1.00M,-2.00M,-3.00M,,-232.00M,-232.00M,,,,-147.00M,27.00M,-9.00M,-364.00M,4.797B,-188.00M,-8.00M,4.601B,,,-3.00M,-232.00M
2013-03,494.00M,,,-24.00M,-173.00M,15.00M,-182.00M,248.00M,7.00M,255.00M,255.00M,-30.00M,,11.00M,149.00M,17.00M,-138.00M,,-112.00M,-2.00M,,,-235.00M,,623.00M,-194.00M,,,-291.00M,469.00M,-106.00M,-122.00M,-499.00M,-9.00M,-508.00M,,,,,,,-133.00M,12.00M,,-629.00M,4.988B,-128.00M,-63.00M,4.797B,,,-508.00M,
2012-12,155.00M,,,,-670.00M,235.00M,-168.00M,261.00M,6.00M,267.00M,267.00M,-47.00M,,14.00M,-171.00M,-123.00M,8.00M,,231.00M,-16.00M,,,100.00M,,1.24B,-526.00M,,,-1.134B,651.00M,2.00M,-1.007B,52.00M,-2.00M,50.00M,,-140.00M,-140.00M,,,,-133.00M,12.00M,2.00M,-209.00M,4.952B,24.00M,12.00M,4.988B,,332.00M,-282.00M,-140.00M
2012-09,533.00M,,,,-184.00M,14.00M,-170.00M,244.00M,4.00M,248.00M,248.00M,30.00M,,16.00M,62.00M,-81.00M,4.00M,,3.00M,-11.00M,,,-85.00M,,634.00M,-422.00M,,,-691.00M,629.00M,2.00M,-482.00M,144.00M,-11.00M,133.00M,,-194.00M,-194.00M,,,,-112.00M,7.00M,0.00,-166.00M,5.008B,-14.00M,-42.00M,4.952B,,144.00M,-11.00M,-194.00M
2012-06,474.00M,,,,-256.00M,7.00M,-249.00M,238.00M,4.00M,242.00M,242.00M,-12.00M,,16.00M,166.00M,-19.00M,-47.00M,,6.00M,-7.00M,,,-67.00M,,570.00M,-441.00M,,,-640.00M,537.00M,9.00M,-535.00M,95.00M,-3.00M,92.00M,,-314.00M,-314.00M,,,,-113.00M,3.00M,0.00,-332.00M,5.49B,-297.00M,-185.00M,5.008B,,95.00M,-3.00M,-314.00M
2012-03,474.00M,,,,300.00M,-78.00M,222.00M,235.00M,5.00M,240.00M,240.00M,47.00M,,24.00M,-110.00M,-49.00M,12.00M,,-51.00M,-47.00M,,,-135.00M,,762.00M,-412.00M,,,-528.00M,341.00M,-5.00M,-604.00M,790.00M,-10.00M,780.00M,,-72.00M,-72.00M,,,,-114.00M,16.00M,-18.00M,592.00M,4.661B,750.00M,79.00M,5.49B,,791.00M,-11.00M,-72.00M
2011-12,503.00M,,,,35.00M,9.00M,44.00M,243.00M,4.00M,247.00M,247.00M,3.00M,,20.00M,164.00M,98.00M,-31.00M,,80.00M,29.00M,,,176.00M,,1.157B,-766.00M,,,-2.649B,2.938B,1.00M,-476.00M,86.00M,-2.00M,84.00M,,,,,,,-117.00M,8.00M,,-805.00M,4.901B,-124.00M,-116.00M,4.661B,,,-24.00M,
2011-09,811.00M,,,,-249.00M,37.00M,-212.00M,241.00M,4.00M,245.00M,245.00M,22.00M,,21.00M,63.00M,61.00M,-27.00M,,-64.00M,-7.00M,,,-37.00M,,913.00M,-640.00M,,,0.00,226.00M,-4.00M,-418.00M,34.00M,-10.00M,24.00M,,,,,,,-79.00M,9.00M,,-46.00M,4.609B,449.00M,-157.00M,4.901B,,,0.00,
2011-06,755.00M,,,,-359.00M,34.00M,-325.00M,232.00M,4.00M,236.00M,236.00M,81.00M,,22.00M,-61.00M,-122.00M,-64.00M,,40.00M,-16.00M,,,-162.00M,,546.00M,-494.00M,,,0.00,-13.00M,2.00M,-505.00M,0.00,-2.00M,-2.00M,,,,,,,-79.00M,9.00M,,-72.00M,4.57B,-31.00M,70.00M,4.609B,,,10.00M,
2011-03,748.00M,,,,-78.00M,34.00M,-44.00M,226.00M,3.00M,229.00M,229.00M,15.00M,,23.00M,-89.00M,-121.00M,-79.00M,,-83.00M,-26.00M,,,-309.00M,,573.00M,-532.00M,,,-148.00M,20.00M,3.00M,-657.00M,-32.00M,-10.00M,-42.00M,,,,,,,-79.00M,64.00M,,-57.00M,4.598B,-141.00M,113.00M,4.57B,,,-42.00M,
