,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,753.18M,4.129B,2.529B,6.658B,2.318B,,2.318B,1.284B,269.02M,584.72M,2.138B,161.00M,,,11.27B,,,,,,,,,1.134B,1.485B,161.71M,1.646B,,,1.002B,3.782B,15.06B,662.67M,188.05M,170.41M,1.021B,404.25M,1.425B,125.24M,,,834.14M,,834.14M,576.49M,576.49M,,3.407B,4.993B,,4.993B,,,,351.28M,6.225B,9.632B,0.145M,12.16B,6.762B,13.42B,,,-82.67M,5.425B
2020-06,973.98M,4.915B,1.795B,6.710B,2.097B,,2.097B,1.162B,251.20M,486.86M,1.900B,146.16M,,,10.85B,0.0,58.80M,660.86M,1.416B,18.41M,,2.154B,-1.083B,1.071B,1.484B,168.53M,1.653B,,,981.04M,3.706B,14.56B,592.39M,167.13M,215.65M,975.17M,369.63M,1.345B,117.84M,,836.11M,836.11M,3.77M,839.88M,457.52M,457.52M,,3.162B,4.959B,11.48M,4.971B,,,,332.56M,6.213B,9.376B,0.145M,11.52B,6.696B,12.95B,,,-94.21M,5.183B
2020-03,1.483B,3.962B,1.432B,5.393B,2.191B,,2.191B,1.035B,227.60M,411.65M,1.675B,149.84M,,,9.409B,,,,,,,,,1.049B,1.484B,182.68M,1.667B,,,814.50M,3.530B,12.94B,498.86M,167.74M,112.47M,779.07M,321.60M,1.101B,117.68M,,,42.41M,,42.41M,539.60M,539.60M,,2.106B,5.044B,,5.044B,,,,350.60M,6.284B,8.389B,0.145M,10.99B,6.578B,12.92B,,,-112.68M,4.549B
2019-12,,3.036B,1.648B,4.684B,2.030B,,2.030B,980.75M,200.63M,347.24M,1.529B,212.10M,,,8.455B,,,,,,,,,1.047B,1.485B,193.12M,1.678B,,,733.96M,3.459B,11.91B,452.78M,163.51M,134.62M,750.90M,307.66M,1.059B,118.19M,,,632.29M,,632.29M,366.42M,366.42M,,2.566B,3.786B,,3.786B,,,,272.04M,4.931B,7.496B,0.142M,10.58B,6.529B,12.67B,,,-60.25M,4.418B
2019-09,,4.607B,983.65M,5.591B,1.636B,,1.636B,958.88M,182.39M,342.12M,1.483B,124.76M,,,8.835B,,,,,,,,,1.030B,1.484B,206.26M,1.691B,,,788.07M,3.509B,12.34B,415.81M,166.72M,115.29M,697.82M,263.79M,961.62M,114.47M,,,645.16M,,645.16M,406.68M,406.68M,,2.458B,3.788B,,3.788B,,,,261.89M,4.907B,7.365B,0.145M,10.23B,6.456B,11.68B,,,-72.56M,4.979B
2019-06,462.31M,3.658B,1.773B,5.431B,1.456B,,1.456B,994.74M,174.22M,371.18M,1.540B,133.54M,,,8.560B,0.0,46.16M,664.06M,1.313B,,,2.023B,-963.68M,1.059B,1.485B,216.95M,1.702B,,,680.30M,3.441B,12.00B,376.56M,158.87M,49.93M,585.36M,273.82M,859.18M,127.93M,,,667.13M,,667.13M,381.32M,381.32M,,2.372B,3.823B,,3.823B,,,,190.82M,4.906B,7.278B,0.144M,9.931B,6.409B,11.60B,,,-64.03M,4.723B
2019-03,,4.932B,1.209B,6.141B,1.522B,,1.522B,1.035B,206.24M,381.36M,1.622B,156.80M,,,9.442B,,,,,,,,,1.040B,1.485B,223.02M,1.708B,,,704.76M,3.453B,12.90B,416.19M,164.87M,89.26M,670.32M,225.40M,895.72M,159.32M,,,964.11M,,964.11M,378.40M,378.40M,,2.806B,3.802B,,3.802B,,,,83.99M,4.749B,7.554B,0.15M,9.548B,6.315B,10.51B,,,-62.66M,5.341B
2018-12,,3.360B,275.67M,3.635B,1.869B,,1.869B,1.018B,183.95M,501.64M,1.703B,148.23M,,,7.356B,,,,,,,,,1.013B,1.485B,251.90M,1.736B,,,662.84M,3.413B,10.77B,343.94M,171.20M,158.35M,673.49M,222.81M,896.30M,166.91M,,,187.10M,,187.10M,432.22M,432.22M,,2.167B,1.813B,,1.813B,,,,87.83M,2.760B,4.927B,0.154M,9.165B,6.257B,9.573B,,,-64.69M,5.841B
2018-09,,2.568B,1.051B,3.619B,1.847B,,1.847B,994.68M,187.35M,692.17M,1.874B,175.89M,,,7.516B,,,,,,,,,951.38M,1.485B,282.69M,1.768B,,,722.77M,3.442B,10.96B,384.40M,167.91M,253.31M,805.62M,230.41M,1.036B,179.61M,,,550.37M,,550.37M,542.32M,542.32M,,2.825B,1.805B,,1.805B,,,,100.14M,2.751B,5.576B,0.153M,8.768B,6.195B,9.582B,,,-57.73M,5.382B
2018-06,,4.512B,437.34M,4.950B,2.177B,,2.177B,916.44M,222.92M,736.80M,1.876B,147.22M,,,9.150B,0.0,46.16M,530.03M,1.160B,,,1.736B,-833.61M,902.55M,1.485B,317.84M,1.803B,,,624.28M,3.330B,12.48B,510.98M,174.37M,185.38M,870.74M,250.50M,1.121B,192.48M,610.03M,,610.03M,,610.03M,720.09M,720.09M,,3.150B,1.807B,,1.807B,,,,90.63M,2.749B,5.899B,0.157M,8.261B,6.144B,7.846B,,,-57.45M,6.580B
2018-03,,4.699B,1.786B,6.485B,2.083B,,2.083B,834.30M,282.83M,576.00M,1.693B,165.07M,,,10.43B,,,,,,,,,826.50M,1.486B,340.24M,1.826B,,,585.31M,3.238B,13.66B,630.91M,82.03M,179.13M,892.07M,246.02M,1.138B,200.08M,,,1.423B,,1.423B,748.90M,748.90M,,3.948B,1.782B,,1.782B,,,,230.62M,2.831B,6.779B,0.164M,7.414B,6.006B,6.552B,,,-65.43M,6.884B
2017-12,,1.745B,3.955B,5.700B,2.279B,,2.279B,820.16M,263.91M,423.37M,1.507B,179.94M,,,9.666B,,,,,,,,,807.34M,1.485B,380.93M,1.866B,,,572.64M,3.246B,12.91B,421.79M,79.74M,310.81M,812.34M,213.27M,1.026B,179.68M,,,1.402B,,1.402B,748.64M,748.64M,,3.912B,1.790B,,1.790B,,,,118.18M,2.727B,6.639B,0.159M,6.718B,5.960B,6.470B,,,-64.16M,6.274B
2017-09,,2.406B,3.776B,6.182B,1.531B,,1.531B,721.35M,200.27M,406.67M,1.328B,187.33M,,,9.229B,,,,,,,,,745.60M,1.484B,420.36M,1.904B,,,519.86M,3.170B,12.40B,471.80M,73.13M,145.02M,689.95M,181.93M,871.88M,168.34M,,,639.91M,,639.91M,597.92M,597.92M,,2.789B,1.793B,,1.793B,,,,278.73M,2.202B,4.990B,0.162M,6.808B,5.892B,5.376B,,,-52.79M,7.408B
2017-06,,2.378B,3.664B,6.041B,1.673B,,1.673B,625.60M,213.07M,394.25M,1.233B,195.02M,,,9.142B,0.0,46.16M,358.08M,1.039B,,,1.443B,-757.28M,685.60M,1.386B,411.00M,1.797B,,,498.00M,2.980B,12.12B,464.64M,72.74M,95.13M,632.51M,192.15M,824.66M,161.98M,908.44M,,908.44M,,908.44M,607.67M,607.67M,,2.950B,1.785B,,1.785B,,,,280.19M,2.185B,5.135B,0.162M,6.250B,5.845B,5.216B,,,-61.70M,6.987B
2017-03,,2.129B,3.755B,5.884B,1.636B,,1.636B,601.06M,188.16M,343.98M,1.133B,223.06M,,,8.876B,,,,,,,,,675.71M,1.386B,449.60M,1.835B,,,488.38M,2.999B,11.88B,473.42M,73.95M,62.29M,609.66M,207.65M,817.31M,145.14M,,,905.29M,,905.29M,527.27M,527.27M,,2.757B,1.777B,,1.777B,,,,282.62M,2.197B,4.954B,0.164M,5.796B,5.727B,4.701B,,,-75.60M,6.921B
2016-12,,2.504B,3.329B,5.833B,1.426B,,1.426B,565.48M,198.50M,254.91M,1.019B,225.29M,,,8.504B,,,,,,,,,672.55M,1.386B,487.90M,1.874B,,,471.05M,3.017B,11.52B,445.11M,73.34M,56.02M,574.47M,180.52M,754.99M,119.33M,,,957.90M,,957.90M,407.84M,407.84M,,2.658B,1.769B,,1.769B,,,,262.35M,2.270B,4.928B,0.162M,5.295B,5.668B,4.498B,,,-70.08M,6.593B
2016-09,,5.862B,1.353B,7.214B,1.290B,,1.290B,549.41M,139.12M,243.06M,931.58M,162.63M,,,9.599B,,,,,,,,,649.59M,1.386B,526.59M,1.912B,,,475.34M,3.037B,12.64B,349.74M,48.40M,68.06M,466.20M,188.84M,655.04M,103.23M,,,953.00M,,953.00M,417.86M,417.86M,,2.486B,3.378B,,3.378B,,,,142.91M,3.763B,6.249B,0.162M,5.036B,5.628B,4.422B,,,-57.00M,6.387B
2016-06,,5.039B,1.789B,6.828B,1.262B,,1.262B,536.84M,151.41M,283.66M,971.91M,151.16M,,,9.213B,0.0,46.05M,213.36M,1.005B,,96.65M,1.361B,-721.72M,639.61M,1.386B,564.92M,1.951B,,,460.36M,3.051B,12.26B,348.20M,48.05M,86.72M,482.97M,206.29M,689.26M,100.32M,,,947.73M,,947.73M,349.20M,349.20M,,2.418B,3.378B,,3.378B,,,,134.56M,3.744B,6.162B,0.16M,4.820B,5.573B,4.429B,,,-69.33M,6.102B
2016-03,,2.232B,2.307B,4.539B,1.237B,,1.237B,533.08M,160.22M,241.63M,934.93M,231.28M,,,6.942B,,,,,,,,,664.42M,1.387B,612.78M,1.999B,,,418.94M,3.083B,10.02B,373.16M,47.79M,70.06M,491.02M,153.38M,644.39M,96.22M,,,978.98M,,978.98M,334.10M,334.10M,,2.342B,1.407B,,1.407B,,,,137.02M,1.811B,4.153B,0.159M,4.609B,5.559B,4.420B,,,-55.89M,5.871B
2015-12,,1.968B,2.508B,4.475B,1.090B,,1.090B,546.89M,118.16M,214.77M,879.82M,225.05M,,,6.670B,,,,,,,,,643.75M,1.387B,652.13M,2.039B,,,397.26M,3.080B,9.750B,230.97M,47.54M,68.07M,346.58M,168.38M,514.96M,97.33M,,,973.70M,,973.70M,261.05M,261.05M,,2.223B,1.405B,,1.405B,,,,135.30M,1.797B,4.020B,0.159M,4.514B,5.516B,4.409B,,,-68.78M,5.730B
2015-09,,1.744B,2.587B,4.332B,1.089B,,1.089B,553.74M,132.13M,230.81M,916.68M,178.56M,,,6.516B,,,,,,,,,636.77M,1.387B,688.95M,2.076B,,,365.52M,3.078B,9.594B,254.33M,47.90M,72.51M,374.73M,187.22M,561.96M,98.97M,,,969.39M,,969.39M,324.98M,324.98M,,2.282B,1.401B,,1.401B,,,,127.61M,1.776B,4.058B,0.158M,4.338B,5.479B,4.396B,,,-62.96M,5.537B
2015-06,,1.502B,2.575B,4.076B,1.094B,,1.094B,566.64M,141.26M,235.44M,943.35M,157.44M,,,6.271B,0.0,53.39M,238.63M,877.04M,,81.90M,1.251B,-629.54M,621.42M,1.388B,728.14M,2.116B,,,356.73M,3.094B,9.365B,300.20M,47.66M,39.28M,387.14M,154.78M,541.92M,93.21M,,,1.360B,,1.360B,322.07M,322.07M,,2.631B,1.001B,,1.001B,,,,184.02M,1.388B,4.020B,0.159M,4.097B,5.367B,4.303B,,,-57.80M,5.345B
2015-03,,1.636B,2.313B,3.949B,1.047B,,1.047B,578.30M,136.27M,205.10M,919.68M,145.36M,,,6.061B,,,,,,,,,579.82M,1.466B,776.66M,2.243B,,,354.77M,3.178B,9.239B,379.46M,28.71M,10.35M,418.53M,142.20M,560.73M,87.40M,,,520.69M,,520.69M,303.28M,303.28M,,1.735B,1.831B,,1.831B,,,,189.29M,2.226B,3.961B,0.158M,4.013B,5.380B,4.233B,,,-63.24M,5.278B
2014-12,,981.28M,1.902B,2.884B,944.01M,,944.01M,564.24M,133.10M,216.05M,913.39M,173.73M,,,4.915B,,,,,,,,,585.37M,1.467B,815.06M,2.282B,,,328.50M,3.196B,8.111B,296.42M,28.72M,43.28M,368.42M,134.25M,502.67M,79.03M,,,519.96M,,519.96M,254.76M,254.76M,,1.709B,830.88M,,830.88M,,,,183.68M,1.220B,2.929B,0.159M,3.836B,5.329B,4.119B,,,-45.39M,5.182B
2014-09,,1.294B,1.594B,2.887B,864.40M,,864.40M,497.06M,121.80M,196.75M,815.61M,123.62M,,,4.691B,,,,,,,,,555.66M,1.467B,854.83M,2.322B,,,325.04M,3.203B,7.894B,249.78M,29.38M,45.45M,324.61M,115.62M,440.23M,70.18M,,,519.10M,,519.10M,251.78M,251.78M,,1.600B,824.27M,,824.27M,,,,179.71M,1.221B,2.821B,0.159M,3.687B,5.292B,4.050B,,,-38.73M,5.073B
2014-06,,1.453B,1.613B,3.066B,800.62M,,800.62M,449.62M,126.56M,164.32M,740.50M,176.90M,,,4.784B,0.0,52.78M,199.54M,763.90M,,80.57M,1.097B,-553.30M,543.50M,1.466B,894.08M,2.360B,,,305.84M,3.210B,7.993B,223.52M,29.24M,93.93M,346.69M,101.74M,448.43M,68.32M,,,518.27M,,518.27M,235.92M,235.92M,,1.582B,817.20M,,817.20M,,,,122.66M,1.198B,2.780B,0.162M,3.576B,5.240B,3.757B,,,-28.66M,5.213B
2014-03,,1.292B,1.462B,2.754B,818.39M,,818.39M,440.77M,114.89M,161.69M,717.36M,157.13M,,,4.447B,0.0,55.95M,207.54M,744.08M,,79.15M,1.087B,-534.13M,552.59M,1.457B,951.59M,2.409B,,,298.51M,3.260B,7.707B,252.52M,,51.18M,303.70M,109.24M,412.94M,71.49M,,,517.40M,,517.40M,257.28M,257.28M,,1.543B,810.69M,,810.69M,,,,111.35M,1.173B,2.716B,0.162M,3.372B,5.187B,3.724B,,,-27.07M,4.992B
2013-12,,1.133B,1.390B,2.522B,909.72M,,909.72M,413.76M,94.97M,152.84M,661.57M,138.36M,17.10M,,4.249B,0.0,56.53M,205.41M,711.67M,,80.50M,1.054B,-507.92M,546.19M,1.457B,995.75M,2.453B,,,307.50M,3.307B,7.556B,252.59M,,38.72M,291.30M,115.44M,406.74M,66.34M,,,516.48M,,516.48M,224.39M,224.39M,,1.523B,803.28M,,803.28M,,,,129.71M,1.182B,2.705B,0.162M,3.207B,5.153B,3.679B,,,-15.52M,4.851B
2013-09,,1.156B,1.300B,2.456B,713.52M,,713.52M,350.77M,90.92M,173.10M,614.79M,110.63M,29.09M,,3.924B,0.0,50.39M,232.10M,673.09M,,86.75M,1.042B,-477.48M,564.84M,1.452B,1.033B,2.485B,,,316.35M,3.366B,7.290B,206.07M,,32.89M,238.97M,125.39M,364.36M,58.98M,,,515.54M,,515.54M,188.42M,188.42M,,1.403B,796.37M,,796.37M,,,,129.31M,1.174B,2.577B,0.162M,3.058B,5.121B,3.629B,,,-23.36M,4.713B
2013-06,,1.162B,1.335B,2.497B,602.62M,,602.62M,312.48M,101.53M,145.30M,559.32M,134.67M,,,3.794B,0.0,65.36M,249.13M,662.30M,,76.22M,1.053B,-449.10M,603.91M,1.452B,1.074B,2.527B,,,326.04M,3.456B,7.250B,200.25M,0.00,39.42M,239.67M,118.06M,357.74M,52.25M,,,514.66M,,514.66M,225.04M,225.04M,,1.404B,789.26M,,789.26M,,,,134.31M,1.170B,2.575B,0.163M,2.973B,5.085B,3.540B,,,-28.69M,4.676B
2013-03,,1.019B,1.338B,2.357B,544.07M,,544.07M,312.85M,94.52M,137.67M,545.04M,86.16M,137.73M,,3.670B,0.0,65.27M,243.14M,635.14M,,70.24M,1.014B,-418.88M,594.92M,1.446B,1.117B,2.563B,,,318.48M,3.476B,7.146B,173.29M,,29.94M,203.22M,116.57M,319.80M,48.94M,,,1.555M,,1.555M,193.32M,193.32M,,801.01M,1.295B,,1.295B,,,,258.15M,1.803B,2.604B,0.162M,2.887B,5.230B,3.551B,,,-23.74M,4.542B
2012-12,,1.190B,1.330B,2.521B,590.92M,,590.92M,307.81M,78.46M,144.01M,530.27M,65.22M,139.30M,,3.846B,0.0,65.29M,238.58M,619.86M,,63.02M,986.75M,-396.21M,590.55M,1.455B,1.153B,2.608B,,0.344M,317.64M,3.517B,7.363B,156.24M,,17.95M,174.19M,118.90M,293.09M,56.19M,,,1.464M,,1.464M,168.99M,168.99M,,825.48M,1.287B,,1.287B,,,,294.30M,1.841B,2.667B,0.166M,2.868B,5.190B,3.337B,,,-24.48M,4.697B
2012-09,,1.411B,1.313B,2.724B,640.22M,,640.22M,316.76M,85.15M,166.02M,567.92M,100.49M,136.56M,,4.169B,0.0,65.23M,235.47M,616.95M,,55.01M,972.66M,-379.46M,593.20M,1.446B,1.196B,2.643B,,,318.96M,3.555B,7.724B,148.12M,,22.22M,170.34M,126.41M,296.75M,61.01M,,,1.521M,,1.521M,208.09M,208.09M,,854.26M,1.279B,,1.279B,,,,296.81M,1.858B,2.713B,0.175M,2.862B,5.159B,2.976B,,,-33.91M,5.012B
2012-06,,1.565B,1.298B,2.863B,765.82M,,765.82M,342.28M,118.57M,172.00M,632.85M,105.97M,47.78M,,4.415B,0.0,65.23M,231.54M,593.43M,,54.33M,944.52M,-359.92M,584.60M,1.446B,1.240B,2.687B,,,318.22M,3.590B,8.005B,258.78M,,24.74M,283.52M,129.28M,412.80M,63.99M,,,511.14M,,511.14M,164.83M,164.83M,,1.427B,761.78M,,761.78M,,,,219.58M,1.256B,2.683B,0.187M,2.859B,4.944B,2.637B,,,-33.82M,5.322B
2012-03,,1.410B,993.70M,2.404B,471.78M,,471.78M,217.20M,78.47M,80.45M,376.13M,93.32M,78.72M,,3.424B,0.0,14.21M,69.45M,503.62M,,58.86M,646.14M,-366.19M,279.96M,169.18M,34.09M,203.28M,165.22M,0.00,120.90M,769.35M,4.193B,179.44M,,,179.44M,330.10M,509.55M,,,,2.50M,,2.50M,139.61M,139.61M,,651.66M,755.43M,,755.43M,,,,61.47M,932.47M,1.584B,0.12M,2.841B,1.747B,1.963B,,,-16.19M,2.609B
2011-12,,1.507B,712.86M,2.220B,462.24M,,462.24M,221.74M,68.41M,82.98M,373.13M,79.22M,78.48M,,3.213B,0.0,14.21M,66.52M,483.03M,,60.02M,623.78M,-351.38M,272.41M,169.18M,38.39M,207.57M,165.22M,4.184M,115.92M,765.30M,3.978B,108.12M,,48.93M,157.05M,103.80M,260.84M,,,,2.817M,,2.817M,117.26M,117.26M,,593.60M,749.08M,,749.08M,,,,57.10M,921.80M,1.515B,0.12M,2.795B,1.651B,1.950B,,,-33.13M,2.463B
2011-09,,1.339B,713.09M,2.052B,523.24M,,523.24M,217.22M,83.58M,95.50M,396.30M,84.35M,78.33M,,3.135B,0.0,14.61M,66.67M,466.63M,,56.69M,604.60M,-338.19M,266.41M,169.18M,42.90M,212.09M,165.24M,4.718M,117.87M,766.32M,3.901B,113.28M,,,113.28M,364.35M,477.63M,,,,4.446M,,4.446M,112.52M,112.52M,,594.59M,743.25M,,743.25M,,,,56.72M,916.48M,1.511B,0.122M,2.762B,1.477B,1.832B,,,-16.43M,2.390B
2011-06,,1.492B,630.12M,2.122B,590.57M,,590.57M,212.98M,69.01M,114.62M,396.61M,85.41M,78.44M,,3.273B,0.0,14.76M,65.43M,456.71M,,55.83M,592.73M,-322.27M,270.46M,169.18M,47.43M,216.62M,,3.892M,289.64M,780.60M,4.054B,163.54M,,51.18M,214.72M,60.31M,275.03M,40.95M,,,4.782M,,4.782M,153.68M,153.68M,,680.76M,738.49M,,738.49M,,,,51.19M,903.26M,1.584B,0.124M,2.690B,1.531B,1.762B,,,9.761M,2.470B
2011-03,,942.71M,312.88M,1.256B,637.80M,,637.80M,223.35M,55.42M,76.96M,355.73M,77.72M,45.93M,,2.373B,0.0,14.76M,62.94M,428.71M,,55.15M,561.55M,-309.60M,251.95M,169.18M,51.96M,221.15M,165.25M,29.58M,107.80M,775.72M,3.148B,184.12M,,51.13M,235.25M,277.56M,512.81M,,,,,4.242M,4.242M,,150.34M,,667.39M,,15.95M,15.95M,,,,25.09M,157.95M,825.34M,0.124M,2.564B,1.473B,1.714B,,,-0.198M,2.323B
2010-12,,729.06M,303.04M,1.032B,689.40M,,689.40M,175.45M,59.97M,98.46M,333.87M,76.99M,47.38M,,2.180B,0.0,14.76M,60.83M,400.12M,,51.85M,527.56M,-297.79M,229.77M,169.18M,56.49M,225.67M,165.24M,28.03M,104.76M,753.47M,2.933B,168.75M,,,168.75M,381.92M,550.67M,,,,4.113M,,4.113M,135.09M,135.09M,,689.87M,16.52M,,16.52M,118.32M,118.32M,,23.72M,158.57M,848.44M,0.123M,2.382B,1.438B,1.711B,,,-24.67M,2.085B
2010-09,,628.28M,304.99M,933.27M,526.90M,,526.90M,164.76M,77.53M,96.05M,338.34M,74.73M,46.19M,,1.919B,0.0,15.57M,61.23M,364.67M,,50.31M,491.78M,-285.54M,206.24M,169.18M,62.51M,231.69M,165.24M,26.97M,102.73M,732.86M,2.652B,143.45M,,60.78M,204.24M,173.81M,378.04M,,,,5.226M,,5.226M,132.26M,132.26M,96.87M,612.40M,15.08M,,15.08M,114.95M,114.95M,,23.25M,153.27M,765.67M,0.123M,2.160B,1.473B,1.706B,,,-39.87M,1.887B
