,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2010-08,359.00M,0.00,,,16.00M,72.00M,,,509.00M,509.00M,,22.00M,,20.00M,1.00M,40.00M,-33.00M,,35.00M,-28.00M,227.00M,94.00M,,1.077B,-347.00M,8.00M,-339.00M,423.00M,-14.00M,-299.00M,-229.00M,-92.00M,-92.00M,,,,,,-135.00M,-248.00M,2.313B,600.00M,,2.913B,,0.00,-92.00M,,-9.00M,10.00M
2010-05,960.00M,-437.00M,,,19.00M,-418.00M,,,476.00M,476.00M,,20.00M,,20.00M,25.00M,-246.00M,14.00M,,55.00M,23.00M,-40.00M,-194.00M,,889.00M,-114.00M,50.00M,-64.00M,95.00M,-8.00M,21.00M,44.00M,-378.00M,-378.00M,,,,,,-112.00M,-490.00M,1.87B,443.00M,,2.313B,,0.00,-378.00M,,10.00M,34.00M
2010-02,379.00M,,,,-13.00M,-13.00M,,,446.00M,446.00M,,41.00M,,22.00M,-4.00M,14.00M,-43.00M,,0.00,5.00M,-43.00M,-67.00M,,804.00M,-93.00M,5.00M,-88.00M,,-143.00M,-7.00M,-238.00M,-90.00M,-90.00M,,,,,,-171.00M,-261.00M,1.565B,305.00M,,1.87B,,0.00,-90.00M,,-1.00M,15.00M
2009-11,202.00M,,,,17.00M,-39.00M,,,491.00M,491.00M,,,,31.00M,18.00M,-324.00M,-59.00M,,66.00M,0.00,-60.00M,-377.00M,,326.00M,-62.00M,31.00M,-31.00M,,,6.00M,-25.00M,-80.00M,-80.00M,,,,,,-141.00M,-221.00M,1.485B,80.00M,,1.565B,,200.00M,-280.00M,,2.00M,36.00M
2009-08,-114.00M,0.00,-1.00M,-106.00M,,33.00M,,,503.00M,503.00M,,,0.00,12.00M,-38.00M,-98.00M,-45.00M,,50.00M,54.00M,,-39.00M,,357.00M,-49.00M,13.00M,-36.00M,0.00,-21.00M,64.00M,7.00M,-56.00M,-56.00M,0.00,,0.00,568.00M,,-697.00M,-185.00M,1.306B,179.00M,,1.485B,0.00,0.00,-56.00M,,43.00M,107.00M
2009-05,-334.00M,0.00,12.00M,45.00M,,57.00M,,,526.00M,526.00M,,,0.00,12.00M,97.00M,-150.00M,-140.00M,43.00M,96.00M,-56.00M,,-207.00M,,151.00M,-64.00M,5.00M,-59.00M,0.00,27.00M,-31.00M,-63.00M,293.00M,293.00M,276.00M,,276.00M,-568.00M,,285.00M,286.00M,932.00M,374.00M,,1.306B,276.00M,334.00M,-41.00M,,-11.00M,-46.00M
2009-02,-839.00M,,43.00M,61.00M,,90.00M,,,563.00M,563.00M,,,58.00M,22.00M,475.00M,236.00M,-210.00M,-43.00M,-35.00M,5.00M,17.00M,-30.00M,,339.00M,-105.00M,2.00M,-103.00M,,-426.00M,400.00M,-129.00M,50.00M,-72.00M,,,,150.00M,,-381.00M,-303.00M,1.025B,-93.00M,,932.00M,,382.00M,-332.00M,,11.00M,46.00M
2008-11,-706.00M,,,,,14.00M,,,594.00M,594.00M,,,,,286.00M,138.00M,39.00M,,-67.00M,78.00M,-17.00M,171.00M,,359.00M,-270.00M,6.00M,-264.00M,,121.00M,-346.00M,-489.00M,,122.00M,,,,-150.00M,,-60.00M,-88.00M,1.243B,-218.00M,,1.025B,,,,,,
2008-08,-344.00M,,4.00M,,0.00,-7.00M,,,532.00M,532.00M,,,0.00,,191.00M,-37.00M,-42.00M,,-44.00M,-6.00M,,-129.00M,,243.00M,-720.00M,12.00M,-708.00M,,-90.00M,-5.00M,-803.00M,285.00M,285.00M,0.00,,0.00,-203.00M,,247.00M,329.00M,1.474B,-231.00M,,1.243B,0.00,330.00M,-45.00M,,12.00M,25.00M
2008-05,-236.00M,,-70.00M,,0.00,-37.00M,,,513.00M,513.00M,3.00M,,463.00M,,-405.00M,-96.00M,-4.00M,,20.00M,-4.00M,,-84.00M,,217.00M,-503.00M,41.00M,-462.00M,,26.00M,72.00M,-364.00M,-146.00M,-59.00M,1.00M,,1.00M,203.00M,,-232.00M,-87.00M,1.708B,-234.00M,,1.474B,1.00M,507.00M,-653.00M,,24.00M,59.00M
2008-02,-777.00M,,,,,-22.00M,,,511.00M,511.00M,-3.00M,,,,491.00M,187.00M,-21.00M,,-62.00M,,-22.00M,82.00M,,282.00M,-541.00M,70.00M,-471.00M,,7.00M,-21.00M,-519.00M,,125.00M,1.00M,,1.00M,,,-61.00M,65.00M,1.88B,-172.00M,,1.708B,1.00M,,,,,
2007-11,-262.00M,,,,,-10.00M,,,504.00M,504.00M,,,,,81.00M,-80.00M,27.00M,,-6.00M,,22.00M,-37.00M,,276.00M,-765.00M,64.00M,-701.00M,,261.00M,,-406.00M,,-212.00M,2.00M,,2.00M,,,28.00M,-182.00M,2.192B,-312.00M,,1.88B,2.00M,,,,,
2007-08,-158.00M,,,,,47.00M,,,474.00M,474.00M,-9.00M,,,,-4.00M,-153.00M,-104.00M,,55.00M,,,-206.00M,,144.00M,-752.00M,75.00M,-677.00M,0.00,-162.00M,-39.00M,-878.00M,,-392.00M,14.00M,,14.00M,,,637.00M,259.00M,2.667B,-475.00M,,2.192B,14.00M,,,,,
2007-05,-225.00M,,,,,98.00M,,,444.00M,444.00M,4.00M,,,,20.00M,99.00M,-156.00M,,-118.00M,,-89.00M,-264.00M,,77.00M,-671.00M,-5.00M,-676.00M,-73.00M,365.00M,66.00M,-318.00M,,1.603B,5.00M,,5.00M,,,-266.00M,1.342B,1.566B,1.101B,,2.667B,5.00M,,,,,
2007-02,-52.00M,,,,,-36.00M,,,420.00M,420.00M,-5.00M,,,,0.00,61.00M,-180.00M,,-10.00M,,89.00M,-40.00M,,287.00M,-1.081B,13.00M,-1.068B,,706.00M,-65.00M,-427.00M,,-48.00M,9.00M,,9.00M,,,442.00M,403.00M,1.303B,263.00M,,1.566B,9.00M,,,,,
2006-11,115.00M,,,,,6.00M,,,380.00M,380.00M,-1.00M,,,,10.00M,-2.00M,-151.00M,,72.00M,,,-81.00M,,429.00M,-1.099B,41.00M,-1.058B,,321.00M,-31.00M,-768.00M,,-56.00M,41.00M,,41.00M,,,226.00M,211.00M,1.431B,-128.00M,,1.303B,41.00M,,,,,
2006-08,63.70M,,,,,18.60M,,,344.80M,344.80M,-7.40M,,,,8.20M,-27.70M,-87.90M,-251.10M,50.10M,,-30.00M,-97.60M,,330.30M,-574.90M,22.80M,-552.10M,97.00M,-276.00M,-11.50M,-742.60M,,-31.00M,-141.50M,,-141.50M,,,548.60M,376.10M,1.468B,-36.20M,,1.431B,-141.50M,,,,,
2006-05,88.30M,,,,,-15.60M,,,341.20M,341.20M,-4.60M,,,,18.80M,-73.30M,-10.10M,251.10M,-47.10M,,-166.00M,-45.40M,,382.70M,-335.10M,15.20M,-319.90M,319.00M,-308.00M,-10.50M,-319.40M,,-237.00M,-292.50M,,-292.50M,,,397.40M,-132.10M,1.536B,-68.80M,,1.468B,-292.50M,,,,,
2006-02,193.40M,,,,,16.20M,,,291.60M,291.60M,-7.70M,,,,-1.00M,49.90M,-3.10M,,111.00M,,230.50M,388.30M,,880.80M,-186.30M,11.60M,-174.70M,,-325.90M,25.90M,-474.70M,,-97.50M,536.10M,,536.10M,,,30.70M,469.30M,661.10M,875.40M,,1.536B,536.10M,,,,,
2005-11,62.60M,,,,,3.80M,,,303.40M,303.40M,-4.30M,,,,,-10.90M,89.10M,,16.00M,,-34.50M,59.70M,,425.20M,-268.70M,5.40M,-263.30M,,51.90M,-7.90M,-219.30M,,-49.50M,10.90M,,10.90M,,,-30.70M,-69.30M,524.50M,136.60M,,661.10M,10.90M,,,,,
2005-08,43.10M,,,,,-0.10M,,,315.40M,315.40M,-10.00M,,,,,-60.70M,55.50M,,-48.10M,,9.50M,-43.80M,,304.60M,-143.40M,8.40M,-135.00M,,61.50M,-5.90M,-79.40M,,-117.30M,11.20M,,11.20M,,,-65.30M,-171.40M,470.30M,53.80M,,525.00M,11.20M,,,,,
2005-05,-128.10M,,,,,-14.90M,,,318.60M,318.60M,-2.00M,,,,1.00M,202.70M,-73.50M,,32.10M,,-2.50M,158.80M,,333.40M,-250.60M,25.60M,-225.00M,,-48.50M,-31.10M,-304.60M,,245.30M,8.80M,,8.80M,,,-172.70M,81.40M,360.00M,110.20M,,470.30M,8.80M,,,,,
2005-02,118.10M,,,,,-3.10M,,,317.30M,317.30M,-4.20M,,,,-1.00M,-74.70M,-47.80M,,0.40M,,3.60M,-118.50M,,308.60M,-311.60M,9.20M,-302.40M,,-40.10M,-7.40M,-349.90M,,-160.20M,11.70M,,11.70M,,,229.10M,80.60M,320.80M,39.30M,,360.00M,11.70M,,,,,
2004-11,154.90M,,,,,4.10M,,,313.70M,313.70M,6.20M,,,,,-89.30M,-127.20M,,26.60M,,2.40M,-187.50M,,291.40M,-359.40M,3.80M,-355.60M,,14.10M,-8.60M,-350.10M,,-46.80M,9.30M,,9.30M,,,-69.10M,-106.60M,486.10M,-165.30M,,320.80M,9.30M,,,,,
2004-08,93.30M,,,,,-2.20M,,,309.80M,309.80M,20.20M,,,,-32.80M,-3.60M,-46.90M,,49.60M,,28.00M,27.10M,,415.40M,-341.30M,13.30M,-328.00M,,58.80M,86.70M,-182.50M,,-12.20M,11.40M,-0.50M,10.90M,,,-74.40M,-75.70M,329.10M,157.20M,,486.00M,11.40M,,,-0.50M,,
2004-05,90.90M,,,,,0.60M,,,300.10M,300.10M,12.10M,,,,32.80M,-59.30M,-86.80M,,-14.80M,-18.30M,,-179.20M,,257.30M,-271.20M,9.80M,-261.40M,,-100.90M,-6.80M,-369.10M,,-40.10M,463.20M,0.00,463.20M,,,-491.40M,-68.30M,509.20M,-180.10M,,329.10M,463.20M,,,0.00,,
2004-02,-28.30M,,,,,-12.50M,,,295.60M,295.60M,14.30M,,,,,13.10M,-38.10M,,-19.50M,18.30M,-11.80M,-38.00M,,231.10M,-207.90M,47.90M,-160.00M,,-19.10M,21.00M,-158.10M,,41.00M,-445.50M,0.00,-445.50M,,,352.40M,-52.10M,488.30M,20.90M,,509.20M,-445.50M,,,0.00,,
2003-11,1.10M,,,,,-25.90M,,,312.50M,312.50M,11.40M,,,,,-81.20M,10.80M,,14.70M,,11.80M,-43.90M,,255.20M,-260.60M,22.00M,-238.60M,,-332.80M,-31.90M,-603.30M,,-31.70M,457.90M,-67.50M,390.40M,,,-92.60M,266.10M,570.30M,-82.00M,,488.30M,457.90M,,,-67.50M,,
2003-08,-123.20M,,,,,33.20M,,,298.80M,298.80M,7.50M,,,,,-146.90M,8.20M,,27.40M,6.90M,,-104.40M,,111.90M,-147.50M,-9.00M,-156.50M,,-8.30M,-32.10M,-196.90M,,-13.20M,8.50M,,8.50M,,,-19.80M,-24.50M,679.80M,-109.50M,,570.30M,8.50M,,,,,
2003-05,-214.90M,,,,,-8.00M,,,301.00M,301.00M,26.00M,,,,,-11.90M,-79.20M,,6.60M,27.40M,,-57.10M,,47.00M,-128.30M,4.20M,-124.10M,,-33.50M,-55.80M,-213.40M,,156.50M,7.40M,,7.40M,,,-232.80M,-68.90M,915.10M,-235.30M,,679.80M,7.40M,,,,,
2003-02,-619.20M,,,,,316.90M,,,310.20M,310.20M,16.50M,,,,,-39.10M,-5.80M,,29.60M,3.90M,12.60M,1.20M,,25.60M,-219.30M,4.80M,-214.50M,,180.20M,-14.40M,-48.70M,,509.00M,8.90M,,8.90M,,,19.00M,536.90M,401.30M,513.80M,,915.10M,8.90M,,,,,
2002-11,-315.90M,,,,,97.90M,,,299.90M,299.90M,20.50M,,,,,94.10M,-119.40M,,35.20M,,-12.60M,-2.70M,,99.70M,-326.40M,,-326.40M,,274.70M,-7.40M,-59.10M,,-90.80M,28.70M,,28.70M,,,24.60M,-37.50M,398.20M,3.10M,,401.30M,28.70M,,,,,
2002-08,-586.50M,,,,,181.10M,,,295.50M,295.50M,134.00M,,,,,47.90M,-32.50M,,46.60M,18.90M,-19.70M,61.20M,,85.30M,-537.10M,2.40M,-534.70M,,316.60M,242.80M,24.70M,,-9.80M,12.20M,,12.20M,,,-47.90M,-45.50M,333.70M,64.50M,,398.20M,12.20M,,,,,
2002-05,-24.20M,,,,,23.40M,,,293.40M,293.40M,76.10M,,,,,-139.40M,-114.20M,,55.70M,6.00M,,-191.90M,,176.80M,-152.20M,1.20M,-151.00M,,-57.30M,-265.40M,-473.70M,,-29.10M,16.20M,,16.20M,,,-34.40M,-47.30M,677.90M,-344.20M,,333.70M,16.20M,,,,,
2002-02,-30.40M,,,,,17.60M,,,290.90M,290.90M,-34.20M,,,,,-166.40M,-100.40M,,-52.90M,-24.90M,19.40M,-325.20M,,-81.30M,-140.40M,0.40M,-140.00M,,560.70M,-6.90M,413.80M,,7.40M,20.10M,,20.10M,,,-40.00M,-12.50M,357.90M,320.00M,,677.90M,20.10M,,,,,
2001-11,-265.90M,,,,,193.90M,,,297.60M,297.60M,-164.50M,,,,,496.90M,-131.80M,,-9.50M,,-19.40M,336.20M,,397.30M,-182.60M,0.50M,-182.10M,,-249.30M,-47.30M,-478.70M,,-53.10M,23.30M,,23.30M,,,,-29.80M,469.10M,-111.20M,,357.90M,23.30M,,,,,
2001-08,-575.50M,,,,,663.30M,,,295.20M,295.20M,,,,,,-161.90M,-120.40M,,-38.30M,-118.50M,,-439.10M,,-56.10M,-263.20M,23.70M,-239.50M,,-142.60M,-174.80M,-556.90M,,-2.70M,506.90M,,506.90M,,,-44.80M,459.40M,622.70M,-153.60M,,469.10M,506.90M,,,,,
2001-05,-313.40M,,,,,287.20M,,,278.80M,278.80M,,,,,199.80M,-65.60M,90.10M,,-125.60M,-67.90M,,-169.00M,-84.20M,199.20M,-331.10M,,-331.10M,,322.00M,-137.70M,-146.80M,,81.30M,31.50M,,31.50M,,,-142.40M,-29.60M,599.90M,22.80M,,622.70M,31.50M,,,,,
2001-02,-88.30M,,,,,107.30M,,,272.20M,272.20M,58.40M,,,,-199.80M,261.20M,-140.10M,,-414.10M,,90.80M,-202.20M,84.20M,31.80M,-394.60M,-10.20M,-404.80M,,468.00M,-12.70M,50.50M,,-92.30M,40.50M,,40.50M,,,0.70M,-51.10M,568.70M,31.20M,,599.90M,40.50M,,,,,
2000-11,352.20M,,,,,7.70M,,,268.20M,268.20M,-58.40M,,,,,572.10M,-312.40M,,-124.40M,,-90.80M,44.50M,,614.20M,-499.70M,10.20M,-489.50M,,-181.10M,-58.80M,-729.40M,,-37.50M,19.50M,,19.50M,,,0.20M,-17.80M,701.70M,-133.00M,,568.70M,19.50M,,,,,
2000-08,726.70M,,,,,77.60M,,,261.20M,261.20M,,,,,,-375.30M,-66.40M,,462.70M,-209.30M,,-188.30M,,877.20M,-413.50M,,-262.30M,,-253.70M,-55.50M,-571.50M,,-9.70M,41.20M,,41.20M,,,-18.70M,12.80M,383.20M,318.50M,,701.70M,41.20M,,,,,
2000-05,274.90M,,,,,77.70M,,,250.10M,250.10M,,,,,-21.40M,-212.20M,51.10M,,18.20M,-7.00M,,-149.90M,,431.40M,-264.80M,,-264.80M,,-172.30M,-11.30M,-448.40M,,94.60M,64.40M,,64.40M,,,-188.70M,-29.70M,429.90M,-46.70M,,383.20M,64.40M,,,,,
2000-02,161.30M,,,,,104.00M,,,233.60M,233.60M,,,,,-88.00M,15.70M,-177.80M,,-103.90M,,,-266.00M,,144.90M,-229.30M,,-229.30M,,177.90M,-52.70M,-104.10M,,-139.20M,86.50M,,86.50M,,,0.20M,-52.50M,441.60M,-11.70M,,429.90M,86.50M,,,,,
1999-11,341.30M,,,,,,,,229.50M,229.50M,,,,,109.40M,-212.70M,-138.50M,,219.70M,,,-131.50M,,548.70M,-219.80M,,-219.80M,,-114.70M,1.40M,-333.10M,,-120.80M,51.90M,,51.90M,,,0.30M,-68.60M,294.60M,147.00M,,441.60M,51.90M,,,,,
1999-08,-17.50M,,,,,29.50M,,,216.80M,216.80M,,,,,-8.80M,-122.50M,55.90M,,109.80M,-33.40M,,9.80M,,229.80M,-250.10M,40.90M,-209.20M,,53.50M,-69.00M,-224.70M,,0.00,33.50M,,33.50M,,,-94.60M,-61.10M,350.60M,-56.00M,,294.60M,33.50M,,,,,
1999-05,-27.70M,,,,,36.90M,,,204.00M,204.00M,1.10M,,,,-8.70M,30.40M,-76.80M,,26.40M,0.50M,,-19.50M,,186.10M,-207.60M,-18.60M,-226.20M,,38.00M,9.00M,-179.20M,,-27.10M,7.00M,,7.00M,,,-65.10M,-85.20M,428.90M,-78.30M,,350.60M,7.00M,,,,,
1999-02,22.50M,,,,,-1.60M,,,219.40M,219.40M,-1.10M,,,,46.90M,-110.30M,-4.50M,,-50.30M,1.30M,,-163.80M,,122.30M,-188.70M,18.60M,-170.10M,,-228.30M,-3.90M,-402.30M,,-38.00M,557.60M,,557.60M,,,-578.40M,-58.80M,767.70M,-338.80M,,428.90M,557.60M,,,,,
1998-11,-46.20M,,,,,,,,189.50M,189.50M,,,,,-29.40M,112.30M,-36.40M,,65.80M,,,141.70M,,255.60M,-117.50M,,-117.50M,,-1.062B,-1.50M,-1.181B,,5.70M,19.10M,,19.10M,,,1.110B,1.134B,558.80M,208.90M,,767.70M,19.10M,,,,,
1998-08,-93.30M,,,,,2.40M,,,171.90M,171.90M,,,,,-9.10M,-91.70M,87.60M,,-41.10M,33.40M,,-11.80M,,60.10M,-142.90M,33.40M,-109.50M,,111.20M,-34.00M,-32.30M,,-18.30M,8.80M,,8.80M,,,31.70M,22.20M,508.80M,50.00M,,558.80M,8.80M,,,,,
1998-05,-109.40M,,,,,3.50M,,,151.10M,151.10M,-10.30M,,,,7.90M,-44.20M,69.30M,,-76.00M,0.70M,,-50.20M,,-7.40M,-182.90M,-31.00M,-213.90M,,177.20M,26.40M,-10.30M,,-26.90M,5.30M,,5.30M,,,-14.40M,-36.00M,560.50M,-53.70M,,508.80M,5.30M,,,,,
