,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.699B,2.699B,1.785B,914.00M,545.00M,,,-15.00M,71.00M,-71.00M,,545.00M,369.00M,71.00M,-71.00M,-15.00M,-71.00M,283.00M,-21.00M,304.00M,0.00,,,304.00M,314.95M,445.00M,91.00M,354.00M,0.72,0.0,,0.7458,0.72,0.71,0.0,,0.7357,0.71,424.30M,425.40M,0.23
2020-06,2.111B,2.111B,1.447B,664.00M,488.00M,,,-13.00M,71.00M,-71.00M,,488.00M,176.00M,71.00M,-71.00M,-12.00M,-71.00M,93.00M,15.00M,78.00M,0.00,,,78.00M,88.91M,249.00M,85.00M,164.00M,0.18,0.0,,0.2057,0.18,0.18,0.0,,0.2057,0.18,424.20M,424.70M,0.23
2020-03,1.886B,1.886B,1.269B,617.00M,548.00M,,,-1.477B,63.00M,-63.00M,,548.00M,69.00M,63.00M,-63.00M,-1.489B,-63.00M,-1.483B,-204.00M,-1.279B,,,,-1.279B,-5.826M,-1.329B,91.00M,-1.42B,-3.02,0.0,,-0.0158,-3.02,-3.02,0.0,,-0.0158,-3.02,423.80M,423.80M,0.23
2019-12,2.624B,2.624B,1.772B,852.40M,640.00M,,,-79.60M,,-70.30M,,640.00M,212.40M,,-70.30M,-84.70M,-70.30M,57.40M,-720.70M,778.10M,15.50M,,,793.60M,837.23M,1.565B,121.00M,1.444B,1.84,0.04,,1.98,1.88,1.83,0.04,,1.969,1.87,423.30M,425.70M,0.23
2019-09,2.569B,2.569B,1.722B,847.00M,630.00M,,,-1.103B,75.00M,-75.00M,,630.00M,217.00M,75.00M,-75.00M,-1.11B,-75.00M,-968.00M,-327.00M,-641.00M,15.00M,,,-626.00M,93.16M,-742.00M,151.00M,-893.00M,-1.51,0.03,,0.224,-1.48,-1.51,0.03,,0.224,-1.48,423.40M,423.40M,0.23
2019-06,2.48B,2.48B,1.615B,865.00M,612.00M,,,-22.00M,78.00M,-78.00M,,612.00M,253.00M,78.00M,-78.00M,-22.00M,-78.00M,153.00M,30.00M,123.00M,-33.00M,,,90.00M,140.69M,318.00M,87.00M,231.00M,0.29,-0.08,,0.3318,0.21,0.29,-0.08,,0.3318,0.21,423.30M,423.50M,0.23
2019-03,2.042B,2.042B,1.387B,655.00M,569.00M,,,-74.00M,80.00M,-80.00M,,569.00M,86.00M,80.00M,-80.00M,-100.00M,-80.00M,-94.00M,-20.00M,-74.00M,-77.00M,,,-151.00M,-15.76M,73.00M,87.00M,-14.00M,-0.18,-0.18,,-0.0423,-0.36,-0.18,-0.18,,-0.0423,-0.36,423.00M,423.00M,0.23
2018-12,3.093B,3.093B,2.030B,1.062B,740.70M,,,-185.40M,,-104.00M,,740.70M,321.70M,,-104.00M,-196.50M,-104.00M,21.20M,-90.80M,112.00M,71.50M,,,183.50M,247.34M,418.00M,96.30M,321.70M,0.3,0.16,,0.5998,0.46,0.3,0.16,,0.5998,0.46,451.50M,451.50M,0.23
2018-09,2.549B,2.549B,1.633B,915.40M,604.40M,,,-8.146B,,-105.60M,,604.40M,311.00M,,-105.60M,-8.150B,-105.60M,-7.945B,-1.220B,-6.725B,-585.70M,,,-7.311B,166.30M,393.80M,82.80M,311.00M,-14.28,-1.24,,0.3518,-15.52,-14.28,-1.24,,0.3518,-15.52,471.00M,471.00M,0.23
2018-06,2.202B,2.202B,1.427B,774.80M,613.60M,,,-77.30M,,-120.50M,,613.60M,161.20M,,-120.50M,-64.10M,-120.50M,-23.40M,53.00M,-76.40M,208.10M,,,131.70M,-19.97M,266.20M,105.00M,161.20M,-0.16,0.43,,-0.0439,0.27,-0.16,0.43,,-0.0439,0.27,486.20M,486.20M,0.23
2018-03,1.812B,1.812B,1.206B,605.30M,626.30M,,,-5.40M,,-116.10M,,626.30M,-21.00M,,-116.10M,-4.00M,-116.10M,-141.10M,-86.40M,-54.70M,108.00M,,,53.30M,-50.76M,128.80M,149.80M,-21.00M,-0.11,0.22,,-0.1019,0.11,-0.11,0.22,,-0.1019,0.11,486.00M,486.00M,0.23
2017-12,4.108B,4.108B,2.746B,1.361B,871.40M,,,686.10M,,-115.90M,,871.40M,489.90M,,-115.90M,-27.90M,-115.90M,346.90M,-1.415B,1.762B,-109.40M,,,1.653B,1.351B,649.70M,159.80M,489.90M,3.39,0.0,,2.546,3.39,3.38,0.0,,2.537,3.38,487.90M,488.30M,0.23
2017-09,2.467B,2.467B,1.602B,864.90M,687.90M,,,-35.90M,,-116.40M,,687.90M,177.00M,,-116.40M,-80.60M,-116.40M,-20.00M,-131.10M,111.10M,123.30M,,,234.40M,132.64M,332.80M,155.80M,177.00M,0.23,0.25,,0.2739,0.48,0.23,0.25,,0.2738,0.48,490.40M,491.50M,0.23
2017-06,2.527B,2.527B,1.650B,877.20M,695.80M,,,-93.60M,,-114.50M,,695.80M,181.40M,,-114.50M,-121.80M,-114.50M,-54.90M,-71.50M,16.60M,206.40M,,,223.00M,72.76M,330.80M,149.40M,181.40M,0.03,0.43,,0.146,0.46,0.03,0.43,,0.1456,0.46,484.30M,485.90M,0.23
2017-03,3.266B,3.266B,2.149B,1.117B,931.50M,,,-59.50M,,-122.20M,,931.50M,185.70M,,-122.20M,726.60M,-122.20M,790.10M,151.60M,638.50M,,,,638.50M,686.58M,356.30M,170.60M,185.70M,1.32,,,1.419,1.32,1.31,,,1.409,1.31,484.20M,485.80M,0.19
2016-12,53.00M,53.00M,-41.80M,94.80M,363.20M,,,-21.00M,,-123.60M,,363.20M,-268.40M,,-123.60M,-11.20M,-123.60M,-403.20M,-2.30M,-400.90M,566.50M,,,165.60M,-380.02M,-138.40M,130.00M,-268.40M,0.34,0.0,,0.3826,0.34,0.34,0.0,,0.3826,0.34,490.30M,490.30M,0.19
2016-09,3.955B,3.955B,2.680B,1.275B,937.90M,,,-13.00M,,-124.50M,,937.90M,336.90M,,-124.50M,-12.30M,-124.50M,200.10M,13.60M,186.50M,0.00,,,186.50M,198.62M,474.90M,138.00M,336.90M,0.39,0.0,,0.415,0.39,0.38,0.0,,0.4049,0.38,484.00M,486.20M,0.19
2016-06,3.859B,3.859B,2.763B,1.096B,947.00M,,,-12.20M,,-126.70M,,947.00M,148.70M,,-126.70M,148.30M,-126.70M,170.30M,34.50M,135.80M,-0.60M,,,135.20M,145.53M,275.10M,126.40M,148.70M,0.3,0.0,,0.3217,0.3,0.3,0.0,,0.3216,0.3,448.30M,450.20M,0.19
2016-03,1.315B,1.315B,809.30M,505.60M,362.50M,,,-63.60M,,-29.40M,,362.50M,143.10M,,-29.40M,-62.10M,-29.40M,51.60M,11.30M,40.30M,0.20M,,,40.50M,89.97M,185.90M,42.80M,143.10M,0.15,0.0,,0.3349,0.15,0.15,0.0,,0.3339,0.15,268.70M,270.10M,0.19
2015-12,1.561B,1.561B,963.60M,597.20M,427.60M,,,-188.30M,,-25.10M,,427.60M,169.60M,,-25.10M,-237.30M,-25.10M,-92.80M,-13.10M,-79.70M,92.90M,,,13.20M,82.02M,212.60M,43.00M,169.60M,-0.3,0.35,,0.3025,0.05,-0.3,0.34,,0.2976,0.05,268.40M,270.60M,0.19
2015-09,1.53B,1.53B,931.10M,598.90M,391.30M,,,-21.00M,,-17.50M,,391.30M,207.60M,,-17.50M,-30.30M,-17.50M,159.80M,25.80M,134.00M,0.20M,,,134.20M,151.62M,250.70M,43.10M,207.60M,0.5,0.0,,0.5655,0.5,0.49,0.0,,0.555,0.5,268.80M,271.00M,0.19
2015-06,1.561B,1.561B,939.90M,621.00M,393.00M,,,-13.30M,,-18.10M,,393.00M,228.00M,,-18.10M,-18.30M,-18.10M,191.60M,43.50M,148.10M,0.40M,,,148.50M,158.38M,271.30M,43.30M,228.00M,0.55,0.0,,0.5881,0.55,0.55,0.0,,0.5878,0.55,269.70M,271.70M,0.19
2015-03,1.264B,1.264B,776.50M,487.50M,362.00M,,,-27.30M,,-19.20M,,362.00M,125.50M,,-19.20M,-27.40M,-19.20M,78.90M,22.00M,56.90M,-2.80M,,,54.10M,76.58M,167.70M,42.20M,125.50M,0.21,-0.01,,0.2828,0.2,0.21,-0.01,,0.2822,0.2,270.50M,272.70M,0.19
2014-12,1.526B,1.526B,951.90M,574.10M,385.60M,,,-42.80M,,-16.70M,,385.60M,188.50M,,-16.70M,-112.10M,-16.70M,59.70M,10.40M,49.30M,2.70M,,,52.00M,84.64M,230.20M,41.70M,188.50M,0.18,0.01,,0.3096,0.19,0.18,0.01,,0.3081,0.19,272.80M,275.90M,0.17
2014-09,1.484B,1.484B,907.80M,576.70M,383.80M,,,-19.70M,,-14.30M,,383.80M,192.90M,,-14.30M,-27.40M,-14.30M,151.20M,28.30M,122.90M,-0.60M,,,122.30M,138.92M,231.60M,38.70M,192.90M,0.45,0.0,,0.5086,0.45,0.44,0.0,,0.4979,0.44,273.50M,276.40M,0.17
2014-06,1.502B,1.502B,906.60M,595.60M,370.80M,,,-11.50M,,-15.00M,,370.80M,224.80M,,-15.00M,-8.90M,-15.00M,200.90M,51.90M,149.00M,1.60M,,,150.60M,157.53M,262.40M,37.60M,224.80M,0.54,0.01,,0.5708,0.54,0.53,0.01,,0.5605,0.54,277.40M,279.70M,0.17
2014-03,1.214B,1.214B,757.30M,457.00M,340.30M,,,-12.00M,,-14.40M,,340.30M,116.70M,,-14.40M,-52.00M,-14.40M,50.30M,-1.50M,51.80M,1.10M,,,52.90M,60.45M,154.80M,38.10M,116.70M,0.18,0.01,,0.2108,0.19,0.18,0.01,,0.2105,0.19,280.90M,283.80M,0.15
2013-12,1.465B,1.465B,923.60M,541.70M,371.70M,,,-12.60M,,-15.00M,,371.70M,170.00M,,-15.00M,-13.20M,-15.00M,141.80M,25.50M,116.30M,1.00M,,,117.30M,126.63M,82.70M,39.50M,43.20M,0.41,0.0,,0.4465,0.41,0.41,0.0,,0.446,0.41,283.50M,287.00M,0.15
2013-09,1.466B,1.466B,913.60M,552.50M,342.70M,,,-31.30M,,-15.70M,,342.70M,209.80M,,-15.70M,-32.00M,-15.70M,162.10M,39.90M,122.20M,71.10M,,,193.30M,145.80M,249.60M,39.80M,209.80M,0.42,0.25,,0.5014,0.67,0.42,0.24,,0.5006,0.66,290.10M,292.90M,0.15
2013-06,1.475B,1.475B,892.00M,582.70M,365.30M,,,-32.00M,,-15.00M,,365.30M,217.40M,,-15.00M,-36.20M,-15.00M,166.20M,49.60M,116.60M,-6.80M,,,109.80M,139.06M,257.20M,39.80M,217.40M,0.4,-0.02,,0.4772,0.38,0.4,-0.02,,0.4763,0.37,290.90M,294.30M,0.15
2013-03,1.241B,1.241B,767.20M,473.60M,341.40M,,,-34.40M,,-14.60M,,341.40M,132.20M,,-14.60M,-47.40M,-14.60M,70.20M,6.40M,63.80M,-9.60M,,,54.20M,95.07M,172.00M,39.80M,132.20M,0.22,-0.03,,0.3278,0.19,0.22,-0.03,,0.3267,0.19,290.00M,293.10M,0.15
2012-12,1.376B,1.376B,881.40M,494.40M,325.80M,,,-22.60M,,-17.40M,,325.80M,168.60M,,-17.40M,-22.30M,-17.40M,128.90M,29.20M,99.70M,2.20M,,,101.90M,117.18M,152.00M,41.60M,110.40M,0.35,0.0,,0.4103,0.35,0.35,0.0,,0.4097,0.35,289.70M,293.00M,0.15
2012-09,1.457B,1.457B,897.90M,559.00M,359.70M,,,-19.10M,,-18.00M,,359.70M,199.30M,,-18.00M,-17.80M,-18.00M,163.50M,57.30M,106.20M,2.10M,,,108.30M,118.62M,240.60M,41.30M,199.30M,0.37,0.01,,0.4127,0.37,0.36,0.01,,0.4024,0.37,290.70M,292.70M,0.1
2012-06,1.425B,1.425B,872.60M,552.70M,365.30M,,,-10.00M,,-20.50M,,365.30M,187.40M,,-20.50M,-10.60M,-20.50M,156.30M,50.00M,106.30M,5.50M,,,111.80M,113.10M,228.80M,41.40M,187.40M,0.36,0.02,,0.3833,0.38,0.36,0.02,,0.3831,0.38,292.10M,294.00M,0.1
2012-03,1.250B,1.250B,762.50M,488.00M,352.70M,,,-12.10M,,-20.20M,,352.70M,135.30M,,-20.20M,-11.80M,-20.20M,103.30M,25.00M,78.30M,1.00M,,,79.30M,87.47M,174.70M,39.40M,135.30M,0.27,0.0,,0.3014,0.27,0.27,0.0,,0.3011,0.27,292.10M,294.70M,0.08
2011-12,1.142B,1.142B,689.80M,452.50M,300.30M,,,40.10M,23.40M,-21.20M,,300.30M,152.20M,23.40M,-21.20M,26.60M,-21.20M,157.60M,23.30M,134.30M,-53.90M,,,80.40M,100.13M,221.50M,40.50M,181.00M,0.46,-0.18,,0.3429,0.28,0.45,-0.18,,0.3339,0.27,291.80M,294.40M,0.08
2011-09,1.550B,1.550B,970.60M,579.30M,383.40M,,,-394.10M,21.80M,-21.80M,,383.40M,195.90M,21.80M,-21.80M,-394.10M,-21.80M,-220.00M,-53.60M,-166.40M,-11.20M,,,-177.60M,131.68M,-158.60M,39.60M,-198.20M,-0.57,-0.04,,0.455,-0.61,-0.57,-0.04,,0.455,-0.61,290.80M,290.80M,0.08
2011-06,1.545B,1.545B,960.90M,584.40M,387.50M,,,-4.50M,21.30M,-21.30M,,387.50M,196.90M,21.30M,-21.30M,-4.50M,-21.30M,171.10M,25.70M,145.40M,1.30M,,,146.70M,149.22M,233.20M,40.80M,192.40M,0.49,0.0,,0.503,0.5,0.49,0.0,,0.5025,0.49,294.30M,304.90M,0.08
2011-03,1.274B,1.274B,789.30M,484.90M,351.10M,,,-12.10M,21.90M,-21.90M,,351.10M,133.80M,21.90M,-21.90M,-12.10M,-21.90M,99.80M,25.90M,73.90M,1.80M,,,75.70M,82.86M,162.40M,40.70M,121.70M,0.25,0.01,,0.2805,0.26,0.25,0.01,,0.28,0.25,294.20M,298.20M,0.05
2010-12,1.442B,1.442B,903.90M,537.60M,395.20M,,,-33.70M,26.40M,-22.90M,,395.20M,142.40M,26.40M,-22.90M,-26.40M,-22.90M,93.10M,19.70M,73.40M,2.30M,,,75.70M,99.97M,161.60M,42.10M,119.50M,0.25,0.01,,0.3405,0.26,0.24,0.01,,0.3294,0.26,293.50M,297.30M,0.05
